Compound Name	Sample Type	Count
[1004] phosphoric acid [9.966]	CSF	150
[1004] phosphoric acid [9.966]	Fungi	15
[1004] phosphoric acid [9.966]	Plasma	85
[1004] phosphoric acid [9.966]	Soil Crust	2
[1030] propylene glycol [6.144]	CSF	35
[1030] propylene glycol [6.144]	Plasma	6
[1030] propylene glycol [6.144]	Soil Crust	3
[11005] myristic acid [16.887]	CSF	203
[11005] myristic acid [16.887]	Fungi	11
[11266] 2-hydroxybutyric acid [7.852]	CSF	202
[11266] 2-hydroxybutyric acid [7.852]	Plasma	59
[1174] uracil [10.777]	Fungi	12
[1174] uracil [10.777]	Plasma	29
[1174] uracil [10.777]	Soil Crust	9
[1174] uracil [10.777]	Standard	2
[1174] uracil [10.777]	Urine	31
[1175] uric acid 1 [19.331]	Plasma	32
[1176] urea [9.599]	Fungi	2
[1176] urea [9.599]	Plasma	31
[1176] urea [9.599]	Soil Crust	9
[1176] urea [9.599]	Urine	41
[1198] isocitric acid [16.847]	Fungi	1
[1198] isocitric acid [16.847]	Urine	33
[128869] galactonic acid [18.773]	Fungi	5
[128869] galactonic acid [18.773]	Urine	32
[159664] 2-ketocaproic acid [9.707]	Plasma	47
[2723970] glycine-d5 deuterated [10.446]	Plasma	32
[289] catechol [10.524]	Urine	44
[439194] glyceric acid [10.735]	CSF	204
[439194] glyceric acid [10.735]	Fungi	13
[439194] glyceric acid [10.735]	Plasma	49
[439194] glyceric acid [10.735]	Soil Crust	2
[439194] glyceric acid [10.735]	Urine	31
[439766] citramalic acid [12.753]	Urine	60
[444212] trans-aconitic acid [15.970]	CSF	50
[444212] trans-aconitic acid [15.970]	Plasma	6
[444212] trans-aconitic acid [15.970]	Urine	64
[444972] fumaric acid [10.94]	Fungi	18
[444972] fumaric acid [10.94]	Plasma	17
[444972] fumaric acid [10.94]	Urine	16
[445639] oleic acid [20.504]	Fungi	7
[445639] oleic acid [20.504]	Plasma	22
[445639] oleic acid [20.504]	Standard	1
[464] hippuric acid 2 [16.87]	Urine	32
[5280450] linoleic acid [20.399]	Fungi	24
[5280450] linoleic acid [20.399]	Soil Crust	4
[5280450] linoleic acid [20.399]	Standard	2
[5281] stearic acid [20.675]	Fungi	23
[5281] stearic acid [20.675]	Soil Crust	7
[588] Creatinine [13.825]	CSF	201
[588] Creatinine [13.825]	Plasma	27
[588] Creatinine [13.825]	Urine	63
[6251] D-mannitol [18.130]	CSF	197
[6251] D-mannitol [18.130]	Fungi	20
[6251] D-mannitol [18.130]	Plasma	3
[6251] D-mannitol [18.130]	Soil Crust	14
[6251] D-mannitol [18.130]	Standard	4
[6251] D-mannitol [18.130]	Urine	33
[64956] DL-3-aminoisobutyric acid 2 [12.567]	Fungi	8
[64956] DL-3-aminoisobutyric acid 2 [12.567]	Soil Crust	1
[64956] DL-3-aminoisobutyric acid 2 [12.567]	Urine	30
[65098] norvaline 2 [9.468]	Plasma	27
[65098] norvaline 2 [9.468]	Soil Crust	4
[65098] norvaline 2 [9.468]	Urine	33
[68374] 7-methylxanthine [19.176]	Urine	53
[6912] xylitol [15.701]	CSF	174
[6912] xylitol [15.701]	Fungi	18
[6912] xylitol [15.701]	Plasma	11
[6912] xylitol [15.701]	Soil Crust	9
