Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
4-hydroxyphenylacetic acid	1	1325.25632633333	0.293973978011819	0.509177866019606	0.207870993344542	7.18936109972465	0.000221854388519207	0.000384263072797391	0.000156874742557926	1325.33255875607	0.324031574169115	0.309135576489831	0.147678682304917	1325.25632633333	0.293973978011819	0.509177866019606	0.207870993344542	3
4-hydroxyphenylacetic acid	2	1324.89341166667	0.145293923170567	0.251656456962431	0.102738318339105	7.18908727311827	0.000109671949111688	0.000189957388026552	7.75497789228205e-05	1324.93092429028	0.160165227392781	0.15281582045953	0.0729753909244399	1324.89341166667	0.145293923170567	0.251656456962431	0.102738318339105	3
4-hydroxyphenylacetic acid	3	1324.89341166667	0.294582980446849	0.510232689179012	0.208301623096111	7.18908721701709	0.000222314428301491	0.000385059885073811	0.000157200039807595	1324.81707727759	0.324707272013613	0.309784573045709	0.147981466699361	1324.89341166667	0.294582980446849	0.510232689179012	0.208301623096111	3
4-hydroxyphenylacetic acid	4	1325.06768733333	0.442132872460865	0.765796598798588	0.312635152302564	7.18921865493923	0.000333600019678214	0.000577812183488644	0.000235890836118431	1324.95303259243	0.487337528676169	0.464933539862918	0.222109118143597	1325.06768733333	0.442132872460865	0.765796598798588	0.312635152302564	3
4-hydroxyphenylacetic acid	5	1324.12392395146	0.770581979607448	1.33468714007711	0.544883743240581	7.18850582201647	0.000582163771964275	0.00100833723136807	0.000411651950917078	1324.32374994393	0.84936673645359	0.810319515359393	0.38711013710996	1324.12392395146	0.770581979607448	1.33468714007711	0.544883743240581	3
4-hydroxyphenylacetic acid	6	1324.30019357734	0.630177313028751	1.09149912394303	0.445602651392547	7.18863910331449	0.000475995666535203	0.000824448678621584	0.000336579763622452	1324.46360724278	0.694607501743872	0.662675193247703	0.316575766854618	1324.30019357734	0.630177313028751	1.09149912394303	0.445602651392547	3
4-hydroxyphenylacetic acid	7	1324.89101766667	0.148364498164591	0.25697484886053	0.104909542739521	7.18908546540812	0.000111990093605104	0.000193972532068435	7.91889546138855e-05	1324.92946659733	0.163538711178323	0.156023345223551	0.0745260957315401	1324.89101766667	0.148364498164591	0.25697484886053	0.104909542739521	3
4-hydroxyphenylacetic acid	8	1323.94486061813	0.709242217602024	1.22844355575953	0.501509981570176	7.1883706589421	0.000535854059653193	0.000928126456761374	0.000378906039307113	1324.10080575477	0.783825202487573	0.749755368571091	0.354853828294762	1323.94486061813	0.709242217602024	1.22844355575953	0.501509981570176	3
4-hydroxyphenylacetic acid	9	1324.12017291067	0.571659244448276	0.99014285600085	0.404224128277354	7.18850321775699	0.000431815897835278	0.000747927074566672	0.000305339949583482	1324.23346172966	0.632591865840369	0.605830046913135	0.28547949792016	1324.12017291067	0.571659244448276	0.99014285600085	0.404224128277354	3
4-hydroxyphenylacetic acid	10	1324.12065157734	0.571014432901027	0.989026009639708	0.403768177659707	7.18850357988447	0.000431329947516577	0.000747085383924729	0.00030499633081781	1324.23564239463	0.631762340006752	0.60493316792159	0.285232336363545	1324.12065157734	0.571014432901027	0.989026009639708	0.403768177659707	3
