Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
D-galactose [major]	1	1600.34016910982	0.441872885180961	1.3973247534419	0.312451313533922	7.37797111048004	0.000275924583020806	0.000872550144777972	0.000195108143750083	1600.06595840428	0.363704616268299	0.68723120178499	0.195809178292375	1600.34016910982	0.441872885180961	1.3973247534419	0.312451313533922	10
D-galactose [major]	2	1600.16251854945	0.414881230431027	1.31196964661521	0.293365331424798	7.37786014124884	0.000259157556706153	0.000819528152035687	0.000183252065742658	1599.9730222804	0.398972207454375	0.723880451073184	0.193277993058428	1600.16251854945	0.414881230431027	1.31196964661521	0.293365331424798	10
D-galactose [major]	3	1599.96060158456	0.333406130390676	1.05432275789762	0.235753735688413	7.37773406690183	0.000208307544524418	0.000658726294494098	0.000147295677305535	1599.8575836562	0.296914493605124	0.553098637907177	0.150053595375316	1599.96060158456	0.333406130390676	1.05432275789762	0.235753735688413	10
D-galactose [major]	4	1599.49372067288	0.447472890569648	1.41503352537937	0.316411115318944	7.37744204214757	0.000279813959741205	0.000884849433892866	0.000197858348403665	1599.60754777848	0.422740340409231	0.781824914626625	0.214590541073786	1599.49372067288	0.447472890569648	1.41503352537937	0.316411115318944	10
D-galactose [major]	5	1599.94870296745	0.242024837684463	0.765349737415456	0.171137403942257	7.3777267327041	0.000151221635039243	0.000478204798218733	0.000106929843598366	1599.86405652755	0.189734278683942	0.365081196096711	0.103245794036054	1599.94870296745	0.242024837684463	0.765349737415456	0.171137403942257	10
D-galactose [major]	6	1599.82265970099	0.148778567329532	0.470479139778035	0.105202333853931	7.37764802115131	9.30043394254585e-05	0.000294105544863845	6.57639990875171e-05	1599.86192046986	0.139017264520979	0.256410182982166	0.0698275986565181	1599.82265970099	0.148778567329532	0.470479139778035	0.105202333853931	10
D-galactose [major]	7	1600.02398406701	0.430329517009676	1.36082141815075	0.304288919622274	7.37777353690878	0.000268713722977547	0.000849747403152572	0.000190009295715307					1600.02398406701	0.430329517009676	1.36082141815075	0.304288919622274	10
D-galactose [major]	8	1600.54279469898	0.543995645672825	1.72026527754005	0.384663009991209	7.37809752014934	0.000339721083720615	0.00107429239373789	0.00024021908201089	1600.28172800691	0.550378660247914	0.987110234156065	0.264623190898222	1600.54279469898	0.543995645672825	1.72026527754005	0.384663009991209	10
D-galactose [major]	9	1599.81976667236	0.150566737078146	0.476133829026666	0.106466760809089	7.37764621176022	9.41225723424663e-05	0.000297641707836163	6.65547091660793e-05	1599.8597694891	0.140314786926101	0.258978766997332	0.0705776577776978	1599.81976667236	0.150566737078146	0.476133829026666	0.106466760809089	10
D-galactose [major]	10	1600.40489132115	0.358543620379324	1.13381448092143	0.253528625321396	7.37801168239991	0.000223990257638728	0.000708319387826309	0.000158385030096066	1600.30463199129	0.373203439448566	0.667128335659563	0.174266445282268	1600.40489132115	0.358543620379324	1.13381448092143	0.253528625321396	10
