Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
D-glucose [major]	1	1610.13675564436	1.46341989290684	4.62774003478531	1.03479412999772	7.38407026993754	0.000908139781609805	0.00287179014369488	0.000642151797841563	1609.62361661543	1.56386924936832	2.77019169467916	0.724050461524192	1610.13675564436	1.46341989290684	4.62774003478531	1.03479412999772	10
D-glucose [major]	2	1608.00556362282	1.06034702451687	3.35311170765572	0.749778571446859	7.38274773852642	0.00065873831321424	0.00208311345177439	0.000465798328301177	1607.57873147545	0.975538879492047	1.8010894575481	0.49120194967953	1608.00556362282	1.06034702451687	3.35311170765572	0.749778571446859	10
D-glucose [major]	3	1608.14145690563	0.774572563202157	2.44941351279354	0.547705511961291	7.38283325776501	0.000481298793279536	0.00152200042185388	0.000340329640504862	1607.76009234844	0.739240982318826	1.35193420544063	0.370100653365613	1608.14145690563	0.774572563202157	2.44941351279354	0.547705511961291	10
D-glucose [major]	4	1610.68371860086	1.37284032974713	4.34130230573754	0.970744706650572	7.38441040838016	0.000851810258084231	0.00269366054984202	0.000602320809775623	1610.30528718997	1.46839117596055	2.6068855639375	0.677817675842963	1610.68371860086	1.37284032974713	4.34130230573754	0.970744706650572	10
D-glucose [major]	5	1610.22411684012	1.46433357120539	4.63062933925739	1.03544019811845	7.38412452028704	0.000908736072322876	0.00287367578049579	0.000642573439048335	1609.76108998379	1.61930156000266	2.83538574637976	0.726653835786464	1610.22411684012	1.46433357120539	4.63062933925739	1.03544019811845	10
D-glucose [major]	6	1610.81375331385	1.29456328567632	4.09376855796841	0.915394477976865	7.38449154015629	0.000803211545340861	0.00253997792622073	0.000567956330437849	1610.44314395702	1.46916485864262	2.54822401127194	0.643453275967109	1610.81375331385	1.29456328567632	4.09376855796841	0.915394477976865	10
D-glucose [major]	7	1608.70677680399	0.632862607430173	2.00128728543235	0.447501441273275	7.38318511678494	0.000393546137924832	0.00124450216020524	0.000278279142836425	1608.93223834187	0.679817768252687	1.2008522072025	0.312225535303099	1608.70677680399	0.632862607430173	2.00128728543235	0.447501441273275	10
D-glucose [major]	8	1608.43799984628	1.23676980480913	3.91100952451871	0.874528315747297	7.38301585054682	0.000767721877598897	0.00242774974275352	0.000542861345715449	1607.60917363614	1.08174031413433	2.01951979531313	0.582553462521068	1608.43799984628	1.23676980480913	3.91100952451871	0.874528315747297	10
D-glucose [major]	9	1611.61039746273	1.44919882764424	4.5827690778016	1.02473831831484	7.38498516284989	0.000899068283129351	0.00284310354670589	0.000635737279750511					1611.61039746273	1.44919882764424	4.5827690778016	1.02473831831484	10
D-glucose [major]	10	1608.05154552764	1.05202756214057	3.32680325763853	0.74389582318475	7.38277636846531	0.000653396179469648	0.00206622014157624	0.00046202086930437	1607.64282632516	0.901541544026419	1.69015050084843	0.462940919060882	1608.05154552764	1.05202756214057	3.32680325763853	0.74389582318475	10
D-glucose [major]	11	1610.80469476588	1.58380200502548	5.00842169862196	1.11991713781037	7.38448431131639	0.000982998568167714	0.00310851441209427	0.000695084953448057	1610.64331027824	1.84589621044065	3.1812874063967	0.786571267745955	1610.80469476588	1.58380200502548	5.00842169862196	1.11991713781037	10
D-glucose [major]	12	1610.97168713199	1.53068201630947	4.84044154499693	1.08235563357272	7.38458829541145	0.000949981796123344	0.00300410621144748	0.000671738570042593	1610.83020670157	1.77507574333136	3.06558077144365	0.760003511851857	1610.97168713199	1.53068201630947	4.84044154499693	1.08235563357272	10
D-glucose [major]	13	1611.23846063596	1.58617205070698	5.01591644113414	1.12159301318348	7.38475354844246	0.00098419897492249	0.00311231043155801	0.000695933769204541	1611.0528808731	1.81507395300056	3.15048586600642	0.787248427433011	1611.23846063596	1.58617205070698	5.01591644113414	1.12159301318348	10
D-glucose [major]	14	1609.06404945837	1.25804420845399	3.97828509589825	0.889571590830276	7.38340489925098	0.000781371101278493	0.00247091237787414	0.000552512804337223	1608.72568048315	1.29411152663035	2.32531719178213	0.611758603072089	1609.06404945837	1.25804420845399	3.97828509589825	0.889571590830276	10
D-glucose [major]	15	1609.73523203468	1.59295907193583	5.03737888674523	1.12639216191845	7.38382010260244	0.000988573487502346	0.00312614385496341	0.000699027016714144					1609.73523203468	1.59295907193583	5.03737888674523	1.12639216191845	10
D-glucose [major]	16	1607.59022716134	0.76669989512009	2.4245179503917	0.54213869497443	7.38249044726185	0.000476566250233496	0.0015070348067036	0.00033698322722475	1607.27495096641	0.726952587141045	1.33051842575544	0.358199082004496	1607.59022716134	0.76669989512009	2.4245179503917	0.54213869497443	10
D-glucose [major]	17	1611.40935695304	1.17370655382351	3.71158601474929	0.829935863331694	7.38486180100885	0.000728044472346818	0.00230227877051142	0.000514805183401817	1611.13240571234	1.26915473768055	2.24696348143081	0.580108701086012	1611.40935695304	1.17370655382351	3.71158601474929	0.829935863331694	10
D-glucose [major]	18	1609.83464151337	1.27039414901898	4.01733903705135	0.898304317551037	7.38388363622857	0.000788306610178011	0.00249284438272899	0.000557416949711052	1609.29023035608	1.25334196819783	2.27320098420616	0.611145404235394	1609.83464151337	1.27039414901898	4.01733903705135	0.898304317551037	10
D-glucose [major]	19	1611.64711895333	1.5392441978561	4.86751754042413	1.08841001020609	7.38500742814362	0.000955275667229201	0.00302084690178134	0.000675481902200272	1611.75447005731	1.80536040874403	3.10319488060766	0.763372457516262	1611.64711895333	1.5392441978561	4.86751754042413	1.08841001020609	10
D-glucose [major]	20	1609.14074029584	1.10579424894937	3.49682845019526	0.781914612029184	7.38345325651509	0.000686349731614339	0.00217042842334659	0.000485322549490066	1608.4912034066	1.03160267560876	1.89274628088758	0.526216635164884	1609.14074029584	1.10579424894937	3.49682845019526	0.781914612029184	10
D-glucose [major]	21	1608.87994282117	1.12443668779585	3.55578101809056	0.79509680695539	7.38329109052914	0.000697904994053425	0.00220696937161509	0.000493493353919134	1608.11633824919	1.01270793194602	1.86888946389983	0.532315372594266	1608.87994282117	1.12443668779585	3.55578101809056	0.79509680695539	10
D-glucose [major]	22	1608.73204508281	1.01877458731124	3.22164811820159	0.720382419188303	7.38319959727086	0.000632231901718126	0.001999292818849	0.000447055464987354	1608.08364136876	0.85847745206312	1.60006706272293	0.444875152359029	1608.73204508281	1.01877458731124	3.22164811820159	0.720382419188303	10
D-glucose [major]	23	1608.14207870218	1.13926699594507	3.60267857024423	0.805583418414786	7.38283230062633	0.000706996130914112	0.00223571807061518	0.000499921758442021	1607.36317682025	0.886403973868106	1.68758810139655	0.484196306627301	1608.14207870218	1.13926699594507	3.60267857024423	0.805583418414786	10
D-glucose [major]	24	1609.39338529508	1.40005816340239	4.42737265306374	0.989990621397413	7.3836088282269	0.000869161836722925	0.00274853105933982	0.000614590228695335	1608.95024808457	1.39787128287697	2.5343305925816	0.675020560047642	1609.39338529508	1.40005816340239	4.42737265306374	0.989990621397413	10
D-glucose [major]	25	1610.12420057808	1.41889953307304	4.48695429546021	1.00331348165837	7.3840627198119	0.000880473703691106	0.0027843023235481	0.000622588926536416	1609.59019129993	1.53222074617485	2.70034234250368	0.702157930713406	1610.12420057808	1.41889953307304	4.48695429546021	1.00331348165837	10
D-glucose [major]	26	1610.0823550482	1.32828609315695	4.20040943870256	0.939240103827066	7.38403721146351	0.000823970756673181	0.00260562431645964	0.000582635309543017	1609.4521737842	1.29498389284348	2.35275943206824	0.636520513519862	1610.0823550482	1.32828609315695	4.20040943870256	0.939240103827066	10
D-glucose [major]	27	1610.2409770098	1.02577259463675	3.24377776043275	0.725330757622965	7.38413709506349	0.00063652115932092	0.00201285664234502	0.000450088428124545	1609.83948915498	1.01189596516148	1.83872001174349	0.493454909145357	1610.2409770098	1.02577259463675	3.24377776043275	0.725330757622965	10
D-glucose [major]	28	1608.79217441056	0.937039256107377	2.96317830628916	0.662586812231524	7.38323728025462	0.000581861292229944	0.00184000696573546	0.000411438065445761	1608.40247515735	0.898122170872554	1.6319957699729	0.432576362843145	1608.79217441056	0.937039256107377	2.96317830628916	0.662586812231524	10
D-glucose [major]	29	1606.66320744713	0.703908790844659	2.2259550440842	0.497738679343082	7.38191380678866	0.00043770954322634	0.00138415911018716	0.000309507386205411	1606.40078321472	0.539488850224541	1.04410361727451	0.298170712146128	1606.66320744713	0.703908790844659	2.2259550440842	0.497738679343082	10
D-glucose [major]	30	1608.07834792359	0.778565076754728	2.46203894920876	0.550528645368293	7.38279400081656	0.000484010094019733	0.0015305743076146	0.000342246819644092	1607.89455790915	0.82114089237993	1.4648077161909	0.381753593439463	1608.07834792359	0.778565076754728	2.46203894920876	0.550528645368293	10
D-glucose [major]	31	1608.6223419013	1.10142188334059	3.48300181610853	0.77882288265739	7.38313106340871	0.000683808761259084	0.00216239316955701	0.000483525812121071	1608.12198974159	0.999671435798989	1.84651807209461	0.501624770785832	1608.6223419013	1.10142188334059	3.48300181610853	0.77882288265739	10
D-glucose [major]	32	1609.61763997962	0.891501416377938	2.81917501302042	0.630386696958252	7.38375040738552	0.000553288257556623	0.0017496510965048	0.000391233878869177	1609.24470040501	0.829167208179341	1.51930363658594	0.40552302331757	1609.61763997962	0.891501416377938	2.81917501302042	0.630386696958252	10
D-glucose [major]	33	1611.64290210135	1.46770746210749	4.64129851908495	1.03782589925431	7.38500522877297	0.000910396648688864	0.00287892698404096	0.000643747643857403	1611.42379155762	1.70269957383241	2.93867809987068	0.729804698646046	1611.64290210135	1.46770746210749	4.64129851908495	1.03782589925431	10
D-glucose [major]	34	1610.41761003473	1.40146495180464	4.43182130860077	0.99098537101634	7.38424502598494	0.000869698413640834	0.00275022786454029	0.000614969645872616	1610.02122148597	1.52690982457394	2.68916778304845	0.691807265965136	1610.41761003473	1.40146495180464	4.43182130860077	0.99098537101634	10
D-glucose [major]	35	1611.54318499257	1.16934565767265	3.69779565027313	0.826852244091377	7.38494486778875	0.000725315921339422	0.0022936503346161	0.000512875806481674	1611.30602202311	1.25965780614905	2.23303100546823	0.575691730982015	1611.54318499257	1.16934565767265	3.69779565027313	0.826852244091377	10
D-glucose [major]	36	1609.50516987663	0.898891003310104	2.84254293869388	0.635611923988154	7.38368050638201	0.000557657035182271	0.00176346638439263	0.000394323071153769	1608.97165465653	0.748812303283752	1.3998137435119	0.385005099948688	1609.50516987663	0.898891003310104	2.84254293869388	0.635611923988154	10
D-glucose [major]	37	1610.95371939062	1.22470028281515	3.87284234474825	0.865993874899675	7.38457876627277	0.000760004806063673	0.00240334621983575	0.00053740455210199	1610.77862979593	1.3644012417421	2.39296054935936	0.606146373861551	1610.95371939062	1.22470028281515	3.87284234474825	0.865993874899675	10
D-glucose [major]	38	1610.26876456101	1.08790864871686	3.44026921614129	0.769267582819184	7.38415409975585	0.000674846865454032	0.00213405316665994	0.000477188794825032	1609.69591655741	1.00652506267766	1.85989917613153	0.517435672413993	1610.26876456101	1.08790864871686	3.44026921614129	0.769267582819184	10
D-glucose [major]	39	1608.55232402761	1.46788207459182	4.64185069224331	1.03794936892605	7.38308572119436	0.000911058051653086	0.00288101852385908	0.000644215326378501	1607.69208123236	1.34102725399881	2.47875561767011	0.696943640195649	1608.55232402761	1.46788207459182	4.64185069224331	1.03794936892605	10
D-glucose [major]	40	1611.36405538424	1.21249459600116	3.83424457400934	0.857363150984462	7.3848335103981	0.000751912283301221	0.00237775541588965	0.000531682274379754	1610.94158857801	1.29411238370576	2.29078296275471	0.595688016417865	1611.36405538424	1.21249459600116	3.83424457400934	0.857363150984462	10
D-glucose [major]	41	1610.5739704153	1.36619291969553	4.32028134943339	0.966044277925758	7.3843423041054	0.000847546499630936	0.00268017736173682	0.000599305877259957	1610.05318221039	1.47886338799567	2.60380261706807	0.676307321366716	1610.5739704153	1.36619291969553	4.32028134943339	0.966044277925758	10
D-glucose [major]	42	1611.42983934754	1.37670694949267	4.35352963097924	0.973478819692916	7.38487351481921	0.000854080977432731	0.0027008411949103	0.000603926450825119					1611.42983934754	1.37670694949267	4.35352963097924	0.973478819692916	10
D-glucose [major]	43	1609.12805435954	1.10192855151067	3.4846040415439	0.779181151156266	7.38344539013235	0.000683757884753054	0.00216223228391857	0.000483489836998654	1608.49517647173	1.00130380605258	1.83359138088144	0.499565887199713	1609.12805435954	1.10192855151067	3.4846040415439	0.779181151156266	10
D-glucose [major]	44	1610.08939943927	1.13753559396091	3.59720339642896	0.804359132330827	7.38404248969154	0.000706208276526379	0.00223322665628538	0.000499364661261867	1609.88993225755	1.15513670405864	2.09118334121332	0.552883531417788	1610.08939943927	1.13753559396091	3.59720339642896	0.804359132330827	10
D-glucose [major]	45	1610.66627437154	1.3207575636055	4.17660213788808	0.93391662952887	7.38439984954362	0.000819235714370088	0.00259065079796461	0.000579287129021294	1610.07819608446	1.40618005882001	2.48453498794134	0.654862875221369	1610.66627437154	1.3207575636055	4.17660213788808	0.93391662952887	10
D-glucose [major]	46	1611.19821539076	1.60960815236558	5.09002790185059	1.13816483959085	7.38472842827958	0.000998400182903305	0.00315721859430315	0.000705975539668816					1611.19821539076	1.60960815236558	5.09002790185059	1.13816483959085	10
D-glucose [major]	47	1608.02568482778	0.767330099469925	2.42651083152852	0.542584316743732	7.38276128461325	0.00047706485310279	0.00150861152741846	0.000337335792694747	1607.86877898385	0.836478816895879	1.4742255702343	0.376867901572774	1608.02568482778	0.767330099469925	2.42651083152852	0.542584316743732	10
D-glucose [major]	48	1609.11019334047	1.2651470303801	4.00074619099937	0.894594044379794	7.38343354580885	0.000785014415123635	0.00248243354785562	0.000555089016263114	1608.31894399608	1.13886506625692	2.10771283423545	0.593993522556353	1609.11019334047	1.2651470303801	4.00074619099937	0.894594044379794	10
D-glucose [major]	49	1609.10331432248	0.913963455396109	2.89020621720942	0.646269757067278	7.38343074406194	0.000567478811875283	0.0017945255694121	0.000401268116056698	1608.72880333282	0.861471717513887	1.57973127104221	0.426146695327643	1609.10331432248	0.913963455396109	2.89020621720942	0.646269757067278	10
D-glucose [major]	50	1608.47987085707	0.970191322811857	3.06801434621714	0.686028863408611	7.3830430160809	0.000602476505153604	0.00190519799302356	0.000426015222299685	1607.99595950299	0.911078216743568	1.66120407151712	0.44716340026411	1608.47987085707	0.970191322811857	3.06801434621714	0.686028863408611	10
D-glucose [major]	51	1609.22738618541	1.26215277835139	3.99127753470005	0.892476788465708	7.38350638960203	0.000782989040520658	0.00247602875099515	0.000553656860146906	1608.32898689338	1.09384814411636	2.03981532854947	0.591261436481177	1609.22738618541	1.26215277835139	3.99127753470005	0.892476788465708	10
D-glucose [major]	52	1610.10851592082	1.48962754335158	4.71061590231222	1.05332573734616	7.38405258414011	0.00092404361358204	0.00292208247625175	0.000653397505275982	1609.30642596841	1.5721286199388	2.77420362850196	0.745003800690531	1610.10851592082	1.48962754335158	4.71061590231222	1.05332573734616	10
D-glucose [major]	53	1611.13391644221	1.60840317001732	5.08621741308978	1.13731278840119	7.38468852572785	0.000997885951653347	0.00315559245230924	0.000705611923264873	1610.82562736907	1.85542886312273	3.20661445101037	0.800894548413195	1611.13391644221	1.60840317001732	5.08621741308978	1.13731278840119	10
D-glucose [major]	54	1610.31109964575	1.23893405289504	3.91785347789185	0.876058670245014	7.38417971171559	0.000768887331530419	0.00243143523168512	0.000543685446093588	1609.91074405041	1.34315559555416	2.37031254655503	0.614380442425395	1610.31109964575	1.23893405289504	3.91785347789185	0.876058670245014	10
D-glucose [major]	55	1608.25399378046	0.567350731563337	1.79412054390293	0.401177549599585	7.38290377159979	0.000352667113832187	0.00111523133554758	0.000249373307692227	1608.11138993123	0.597317682631895	1.06294850877821	0.274643029830916	1608.25399378046	0.567350731563337	1.79412054390293	0.401177549599585	10
D-glucose [major]	56	1609.15981768531	1.19619191949868	3.78269098430459	0.845835417878066	7.38346471057304	0.000742531085835647	0.00234808946471864	0.000525048766036196	1608.58438234058	1.17201491689231	2.12544921293699	0.573068413160963	1609.15981768531	1.19619191949868	3.78269098430459	0.845835417878066	10
D-glucose [major]	57	1610.33423597674	1.4612176953729	4.62077607472045	1.03323694118796	7.38419292445629	0.000906587624374029	0.00286688179154311	0.000641054256934678	1609.77258207949	1.58840543437486	2.7929071508578	0.725024343364681	1610.33423597674	1.4612176953729	4.62077607472045	1.03323694118796	10
D-glucose [major]	58	1608.71359785347	1.2249664998323	3.87368419687433	0.866182118757769	7.38318723574065	0.000760714974357842	0.00240559196916737	0.000537906716918581	1608.26973727208	1.19525710027761	2.17201474709028	0.579825453443207	1608.71359785347	1.2249664998323	3.87368419687433	0.866182118757769	10
D-glucose [major]	59	1609.64614035786	1.43750737098885	4.54579744560544	1.01647121003187	7.38376566118653	0.000892432291930895	0.00282211869998593	0.000631044925374188	1609.2328930553	1.51451195204638	2.69799755245373	0.703814333408527	1609.64614035786	1.43750737098885	4.54579744560544	1.01647121003187	10
D-glucose [major]	60	1608.8142403012	1.42080289485606	4.49297325390589	1.0046593616822	7.38324879913416	0.000881631050119355	0.00278796217430322	0.000623407294044013	1607.94680121106	1.29205296338172	2.38576607380732	0.668883900552944	1608.8142403012	1.42080289485606	4.49297325390589	1.0046593616822	10
D-glucose [major]	61	1608.4433584428	1.06294688498059	3.36133318831968	0.751616950410891	7.38301995445975	0.000659505189069361	0.00208553852615916	0.000466340591418661	1607.78565094215	0.798269616995737	1.52865810980995	0.42838369124465	1608.4433584428	1.06294688498059	3.36133318831968	0.751616950410891	10
D-glucose [major]	62	1609.22038922035	1.42708021530189	4.51282388411745	1.00909809753713	7.38350118405816	0.000885824181170051	0.002801222018951	0.000626372285444364	1608.65516738132	1.41187411908029	2.55774845912492	0.685036819978206	1609.22038922035	1.42708021530189	4.51282388411745	1.00909809753713	10
D-glucose [major]	63	1608.38552874688	0.990324829140494	3.13168208350105	0.700265402262652	7.3829842842079	0.000615210943930528	0.00194546782428261	0.000435019830313453	1608.08859146646	0.871080988005881	1.63103745409365	0.449058560132136	1608.38552874688	0.990324829140494	3.13168208350105	0.700265402262652	10
D-glucose [major]	64	1608.88241123584	0.954166664192237	3.01733992625249	0.674697718632478	7.38329330603222	0.000592501860103339	0.001873655395813	0.000418962083144714	1608.49467866041	0.951974819151335	1.70845263268897	0.446639250492751	1608.88241123584	0.954166664192237	3.01733992625249	0.674697718632478	10
D-glucose [major]	65	1609.56792014523	1.19228503298895	3.77033632437409	0.843072831933715	7.38371831116838	0.000739668819689399	0.0023390381844269	0.000523024838234624	1608.83370454697	1.0698108661409	1.98344648900293	0.559566566021363	1609.56792014523	1.19228503298895	3.77033632437409	0.843072831933715	10
D-glucose [major]	66	1609.68094689109	1.4022083714197	4.4341722078416	0.991511048067414	7.38378747921582	0.000870305594064331	0.0027521479376292	0.000615398987267475	1609.09142651234	1.50569209017836	2.65457845871846	0.696059116223881	1609.68094689109	1.4022083714197	4.4341722078416	0.991511048067414	10
D-glucose [major]	67	1609.62665078741	1.4230300855728	4.50001624935437	1.006234223341	7.38375363439828	0.000883197033304378	0.00279291424794542	0.000624514611373367	1609.09984221684	1.47523367033634	2.63515152082348	0.691418374966836	1609.62665078741	1.4230300855728	4.50001624935437	1.006234223341	10
D-glucose [major]	68	1608.47231810534	0.610986239343234	1.9321081353454	0.432032513051268	7.3830394155882	0.000379750904099288	0.00120087780046192	0.000268524439450329	1608.3398268745	0.657336574472177	1.16124009663046	0.296773090605358	1608.47231810534	0.610986239343234	1.9321081353454	0.432032513051268	10
D-glucose [major]	69	1610.23374930152	1.34789580153247	4.26242078142088	0.953106261596486	7.38413113455856	0.000836231414079966	0.00264439591947609	0.00059130490353716	1609.58309614232	1.43073272673619	2.5268304640164	0.670869487769556	1610.23374930152	1.34789580153247	4.26242078142088	0.953106261596486	10
