Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-alanine [major]	1	764.097164482224	1.95267157090211	6.17488968630963	1.38074730921507	6.63866242358857	0.00254865500414368	0.0080595547830799	0.00180217123633502	763.843480263686	1.69815111447014	3.20429136117407	0.892470045354048	764.097164482224	1.95267157090211	6.17488968630963	1.38074730921507	10
L-alanine [major]	2	769.534930455439	2.50143826748593	7.91024235156106	1.76878396165883	6.64573380006222	0.00323739292746595	0.0102375353317127	0.00228918249237654	768.364600213747	2.6020065407729	4.62626053541356	1.23113326595237	769.534930455439	2.50143826748593	7.91024235156106	1.76878396165883	10
L-alanine [major]	3	765.640751654669	2.0242445004963	6.40122316263815	1.43135701308051	6.64067847844114	0.00262335388116866	0.00829577337313566	0.00185499131882641	764.563034849371	1.38618625555397	2.74126232301163	0.801965687450056	765.640751654669	2.0242445004963	6.40122316263815	1.43135701308051	10
L-alanine [major]	4	766.166976799676	2.2393767162766	7.0815309625827	1.58347846171044	6.64135769309867	0.00290865803070818	0.00919798431157782	0.00205673181766646	765.211082235456	1.91591707184429	3.61605025733347	1.01984590365178	766.166976799676	2.2393767162766	7.0815309625827	1.58347846171044	10
L-alanine [major]	5	765.730427968264	2.88051559539806	9.10899011709389	2.03683211081957	6.6407600187007	0.00373833644967081	0.0118216578409872	0.00264340305391907	764.239035822553	2.63416547803303	4.88254455291887	1.36219163275217	765.730427968264	2.88051559539806	9.10899011709389	2.03683211081957	10
L-alanine [major]	6	766.629111857027	1.86768482504603	5.90613799847856	1.32065260490926	6.64197381309864	0.00241392895820907	0.00763351361777807	0.00170690553565221	765.295405176694	1.10080144029924	2.23091357439762	0.67072134097734	766.629111857027	1.86768482504603	5.90613799847856	1.32065260490926	10
L-alanine [major]	7	767.697201107861	2.2694962200417	7.17677719647444	1.60477616706872	6.64335210509863	0.00293511666933732	0.00928165387343322	0.00207544090046209	766.138892759113	1.89308158073136	3.55771485280919	1.02268939125624	767.697201107861	2.2694962200417	7.17677719647444	1.60477616706872	10
L-alanine [major]	8	765.22879713325	2.71423633592611	8.5831689295164	1.91925491887628	6.6401122337668	0.00353564518194959	0.0111806917731612	0.0025000786840261	764.423983170989	2.57854157447191	4.76505808195287	1.30759834630846	765.22879713325	2.71423633592611	8.5831689295164	1.91925491887628	10
L-alanine [major]	9	768.344505904919	2.77678056591558	8.78095115078454	1.96348036802592	6.64417367438299	0.00358194057203195	0.0113270906509874	0.00253281446829101	766.265328283994	2.27385580216317	4.28892189971877	1.26184213030767	768.344505904919	2.77678056591558	8.78095115078454	1.96348036802592	10
L-alanine [major]	10	768.137985959071	2.41124173955561	7.62501588626224	1.70500538511982	6.6439205355227	0.00311906646041397	0.00986335418834756	0.00220551304513024	766.572120391093	2.17067263068419	4.00570853903472	1.13030782751812	768.137985959071	2.41124173955561	7.62501588626224	1.70500538511982	10
L-alanine [major]	11	764.180161800495	0.285270327890424	0.902103984996795	0.201716583322628	6.63880287852626	0.000373279151744099	0.00118041232256697	0.000263948219473815	764.161182620231	0.292642315655067	0.527620361124078	0.138316908539102	764.180161800495	0.285270327890424	0.902103984996795	0.201716583322628	10
L-alanine [major]	12	764.444439559333	0.573262828161928	1.81281623490141	0.405358033195478	6.6391465360679	0.000749772795522526	0.00237098976148288	0.000530169428063173	764.421077018009	0.6123174360104	1.08955164907196	0.280370211989319	764.444439559333	0.573262828161928	1.81281623490141	0.405358033195478	10
L-alanine [major]	13	766.733202890982	2.12907828972187	6.73273671233699	1.50548569633939	6.64210053448961	0.00276644479596005	0.00874826657635353	0.00195617187500159	765.858404072362	1.91533330178218	3.57686162396898	1.00137902375371	766.733202890982	2.12907828972187	6.73273671233699	1.50548569633939	10
L-alanine [major]	14	764.329553264706	0.589206495989434	1.86323453949348	0.416631908833293	6.63899607574224	0.000771187411590324	0.00243870872347516	0.000545311848301219	764.433677018885	0.621555121426868	1.10718948907526	0.286152340096944	764.329553264706	0.589206495989434	1.86323453949348	0.416631908833293	10
