Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-aspartic acid [major]	1	1212.61023961098	1.39620262719914	4.41518037706024	0.987264345602984	7.10052390928714	0.00115140438944763	0.00364106037857007	0.000814165851666379	1212.60908403686	1.67725000807563	2.85824517268372	0.695495463171092	1212.61023961098	1.39620262719914	4.41518037706024	0.987264345602984	10
L-aspartic acid [major]	2	1210.12538523312	1.14830324739208	3.63125370632677	0.811973013089471	7.09847476555365	0.000947276332600709	0.00299555078458945	0.000669825518439485	1209.41791956482	1.08055053948147	1.97193462209566	0.549415983782455	1210.12538523312	1.14830324739208	3.63125370632677	0.811973013089471	10
L-aspartic acid [major]	3	1212.29441387032	1.43894939162356	4.55035751524407	1.01749087260128	7.10026300776548	0.00118704968047198	0.00375378068606654	0.000839370878667059	1212.32015308033	1.71917304296768	2.93549827020273	0.715988224978203	1212.29441387032	1.43894939162356	4.55035751524407	1.01749087260128	10
L-aspartic acid [major]	4	1211.62919806857	1.40146454679265	4.4318200278404	0.990985084629614	7.09971449332953	0.00115600089950005	0.00365559581962356	0.000817416075094234	1211.31424145391	1.63008528183368	2.80653694508034	0.699411092092978	1211.62919806857	1.40146454679265	4.4318200278404	0.990985084629614	10
L-aspartic acid [major]	5	1212.90470727558	1.29142167448861	4.08383391109257	0.913173023402182	7.10076767520004	0.00106513115474139	0.00336824045578806	0.000753161462370698	1213.06589580656	1.50102536294108	2.58863903902395	0.640681342199446	1212.90470727558	1.29142167448861	4.08383391109257	0.913173023402182	10
L-aspartic acid [major]	6	1213.87102449269	1.17168454555492	3.70519186317287	0.828506087573363	7.10156506175921	0.000966115071522233	0.00305512410782674	0.000683146518479898	1214.28818743196	1.31093380683479	2.27933071375405	0.580802719909268	1213.87102449269	1.17168454555492	3.70519186317287	0.828506087573363	10
L-aspartic acid [major]	7	1212.90528775084	1.33163737773195	4.21100713104695	0.941609819875734	7.10076779462949	0.00109836168518497	0.00347332461984533	0.000776658995789778	1213.08467638908	1.53995502358259	2.65996214839681	0.659676037432707	1212.90528775084	1.33163737773195	4.21100713104695	0.941609819875734	10
L-aspartic acid [major]	8	1211.57703064546	1.3505193900498	4.27071729677869	0.95496141882813	7.0996719128157	0.00111410556894838	0.00352311115175466	0.000787791602761099					1211.57703064546	1.3505193900498	4.27071729677869	0.95496141882813	10
L-aspartic acid [major]	9	1211.18515655751	1.24244193762501	3.92894638340789	0.878539119325198	7.09934937291372	0.00102480367260449	0.0032407137599357	0.000724645626283517	1210.71557288734	1.35616107104948	2.38139780840625	0.617153167437257	1211.18515655751	1.24244193762501	3.92894638340789	0.878539119325198	10
L-aspartic acid [major]	10	1211.12767672562	1.21918593951065	3.85540446010591	0.862094645355269	7.09930210825926	0.00100572962585264	0.00318039632800331	0.000711158238480612	1210.68554447093	1.33368064026758	2.34155434294772	0.605629837727137	1211.12767672562	1.21918593951065	3.85540446010591	0.862094645355269	10
L-aspartic acid [major]	11	1212.14876457139	1.29800429870776	4.10464999660606	0.917827641625544	7.10014417134677	0.00107046746738481	0.00338511535804801	0.000756934805227388	1211.96464516195	1.50497429374651	2.59884365596521	0.645993427844528	1212.14876457139	1.29800429870776	4.10464999660606	0.917827641625544	10
L-aspartic acid [major]	12	1211.37604659258	1.34646575535462	4.25789857833965	0.952095066246718	7.09950604920828	0.00111076937423804	0.00351256117775218	0.000785432556858059					1211.37604659258	1.34646575535462	4.25789857833965	0.952095066246718	10
L-aspartic acid [major]	13	1212.55781325727	1.34606460524941	4.25663003032358	0.951811410287052	7.10048114099771	0.0011101117875818	0.00351048170615953	0.000784967572874214	1212.55929309832	1.61680800587917	2.75536465772848	0.67049427080816	1212.55781325727	1.34606460524941	4.25663003032358	0.951811410287052	10
L-aspartic acid [major]	14	1212.86525891759	1.32170983768021	4.17961349292092	0.934589988984651	7.1007348823468	0.0010900004770528	0.00344688415815694	0.000770746728820607	1212.98060930941	1.55946345560083	2.67597728165952	0.657776321859003	1212.86525891759	1.32170983768021	4.17961349292092	0.934589988984651	10
L-aspartic acid [major]	15	1213.81584148938	1.15770526377877	3.66098549270694	0.818621242633329	7.1015197105637	0.000954636033049044	0.00301882420090276	0.000675029612534004	1214.23427929144	1.29420074523659	2.2504403482006	0.573812650529961	1213.81584148938	1.15770526377877	3.66098549270694	0.818621242633329	10
L-aspartic acid [major]	16	1213.26138516642	1.40378533894895	4.43915901703018	0.992626132501062	7.10106067192385	0.00115790191132587	0.00366160734685205	0.000818760293447384					1213.26138516642	1.40378533894895	4.43915901703018	0.992626132501062	10
L-aspartic acid [major]	17	1212.45411225117	1.41770885611042	4.48318904430086	1.0024715459039	7.10039494002503	0.00116932967319765	0.00369774510292491	0.000826840941360706	1212.46567055037	1.69823440130145	2.89701930336244	0.705801428613841	1212.45411225117	1.41770885611042	4.48318904430086	1.0024715459039	10
L-aspartic acid [major]	18	1214.2671227262	1.2348134522299	3.90482299446202	0.873144965572135	7.1018908012139	0.00101850668666919	0.00322080094198611	0.000720192984827629	1214.98490235181	1.26667575353997	2.24919963822871	0.610681834786946	1214.2671227262	1.2348134522299	3.90482299446202	0.873144965572135	10
L-aspartic acid [major]	19	1212.0425911181	1.25992319529071	3.98422697399578	0.890900235164285	7.10005690634581	0.00103921650304356	0.00328629113165296	0.000734837036423074					1212.0425911181	1.25992319529071	3.98422697399578	0.890900235164285	10
L-aspartic acid [major]	20	1212.13659010865	1.45328635009697	4.5956949587393	1.02762863315942	7.10013267036242	0.00119902900507546	0.00379166263664403	0.000847841540328214	1212.16156277716	1.73872820773432	2.96741897086286	0.723355378312728	1212.13659010865	1.45328635009697	4.5956949587393	1.02762863315942	10
L-aspartic acid [major]	21	1213.51074856441	1.31991521300811	4.17393839141194	0.933320997709322	7.10126696104423	0.00108855142606625	0.00344230185659372	0.000769722095041729					1213.51074856441	1.31991521300811	4.17393839141194	0.933320997709322	10
L-aspartic acid [major]	22	1212.23825397744	1.38250387211296	4.3718611098791	0.977577862987733	7.10021722307326	0.0011404854471394	0.00360653165123606	0.000806444993516839	1212.24621529019	1.65797336151382	2.82712349838392	0.688416587392288	1212.23825397744	1.38250387211296	4.3718611098791	0.977577862987733	10
L-aspartic acid [major]	23	1211.84275401649	1.30606043250385	4.13012572853679	0.923524188462911	7.09989161263459	0.00107732525939514	0.00340680160052035	0.000761783996461859	1211.63640594967	1.52056630771511	2.62055535775077	0.650126032200051	1211.84275401649	1.30606043250385	4.13012572853679	0.923524188462911	10
L-aspartic acid [major]	24	1211.53602803029	1.34141741077723	4.24193431106175	0.948525347562281	7.09963815417602	0.00110645845594776	0.00349892885714802	0.000782384277301861					1211.53602803029	1.34141741077723	4.24193431106175	0.948525347562281	10
L-aspartic acid [major]	25	1213.09576413513	1.46869215302232	4.64441238516707	1.03852218087755	7.1009235172468	0.00121166458539326	0.00383161985000628	0.00085677624485516					1213.09576413513	1.46869215302232	4.64441238516707	1.03852218087755	10
L-aspartic acid [major]	26	1212.8486935878	1.27285204210049	4.02511157743409	0.900042310416403	7.10072165401563	0.00104987639600825	0.00332000067303497	0.000742374719025125	1213.01474246365	1.4788996519067	2.55064672443059	0.631447602242487	1212.8486935878	1.27285204210049	4.02511157743409	0.900042310416403	10
L-aspartic acid [major]	27	1213.31798606701	1.38154096376845	4.36881612633245	0.976896983967666	7.10110753408672	0.00113948477826193	0.00360336725839964	0.000805737413767864					1213.31798606701	1.38154096376845	4.36881612633245	0.976896983967666	10
L-aspartic acid [major]	28	1213.04072525565	1.46245352452109	4.62468410962757	1.03411080435903	7.10087820686832	0.00120660844786842	0.00381563093926474	0.000853201015724734					1213.04072525565	1.46245352452109	4.62468410962757	1.03411080435903	10
L-aspartic acid [major]	29	1211.46371806199	1.41676355265908	4.4801997323146	1.00180311542318	7.09957775688678	0.00116904572166668	0.00369684716934196	0.00082664015730763					1211.46371806199	1.41676355265908	4.4801997323146	1.00180311542318	10
L-aspartic acid [major]	30	1212.18283745446	1.47216293743038	4.65538796916394	1.04097639606853	7.10017063604329	0.00121453061954113	0.00384068304576537	0.00085880283703623	1212.19896545138	1.7585689110769	3.00308577581679	0.73256977244178	1212.18283745446	1.47216293743038	4.65538796916394	1.04097639606853	10
L-aspartic acid [major]	31	1212.49169552873	1.38625644159088	4.38372777650735	0.980231330312443	7.10042623673125	0.00114346844588945	0.00361596472154365	0.00080855429216127	1212.55014254348	1.64769532797505	2.81929243679174	0.689620096715186	1212.49169552873	1.38625644159088	4.38372777650735	0.980231330312443	10
L-aspartic acid [major]	32	1213.15388816126	1.38873481385922	4.39156507776512	0.981983804149695	7.10097220743184	0.00114567061237039	0.0036229285834103	0.000810111459013244					1213.15388816126	1.38873481385922	4.39156507776512	0.981983804149695	10
L-aspartic acid [major]	33	1212.70254574918	1.31045650040089	4.14402731584018	0.926632677883464	7.10060081633854	0.00108088426858811	0.00341805617578362	0.000764300595996515	1212.82686362228	1.54225164832389	2.64886509886025	0.652031010551819	1212.70254574918	1.31045650040089	4.14402731584018	0.926632677883464	10
L-aspartic acid [major]	34	1211.94743521473	1.30688708719082	4.13273984018607	0.924108721597766	7.09997798462563	0.00107788126762163	0.00340855985291387	0.00076217715364921					1211.94743521473	1.30688708719082	4.13273984018607	0.924108721597766	10
L-aspartic acid [major]	35	1213.66756177352	1.29237576877921	4.08685102215343	0.913847669944956	7.10139641993494	0.00106591469776297	0.00337071823638096	0.000753715510954604					1213.66756177352	1.29237576877921	4.08685102215343	0.913847669944956	10
L-aspartic acid [major]	36	1212.29081698799	1.44456917136388	4.56812881917196	1.02146465696443	7.10025998542498	0.00119170858446467	0.00376851343408351	0.000842665221273191	1212.32317667627	1.71924013534981	2.93993018068421	0.718370378813775	1212.29081698799	1.44456917136388	4.56812881917196	1.02146465696443	10
L-aspartic acid [major]	37	1212.48665581034	1.45726985069208	4.60829189368049	1.03044539344308	7.10042139312624	0.00120206770709408	0.00380127185615342	0.000849990227131586	1212.55286903984	1.73072450962124	2.96236873357708	0.724983876096284	1212.48665581034	1.45726985069208	4.60829189368049	1.03044539344308	10
L-aspartic acid [major]	38	1211.37503482625	1.45009992910935	4.58561861083425	1.02537549327135	7.09950422795296	0.00119618842173699	0.00378267992341095	0.000845832944587058					1211.37503482625	1.45009992910935	4.58561861083425	1.02537549327135	10
L-aspartic acid [major]	39	1210.06947783506	1.11306932145491	3.51983424945562	0.787058865131473	7.09842883568731	0.000918278459673202	0.0029038514588384	0.000649320925852459	1209.36688860172	1.05156178434128	1.91448615749739	0.533368496972726	1210.06947783506	1.11306932145491	3.51983424945562	0.787058865131473	10
L-aspartic acid [major]	40	1211.48319725711	1.46236507206683	4.62440439840745	1.03404825902881	7.09959339216974	0.00120625697649757	0.00381451948920053	0.000852952487935016					1211.48319725711	1.46236507206683	4.62440439840745	1.03404825902881	10
L-aspartic acid [major]	41	1211.68490868749	1.34727801255454	4.26046716113729	0.952669418820853	7.09976097981023	0.0011112335342253	0.00351402898051061	0.0007857607675326					1211.68490868749	1.34727801255454	4.26046716113729	0.952669418820853	10
L-aspartic acid [major]	42	1213.50902059489	1.36126394152072	4.30469455186373	0.962558964034029	7.10126515966951	0.00112273329130267	0.00355039440541376	0.000793892323744011					1213.50902059489	1.36126394152072	4.30469455186373	0.962558964034029	10
L-aspartic acid [major]	43	1213.15262686113	1.38133426349661	4.36816248268047	0.976750824803779	7.1009712379352	0.00113950294226798	0.00360342469803016	0.000805750257659709					1213.15262686113	1.38133426349661	4.36816248268047	0.976750824803779	10
L-aspartic acid [major]	44	1212.74081993439	1.35523014661607	4.28561401703073	0.958292426740664	7.10063196966597	0.00111800916007579	0.0035354553907713	0.000790551858518271	1212.94218045428	1.56561956174673	2.70559957312913	0.672045332319052	1212.74081993439	1.35523014661607	4.28561401703073	0.958292426740664	10
L-aspartic acid [major]	45	1212.23635552242	1.42336547319555	4.50107683814129	1.00647137820337	7.10021526651407	0.00117424014641097	0.00371327338266826	0.000830313170268683	1212.25864598525	1.69891901181739	2.90198673023191	0.708126583052508	1212.23635552242	1.42336547319555	4.50107683814129	1.00647137820337	10
L-aspartic acid [major]	46	1210.6618539735	1.31766286161987	4.16681583093404	0.931728344769078	7.09891656280758	0.00108701940093155	0.00343745716773546	0.000768638789680039	1210.04921653864	1.40743737589303	2.48248125544164	0.65660518235981	1210.6618539735	1.31766286161987	4.16681583093404	0.931728344769078	10
L-aspartic acid [major]	47	1211.48823221892	1.35153926358085	4.27394242006214	0.95568257831789	7.0995986098376	0.00111481256747218	0.00352534687739224	0.000788291526211566					1211.48823221892	1.35153926358085	4.27394242006214	0.95568257831789	10
L-aspartic acid [major]	48	1211.41215814556	1.4294052158206	4.52017618131763	1.01074212117016	7.09953507464524	0.00117929916438547	0.00372927140219141	0.000833890436184595					1211.41215814556	1.4294052158206	4.52017618131763	1.01074212117016	10
L-aspartic acid [major]	49	1212.75655178888	1.32687990439271	4.19596267938741	0.93824577821624	7.10064520199048	0.00109440951033949	0.00346082674562239	0.000773864386156105	1212.88977835718	1.56056845303787	2.68071250291893	0.660033902338516	1212.75655178888	1.32687990439271	4.19596267938741	0.93824577821624	10
L-aspartic acid [major]	50	1210.31771682915	1.12483685820098	3.55704646802296	0.795379770162487	7.09863387064979	0.000927870602258563	0.00293418447704923	0.000656103594920676	1209.66630410401	1.0756071398313	1.95650494564102	0.53801995503238	1210.31771682915	1.12483685820098	3.55704646802296	0.795379770162487	10
L-aspartic acid [major]	51	1212.23609224769	1.45850754805679	4.61220583640695	1.03132057764272	7.10021470439442	0.00120327156638414	0.00380507879349239	0.000850841484199187	1212.2732168476	1.73924107212326	2.97200339782477	0.725608257059833	1212.23609224769	1.45850754805679	4.61220583640695	1.03132057764272	10
L-aspartic acid [major]	52	1210.66515975587	1.28108600894239	4.05114966683278	0.905864604206372	7.09891961673415	0.00105689573088544	0.00334219775890636	0.000747338138316208	1210.07441748793	1.36867830097682	2.41450335186815	0.638608012086699	1210.66515975587	1.28108600894239	4.05114966683278	0.905864604206372	10
L-aspartic acid [major]	53	1211.51986704541	1.36397560784408	4.31326959369991	0.96447640167959	7.09962460593378	0.00112521764813585	0.0035582506315272	0.000795649029307638	1211.22225645079	1.58272417397439	2.72765885244827	0.680179452672691	1211.51986704541	1.36397560784408	4.31326959369991	0.96447640167959	10
L-aspartic acid [major]	54	1212.95506872729	1.31502840691443	4.15848495367231	0.929865503982135	7.10080898651481	0.00108461774815299	0.00342986247480634	0.000766940564714264	1213.12976507538	1.51930114827609	2.62484525629553	0.650939912244309	1212.95506872729	1.31502840691443	4.15848495367231	0.929865503982135	10
L-aspartic acid [major]	55	1210.98198518423	1.31163088280757	4.1477410390893	0.927463091646929	7.09918101069747	0.00108187863560799	0.0034212006403966	0.000765003719659262	1210.42934836081	1.43135166283285	2.50857990885103	0.652647421577051	1210.98198518423	1.31163088280757	4.1477410390893	0.927463091646929	10
L-aspartic acid [major]	56	1212.28967400152	1.4383509343674	4.54846502723235	1.0170676994172	7.10025910373238	0.00118656014757926	0.00375223264713598	0.000839024726639003	1212.31527228198	1.718468466672	2.93429045570774	0.715692286720001	1212.28967400152	1.4383509343674	4.54846502723235	1.0170676994172	10
L-aspartic acid [major]	57	1214.37024913294	1.22454216199362	3.87234232280671	0.865882066594524	7.10197581161928	0.00101019035603209	0.00319450239539782	0.000714312451039545	1215.12060004329	1.19364730560305	2.15030420260623	0.591547707415663	1214.37024913294	1.22454216199362	3.87234232280671	0.865882066594524	10
L-aspartic acid [major]	58	1213.46223567195	1.26864430228878	4.01180553582771	0.897066989062072	7.101227433989	0.00104625391741732	0.00330854538991245	0.000739813239848779					1213.46223567195	1.26864430228878	4.01180553582771	0.897066989062072	10
