Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-cysteine [major]	1	1246.17203976741	0.148159311022187	0.256619454304828	0.104764453519715	7.12783174226086	0.000118900197009694	0.000205941182250738	8.40751355899708e-05	1246.21045923508	0.163310677969195	0.155803953881256	0.0744243670861325	1246.17203976741	0.148159311022187	0.256619454304828	0.104764453519715	3
L-cysteine [major]	2	1245.99584898343	0.291432297874434	0.504775546885067	0.20607375408379	7.12769028579183	0.000233928599274558	0.000405176219286954	0.00016541249886051	1246.07142370473	0.321229929525477	0.306462619983551	0.146401882645079	1245.99584898343	0.291432297874434	0.504775546885067	0.20607375408379	3
L-cysteine [major]	3	1245.99824287995	0.1421681647542	0.246242484573098	0.100528073366541	7.12769226961136	0.000114091875853638	0.000197612925709343	8.06751390944014e-05	1245.96154441975	0.156720277748743	0.149529597767924	0.071404870662344	1245.99824287995	0.1421681647542	0.246242484573098	0.100528073366541	3
L-cysteine [major]	4	1245.8249247718	0.00406257711437201	0.00703658997175889	0.00287267582666573	7.12755317964505	3.26095347228854e-06	5.64813709512191e-06	2.30584231338905e-06					1245.8249247718	0.00406257711437201	0.00703658997175889	0.00287267582666573	3
L-cysteine [major]	5	1245.95832167242	0.555403461966736	0.961987014826035	0.392729554251163	7.12765995106209	0.00044572630432381	0.000772020605358746	0.000315176092340585	1245.91445488991	0.617581189990761	0.593937028594116	0.275569960054277	1245.95832167242	0.555403461966736	0.961987014826035	0.392729554251163	3
L-cysteine [major]	6	1245.92033920527	0.0960887838760569	0.166430655710836	0.0679450306747284	7.12762975516018	7.71190949580225e-05	0.000133574190701024	5.4531435003787e-05	1245.89543750493	0.105919564661388	0.101052938244041	0.0482624462934215	1245.92033920527	0.0960887838760569	0.166430655710836	0.0679450306747284	3
L-cysteine [major]	7	1246.63766467502	0.229692272375921	0.397838685861044	0.162416963383161	7.12820528692608	0.00018422865823913	0.000319093396280415	0.000130269333529787	1246.57813799914	0.253180652852866	0.241545374673984	0.115383042826084	1246.63766467502	0.229692272375921	0.397838685861044	0.162416963383161	3
L-cysteine [major]	8	1246.10849947185	0.128074550605285	0.221831628804905	0.0905623832304166	7.12778075793807	0.000102782447221642	0.00017802442071415	7.26781654173713e-05	1246.12273810409	0.142286603359788	0.136738069489441	0.0636141821134919	1246.10849947185	0.128074550605285	0.221831628804905	0.0905623832304166	3
L-cysteine [major]	9	1246.17634878115	0.144698058221911	0.250624388596909	0.102316978193239	7.12783520103431	0.000116121858301033	0.000201128958446703	8.2110553448644e-05	1246.21373038839	0.159506670724504	0.15218571372378	0.0726774281508403	1246.17634878115	0.144698058221911	0.250624388596909	0.102316978193239	3
L-cysteine [major]	10	1246.91464291661	0.233778108019164	0.404915560786518	0.165306085473312	7.1284274406565	0.000187506788603103	0.000324771284624651	0.000132587321739766	1246.97526595309	0.257681801958891	0.245836217144655	0.11743805999712	1246.91464291661	0.233778108019164	0.404915560786518	0.165306085473312	3
L-cysteine [major]	11	1246.16677319506	0.147793207696943	0.255985344744685	0.10450557937582	7.12782751615637	0.000118606860214851	0.000205433108018341	8.38677151531659e-05	1246.20503665479	0.162911943350657	0.155428261973581	0.0742369065663425	1246.16677319506	0.147793207696943	0.255985344744685	0.10450557937582	3
L-cysteine [major]	12	1246.28229635931	0.0517392750663468	0.0896150531616943	0.0365851922530899	7.1279202331869	4.15159376733233e-05	7.19077133740587e-05	2.93562010561249e-05	1246.29557399139	0.0570500653085301	0.0544409175201559	0.0259690494023728	1246.28229635931	0.0517392750663468	0.0896150531616943	0.0365851922530899	3
L-cysteine [major]	13	1245.99872165926	0.148558976731237	0.257311695618946	0.105047059852793	7.12769265207	0.000119220240446795	0.000206495513744426	8.43014404746192e-05	1245.96069690225	0.163787737199424	0.156296842723897	0.0745936062825465	1245.99872165926	0.148558976731237	0.257311695618946	0.105047059852793	3
L-cysteine [major]	14	1246.09892388577	0.129386764679959	0.224104450252646	0.0914902587009867	7.12777307318989	0.000103836859472076	0.000179850716304026	7.34237474698197e-05	1246.11585885574	0.143643156207922	0.13795989991749	0.0643250070769653	1246.09892388577	0.129386764679959	0.224104450252646	0.0914902587009867	3
L-cysteine [major]	15	1245.45708858202	0.723060195902028	1.25237699623302	0.511280767728398	7.1272573755773	0.000580380713594876	0.00100524888367941	0.000410391138252824	1245.29677000828	0.799002710275432	0.764188744333668	0.361827861098224	1245.45708858202	0.723060195902028	1.25237699623302	0.511280767728398	3
L-cysteine [major]	16	1245.85707482898	0.398877042564237	0.690875303694072	0.282048661656807	7.12757883177165	0.000320225582135806	0.000554646978142536	0.000226433680637638	1245.96051323269	0.439659305384827	0.419447288519441	0.200378944978974	1245.85707482898	0.398877042564237	0.690875303694072	0.282048661656807	3
L-cysteine [major]	17	1246.17060342949	0.151094637082794	0.261703588178579	0.106840042482164	7.12783058881154	0.000121256155662574	0.000210021822338059	8.57410499296179e-05	1246.20977575398	0.166546699558267	0.158891835195158	0.0758985889005603	1246.17060342949	0.151094637082794	0.261703588178579	0.106840042482164	3
L-cysteine [major]	18	1246.63137935289	0.671964524947544	1.16387669809303	0.475150672307205	7.12819986037877	0.000538846570762897	0.000933309638045596	0.000381022064205562	1246.45714641874	0.740668309806052	0.70661977539467	0.337567184888023	1246.63137935289	0.671964524947544	1.16387669809303	0.475150672307205	3
L-cysteine [major]	19	1245.98435828013	0.14718551109786	0.254932783359487	0.104075872989705	7.12768112479207	0.000118119355461144	0.00020458872501599	8.35229972359594e-05	1245.94619998161	0.162238022329769	0.154781288427046	0.0739346387092971	1245.98435828013	0.14718551109786	0.254932783359487	0.104075872989705	3
L-cysteine [major]	20	1246.09663644104	0.467744923754304	0.810157972924885	0.330745607452253	7.12777104236945	0.000375308195482134	0.000650052863072049	0.000265382970060304	1246.01343721822	0.51817172536533	0.496747054360953	0.233224681549957	1246.09663644104	0.467744923754304	0.810157972924885	0.330745607452253	3
L-cysteine [major]	21	1246.45572853939	0.329269384056935	0.570311302563521	0.232828614303776	7.12805928105203	0.00026414843952991	0.000457518518005839	0.000186781152831444	1246.42422533468	0.365973338267339	0.351837216778465	0.163459335594925	1246.45572853939	0.329269384056935	0.570311302563521	0.232828614303776	3
L-cysteine [major]	22	1245.80768871685	0.00528829026254434	0.00915958741989856	0.00373938590552789	7.1275393444844	4.24485802835839e-06	7.35230977603338e-06	3.00156789702638e-06	1245.80624033681	0.00585082734027426	0.00562780008816285	0.00244991438638727	1245.80768871685	0.00528829026254434	0.00915958741989856	0.00373938590552789	3
L-cysteine [major]	23	1245.67224662404	0.356278245453798	0.617092022757473	0.251926763349626	7.12743049758434	0.000286035220212918	0.000495427534162925	0.000202257443870741	1245.71263217383	0.395775688079561	0.380315249418354	0.176991923696603	1245.67224662404	0.356278245453798	0.617092022757473	0.251926763349626	3
L-cysteine [major]	24	1246.28614933911	0.201760646331505	0.349459690414102	0.142666321197588	7.12792328803212	0.000161894727016966	0.000280409892670879	0.000114476859312042	1246.30277141313	0.224331485726439	0.215729403376916	0.100113187635119	1246.28614933911	0.201760646331505	0.349459690414102	0.142666321197588	3
