Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-glutamic acid [major]	1	1308.95965362925	0.333061386553036	1.05323258216137	0.235509964983046	7.176987619521	0.000254395394183222	0.000804468871875332	0.000179884708329581					1308.95965362925	0.333061386553036	1.05323258216137	0.235509964983046	10
L-glutamic acid [major]	2	1309.31249691889	0.361825619203549	1.14419307248397	0.255849348945851	7.17725708564684	0.000276040394638632	0.000872916373269809	0.000195190034930387	1309.03205765787	0.202159670150906	0.412501421840144	0.125292323494669	1309.31249691889	0.361825619203549	1.14419307248397	0.255849348945851	10
L-glutamic acid [major]	3	1309.48007157092	0.587676778737912	1.85839714880261	0.415550235391444	7.17738443970022	0.000448363869174885	0.0014178510471184	0.000317041132332599	1309.18920103706	0.510883588885092	0.955115821180027	0.264232467484236	1309.48007157092	0.587676778737912	1.85839714880261	0.415550235391444	10
L-glutamic acid [major]	4	1309.56389600164	0.833075213693209	2.63441513750204	0.589073132840901	7.17744743987176	0.000634653417746147	0.00200695032488815	0.000448767735391519	1308.99462429756	0.497695863026054	1.00855496164887	0.3038231196071	1309.56389600164	0.833075213693209	2.63441513750204	0.589073132840901	10
L-glutamic acid [major]	5	1309.12938713833	0.359784892519439	1.1377397280803	0.254406337268968	7.17711722768686	0.000274799654782384	0.000868992809340315	0.000194312699364346	1309.06757597643	0.315644365105521	0.595973777150502	0.168102882247534	1309.12938713833	0.359784892519439	1.1377397280803	0.254406337268968	10
L-glutamic acid [major]	6	1309.88303988764	0.723154871420065	2.28681649473361	0.511347713429214	7.17769161036942	0.000550818016730886	0.00174183950912633	0.000389487154830135	1309.3041098822	0.382286334222686	0.789369153234785	0.244774069243258	1309.88303988764	0.723154871420065	2.28681649473361	0.511347713429214	10
L-glutamic acid [major]	7	1308.53421014208	0.956319284161594	3.02414710829243	0.676219850810128	7.17666018825801	0.000732338621508696	0.00231585806247546	0.000517841605393607	1309.02712502696	0.671846751462693	1.32268143940313	0.386749465402901	1308.53421014208	0.956319284161594	3.02414710829243	0.676219850810128	10
L-glutamic acid [major]	8	1308.57357043772	0.186236202011583	0.588930581135835	0.131688881344818	7.17669284406887	0.000142388630102385	0.00045027238403475	0.000100683965909259	1308.69069280305	0.125891732425692	0.247750597857191	0.0714865826253847	1308.57357043772	0.186236202011583	0.588930581135835	0.131688881344818	10
L-glutamic acid [major]	9	1309.69350703826	0.538659410567778	1.70339062047795	0.380889721962424	7.17754758008254	0.000410871718212863	0.00129929045569953	0.000290530178146084	1309.37674367096	0.431179345824993	0.821723661170528	0.235825082197983	1309.69350703826	0.538659410567778	1.70339062047795	0.380889721962424	10
L-glutamic acid [major]	10	1308.65879790358	0.204136173379797	0.64553526071119	0.144346072482327	7.17675795164245	0.000156023357147121	0.000493389176770813	0.00011032517386222	1308.75048837582	0.197982644002036	0.360989694607576	0.0979249593569623	1308.65879790358	0.204136173379797	0.64553526071119	0.144346072482327	10
L-glutamic acid [major]	11	1309.49580033112	0.560991482810144	1.77401083363525	0.396680881682949	7.17739654105289	0.000427760857109218	0.00135269860233096	0.000302472602788098	1309.13718590295	0.353183740897042	0.708424606480879	0.21035381589499	1309.49580033112	0.560991482810144	1.77401083363525	0.396680881682949	10
L-glutamic acid [major]	12	1309.09393966601	0.299784772091109	0.948002687642382	0.211979845242087	7.1770902656933	0.000228925392127031	0.000723925653368597	0.000161874697158813					1309.09393966601	0.299784772091109	0.948002687642382	0.211979845242087	10
