Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-glutamine [minor 2]	1	1287.43300157013	0.24288081441612	0.768056573511597	0.17174267089375	7.16040541552757	0.00018872438432143	0.00059679890446869	0.000133448291928939	1287.57471606698	0.219588603606181	0.406368269862403	0.113620735132577	1287.43300157013	0.24288081441612	0.768056573511597	0.17174267089375	10
L-glutamine [minor 2]	2	1287.69573054257	0.175563096414002	0.555179257739987	0.124141856000449	7.16060955175797	0.000136345913108867	0.000431163635079431	9.6411119746352e-05	1287.71202442533	0.169111038218791	0.309454984241456	0.0824015847780718	1287.69573054257	0.175563096414002	0.555179257739987	0.124141856000449	10
L-glutamine [minor 2]	3	1287.57626806522	0.23609314346268	0.746592073290961	0.166943062734109	7.16051669999069	0.000183375545329906	0.000579884390417957	0.000129666091606558	1287.61759059785	0.258575912907588	0.455631636697771	0.116504058727458	1287.57626806522	0.23609314346268	0.746592073290961	0.166943062734109	10
L-glutamine [minor 2]	4	1287.74556405667	0.140878974080477	0.445498432522134	0.0996164778989094	7.16064828385001	0.00010943298761713	0.000346057492027132	7.73808076295758e-05					1287.74556405667	0.140878974080477	0.445498432522134	0.0996164778989094	10
L-glutamine [minor 2]	5	1288.07538651047	0.0582628158716249	0.184243201049343	0.0411980321938492	7.16090442462119	4.52320056496492e-05	0.000143036160990496	3.19838579215352e-05	1288.07706113164	0.0637429946250767	0.112146387845224	0.0284386928888576	1288.07538651047	0.0582628158716249	0.184243201049343	0.0411980321938492	10
L-glutamine [minor 2]	6	1287.54035566437	0.192735150807282	0.609482061727051	0.136284332108841	7.16048886418758	0.000149717753269366	0.000473449106494317	0.000105866438600783	1287.62537389431	0.204002001232739	0.361311752021283	0.0956115279171186	1287.54035566437	0.192735150807282	0.609482061727051	0.136284332108841	10
L-glutamine [minor 2]	7	1288.00538394255	0.101499237711837	0.320968771940262	0.0717707992713053	7.16085005568855	7.87971988440714e-05	0.000249178621588453	5.57180336411477e-05	1287.9869590332	0.1027593985712	0.184763336829759	0.0479165950994961	1288.00538394255	0.101499237711837	0.320968771940262	0.0717707992713053	10
L-glutamine [minor 2]	8	1287.9434046715	0.128483150108615	0.406299395296533	0.0908513067100105	7.16080191546799	9.9758063504852e-05	0.000315462695643052	7.05396031823191e-05	1287.95128719871	0.131558730181497	0.23685813906128	0.0619628962206183	1287.9434046715	0.128483150108615	0.406299395296533	0.0908513067100105	10
L-glutamine [minor 2]	9	1287.97827005271	0.191588622996062	0.605856422442867	0.135473614518708	7.16082892477491	0.000148786761477121	0.000470505051947902	0.000105208127991258	1288.04966721997	0.175159730983838	0.324521476713699	0.0884311627445456	1287.97827005271	0.191588622996062	0.605856422442867	0.135473614518708	10
L-glutamine [minor 2]	10	1287.72547583965	0.197355058971835	0.624091494107846	0.139551100500455	7.16063262659732	0.000153290298173068	0.000484746485433243	0.000108392609328284	1287.77957312302	0.178524739185639	0.331483860048615	0.0898987743069887	1287.72547583965	0.197355058971835	0.624091494107846	0.139551100500455	10
L-glutamine [minor 2]	11	1287.55118322953	0.252688138564911	0.79907005557335	0.178677496304655	7.16049719301365	0.000196345747871169	0.000620899772162052	0.000138837409776848	1287.73906666914	0.210422737233971	0.396058935077596	0.116671081410303	1287.55118322953	0.252688138564911	0.79907005557335	0.178677496304655	10
L-glutamine [minor 2]	12	1287.80824657499	0.170802870479677	0.540126101610517	0.120775867962307	7.16069693072529	0.000132651590768977	0.000419481162074534	9.37988393679264e-05	1287.85251823047	0.15162195054966	0.283777788042723	0.0781168015697826	1287.80824657499	0.170802870479677	0.540126101610517	0.120775867962307	10
L-glutamine [minor 2]	13	1287.91681643558	0.124783908951197	0.394601367624855	0.0882355482023561	7.16078127413155	9.68847699021043e-05	0.000306376543471978	6.85078777914763e-05	1287.91232325093	0.125299009637317	0.226995956521237	0.0597438220166803	1287.91681643558	0.124783908951197	0.394601367624855	0.0882355482023561	10
L-glutamine [minor 2]	14	1287.78593547407	0.0958665166131204	0.303156543843831	0.0677878639858702	7.16067966597679	7.44430623681678e-05	0.000235409633081379	5.26391942128246e-05	1287.7842581535	0.104217433016014	0.184452625792848	0.0471645708072152	1287.78593547407	0.0958665166131204	0.303156543843831	0.0677878639858702	10
L-glutamine [minor 2]	15	1287.76308544764	0.207432375794698	0.655958767971225	0.146676839562067	7.1606618200808	0.000161136812933345	0.000509559343769847	0.000113940933123956	1287.9014082293	0.184255602287618	0.340459666357056	0.0960783015269176	1287.76308544764	0.207432375794698	0.655958767971225	0.146676839562067	10
L-glutamine [minor 2]	16	1287.95203160041	0.132786802708985	0.419908739771809	0.0938944486476034	7.1608086102768	0.000103099908592739	0.000326030537708219	7.29026445056387e-05	1287.96541015672	0.141628559935585	0.251358869052921	0.0646389955606562	1287.95203160041	0.132786802708985	0.419908739771809	0.0938944486476034	10
L-glutamine [minor 2]	17	1287.99749484099	0.0589108741911901	0.18629254139579	0.0416562786262181	7.16084395120274	4.57398387354719e-05	0.000144642070212887	3.23429501402313e-05	1288.00764522025	0.0654644166242741	0.114261052224075	0.0285956670581263	1287.99749484099	0.0589108741911901	0.18629254139579	0.0416562786262181	10
L-glutamine [minor 2]	18	1287.75664445811	0.215907351774508	0.682758995182643	0.152669552547784	7.1606568075445	0.000167731466977608	0.000530413470930561	0.000118604057718234	1287.85099089192	0.163288586820372	0.316005143472871	0.089862881045903	1287.75664445811	0.215907351774508	0.682758995182643	0.152669552547784	10
L-glutamine [minor 2]	19	1287.68507517681	0.18748084003152	0.592866472141279	0.132568973328838	7.16060126389123	0.000145632552663869	0.000460530567882249	0.000102977765550129	1287.79130091232	0.176044481631873	0.322730636014678	0.0892042585607851	1287.68507517681	0.18748084003152	0.592866472141279	0.132568973328838	10
L-glutamine [minor 2]	20	1287.78397074661	0.175271561669088	0.554257343928982	0.123935709805368	7.16067807537476	0.000136132038992167	0.0004304873057381	9.62598879081128e-05	1287.88139638882	0.177159977248948	0.316577659994778	0.0855610353083079	1287.78397074661	0.175271561669088	0.554257343928982	0.123935709805368	10
L-glutamine [minor 2]	21	1287.54065928604	0.2418321177836	0.764740303578286	0.171001130393487	7.16048903564561	0.000187849424820474	0.000594032039585265	0.00013282960213255	1287.61245193359	0.25292121645419	0.451729630832138	0.119066184928313	1287.54065928604	0.2418321177836	0.764740303578286	0.171001130393487	10
L-glutamine [minor 2]	22	1288.00201687258	0.112477988732763	0.355686631030288	0.0795339485671609	7.16084743442812	8.73263941937742e-05	0.00027615030550203	6.17490855109873e-05	1288.00232674695	0.108111738278352	0.198070773299452	0.0528186289789986	1288.00201687258	0.112477988732763	0.355686631030288	0.0795339485671609	10
L-glutamine [minor 2]	23	1287.52758519439	0.164907409620487	0.521483017439104	0.116607147610554	7.1604789756441	0.000128121279963328	0.00040515506142021	9.05954258763692e-05	1287.64538351814	0.137410613900673	0.258012000374644	0.0746187557610947	1287.52758519439	0.164907409620487	0.521483017439104	0.116607147610554	10
L-glutamine [minor 2]	24	1287.79123803599	0.106385389910187	0.336420141881288	0.0752258306246684	7.16068377713502	8.26101176697928e-05	0.000261236129611067	5.84141743989291e-05	1287.78276517409	0.120335213586723	0.209786445647715	0.0526906821323157	1287.79123803599	0.106385389910187	0.336420141881288	0.0752258306246684	10
L-glutamine [minor 2]	25	1287.90986838691	0.0701730588837413	0.221906696453735	0.0496198457932964	7.16077591141337	5.44812162982211e-05	0.000172284733198666	3.85240374917632e-05					1287.90986838691	0.0701730588837413	0.221906696453735	0.0496198457932964	10
L-glutamine [minor 2]	26	1287.88591525348	0.096095541032947	0.303880782650282	0.067949808706187	7.16075729978715	7.46218387329149e-05	0.000235974973585784	5.27656081926531e-05	1287.92192709351	0.0961836681407587	0.17405116734651	0.0462971093251137	1287.88591525348	0.096095541032947	0.303880782650282	0.067949808706187	10
L-glutamine [minor 2]	27	1287.32265158677	0.200688897789574	0.634634018123786	0.141908480535862	7.16031975519298	0.000155894696408698	0.000492982315791958	0.000110234196981609					1287.32265158677	0.200688897789574	0.634634018123786	0.141908480535862	10
L-glutamine [minor 2]	28	1287.81015883971	0.169152786493517	0.534908077883679	0.119609082386166	7.16069841730656	0.000131379129569668	0.00041545728645053	9.28990734250986e-05	1287.88747968607	0.163245039592622	0.295773194198009	0.0788236371577323	1287.81015883971	0.169152786493517	0.534908077883679	0.119609082386166	10
L-glutamine [minor 2]	29	1287.72309919201	0.225865333358175	0.714248897885039	0.159710908852525	7.1606307445886	0.000175432933483101	0.000554767646411417	0.000124049816909349	1287.79435947126	0.224639178489991	0.406949170012836	0.108025814012675	1287.72309919201	0.225865333358175	0.714248897885039	0.159710908852525	10
L-glutamine [minor 2]	30	1288.02613487115	0.117069732224431	0.370206998895213	0.0827808015275886	7.16086615620144	9.0891363491967e-05	0.000287423728272891	6.42698994764613e-05	1288.02732417365	0.117016061659861	0.212206022453378	0.0558879418100546	1288.02613487115	0.117069732224431	0.370206998895213	0.0827808015275886	10
L-glutamine [minor 2]	31	1287.78048370331	0.160422958053555	0.507301936430885	0.113436161497674	7.16067538263644	0.000124576702927593	0.00039394612464536	8.8089031417963e-05	1287.79206604631	0.159349737105773	0.289456286697591	0.0764683733416503	1287.78048370331	0.160422958053555	0.507301936430885	0.113436161497674	10
L-glutamine [minor 2]	32	1287.44263208972	0.307317681223471	0.971823837907729	0.217306416371642	7.16041278899771	0.000238734955685458	0.000754946217065413	0.000168811106071458	1287.51062704385	0.345585600904081	0.602357737719667	0.152217181969451	1287.44263208972	0.307317681223471	0.971823837907729	0.217306416371642	10
L-glutamine [minor 2]	33	1287.90376243697	0.105315978553408	0.333038366238215	0.0744696426024119	7.16077115183867	8.17639131060228e-05	0.000258560195823125	5.78158174136164e-05					1287.90376243697	0.105315978553408	0.333038366238215	0.0744696426024119	10
L-glutamine [minor 2]	34	1288.05306394391	0.0892244870836142	0.282152602244496	0.0630912398647152	7.16088708053253	6.92818738073049e-05	0.000219088521795445	4.8989682782456e-05	1288.09911598848	0.0753844122321157	0.141270114902984	0.0391107432165256	1288.05306394391	0.0892244870836142	0.282152602244496	0.0630912398647152	10
L-glutamine [minor 2]	35	1287.92354834904	0.131045937011179	0.414403639066282	0.0926634707075495	7.16078649626708	0.000101747678913142	0.000321754412001015	7.19464737294744e-05	1287.92353639331	0.138877468039325	0.247060354233802	0.0634336608530131	1287.92354834904	0.131045937011179	0.414403639066282	0.0926634707075495	10
L-glutamine [minor 2]	36	1287.94700797773	0.0645385625788441	0.204088854662458	0.045635655247533	7.16080475038844	5.01100984543261e-05	0.000158462044890954	3.54331904229796e-05	1287.94801236578	0.0715792686533898	0.125719883029117	0.031798934388091	1287.94700797773	0.0645385625788441	0.204088854662458	0.045635655247533	10
L-glutamine [minor 2]	37	1287.69593448489	0.0853252552132176	0.269822148408924	0.060334066567739	7.16060978113008	6.62625083664655e-05	0.000209540449913994	4.68546690043581e-05					1287.69593448489	0.0853252552132176	0.269822148408924	0.060334066567739	10
L-glutamine [minor 2]	38	1288.00115931212	0.080941274283834	0.25595878345333	0.0572341239239794	7.16084678700113	6.28518301625747e-05	0.000198754938423807	4.44429553179418e-05					1288.00115931212	0.080941274283834	0.25595878345333	0.0572341239239794	10
L-glutamine [minor 2]	39	1287.8339068184	0.144598667384416	0.457261135559856	0.102246698258059	7.16071688095115	0.000112320199024028	0.000355187656159349	7.94223743941127e-05	1287.92294951152	0.107491883853054	0.206495722273435	0.0579274627975983	1287.8339068184	0.144598667384416	0.457261135559856	0.102246698258059	10
L-glutamine [minor 2]	40	1287.76353463983	0.19875778207604	0.628527294043677	0.140542975519566	7.16066217954313	0.000154381000458589	0.00048819558890464	0.000109163852310632	1287.82448921545	0.177582890856686	0.330308739244679	0.0895480436722134	1287.76353463983	0.19875778207604	0.628527294043677	0.140542975519566	10
L-glutamine [minor 2]	41	1287.72181023859	0.173869140254597	0.549822498019796	0.122944048113101	7.16062980629726	0.00013507199430041	0.000427135150090578	9.55103231182108e-05	1287.82561031267	0.138171185864145	0.261890805448541	0.0731124955068677	1287.72181023859	0.173869140254597	0.549822498019796	0.122944048113101	10
L-glutamine [minor 2]	42	1287.70701901224	0.198662982283805	0.628227510778502	0.140475941943621	7.16061829205759	0.000154290453636715	0.00048790925471263	0.00010909982603887					1287.70701901224	0.198662982283805	0.628227510778502	0.140475941943621	10
