Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-methionine [major]	1	1206.10880164859	0.145401188048016	0.25184224518004	0.102814166061332	7.0951545683758	0.000120545060164433	0.000208790168806244	8.52382294808107e-05	1206.07110091799	0.160270908820471	0.152904220993608	0.0730384921355811	1206.10880164859	0.145401188048016	0.25184224518004	0.102814166061332	3
L-methionine [major]	2	1205.92495029685	0.00207124377574361	0.00358749945444873	0.00146459051931873	7.09500214507837	1.71755605737651e-06	2.9748943562238e-06	1.21449553523896e-06					1205.92495029685	0.00207124377574361	0.00358749945444873	0.00146459051931873	3
L-methionine [major]	3	1205.927883	0.00314858709052959	0.00545351281285271	0.00222638728286989	7.09500457698144	2.61092715890228e-06	4.5222584940802e-06	1.84620429924393e-06	1205.92827270291	0.00363296456491039	0.00354612045720469	0.00131829748367225	1205.927883	0.00314858709052959	0.00545351281285271	0.00222638728286989	3
L-methionine [major]	4	1205.56437301209	0.142491374398648	0.246802300098777	0.100756617097875	7.09470307467191	0.000118186193473573	0.000204704491849394	8.35702588477887e-05	1205.52742447674	0.157063482981717	0.149844084349042	0.0715767398165547	1205.56437301209	0.142491374398648	0.246802300098777	0.100756617097875	3
L-methionine [major]	5	1205.9186697474	0.00489823388137819	0.00848398994990233	0.00346357439336022	7.09499693696794	4.0618178338558e-06	7.03527485932761e-06	2.87213893426389e-06					1205.9186697474	0.00489823388137819	0.00848398994990233	0.00346357439336022	3
L-methionine [major]	6	1205.92824548563	0.261363805939121	0.45269539114613	0.184812119536277	7.09500480711844	0.000216733002359308	0.000375392571763266	0.000153253375675186	1205.92943176879	0.29089520071632	0.279968671143596	0.129526215748589	1205.92824548563	0.261363805939121	0.45269539114613	0.184812119536277	3
L-methionine [major]	7	1205.93165319337	0.000990926380756478	0.00171633483803056	0.000700690763489548	7.09500770336954	8.2171044090168e-07	1.42324423275153e-06	5.81037024933366e-07					1205.93165319337	0.000990926380756478	0.00171633483803056	0.000700690763489548	3
L-methionine [major]	8	1205.92393633333	0.00475583417928312	0.00823734643089099	0.00336288259836985	7.09500130424102	3.94372882328855e-06	6.83073869320959e-06	2.78863739410818e-06	1205.92421459714	0.00538520524661719	0.00522270400685271	0.00220733763857906	1205.92393633333	0.00475583417928312	0.00823734643089099	0.00336288259836985	3
L-methionine [major]	9	1205.74302094977	0.138530468975218	0.239941810661422	0.0979558340133295	7.0948512509898	0.000114900286058064	0.000199013133256764	8.12467714319309e-05	1205.77894221688	0.15269773116157	0.145679076032805	0.0695867693778668	1205.74302094977	0.138530468975218	0.239941810661422	0.0979558340133295	3
L-methionine [major]	10	1205.91775586471	0.253891229513272	0.439752509113117	0.179528210072625	7.09499611267237	0.000210537023186422	0.00036466082103319	0.000148872156785949	1205.91596310127	0.282577198063528	0.271962221057205	0.125823545792805	1205.91775586471	0.253891229513272	0.439752509113117	0.179528210072625	3
