Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-ornithine [major]	1	1512.46075866667	0.140025651324888	0.242531542457631	0.0990130875918915	7.321493232028	9.25828249765765e-05	0.000160358156767687	6.54659433623445e-05	1512.47075104319	0.155731289876333	0.149791289334416	0.0694556762039221	1512.46075866667	0.140025651324888	0.242531542457631	0.0990130875918915	3
L-ornithine [major]	2	1512.26915350682	0.151184250344852	0.261858802901497	0.10690340862745	7.32136653748321	9.9977472350289e-05	0.000173166061723013	7.06947486647799e-05	1512.30543351029	0.166864072013337	0.159410702700087	0.0757804670496291	1512.26915350682	0.151184250344852	0.261858802901497	0.10690340862745	3
L-ornithine [major]	3	1512.14847317349	0.124439423394752	0.215535403784285	0.0879919601293729	7.32128673830359	8.2293137859401e-05	0.000142535895886752	5.81900358255018e-05	1512.14856323035	0.138503044804121	0.133302237861436	0.0616648529711668	1512.14847317349	0.124439423394752	0.215535403784285	0.0879919601293729	3
L-ornithine [major]	4	1511.87438563446	0.0256871793917652	0.0444914998096736	0.0181635787374725	7.32110547457119	1.69904593622648e-05	2.9428338859377e-05	1.20140690305319e-05	1511.88089373904	0.0283295740326312	0.0270452808684891	0.012847839641555	1511.87438563446	0.0256871793917652	0.0444914998096736	0.0181635787374725	3
L-ornithine [major]	5	1511.89175333333	0.00604316336099188	0.0104670659796766	0.00427316179237545	7.32111696244195	3.99709140211721e-06	6.92316539096373e-06	2.82637043545952e-06	1511.89235736632	0.00678323759702397	0.00654603066924858	0.00286701440743351	1511.89175333333	0.00604316336099188	0.0104670659796766	0.00427316179237545	3
L-ornithine [major]	6	1511.87227102894	0.27437645370088	0.475233958210494	0.194013451009809	7.32110402693719	0.000181475849530936	0.000314325391734306	0.000128322803824915					1511.87227102894	0.27437645370088	0.475233958210494	0.194013451009809	3
L-ornithine [major]	7	1511.7874425452	0.206936551513205	0.358424621163965	0.146326238850346	7.32104793842308	0.000136888488731554	0.000237097817454371	9.679477864846e-05	1511.81704894779	0.229621409631606	0.220442649675676	0.102951171348961	1511.7874425452	0.206936551513205	0.358424621163965	0.146326238850346	3
L-ornithine [major]	8	1512.02341725919	0.320768499942857	0.555587339368683	0.226817581500631	7.32120397670477	0.000212172747546247	0.000367493978731585	0.000150028788572933	1512.10653615745	0.35357025551746	0.337321016985359	0.161135858599501	1512.02341725919	0.320768499942857	0.555587339368683	0.226817581500631	3
L-ornithine [major]	9	1512.15267734929	0.127422183823593	0.220701696393845	0.0901010902552616	7.32128951807353	8.42652597126219e-05	0.000145951711135248	5.95845365612405e-05	1512.15146829498	0.141818680872847	0.136490704906003	0.0631411770340606	1512.15267734929	0.127422183823593	0.220701696393845	0.0901010902552616	3
L-ornithine [major]	10	1512.44143353562	0.0238027734468784	0.0412276129710448	0.0168311025153348	7.32148046715443	1.57378651678399e-05	2.72587820733671e-05	1.11283511815791e-05	1512.43681120237	0.0263664723023657	0.0252635672063444	0.0118519808442112	1512.44143353562	0.0238027734468784	0.0412276129710448	0.0168311025153348	3
L-ornithine [major]	11	1512.26091566667	0.21048365509746	0.364568384791605	0.148834419848345	7.32136107606718	0.000139177499583359	0.000241062500548775	9.84133537439813e-05	1512.22808002259	0.233425079739708	0.223984536841329	0.104795335777371	1512.26091566667	0.21048365509746	0.364568384791605	0.148834419848345	3
L-ornithine [major]	12	1512.15087266667	0.00239631162566753	0.00415053348642414	0.00169444820034567	7.32128833526737	1.58470268676194e-06	2.74478556836259e-06	1.12055401597391e-06					1512.15087266667	0.00239631162566753	0.00415053348642414	0.00169444820034567	3
L-ornithine [major]	13	1512.372091	0.208788964478993	0.36163309453731	0.147636092620013	7.32143458980458	0.000138061649626608	0.000239129791730057	9.76243286727756e-05	1512.4071973126	0.231412927080305	0.221942013833445	0.104032464923711	1512.372091	0.208788964478993	0.36163309453731	0.147636092620013	3
L-ornithine [major]	14	1512.43433530113	0.254239728787953	0.440356127563266	0.17977463627299	7.32147573189354	0.000168116978351832	0.000291187148120331	0.000118876655425173	1512.50021085282	0.280239423560684	0.267360891219655	0.127714351716647	1512.43433530113	0.254239728787953	0.440356127563266	0.17977463627299	3
L-ornithine [major]	15	1512.259339	0.205559349955229	0.356039238093287	0.145352410289641	7.3213600348211	0.000135921926369627	0.00023542368233483	9.61113158479019e-05	1512.22823220774	0.228012027152131	0.218830359792813	0.102314573791117	1512.259339	0.205559349955229	0.356039238093287	0.145352410289641	3
L-ornithine [major]	16	1511.87633687126	0.26163827396591	0.453170783713581	0.185006197739239	7.32110672068861	0.000173056173032874	0.000299742084256368	0.000122369193477738	1511.87930887367	0.291194645879193	0.280252563076039	0.129662996403307	1511.87633687126	0.26163827396591	0.453170783713581	0.185006197739239	3
L-ornithine [major]	17	1512.17441866667	0.139116473150533	0.240956799666515	0.0983702015394985	7.32130389365221	9.19971896867067e-05	0.000159343806690928	6.50518366775755e-05	1512.17137326279	0.154826800084487	0.149004089870658	0.0689451802726474	1512.17441866667	0.139116473150533	0.240956799666515	0.0983702015394985	3
L-ornithine [major]	18	1512.06876934929	0.14541358009527	0.251863708835494	0.102822928561979	7.32123402420753	9.61629726596422e-05	0.000166559154453357	6.79974900666896e-05	1512.03110455023	0.160287623237726	0.152923168476843	0.0730424254344533	1512.06876934929	0.14541358009527	0.251863708835494	0.102822928561979	3
L-ornithine [major]	19	1512.34825246287	0.200643696454095	0.347525076476919	0.141876518365025	7.32141882951839	0.000132674228613927	0.00022979850481433	9.3814846741602e-05	1512.36678353858	0.223031783640999	0.214433972862407	0.0995916825462499	1512.34825246287	0.200643696454095	0.347525076476919	0.141876518365025	3
L-ornithine [major]	20	1512.37261966667	0.207858985914486	0.360022324413634	0.146978498470692	7.32143493961993	0.000137446535907558	0.000238064383516231	9.71893775908349e-05	1512.40717807419	0.230403305475421	0.22099159865983	0.103556094965482	1512.37261966667	0.207858985914486	0.360022324413634	0.146978498470692	3
