Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-pyroglutamic acid	1	1209.88012905212	0.143041124763526	0.247754495662225	0.10114534930884	7.09827654581962	0.000118219159839596	0.000204761591270286	8.35935695887545e-05	1209.84393772208	0.157736210838836	0.150554924591249	0.0717985129056279	1209.88012905212	0.143041124763526	0.247754495662225	0.10114534930884	3
L-pyroglutamic acid	2	1210.42731300607	0.375590863865594	0.650542459073894	0.265582846791075	7.09872858308599	0.000310265099037357	0.000537394915348092	0.000219390555494831	1210.37698221815	0.416914588672338	0.400373555217314	0.1867693374157	1210.42731300607	0.375590863865594	0.650542459073894	0.265582846791075	3
L-pyroglutamic acid	3	1210.76237374397	0.244299484582998	0.423139119560642	0.172745822189016	7.09900544006277	0.000201772540299734	0.000349480291371379	0.000142674731503178	1210.7605285289	0.271901598040323	0.261687500381158	0.12107004714474	1210.76237374397	0.244299484582998	0.423139119560642	0.172745822189016	3
L-pyroglutamic acid	4	1210.5837140267	0.377975098165822	0.654672074019038	0.267268755032704	7.09885778430923	0.000312256682102414	0.000540844438404264	0.000220798817385429	1210.63389076123	0.41958182117549	0.402951843857601	0.187942884669327	1210.5837140267	0.377975098165822	0.654672074019038	0.267268755032704	3
L-pyroglutamic acid	5	1210.94135042182	0.138571946082939	0.240013651119346	0.0979851627574631	7.09915329203928	0.000114425226595225	0.000198190306130512	8.09108536642911e-05	1210.90541795012	0.152743412341539	0.145722621959593	0.0696076331972647	1210.94135042182	0.138571946082939	0.240013651119346	0.0979851627574631	3
L-pyroglutamic acid	6	1210.77136576545	0.249784701870084	0.43263979459243	0.176624456528997	7.09901286400609	0.00020630223983512	0.000357325961109688	0.000145877712761387	1210.77161571154	0.278008714983505	0.267566903175993	0.123787113956095	1210.77136576545	0.249784701870084	0.43263979459243	0.176624456528997	3
L-pyroglutamic acid	7	1209.83151710758	0.17280540157545	0.299307735351022	0.122191871279665	7.09823635623608	0.000142824935484404	0.000247380044846735	0.000100992480403553	1209.79840464645	0.191297380583588	0.183267395508199	0.0862481077895274	1209.83151710758	0.17280540157545	0.299307735351022	0.122191871279665	3
L-pyroglutamic acid	8	1209.88238108583	0.29755186599892	0.515374949797056	0.210400942202547	7.09827833740789	0.000245971592596768	0.000426035295596235	0.000173928181104429	1209.959526525	0.327976430762786	0.312900238261571	0.149475297186386	1209.88238108583	0.29755186599892	0.515374949797056	0.210400942202547	3
L-pyroglutamic acid	9	1211.24893439363	1.04179944404232	1.80444956837832	0.736663451518703	7.09940617450843	0.000859679921918491	0.00148900930300967	0.000607885502438487	1210.99657502808	1.14967959012891	1.09814940601096	0.522385573820534	1211.24893439363	1.04179944404232	1.80444956837832	0.736663451518703	3
L-pyroglutamic acid	10	1211.14454566667	0.775046346644599	1.34241965060909	0.548040527446256	7.09932048292317	0.000639793777497754	0.00110815532899253	0.000452402518629619	1211.03789933285	0.860194548197427	0.825965749167916	0.385483295162202	1211.14454566667	0.775046346644599	1.34241965060909	0.548040527446256	3
L-pyroglutamic acid	11	1210.54493631394	0.128061146022742	0.221808411386885	0.0905529047592012	7.09882588101158	0.000105791294780824	0.000183235897558883	7.48057419300257e-05	1210.56050759816	0.142220732784324	0.136633729010566	0.0636370750206857	1210.54493631394	0.128061146022742	0.221808411386885	0.0905529047592012	3
L-pyroglutamic acid	12	1210.06164964468	0.141924227907196	0.245819973560247	0.100355583967843	7.0984265667762	0.000117295145709709	0.00020316115185041	8.29401929315994e-05	1210.09820565724	0.156453040305117	0.149280904200471	0.071272664018997	1210.06164964468	0.141924227907196	0.245819973560247	0.100355583967843	3
L-pyroglutamic acid	13	1210.58510215182	0.147498285412813	0.255474524364288	0.104297037828789	7.09885905494301	0.000121849575737696	0.000211049656058401	8.61606612888284e-05	1210.62330357951	0.16258573215986	0.15511592328397	0.0740895528987005	1210.58510215182	0.147498285412813	0.255474524364288	0.104297037828789	3
L-pyroglutamic acid	14	1210.59731296893	0.283194471903393	0.490507213759313	0.200248731477432	7.09886908179998	0.000233896164271948	0.00040512004021449	0.000165389563850217	1210.52414303826	0.312171095081575	0.297841081393745	0.142248146793969	1210.59731296893	0.283194471903393	0.490507213759313	0.200248731477432	3
L-pyroglutamic acid	15	1209.87511236679	0.384456183189312	0.665897642567896	0.27185157420226	7.09827226890172	0.000317733980276405	0.00055033139712982	0.000224671852066838	1209.82567834844	0.426844931434319	0.409982975287773	0.191125541783638	1209.87511236679	0.384456183189312	0.665897642567896	0.27185157420226	3
L-pyroglutamic acid	16	1210.05912990151	0.136265723851626	0.236019157041166	0.0963544173787779	7.09842448606046	0.000112618560037343	0.000195061067859924	7.96333474898694e-05	1210.09443897337	0.150203464421728	0.143301426958153	0.0684475309666489	1210.05912990151	0.136265723851626	0.236019157041166	0.0963544173787779	3
L-pyroglutamic acid	17	1210.41479257847	0.134422449707098	0.232826512570565	0.0950510257315964	7.09871836513273	0.000111047407669033	0.000192339752131578	7.85223749959599e-05	1210.38039248574	0.148203059243599	0.141425526336571	0.067493762756061	1210.41479257847	0.134422449707098	0.232826512570565	0.0950510257315964	3
L-pyroglutamic acid	18	1211.41647053768	0.577141467991891	0.999638345716842	0.408100645721025	7.09954525031233	0.000476380171033787	0.000825114659948871	0.000336851649360798	1211.37574602261	0.641873150864227	0.617393251106462	0.286287872078495	1211.41647053768	0.577141467991891	0.999638345716842	0.408100645721025	3
L-pyroglutamic acid	19	1210.60305292866	0.283128023736294	0.490392122157828	0.200201745527879	7.09887382325583	0.00023384011630408	0.000405022962286482	0.000165349931952066	1210.52974706867	0.312085791321288	0.297747839125975	0.142223481374485	1210.60305292866	0.283128023736294	0.490392122157828	0.200201745527879	3
L-pyroglutamic acid	20	1210.41333680933	0.148988506428669	0.258055662878257	0.105350783214567	7.09871715820338	0.000123079675260905	0.000213180250930965	8.70304730032239e-05	1210.37470523822	0.164224861104892	0.15667633130296	0.0748407855027532	1210.41333680933	0.148988506428669	0.258055662878257	0.105350783214567	3
L-pyroglutamic acid	21	1210.4239828607	0.391772634963698	0.67857010877226	0.277025086866153	7.09872581915673	0.00032363151925339	0.000560546234277576	0.000228842041869777	1210.37087061442	0.434850060742007	0.417575980617603	0.194832970489601	1210.4239828607	0.391772634963698	0.67857010877226	0.277025086866153	3
L-pyroglutamic acid	22	1210.94387134571	0.134629156960604	0.233184540035932	0.0951971898322713	7.0991553749275	0.000111169479753464	0.000192551187184	7.86086929946552e-05	1210.90898702715	0.148399650422453	0.141580579629225	0.0676252925529653	1210.94387134571	0.134629156960604	0.233184540035932	0.0951971898322713	3
L-pyroglutamic acid	23	1211.29884423562	0.00346523054361811	0.00600195536148609	0.00245028801576711	7.09944848785798	2.86075924326063e-06	4.95498035754971e-06	2.02286226025169e-06	1211.2993782028	0.00396675537496169	0.00386204659732804	0.00150008654975215	1211.29884423562	0.00346523054361811	0.00600195536148609	0.00245028801576711	3
L-pyroglutamic acid	24	1210.23819213447	0.00177176703936809	0.00306879053136141	0.00125282848821999	7.09857247221826	1.46398099115782e-06	2.53568945800038e-06	1.0351908863759e-06					1210.23819213447	0.00177176703936809	0.00306879053136141	0.00125282848821999	3
L-pyroglutamic acid	25	1210.75846834562	0.247770422701712	0.429150960732183	0.175200146069838	7.09900221273986	0.000204640059926552	0.000354446981056728	0.000144702374076486	1210.75694536326	0.275765413431356	0.265406740947581	0.122789776644381	1210.75846834562	0.247770422701712	0.429150960732183	0.175200146069838	3
L-pyroglutamic acid	26	1210.6005179285	0.139824704746903	0.242183492774953	0.0988709969039419	7.09887179127309	0.000115508406516271	0.000200066428787502	8.16767775317078e-05	1210.63654229158	0.154142499184116	0.147075387958902	0.0702237048680653	1210.6005179285	0.139824704746903	0.242183492774953	0.0988709969039419	3
L-pyroglutamic acid	27	1210.23676294869	0.00897686356356931	0.0155483837847159	0.0063476010995863	7.09857129122544	7.41747552296164e-06	1.28474444696681e-05	5.24494724157141e-06	1210.23890388805	0.00996229719211233	0.00953898782318742	0.00441274931148654	1210.23676294869	0.00897686356356931	0.0155483837847159	0.0063476010995863	3
