Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-tyrosine [major]	1	1633.34850223115	0.388173260120129	1.22751162875261	0.274479944506233	7.39838720011842	0.000237623410058543	0.000751431201161162	0.000168025124621068					1633.34850223115	0.388173260120129	1.22751162875261	0.274479944506233	10
L-tyrosine [major]	2	1632.59150346097	0.343208806592203	1.08532154185957	0.242685274504289	7.39792368972096	0.000210233478509635	0.000664816632510507	0.000148657518286599	1632.61899385843	0.374177975143917	0.660843278361185	0.168502503807811	1632.59150346097	0.343208806592203	1.08532154185957	0.242685274504289	10
L-tyrosine [major]	3	1632.63239372294	0.374985917356127	1.18580958933303	0.265155085011976	7.39794869286197	0.000229675247220322	0.000726296903378475	0.000162404924780187					1632.63239372294	0.374985917356127	1.18580958933303	0.265155085011976	10
L-tyrosine [major]	4	1631.74127935961	0.341715214551021	1.08059838911434	0.241629145443643	7.39740277403746	0.000209300596130851	0.000661866599404516	0.000147997870830512	1631.56147613469	0.279833624277566	0.526546305371624	0.144036914475688	1631.74127935961	0.341715214551021	1.08059838911434	0.241629145443643	10
L-tyrosine [major]	5	1632.71580405577	0.509104442346765	1.60992960472566	0.359991203515593	7.39799955864048	0.000311818964071688	0.000986058144100746	0.000220489303997655	1632.71978983247	0.549052823391676	0.972876898595693	0.24873689396602	1632.71580405577	0.509104442346765	1.60992960472566	0.359991203515593	10
L-tyrosine [major]	6	1632.96010306104	0.456287596194048	1.44290807205637	0.32264405344012	7.39814927047266	0.000279492438284351	0.000883832693772592	0.000197630998401227	1633.06277106107	0.486187551429338	0.860665708716506	0.219842297326606	1632.96010306104	0.456287596194048	1.44290807205637	0.32264405344012	10
L-tyrosine [major]	7	1632.20963582156	0.435330807782953	1.37663688823509	0.307825366242744	7.39768962495695	0.000266691059336487	0.000843351179106411	0.000188579056538654	1632.14131779139	0.490769328507979	0.855448463108737	0.215587926085435	1632.20963582156	0.435330807782953	1.37663688823509	0.307825366242744	10
L-tyrosine [major]	8	1633.58946659668	0.315322809699631	0.997138276854667	0.222966897001404	7.39853481304277	0.000193090421653908	0.000610605526788646	0.000136535546533648					1633.58946659668	0.315322809699631	0.997138276854667	0.222966897001404	10
L-tyrosine [major]	9	1633.08756449917	0.390955112836933	1.23630861945284	0.276447011426547	7.39822742685261	0.000239389041956094	0.000757014619466866	0.000169273614908905	1633.09445812936	0.425558997166051	0.75093905764769	0.191000886671095	1633.08756449917	0.390955112836933	1.23630861945284	0.276447011426547	10
L-tyrosine [major]	10	1633.41953936546	0.402217339084722	1.27192290591999	0.284410607977616	7.39843067000796	0.00024627683444942	0.000778795731796386	0.000174144019688341	1633.51751217568	0.42374112829382	0.755876472876423	0.197680414021807	1633.41953936546	0.402217339084722	1.27192290591999	0.284410607977616	10
