Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
L-tyrosine [minor]	1	1574.94417403686	0.0415502883814147	0.0719672105457491	0.029380490674755	7.36197510453154	2.63824954446437e-05	4.56958225405773e-05	1.86552414335308e-05	1574.95491060272	0.04581053669821	0.0437117156619029	0.0208491404497467	1574.94417403686	0.0415502883814147	0.0719672105457491	0.029380490674755	3
L-tyrosine [minor]	2	1575.19408133333	0.163162496886697	0.282605734497558	0.115373307983912	7.36213375381876	0.000103575903982342	0.000179398728137292	7.32392240734409e-05	1575.15177513326	0.179847767383986	0.171581003806953	0.0819616560505208	1575.19408133333	0.163162496886697	0.282605734497558	0.115373307983912	3
L-tyrosine [minor]	3	1575.55200225178	0.703221225938141	1.21801489228573	0.497252497535177	7.36236066874745	0.000446231831883935	0.000772896204777508	0.000315533554306426	1575.40143506243	0.777446592254344	0.743905234304869	0.351657080850042	1575.55200225178	0.703221225938141	1.21801489228573	0.497252497535177	3
L-tyrosine [minor]	4	1573.61745839972	1.58593148435096	2.74691390821898	1.12142290708181	7.36113083690247	0.00100837244777685	0.0017465523125021	0.00071302699578469	1573.97599371139	1.75201835092121	1.6752359558896	0.793947745209917	1573.61745839972	1.58593148435096	2.74691390821898	1.12142290708181	3
L-tyrosine [minor]	5	1575.50515333027	0.296144425422134	0.512937191209428	0.209405731426585	7.36233117910889	0.000187974622768916	0.000325581597169356	0.000132918130450884	1575.52836795078	0.3293036142253	0.316700271042101	0.146931205019925	1575.50515333027	0.296144425422134	0.512937191209428	0.209405731426585	3
L-tyrosine [minor]	6	1574.82293198711	0.398940870715812	0.690985857295553	0.282093794975617	7.36189802453449	0.000253344453707461	0.000438805465637104	0.000179141581192547	1574.87499995163	0.442894080576991	0.425371988298178	0.198346230712352	1574.82293198711	0.398940870715812	0.690985857295553	0.282093794975617	3
L-tyrosine [minor]	7	1573.53591532024	0.37528197188784	0.650007442474373	0.265364427178951	7.36108045603243	0.000238511037092822	0.000413113234410712	0.00016865277171617	1573.57708804311	0.416936318434741	0.4006894921016	0.186404056120614	1573.53591532024	0.37528197188784	0.650007442474373	0.265364427178951	3
L-tyrosine [minor]	8	1575.56263162674	0.258813549991304	0.448278218272206	0.183008816261815	7.36236767342262	0.00016427030539101	0.000284524515112086	0.000116156646889569	1575.57418514759	0.287971727191451	0.277089478142357	0.128309253993579	1575.56263162674	0.258813549991304	0.448278218272206	0.183008816261815	3
L-tyrosine [minor]	9	1575.57189897573	0.699022703003721	1.21074283724658	0.494283693497282	7.3623733006496	0.000443558236629868	0.00076826540195859	0.000313643036972127	1575.41540354841	0.77233478741557	0.738586495835775	0.349868734424115	1575.57189897573	0.699022703003721	1.21074283724658	0.494283693497282	3
L-tyrosine [minor]	10	1573.24506158116	0.983334128379861	1.70318467117038	0.695322230349563	7.36089509721352	0.000625189623721604	0.00108286019265069	0.000442075822461012	1573.4063691102	1.09009231239964	1.04565760749366	0.489845772836973	1573.24506158116	0.983334128379861	1.70318467117038	0.695322230349563	3
L-tyrosine [minor]	11	1573.82015076994	0.542450345323026	0.939551558682762	0.383570317634896	7.36126098171905	0.000344667618929363	0.000596981827709446	0.000243716810600374	1573.81342889692	0.603726335988795	0.581038607521026	0.26883689865477	1573.82015076994	0.542450345323026	0.939551558682762	0.383570317634896	3
L-tyrosine [minor]	12	1573.20306014318	1.39507162367931	2.41633493241018	0.98646460534457	7.36086780532729	0.000887252916786826	0.00153676713103846	0.000627382554087508	1573.56391285283	1.53777605954484	1.46715156139014	0.700778340948725	1573.20306014318	1.39507162367931	2.41633493241018	0.98646460534457	3
L-tyrosine [minor]	13	1575.74284546099	0.611873327430388	1.05979569090566	0.432659779053204	7.3624818618777	0.000388215610774762	0.000672409162153272	0.000274509890941312	1575.58417301186	0.674431725361485	0.643426537287077	0.307380808196615	1575.74284546099	0.611873327430388	1.05979569090566	0.432659779053204	3
L-tyrosine [minor]	14	1576.14023530567	0.536248519219816	0.928809680772297	0.379184964341577	7.36273407461369	0.000340236034164004	0.000589306097737795	0.000240583206961385	1576.15368437814	0.596781799027869	0.574322530714674	0.265787199492663	1576.14023530567	0.536248519219816	0.928809680772297	0.379184964341577	3
L-tyrosine [minor]	15	1574.36167229807	0.707719677220625	1.22580643846237	0.500433382941858	7.36160487848327	0.000449619625921114	0.000778764036175482	0.000317929086443379	1574.49572327532	0.783537249639296	0.750724791285437	0.353182683188445	1574.36167229807	0.707719677220625	1.22580643846237	0.500433382941858	3
L-tyrosine [minor]	16	1573.44383438487	1.0315853038173	1.78675815855294	0.7294409637016	7.36102137608243	0.000655866983127366	0.00113599493778352	0.000463767991325724	1573.6908572214	1.13861984074032	1.08778709433021	0.517114671516513	1573.44383438487	1.0315853038173	1.78675815855294	0.7294409637016	3
L-tyrosine [minor]	17	1574.97000476173	0.269052596184772	0.466012766500338	0.190248915258098	7.36199146271153	0.000170820447398377	0.000295869693865635	0.000120788296720712	1574.93219313662	0.29857626867254	0.286666745918033	0.13383634123188	1574.97000476173	0.269052596184772	0.466012766500338	0.190248915258098	3
L-tyrosine [minor]	18	1575.4128700582	0.410945682048412	0.711778800458896	0.290582478475763	7.36227255455314	0.000260868239089498	0.000451837044184035	0.000184461700856377	1575.45971802449	0.456493480117117	0.4386533615752	0.204156294005669	1575.4128700582	0.410945682048412	0.711778800458896	0.290582478475763	3
L-tyrosine [minor]	19	1574.29655390778	0.245189546271498	0.424680751626995	0.173375190844629	7.36156378266623	0.000155742407584791	0.000269753762829959	0.000110126512521525	1574.28376033643	0.2727832369084	0.262451995413466	0.121571255275366	1574.29655390778	0.245189546271498	0.424680751626995	0.173375190844629	3
L-tyrosine [minor]	20	1575.75400362674	0.319534082647593	0.553449265895544	0.225944716660336	7.36248910747475	0.000202806227276331	0.000351270689733966	0.000143405658573954	1575.83454339152	0.352385637080958	0.336362187437877	0.160388346788167	1575.75400362674	0.319534082647593	0.553449265895544	0.225944716660336	3
L-tyrosine [minor]	21	1575.185094	0.166830266223559	0.288958497339446	0.117966812553835	7.36212804753038	0.000105904664632171	0.000183432259901462	7.4885906520695e-05	1575.14183341664	0.183890200377924	0.175437323630556	0.0838044941963869	1575.185094	0.166830266223559	0.288958497339446	0.117966812553835	3
L-tyrosine [minor]	22	1575.01485097643	0.461659134829991	0.799617077303835	0.326442304835001	7.36201985150195	0.000293166793616219	0.00050777978163535	0.000207300227784745	1575.13456121246	0.50886077492899	0.485467859477921	0.231917996243318	1575.01485097643	0.461659134829991	0.799617077303835	0.326442304835001	3
L-tyrosine [minor]	23	1573.39696658182	1.00882835826817	1.74734197263677	0.713349373184716	7.36099161698056	0.000641419859192875	0.00111097178510573	0.000453552332023003	1573.64676764845	1.11288538361165	1.06261328172254	0.506140791611962	1573.39696658182	1.00882835826817	1.74734197263677	0.713349373184716	3
L-tyrosine [minor]	24	1575.50371729288	0.73753188680493	1.27744270014828	0.521513798501076	7.36232999201506	0.000468023650054979	0.000810640741039061	0.000330942696709556	1575.36138449196	0.816382545489445	0.782054311091225	0.368162451196948	1575.50371729288	0.73753188680493	1.27744270014828	0.521513798501076	3
L-tyrosine [minor]	25	1573.25260877298	1.41493414216434	2.45073782359252	1.00050952685678	7.36089926642274	0.000899865076547136	0.0015586120325365	0.000636300697779432	1573.61951175713	1.55959836377465	1.48790105057795	0.710807902425963	1573.25260877298	1.41493414216434	2.45073782359252	1.00050952685678	3
L-tyrosine [minor]	26	1574.9921365931	0.282330061686763	0.489010011345528	0.199637501151526	7.36200551040835	0.000179256508807212	0.00031048138084151	0.000126753492949406	1574.9864113055	0.314211709598571	0.302395086573457	0.139927114134493	1574.9921365931	0.282330061686763	0.489010011345528	0.199637501151526	3
L-tyrosine [minor]	27	1574.74308237535	0.199268169442847	0.345142593806255	0.140903873887667	7.3618473916314	0.000126549915161166	0.00021919088275267	8.94843031690426e-05	1574.79471415514	0.219647054613825	0.209553259836393	0.10009823638251	1574.74308237535	0.199268169442847	0.345142593806255	0.140903873887667	3
L-tyrosine [minor]	28	1572.49336482929	1.03105759432261	1.7858441388965	0.729067816739404	7.36041712449699	0.000655441832976844	0.00113525855612197	0.000463467364771267	1572.24874757315	1.13820396194518	1.0875448894647	0.516729840899533	1572.49336482929	1.03105759432261	1.7858441388965	0.729067816739404	3
L-tyrosine [minor]	29	1575.57397636387	0.697256491703919	1.20768366953842	0.493034793510183	7.3623746206362	0.000442437850957624	0.000766324837050192	0.000312850804665739	1575.41891463341	0.770456354578469	0.736856846059191	0.348936760418725	1575.57397636387	0.697256491703919	1.20768366953842	0.493034793510183	3
L-tyrosine [minor]	30	1575.51149733027	0.29673112548534	0.513953385527705	0.2098205910198	7.36233520553563	0.000188347345738367	0.000326227172289593	0.000133181685390086	1575.53847059863	0.329851960257659	0.317145771447508	0.147281072743607	1575.51149733027	0.29673112548534	0.513953385527705	0.2098205910198	3
L-tyrosine [minor]	31	1573.64338104691	1.34215210776178	2.32467564212906	0.949044856782172	7.36114774285323	0.000853319222993225	0.00147799224929946	0.000603387809095345	1573.97349032118	1.48075875793289	1.41403131401797	0.673254479882147	1573.64338104691	1.34215210776178	2.32467564212906	0.949044856782172	3
L-tyrosine [minor]	32	1573.83767992741	1.19265829750844	2.06574476735322	0.843336769806622	7.36127143592285	0.000758131914025757	0.00131312299393205	0.00053608021744155	1574.12577191072	1.31620593765013	1.25727166048819	0.597972974581733	1573.83767992741	1.19265829750844	2.06574476735322	0.843336769806622	3
L-tyrosine [minor]	33	1574.37800790197	0.312554758854304	0.541360722483093	0.221009589478005	7.36161549851992	0.000198534753586147	0.000343872280279373	0.000140385270561965	1574.40715845502	0.347419168170924	0.33401841562126	0.155148079397277	1574.37800790197	0.312554758854304	0.541360722483093	0.221009589478005	3
L-tyrosine [minor]	34	1572.86809418591	0.952911488600676	1.65049111337246	0.673810175460105	7.36065549283048	0.000605789862617985	0.00104925882076452	0.000428358119831244	1572.81040546634	1.05999595526118	1.01973111656505	0.472571088774094	1572.86809418591	0.952911488600676	1.65049111337246	0.673810175460105	3
L-tyrosine [minor]	35	1574.41805576779	0.722804749897745	1.25193455077501	0.511100140126542	7.36164067833138	0.000459201447745759	0.00079536023840484	0.000324704457631706	1574.57369280917	0.799038783368983	0.764514713719722	0.361491842725788	1574.41805576779	0.722804749897745	1.25193455077501	0.511100140126542	3
L-tyrosine [minor]	36	1573.25734182759	1.52314872505663	2.63817097928185	1.07702879224319	7.36090208261525	0.000968393998279393	0.00167730760676468	0.000684757963043713	1573.42090950527	1.69233194041708	1.62648608209563	0.756488715544772	1573.25734182759	1.52314872505663	2.63817097928185	1.07702879224319	3
L-tyrosine [minor]	37	1575.54553951063	0.712298569668069	1.23373731282374	0.50367114884177	7.36235655908668	0.000451991356377305	0.000782871993827463	0.000319606153132098	1575.39140681377	0.787372888239691	0.753303902977044	0.356269797140729	1575.54553951063	0.712298569668069	1.23373731282374	0.50367114884177	3
L-tyrosine [minor]	38	1574.79072000215	0.427456740244677	0.740376792141553	0.302257559690908	7.36187755571082	0.000271462537621547	0.000470186907512097	0.000191953001190304	1574.85186929814	0.474312300029169	0.455351169512968	0.212665636346814	1574.79072000215	0.427456740244677	0.740376792141553	0.302257559690908	3
L-tyrosine [minor]	39	1574.74466837535	0.19989986710073	0.34623672624473	0.141350551585216	7.36184839862681	0.000126950999889636	0.00021988558188052	8.97679129003739e-05	1574.79650274358	0.22034044737554	0.210211858899628	0.10041806644052	1574.74466837535	0.19989986710073	0.34623672624473	0.141350551585216	3
L-tyrosine [minor]	40	1575.387568	0.330236788504167	0.571986896217595	0.233512672548564	7.36225653000774	0.000209595696091219	0.000363030394677757	0.000148206538013616	1575.30200451427	0.364007404586779	0.347279201102464	0.165891878943287	1575.387568	0.330236788504167	0.571986896217595	0.233512672548564	3
L-tyrosine [minor]	41	1573.64642949211	1.57443768982936	2.72700607213583	1.11329556703403	7.36114926917029	0.00100111730268527	0.0017339860325872	0.000707896833491939	1574.05471716466	1.73540748172333	1.65562620385869	0.790937623360776	1573.64642949211	1.57443768982936	2.72700607213583	1.11329556703403	3
L-tyrosine [minor]	42	1575.36332975086	0.404685409186782	0.700935689793308	0.286155797083227	7.36224111121523	0.000256908799334283	0.000444979093358495	0.000181661954155765	1575.4270017965	0.448763104191661	0.430589284599421	0.201505828108703	1575.36332975086	0.404685409186782	0.700935689793308	0.286155797083227	3
L-tyrosine [minor]	43	1573.83609392741	1.19215184680657	2.06486756900604	0.84297865508099	7.36127042892541	0.000757810228401193	0.00131256581808624	0.00053585275135501	1574.12371598018	1.31567396214586	1.25678785037153	0.597702031576897	1573.83609392741	1.19215184680657	2.06486756900604	0.84297865508099	3
