Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1004] phosphoric acid [9.966]	1	971.156446315327	4.61615434257853	7.99541385692572	3.26411403864101	6.87845355558717	0.00476673581850834	0.00825622862391485	0.00337059122139205	972.306390180978	5.09176858562646	4.86125215932953	2.31635900408829	971.156446315327	4.61615434257853	7.99541385692572	3.26411403864101	3
[1004] phosphoric acid [9.966]	2	976.109311648203	0.467564904311742	0.809846170104017	0.330618314483672	6.88357423570349	0.00047890809892924	0.000829493159501666	0.000338639164318024	976.023398587407	0.517813210156301	0.496266348257128	0.233234508863439	976.109311648203	0.467564904311742	0.809846170104017	0.330618314483672	3
[1004] phosphoric acid [9.966]	3	977.197562831117	0.537469782439206	0.930924970717696	0.380048527845621	6.88468839176663	0.000549840658496105	0.000952351956582382	0.000388796058194672	977.069431480017	0.593282064003551	0.566836697926418	0.269397514510969	977.197562831117	0.537469782439206	0.930924970717696	0.380048527845621	3
[1004] phosphoric acid [9.966]	4	975.871011827913	0.369519481535769	0.640026516406462	0.26128973117448	6.88333020254518	0.000378723407045757	0.000655968183018839	0.000267797889316128	975.943617857643	0.40894463706866	0.391678794162167	0.184505395406211	975.871011827913	0.369519481535769	0.640026516406462	0.26128973117448	3
[1004] phosphoric acid [9.966]	5	975.735882126178	0.646119654210496	1.11911206886141	0.456875588950149	6.8831912797758	0.000661961956654556	0.0011465517416034	0.000468077788437952	975.596246678835	0.714225797825837	0.683328553306538	0.323152393003636	975.735882126178	0.646119654210496	1.11911206886141	0.456875588950149	3
[1004] phosphoric acid [9.966]	6	976.714545828248	0.279678653267975	0.484417637252572	0.197762672278906	6.88419431218427	0.000286343078817682	0.000495960760907926	0.000202475132777817	976.709871070146	0.311266910740371	0.299565683974803	0.138609360575794	976.714545828248	0.279678653267975	0.484417637252572	0.197762672278906	3
[1004] phosphoric acid [9.966]	7	976.552468120742	0.782862710963267	1.35595799073949	0.55356753166021	6.88402751520661	0.000801955101611333	0.00138902698137989	0.000567067890556521	976.702719832338	0.866610361130161	0.830216110059224	0.390759265960081	976.552468120742	0.782862710963267	1.35595799073949	0.55356753166021	3
[1004] phosphoric acid [9.966]	8	973.669192563795	3.82336409274614	6.62226086447079	2.70352667692595	6.88104841498492	0.0039348730623781	0.006815400065373	0.00278237542551583	974.505115724982	4.22574290826498	4.04236368197608	1.91272140951948	973.669192563795	3.82336409274614	6.62226086447079	2.70352667692595	3
[1004] phosphoric acid [9.966]	9	971.751430209001	3.71563960926251	6.43567658585804	2.62735396415486	6.87907804190478	0.00383268256958338	0.00663840093980204	0.00271011583508789	972.714159809987	4.09557850286477	3.90734061491198	1.86652766144047	971.751430209001	3.71563960926251	6.43567658585804	2.62735396415486	3
[1004] phosphoric acid [9.966]	10	976.741274827878	0.734015442386596	1.27135203975373	0.519027296807206	6.88422095436661	0.000751196203267328	0.00130110999051185	0.000531175929331916	976.577975902586	0.81107030270976	0.775695337695011	0.367335771055716	976.741274827878	0.734015442386596	1.27135203975373	0.519027296807206	3
[1004] phosphoric acid [9.966]	11	976.823772121414	0.20946111378793	0.36279729129066	0.148111373954332	6.88430619026602	0.000214424077646168	0.000371393396849258	0.000151620719353276	976.811058328317	0.233000929596164	0.224150588619377	0.103873770952313	976.823772121414	0.20946111378793	0.36279729129066	0.148111373954332	3
[1004] phosphoric acid [9.966]	12	976.266962495218	0.553627616353931	0.958911159998259	0.391473841776009	6.88373559367271	0.000567178949758249	0.000982382757964842	0.000401056081520322	976.332958304837	0.614878735692463	0.590759701646876	0.27510520911822	976.266962495218	0.553627616353931	0.958911159998259	0.391473841776009	3
[1004] phosphoric acid [9.966]	13	969.343242889782	5.21315995740719	9.02945791421285	3.68626075729279	6.87657520181257	0.00539532841699671	0.00934498294175847	0.00381507331038686	970.642727604586	5.75021992340052	5.48983342134802	2.61597425865113	969.343242889782	5.21315995740719	9.02945791421285	3.68626075729279	3
[1004] phosphoric acid [9.966]	14	977.062411941027	0.731976610409226	1.26782067918083	0.517585624890307	6.88454968889925	0.000749460662365839	0.00129810394549186	0.000529948716591446	977.226754544269	0.808712223128303	0.773343789952702	0.366385016940774	977.062411941027	0.731976610409226	1.26782067918083	0.517585624890307	3
[1004] phosphoric acid [9.966]	15	976.458188952521	0.860970500007835	1.49124464983155	0.608798078957113	6.88393076659675	0.000881378616697972	0.00152659254482566	0.000623228796659955	976.295798656399	0.953246616677496	0.913364814409575	0.429636101076326	976.458188952521	0.860970500007835	1.49124464983155	0.608798078957113	3
[1004] phosphoric acid [9.966]	16	978.843468904353	0.377851125918883	0.654457347788611	0.267181093416214	6.88637151753584	0.000385935986339184	0.000668460736808675	0.000272897953044356	978.755834685718	0.417265042742897	0.398832117068226	0.189264727556042	978.843468904353	0.377851125918883	0.654457347788611	0.267181093416214	3
[1004] phosphoric acid [9.966]	17	976.969262238287	0.48512984235975	0.840269535234968	0.34303860128854	6.88445482040402	0.000496469116936659	0.000859909734923147	0.000351056679235609	976.889495500327	0.537790242819961	0.515860415989776	0.241671243157125	976.969262238287	0.48512984235975	0.840269535234968	0.34303860128854	3
[1004] phosphoric acid [9.966]	18	975.956504905656	0.093973201818117	0.162766360098903	0.0664490882554025	6.88341800686799	9.62834512590685e-05	0.000166767829508788	6.80826813013318e-05	975.935797227055	0.103857368617738	0.0993419852436906	0.0470116072290229	975.956504905656	0.093973201818117	0.162766360098903	0.0664490882554025	3
[1004] phosphoric acid [9.966]	19	976.007534732866	0.350883870690487	0.607748691592351	0.248112364374227	6.88347011250699	0.000359535789749937	0.000622734254986293	0.000254230195011442	976.037122218692	0.390115610079054	0.375140521482457	0.174122505861045	976.007534732866	0.350883870690487	0.607748691592351	0.248112364374227	3
[1004] phosphoric acid [9.966]	20	977.968551051342	0.827691046156276	1.43360294491251	0.58526595146449	6.88547643943823	0.00084590018146388	0.00146514209242717	0.00059814175452004	977.754337284038	0.912348419706096	0.870438246544871	0.415776118296342	977.968551051342	0.827691046156276	1.43360294491251	0.58526595146449	3
[1004] phosphoric acid [9.966]	21	977.853898569508	0.814196477399254	1.41022966619911	0.575723850387212	6.88535923144347	0.000832360895109674	0.00144169136056346	0.000588568033326555	977.718599682621	0.902499160790662	0.865632980885168	0.405646258144026	977.853898569508	0.814196477399254	1.41022966619911	0.575723850387212	3
[1004] phosphoric acid [9.966]	22	972.053398665635	4.82504454468725	8.35722230018136	3.41182171707551	6.87937364396644	0.00497759031595267	0.00862143932649285	0.00351968786637862	973.178760786233	5.32787722091388	5.09208716754841	2.41719316793139	972.053398665635	4.82504454468725	8.35722230018136	3.41182171707551	3
[1004] phosphoric acid [9.966]	23	976.756233086481	1.1528917252135	1.99686704369552	0.815217556872326	6.88423502688409	0.00117978818814886	0.00204345308404346	0.00083423622820385	976.569414251458	1.27818030756304	1.22618026852602	0.574237216560002	976.756233086481	1.1528917252135	1.99686704369552	0.815217556872326	3
[1004] phosphoric acid [9.966]	24	976.04099594441	1.0104203853194	1.75009944437652	0.714475106308471	6.88350298335038	0.0010345908982283	0.00179196400077973	0.000731566239891109	975.788279150905	1.1144495475248	1.0639214282594	0.507076552434681	976.04099594441	1.0104203853194	1.75009944437652	0.714475106308471	3
[1004] phosphoric acid [9.966]	25	976.438477153488	0.299052795499152	0.517974635950036	0.211462259630244	6.88391160420611	0.00030626531290831	0.000530467082553174	0.000216562279599686	976.433613756711	0.332829940100639	0.32031866667727	0.14821137938743	976.438477153488	0.299052795499152	0.517974635950036	0.211462259630244	3
[1004] phosphoric acid [9.966]	26	972.524429450841	4.2733607698414	7.40167797243695	3.02172237881142	6.87986612941402	0.00440590569352211	0.00763125251453728	0.0031154457931579	973.61906960213	4.71132771678663	4.49577879531028	2.1460054490506	972.524429450841	4.2733607698414	7.40167797243695	3.02172237881142	3
[1004] phosphoric acid [9.966]	27	975.929293732196	0.384653261449715	0.666238992127982	0.271990929576616	6.88338990574715	0.000394235701315924	0.000682836264836729	0.000278766737786324	976.029019159985	0.42398325281696	0.404493809776266	0.19323196301255	975.929293732196	0.384653261449715	0.666238992127982	0.271990929576616	3
[1004] phosphoric acid [9.966]	28	975.220692800987	0.377347748320054	0.653585472212047	0.266825151702585	6.88266357245608	0.000386858150693282	0.000670057972322902	0.000273550021712507	975.13839311614	0.417075754499227	0.398989484163785	0.188765262773467	975.220692800987	0.377347748320054	0.653585472212047	0.266825151702585	3
[1004] phosphoric acid [9.966]	29	977.256445040687	0.237426657844347	0.41123503445768	0.167885999796196	6.88474901118027	0.000242975053874866	0.000420845138283053	0.000171809308254084	977.294637517218	0.263245046430036	0.252548710473836	0.118246502015128	977.256445040687	0.237426657844347	0.41123503445768	0.167885999796196	3
[1004] phosphoric acid [9.966]	30	976.663749975568	1.18781367054155	2.05735362730284	0.839911101226013	6.88414020640603	0.00121696101678507	0.00210783831190243	0.0008605213874084	976.921275240452	1.31297223130982	1.25612994465225	0.594132231170571	976.663749975568	1.18781367054155	2.05735362730284	0.839911101226013	3
[1004] phosphoric acid [9.966]	31	975.794629431349	0.530739915689604	0.919268499579216	0.375289793430495	6.88325170003734	0.000543739922209786	0.000941785171370898	0.000384482186196385	975.669313093828	0.585941168112683	0.559906385197651	0.265961223291849	975.794629431349	0.530739915689604	0.919268499579216	0.375289793430495	3
[1004] phosphoric acid [9.966]	32	976.358453186817	0.849487344147182	1.47135524044967	0.600678261578623	6.88382865138554	0.000869891552480409	0.00150669636597104	0.00061510621565579	976.281123651126	0.94429911436691	0.907919636716026	0.421647021978025	976.358453186817	0.849487344147182	1.47135524044967	0.600678261578623	3
[1004] phosphoric acid [9.966]	33	975.960350345136	0.430644401834955	0.745897983973249	0.304511576817521	6.88342166898006	0.000441146024280066	0.000764087327610088	0.00031193734526192	975.861568384608	0.475643600643139	0.454705057796563	0.215655777518988	975.960350345136	0.430644401834955	0.745897983973249	0.304511576817521	3
[1004] phosphoric acid [9.966]	34	975.344574242616	0.497372622315924	0.861474652144947	0.351695554016126	6.88279042799125	0.000509930931803415	0.000883226282234456	0.00036057561981497	975.332852950597	0.553523716457429	0.532697178756954	0.246515116479622	975.344574242616	0.497372622315924	0.861474652144947	0.351695554016126	3
[1004] phosphoric acid [9.966]	35	976.140475685303	0.857700095304515	1.48558014272409	0.606485553614171	6.8836053473811	0.000879007819508103	0.00152248620363837	0.000621552389890181	976.299439245483	0.949793423613133	0.910201745713511	0.427897864286687	976.140475685303	0.857700095304515	1.48558014272409	0.606485553614171	3
[1004] phosphoric acid [9.966]	36	976.595170541531	0.425520554420093	0.737023219920479	0.300888469564707	6.88407192171938	0.000435654772686073	0.000754576200852148	0.000308054444022606	976.535663837988	0.472226819934907	0.45340086612259	0.211664909872682	976.595170541531	0.425520554420093	0.737023219920479	0.300888469564707	3
[1004] phosphoric acid [9.966]	37	976.333179703303	0.973297649303788	1.68580097948152	0.688225367935635	6.88380241045996	0.000996719547835154	0.00172636889774756	0.000704787151215427	976.263086165116	1.0824274658667	1.04111909864328	0.482819069857259	976.333179703303	0.973297649303788	1.68580097948152	0.688225367935635	3
