Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1030] propylene glycol [6.144]	1	655.038038742543	4.9028017771947	8.49190177754021	3.46680438346783	6.48460975964606	0.00745237485410146	0.0129078918843524	0.00526962479527925	653.81700485821	5.40797384525806	5.16316542924378	2.4601792993486	655.038038742543	4.9028017771947	8.49190177754021	3.46680438346783	3
[1030] propylene glycol [6.144]	2	661.336215564046	4.64513982131352	8.04561817877644	3.28460986721046	6.49418794074494	0.00705331639624834	0.0122167023601607	0.00498744785364146	662.486561882445	5.12425627600752	4.89276870232707	2.33053078328822	661.336215564046	4.64513982131352	8.04561817877644	3.28460986721046	3
[1030] propylene glycol [6.144]	3	660.387760573765	5.39624390907387	9.34656862055003	3.81572066104274	6.49272633918268	0.00821304363657387	0.0142254088633262	0.00580749884960241	661.787154990598	5.94795000804549	5.67450466765773	2.71087017827611	660.387760573765	5.39624390907387	9.34656862055003	3.81572066104274	3
[1030] propylene glycol [6.144]	4	665.655943499825	7.08691992605944	12.2749053811072	5.01120913744269	6.50060252728105	0.0106646261731058	0.0184716743755481	0.00754102948582267	666.071372636346	7.88359731210147	7.58433925238385	3.51443633091648	665.655943499825	7.08691992605944	12.2749053811072	5.01120913744269	3
[1030] propylene glycol [6.144]	5	674.68416282411	2.79583008923417	4.84251976388341	1.97695041514287	6.51421883827184	0.00415333348156251	0.0071937846108432	0.00293685026934198	675.322659474421	3.08816727393201	2.95240582522191	1.39995568455338	674.68416282411	2.79583008923417	4.84251976388341	1.97695041514287	3
[1030] propylene glycol [6.144]	6	648.421475970239	0.677192286560895	1.17293144681721	0.478847257994433	6.47453927548856	0.00104400841369046	0.00180827561604126	0.000738225428936334	648.327493467298	0.751554355973078	0.721618966640086	0.336835209424665	648.421475970239	0.677192286560895	1.17293144681721	0.478847257994433	3
[1030] propylene glycol [6.144]	7	661.011964608888	4.50450303928579	7.80202812689142	3.1851646449544	6.49370189275156	0.00684314497585082	0.0118526747817333	0.00483883421706677	662.165855357863	4.96615646397281	4.73894495084515	2.26208367326557	661.011964608888	4.50450303928579	7.80202812689142	3.1851646449544	3
[1030] propylene glycol [6.144]	8	670.686787139949	3.40746175100391	5.90189687758638	2.40943931076865	6.50826367984971	0.0050652670289295	0.00877329984800934	0.00358168466467669	669.822047150172	3.75731517443743	3.58602735532215	1.71071343872574	670.686787139949	3.40746175100391	5.90189687758638	2.40943931076865	3
[1030] propylene glycol [6.144]	9	670.053581681848	2.4917624564542	4.3158591749713	1.76194213006481	6.50733700052601	0.00371035921809052	0.00642653068006431	0.00262362016374982	669.407402185922	2.74651790773596	2.62025233208297	1.25176733216097	670.053581681848	2.4917624564542	4.3158591749713	1.76194213006481	3
[1030] propylene glycol [6.144]	10	664.706166420383	7.34583767057521	12.7233640695897	5.19429163035932	6.49916122426998	0.0110814560681989	0.0191936449319629	0.00783577273124426	665.402526858523	8.16485585861373	7.84962803667465	3.64662984090092	664.706166420383	7.34583767057521	12.7233640695897	5.19429163035932	3
[1030] propylene glycol [6.144]	11	665.431198221239	7.1383637166591	12.3640086401598	5.04758539062566	6.50026242952634	0.0107368785407068	0.0185968191472001	0.00759211962491007	665.619997815321	7.94406734428185	7.64503143359024	3.53813553305682	665.431198221239	7.1383637166591	12.3640086401598	5.04758539062566	3
[1030] propylene glycol [6.144]	12	655.199818108688	5.29338220381751	9.16840692089285	3.74298645173155	6.48484287576928	0.00804634881548779	0.0139366849638465	0.00568962781122376	654.058378021874	5.85155089908559	5.59860291526318	2.64741013479304	655.199818108688	5.29338220381751	9.16840692089285	3.74298645173155	3
[1030] propylene glycol [6.144]	13	656.293149674911	4.39629715331313	7.61461003470876	3.10865152921883	6.48654059978687	0.00667290649336608	0.0115578130806663	0.0047184574316829	655.207720147202	4.84999683264627	4.63113899129826	2.2055059167784	656.293149674911	4.39629715331313	7.61461003470876	3.10865152921883	3
[1030] propylene glycol [6.144]	14	657.62789406772	7.57196390148053	13.1150261904417	5.35418702163663	6.48844219540373	0.0114358433144395	0.0198074616480061	0.00808636235622704	655.682535844315	8.34754662914294	7.96519126576316	3.80282869842969	657.62789406772	7.57196390148053	13.1150261904417	5.35418702163663	3
[1030] propylene glycol [6.144]	15	671.309807699839	3.56295001544389	6.17121045157713	2.51938611694909	6.50918865476639	0.00529164548211774	0.00916539883067023	0.00374175840404061	670.453700862704	3.93241540816493	3.75665020932274	1.78619584188674	671.309807699839	3.56295001544389	6.17121045157713	2.51938611694909	3
[1030] propylene glycol [6.144]	16	675.746152093865	3.19133610366442	5.52755627557567	2.25661539994656	6.51578390941135	0.00473598779287169	0.00820297148127976	0.00334884908395628	676.540913067088	3.52016250212916	3.36081321571478	1.60137543846285	675.746152093865	3.19133610366442	5.52755627557567	2.25661539994656	3
[1030] propylene glycol [6.144]	17	659.210884614164	8.49252762691775	14.7094893345039	6.00512387440764	6.49079701490748	0.0127863574635354	0.0221466207705809	0.00904132006914113	657.053227058522	9.36428610295909	8.93720818551142	4.26380143478479	659.210884614164	8.49252762691775	14.7094893345039	6.00512387440764	3
[1030] propylene glycol [6.144]	18	660.235343277935	5.52992759973832	9.57811556492418	3.91024930524561	6.49249038740255	0.00841954371698558	0.0145830774943663	0.00595351645677709	661.669405294248	6.09530132699863	5.81508165647074	2.77802764818764	660.235343277935	5.52992759973832	9.57811556492418	3.91024930524561	3
[1030] propylene glycol [6.144]	19	665.346773984442	7.06224128795446	12.2321607260478	4.99375870508821	6.50013915283403	0.0106246913388138	0.0184025052135625	0.00751279129368923	665.56164774136	7.85906813817004	7.56302022392879	3.50052771185471	665.346773984442	7.06224128795446	12.2321607260478	4.99375870508821	3
[1030] propylene glycol [6.144]	20	665.65713498396	6.90554628025469	11.9607570114194	4.88295860256563	6.50061271044415	0.0104021636400961	0.0180170759332921	0.00735544044892412	666.355894663384	7.67404789708125	7.37663692374294	3.42887571534923	665.65713498396	6.90554628025469	11.9607570114194	4.88295860256563	3
[1030] propylene glycol [6.144]	21	668.837954605512	6.94496114288205	12.0290255560633	4.91082911920898	6.50537870701939	0.0104495811604259	0.0180992054876722	0.00738896969909634	670.587779445211	7.65899746249765	7.31079094147973	3.48601256466266	668.837954605512	6.94496114288205	12.0290255560633	4.91082911920898	3
[1030] propylene glycol [6.144]	22	659.142123732317	8.83870076234661	15.3090787932821	6.249905245934	6.49067220006036	0.0133067863423997	0.0230480300304998	0.00940931885851134	656.935714703758	9.74900878606467	9.30730979602019	4.43543738879474	659.142123732317	8.83870076234661	15.3090787932821	6.249905245934	3
