Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[11005] myristic acid [16.887]	1	1526.52498551255	0.292560684988747	0.506729970697664	0.206871644264125	7.33074912479529	0.000191634282796808	0.000331920314276093	0.000135505900873443	1526.46776761885	0.32379321055412	0.310137812632695	0.146068891568706	1526.52498551255	0.292560684988747	0.506729970697664	0.206871644264125	3
[11005] myristic acid [16.887]	2	1526.25586105473	0.195579478475001	0.338753593636525	0.138295575490602	7.33057284095235	0.000128147297567851	0.000221957630240165	9.06138231009575e-05	1526.27552612926	0.217351619412137	0.208932404691865	0.0971069061469272	1526.25586105473	0.195579478475001	0.338753593636525	0.138295575490602	3
[11005] myristic acid [16.887]	3	1526.28756889998	0.200471241835742	0.347226376315932	0.141754574534941	7.33059361441032	0.00013135328532076	0.000227510563916647	9.28807987814405e-05	1526.32462744092	0.22200431573166	0.2127559402027	0.100005992926898	1526.28756889998	0.200471241835742	0.347226376315932	0.141754574534941	3
[11005] myristic acid [16.887]	4	1526.37247756694	0.0288276102670242	0.0499308856432802	0.0203841987052158	7.33064926905233	1.88865678940865e-05	3.2712495173157e-05	1.33548202312487e-05	1526.37982221851	0.0317857882108724	0.0303402317198917	0.0144282680873498	1526.37247756694	0.0288276102670242	0.0499308856432802	0.0203841987052158	3
[11005] myristic acid [16.887]	5	1526.35798725575	0.216303955000374	0.37464943993874	0.152949993378234	7.33063974611562	0.000141724762724282	0.0002454744897291	0.000100214540784394	1526.41405262108	0.238421831688243	0.227463470285367	0.108656013761692	1526.35798725575	0.216303955000374	0.37464943993874	0.152949993378234	3
[11005] myristic acid [16.887]	6	1525.67136955264	0.490377618866315	0.849358950771103	0.346749339642483	7.33018967951489	0.000321439517205364	0.0005567495753601	0.000227292062357243	1525.71435386858	0.545158587514824	0.524194953313456	0.243372614389801	1525.67136955264	0.490377618866315	0.849358950771103	0.346749339642483	3
[11005] myristic acid [16.887]	7	1525.62472657506	0.158401452032376	0.274359362912759	0.112006740881889	7.3301592457541	0.000103833863660065	0.000179845527405413	7.34216291108315e-05	1525.6657332235	0.174605151236931	0.166584446982664	0.0795660079312997	1525.62472657506	0.158401452032376	0.274359362912759	0.112006740881889	3
[11005] myristic acid [16.887]	8	1525.67109733647	0.458623373302173	0.794358984097991	0.324295697272616	7.33018952049727	0.000300649716755504	0.000520740584701724	0.000212591453479631	1525.76766270668	0.507140923500099	0.485360008524348	0.229269184468566	1525.67109733647	0.458623373302173	0.794358984097991	0.324295697272616	3
[11005] myristic acid [16.887]	9	1526.22191299948	0.158805499300432	0.275059193309691	0.112292445445051	7.33055060639303	0.000104058013008572	0.000180233765465511	7.35801266351595e-05	1526.2630891645	0.175045413674608	0.166999464709959	0.0797727253622398	1526.22191299948	0.158805499300432	0.275059193309691	0.112292445445051	3
[11005] myristic acid [16.887]	10	1526.5518080916	0.0605340388605803	0.104848030893874	0.0428040293709263	7.33076674837659	3.96550503369075e-05	6.86845619602251e-05	2.80403550015212e-05	1526.56727432872	0.0667494272540975	0.0637009660319153	0.0303838034948818	1526.5518080916	0.0605340388605803	0.104848030893874	0.0428040293709263	3
[11005] myristic acid [16.887]	11	1527.04493454927	0.0752593420290756	0.130353004138563	0.0532163910963971	7.33108972782818	4.92835159115701e-05	8.53615535344686e-05	3.48487083017863e-05	1527.03482489956	0.0835447546795749	0.0802316287100094	0.0374156411411496	1527.04493454927	0.0752593420290756	0.130353004138563	0.0532163910963971	3
[11005] myristic acid [16.887]	12	1525.81394981104	0.480289717765949	0.83188619352354	0.339616116366476	7.3302831355711	0.000314836786588561	0.000545313310463107	0.000222623226763753	1525.93848786329	0.529396417514045	0.505059656052273	0.241277198906671	1525.81394981104	0.480289717765949	0.83188619352354	0.339616116366476	3
[11005] myristic acid [16.887]	13	1526.44006159118	0.324621464727259	0.56226087013504	0.229542039027354	7.33069347832266	0.000212638045507822	0.000368299898441691	0.000150357803916835	1526.35592183312	0.357815407244717	0.341369305546319	0.163072694178321	1526.44006159118	0.324621464727259	0.56226087013504	0.229542039027354	3
[11005] myristic acid [16.887]	14	1526.41238280508	0.275953218863736	0.477964995584164	0.195128392348803	7.3306753640605	0.000180786143700325	0.00031313078619341	0.000127835108155065	1526.41460747397	0.307129305296201	0.295590555581076	0.136755655834014	1526.41238280508	0.275953218863736	0.477964995584164	0.195128392348803	3
[11005] myristic acid [16.887]	15	1526.4849052411	0.278968180993588	0.483187063175966	0.197260292515843	7.33072287354824	0.000182763419938853	0.000316555529099141	0.000129233253591608	1526.52452994179	0.309560338077155	0.297196661177452	0.138780191789674	1526.4849052411	0.278968180993588	0.483187063175966	0.197260292515843	3
[11005] myristic acid [16.887]	16	1525.77597700299	0.481597948975345	0.834152116446262	0.340541175526	7.3302582475376	0.00031568078258549	0.000546775154411173	0.000223220022056476	1525.85543487704	0.533860523815171	0.512078744754514	0.239920626045001	1525.77597700299	0.481597948975345	0.834152116446262	0.340541175526	3
[11005] myristic acid [16.887]	17	1526.1001706458	0.143862410833881	0.24917700486363	0.101726086258482	7.3304708389858	9.42657228001279e-05	0.000163273021302026	6.66559318254218e-05	1526.0848762986	0.159850570131372	0.153636789210069	0.0714428478832645	1526.1001706458	0.143862410833881	0.24917700486363	0.101726086258482	3
[11005] myristic acid [16.887]	18	1526.95816190691	0.382345251458171	0.66224140155825	0.270358920060548	7.33103281189826	0.000250426798150442	0.000433751937973361	0.000177078487163012	1527.03509722667	0.423024829935188	0.40506381245047	0.190983560878755	1526.95816190691	0.382345251458171	0.66224140155825	0.270358920060548	3
[11005] myristic acid [16.887]	19	1525.89618748933	0.063343733888874	0.109714565436652	0.044790783778499	7.33033717777727	4.15114346212856e-05	7.18999138591404e-05	2.93530169174931e-05	1525.87993777657	0.0698416115115763	0.0666467129553351	0.0317987964731153	1525.89618748933	0.063343733888874	0.109714565436652	0.044790783778499	3
[11005] myristic acid [16.887]	20	1525.67208024812	0.488504323607774	0.846114308205733	0.345424719862005	7.3301901465211	0.000320212029429608	0.000554623504166821	0.000226424097427182	1525.71624724486	0.543036388625038	0.522123066401074	0.24246538907558	1525.67208024812	0.488504323607774	0.846114308205733	0.345424719862005	3
[11005] myristic acid [16.887]	21	1526.28651940585	0.194413176930011	0.336733500103657	0.137470875759231	7.33059292833838	0.000127383341479987	0.000220634419481233	9.00736245707001e-05	1526.3202679465	0.215421530463993	0.206555688245771	0.0969050506137327	1526.28651940585	0.194413176930011	0.336733500103657	0.137470875759231	3
[11005] myristic acid [16.887]	22	1526.15866202021	0.196283488211928	0.339972974269906	0.138793385549604	7.33050915411987	0.00012860581102426	0.00022275179884262	9.09380410752498e-05	1526.12416972716	0.217470381578597	0.208500103029448	0.0978519768711401	1526.15866202021	0.196283488211928	0.339972974269906	0.138793385549604	3
[11005] myristic acid [16.887]	23	1526.28724553305	0.194912765459011	0.337598812818764	0.13782413819589	7.33059340396056	0.000127711102263608	0.000221202117811194	9.0305386443406e-05	1526.32345564185	0.215838319896257	0.20683766414464	0.0972396025957062	1526.28724553305	0.194912765459011	0.337598812818764	0.13782413819589	3
