Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[11266] 2-hydroxybutyric acid [7.852]	1	816.141006423301	1.00369202810516	3.17395287816603	0.709717439296036	6.70457953029049	0.00123585488507827	0.00390811629429297	0.000873881369801366	816.908158252694	0.578666571237747	1.17216790082469	0.352173306645369	816.141006423301	1.00369202810516	3.17395287816603	0.709717439296036	10
[11266] 2-hydroxybutyric acid [7.852]	2	817.846701656131	1.02040804460787	3.22681356371958	0.721537447919533	6.7066671692914	0.00124286311930676	0.00393027827683095	0.000878836939748474	817.271857699967	0.71983648830881	1.40798587076394	0.40360278723687	817.846701656131	1.02040804460787	3.22681356371958	0.721537447919533	10
[11266] 2-hydroxybutyric acid [7.852]	3	817.6003522582	0.323106876465346	1.02175365729315	0.22847106339665	6.70637286971824	0.000395076409636497	0.00124934130425303	0.000279361208340801	817.56825973988	0.315984490062368	0.575766538512856	0.152374904669037	817.6003522582	0.323106876465346	1.02175365729315	0.22847106339665	10
[11266] 2-hydroxybutyric acid [7.852]	4	817.251697091453	0.364460873354591	1.15252647781468	0.257712755026203	6.70594612774037	0.000445976668953992	0.00141030205718952	0.000315353126868356	817.277005061376	0.365184179249672	0.66214183848743	0.174766021555807	817.251697091453	0.364460873354591	1.15252647781468	0.257712755026203	10
[11266] 2-hydroxybutyric acid [7.852]	5	816.556244612445	0.882474954286369	2.7906308335979	0.62400402440318	6.70508992647448	0.0010847108804123	0.00343015698486939	0.000767006419166368	817.177236452839	0.629651752482099	1.21469628795597	0.346534340862486	816.556244612445	0.882474954286369	2.7906308335979	0.62400402440318	10
[11266] 2-hydroxybutyric acid [7.852]	6	818.27671873035	0.981406913697675	3.10348115872095	0.693959483778987	6.70719340761811	0.00119515942443768	0.00377942594823896	0.000845105333618893	817.760149539276	0.691484580074577	1.35714407298033	0.392363540611664	818.27671873035	0.981406913697675	3.10348115872095	0.693959483778987	10
[11266] 2-hydroxybutyric acid [7.852]	7	817.178888412132	0.340641889350133	1.07720423680948	0.240870189915677	6.70585715951921	0.000416928023752874	0.00131844217541186	0.000294812632862363					817.178888412132	0.340641889350133	1.07720423680948	0.240870189915677	10
[11266] 2-hydroxybutyric acid [7.852]	8	816.409097399623	0.865235298025892	2.73611425373641	0.611813746556072	6.70490993116753	0.00106363587756884	0.00336351197418955	0.000752104141742234	817.008014000019	0.612442831552988	1.18555626789613	0.338667556498814	816.409097399623	0.865235298025892	2.73611425373641	0.611813746556072	10
[11266] 2-hydroxybutyric acid [7.852]	9	816.77264499786	0.864016495709833	2.73226006240017	0.61095192317346	6.70535514908854	0.00106231932945186	0.00335934868349065	0.000751173201640953	817.440663165596	0.499051090990644	1.00966810662045	0.303766976430494	816.77264499786	0.864016495709833	2.73226006240017	0.61095192317346	10
[11266] 2-hydroxybutyric acid [7.852]	10	817.419289512386	0.234048910703849	0.740127641705525	0.165497571888016	6.70615175946085	0.000286377282948062	0.000905604484246376	0.000202499318750353					817.419289512386	0.234048910703849	0.740127641705525	0.165497571888016	10
[11266] 2-hydroxybutyric acid [7.852]	11	816.917706235803	0.796430202760111	2.51853343807167	0.563161197113451	6.70553358855338	0.000978322135053427	0.00309372623212768	0.00069177821588118	817.467446876174	0.527538464035124	1.03873488943366	0.301124773189996	816.917706235803	0.796430202760111	2.51853343807167	0.563161197113451	10
[11266] 2-hydroxybutyric acid [7.852]	12	817.193086209174	0.511059767516646	1.61611288582874	0.361373827202641	6.70587344432416	0.000626035264284986	0.00197969733072602	0.000442673780637826	817.487226765127	0.49783895440499	0.900057735641481	0.247137636717378	817.193086209174	0.511059767516646	1.61611288582874	0.361373827202641	10
[11266] 2-hydroxybutyric acid [7.852]	13	817.59008307142	1.32317571417304	4.18424900140674	0.935626520193108	6.70634799859938	0.00161798839510774	0.00511652855626088	0.00114409056606182	817.560239357711	1.03737660214476	2.0137120037988	0.583825464372303	817.59008307142	1.32317571417304	4.18424900140674	0.935626520193108	10
[11266] 2-hydroxybutyric acid [7.852]	14	818.099565840587	0.950028922918336	3.00425523945848	0.671771893718907	6.70697734417659	0.00115622065235019	0.00365629073915231	0.000817571463824752	817.417818378261	0.591186069269009	1.17898819609693	0.345607449304596	818.099565840587	0.950028922918336	3.00425523945848	0.671771893718907	10
[11266] 2-hydroxybutyric acid [7.852]	15	816.172646713143	0.855540890753819	2.70545784619136	0.604958765434405	6.70462039102036	0.00105173008841407	0.00332586256311872	0.000743685477495514	816.752541161653	0.618334443378447	1.19755981193762	0.347086569288348	816.172646713143	0.855540890753819	2.70545784619136	0.604958765434405	10
[11266] 2-hydroxybutyric acid [7.852]	16	817.269846280044	0.434281563567986	1.37331888669404	0.30708343854322	6.7059679162735	0.000531784398668162	0.0016816499239344	0.000376028354427468	817.415545229381	0.425834610110563	0.771001815263391	0.202978002109113	817.269846280044	0.434281563567986	1.37331888669404	0.30708343854322	10
[11266] 2-hydroxybutyric acid [7.852]	17	817.160151179542	0.807969242597788	2.55502308597015	0.571320530431055	6.70583018602772	0.000992533571236732	0.00313866673928906	0.000701827218776795	817.767379950727	0.491656321331152	0.983714173174969	0.291745307605546	817.160151179542	0.807969242597788	2.55502308597015	0.571320530431055	10
[11266] 2-hydroxybutyric acid [7.852]	18	816.623301753487	1.0986166142708	3.47413077639836	0.776839257875086	6.70516880781794	0.0013515971280865	0.00427412540369568	0.000955723494702226	817.37352504373	0.766786615803666	1.4889378866764	0.4243685760132	816.623301753487	1.0986166142708	3.47413077639836	0.776839257875086	10
[11266] 2-hydroxybutyric acid [7.852]	19	815.990497875267	0.858425010240287	2.71457823281267	0.606998145881039	6.70439715432561	0.00105517537546968	0.00333675751740755	0.000746121663335673	816.507083522309	0.6868772191134	1.29667423905674	0.35938779424285	815.990497875267	0.858425010240287	2.71457823281267	0.606998145881039	10
[11266] 2-hydroxybutyric acid [7.852]	20	817.644439034191	1.44621808947134	4.57334315606662	1.02263061813984	6.70641189550419	0.00177156579311418	0.00560218293108345	0.00125268618562916	817.84977651851	1.05793598422608	2.09019217436361	0.622424236817168	817.644439034191	1.44621808947134	4.57334315606662	1.02263061813984	10
[11266] 2-hydroxybutyric acid [7.852]	21	816.086403249386	0.746561509826108	2.36083478446468	0.527898706170909	6.70451604348242	0.000916094654808667	0.00289694566150111	0.000647776742623958	816.362055164887	0.732793579658184	1.32392495288431	0.348098852995371	816.086403249386	0.746561509826108	2.36083478446468	0.527898706170909	10
[11266] 2-hydroxybutyric acid [7.852]	22	817.673247169033	0.286409505545981	0.905706381047928	0.202522103567849	6.70646218924808	0.000350596978115591	0.00110868499161748	0.000247909500689046	817.810741174483	0.218638233979839	0.420764493922258	0.118501931779416	817.673247169033	0.286409505545981	0.905706381047928	0.202522103567849	10
[11266] 2-hydroxybutyric acid [7.852]	23	818.17459884994	0.972527982608796	3.07540351329242	0.687681131396353	6.70706873160045	0.00118407806812877	0.00374438362273896	0.000837269631428123	817.603909590249	0.665350787631832	1.30992413333499	0.378223224424989	818.17459884994	0.972527982608796	3.07540351329242	0.687681131396353	10
[11266] 2-hydroxybutyric acid [7.852]	24	816.840671092791	0.876817669405321	2.77274092800135	0.620003719900687	6.70543826538996	0.00107792438557911	0.00340869620386755	0.000762207642649331	817.490286352369	0.521874237889596	1.0509904983819	0.312841083922163	816.840671092791	0.876817669405321	2.77274092800135	0.620003719900687	10
[11266] 2-hydroxybutyric acid [7.852]	25	816.926179886638	0.816510946350511	2.58203432492716	0.577360427077492	6.7055437181337	0.00100288612849125	0.00317140439982065	0.000709147582214089	817.523243119037	0.573488474377436	1.11258106186404	0.323888908909207	816.926179886638	0.816510946350511	2.58203432492716	0.577360427077492	10
[11266] 2-hydroxybutyric acid [7.852]	26	815.716165391809	1.04878334228334	3.31654413365933	0.741601813324042	6.70405817196711	0.00128811983348983	0.0040733925730647	0.000910838269241544	816.192421525506	1.03309625201357	1.87309926994499	0.503421114013609	815.716165391809	1.04878334228334	3.31654413365933	0.741601813324042	10
[11266] 2-hydroxybutyric acid [7.852]	27	816.605359840503	1.04877809827458	3.31652755064759	0.741598105249889	6.70514763772075	0.00129101577387218	0.004082550340641	0.00091288600832382	817.41303423364	0.582240611752726	1.19112708166081	0.363171901371526	816.605359840503	1.04877809827458	3.31652755064759	0.741598105249889	10
[11266] 2-hydroxybutyric acid [7.852]	28	817.305664437862	0.270768694700641	0.856245794324789	0.191462380155853	6.70601260590499	0.000331513925663615	0.00104833908116077	0.000234415744894515	817.438699444409	0.255019934658165	0.463719924352955	0.123571472090495	817.305664437862	0.270768694700641	0.856245794324789	0.191462380155853	10
[11266] 2-hydroxybutyric acid [7.852]	29	816.565470980938	0.813579521166935	2.57276434455669	0.575287596451644	6.70510211117909	0.000999267231487582	0.00315996044267149	0.000706588635602377	817.129450755214	0.624996923934444	1.19346071523173	0.344287077816537	816.565470980938	0.813579521166935	2.57276434455669	0.575287596451644	10
[11266] 2-hydroxybutyric acid [7.852]	30	817.889464159266	0.236630937095953	0.748292726083242	0.167323340259076	6.70672677927349	0.000289464920497633	0.00091536845149208	0.000204682608199501	817.976617241402	0.203753907735367	0.382746310540961	0.105730248247473	817.889464159266	0.236630937095953	0.748292726083242	0.167323340259076	10
[11266] 2-hydroxybutyric acid [7.852]	31	815.738054807683	0.980238909483149	3.09978760508638	0.693133580078441	6.70408604781927	0.0012047060087664	0.00380961489859261	0.000851855788134904	816.423317581464	0.863258433035241	1.60353307162554	0.462137137930837	815.738054807683	0.980238909483149	3.09978760508638	0.693133580078441	10
[11266] 2-hydroxybutyric acid [7.852]	32	816.672692577951	0.717875992695492	2.27012321447215	0.507614982486007	6.70523451778278	0.000881123724083684	0.0027863578685142	0.000623048560363917	817.104300014542	0.592702340632616	1.1102371160014	0.307023353038143	816.672692577951	0.717875992695492	2.27012321447215	0.507614982486007	10
[11266] 2-hydroxybutyric acid [7.852]	33	817.662542830253	0.361485498489073	1.14311751634682	0.255608847282223	6.70644873447559	0.000442244560080409	0.00139850009267327	0.000312714127375719	817.731404449707	0.310544169440241	0.587469496740858	0.164580868540163	817.662542830253	0.361485498489073	1.14311751634682	0.255608847282223	10
[11266] 2-hydroxybutyric acid [7.852]	34	817.297902837778	0.388059691759588	1.22715249406317	0.274399639548366	6.70600253081421	0.000474974634602495	0.00150200167615011	0.000335857785019027	817.389076710654	0.400689568841128	0.71992773845868	0.188802763797459	817.297902837778	0.388059691759588	1.22715249406317	0.274399639548366	10
[11266] 2-hydroxybutyric acid [7.852]	35	817.445958798976	0.422855612298822	1.33718685624939	0.299004070919287	6.7061834555636	0.000517764262571496	0.0016373143607634	0.000366114621120357	817.628934097029	0.38922747722083	0.717256696620859	0.194526265891273	817.445958798976	0.422855612298822	1.33718685624939	0.299004070919287	10
[11266] 2-hydroxybutyric acid [7.852]	36	816.918784210753	1.50717341932753	4.76610083393905	1.06573254523061	6.70552266612094	0.0018447375033318	0.00583357219566096	0.00130442639811506	817.062880720543	1.33700509292389	2.51963489203019	0.709070021941423	816.918784210753	1.50717341932753	4.76610083393905	1.06573254523061	10
[11266] 2-hydroxybutyric acid [7.852]	37	816.4715126733	1.0350891777659	3.27323938313117	0.731918576731077	6.70498393097858	0.00127428387933208	0.00402963944432454	0.000901054772232414	817.273242328512	0.580774040908112	1.18374624872274	0.358957173424799	816.4715126733	1.0350891777659	3.27323938313117	0.731918576731077	10
[11266] 2-hydroxybutyric acid [7.852]	38	817.495561934024	0.319918409245955	1.01167083863509	0.226216476604228	6.70624470793081	0.000391441413152415	0.00123784643607662	0.000276790877677318	817.551014722976	0.32128326453075	0.58263483041399	0.154111557724431	817.495561934024	0.319918409245955	1.01167083863509	0.226216476604228	10
[11266] 2-hydroxybutyric acid [7.852]	39	817.207120078215	0.237905166326673	0.752322192713481	0.168224356388904	6.70589215169686	0.000291237343764187	0.000920973345992266	0.000205935900710414	817.288347440994	0.231313816134311	0.420435085764695	0.111619388559314	817.207120078215	0.237905166326673	0.752322192713481	0.168224356388904	10
[11266] 2-hydroxybutyric acid [7.852]	40	817.872122975541	0.311304216038806	0.984430367895747	0.220125322173002	6.70670527153193	0.00038046340916274	0.00120313093930683	0.000269028256612325	817.763311376469	0.304075407789248	0.554654979864885	0.149305732834879	817.872122975541	0.311304216038806	0.984430367895747	0.220125322173002	10
[11266] 2-hydroxybutyric acid [7.852]	41	817.883242212013	0.302085555503303	0.955278403627651	0.213606744794891	6.70671890879181	0.000369286455945576	0.00116778630983945	0.000261124957199464	817.854228697191	0.292337377797083	0.53561068834357	0.143161133332676	817.883242212013	0.302085555503303	0.955278403627651	0.213606744794891	10
[11266] 2-hydroxybutyric acid [7.852]	42	817.871672028123	0.258506238943426	0.817468504424945	0.182791514535926	6.70670494444005	0.000316160799320983	0.000999788232713722	0.000223559445145226	817.937609882566	0.258961730957765	0.468834521195483	0.124214750488676	817.871672028123	0.258506238943426	0.817468504424945	0.182791514535926	10
[11266] 2-hydroxybutyric acid [7.852]	43	817.712921877651	0.182565156838754	0.577321716996329	0.129093060409069	6.70651107432422	0.000223396670934675	0.000706442301852709	0.000157965300912408	817.822512556697	0.151231185122398	0.283185915445301	0.0783614472859491	817.712921877651	0.182565156838754	0.577321716996329	0.129093060409069	10
[11266] 2-hydroxybutyric acid [7.852]	44	817.318195672992	0.239698596526999	0.757993516971041	0.169492503045139	6.70602805733671	0.000293294191198792	0.000927477668685093	0.00020739031147929	817.326912794388	0.262430989397356	0.462783543612709	0.117616060608288	817.318195672992	0.239698596526999	0.757993516971041	0.169492503045139	10
[11266] 2-hydroxybutyric acid [7.852]	45	816.922751666099	0.298434358650387	0.943732305386795	0.211024958740747	6.70554387185309	0.000365338332678214	0.00115530124783148	0.000258333212464152	816.926343092114	0.328904590078095	0.577722006630066	0.145901703357658	816.922751666099	0.298434358650387	0.943732305386795	0.211024958740747	10
[11266] 2-hydroxybutyric acid [7.852]	46	817.09649034257	0.840713278359159	2.65856881876209	0.594474060161335	6.70575187482182	0.00103226815933835	0.00326431853957881	0.000729923815471105	817.599476107368	0.606215392037488	1.17581842727953	0.333775464684962	817.09649034257	0.840713278359159	2.65856881876209	0.594474060161335	10
[11266] 2-hydroxybutyric acid [7.852]	47	817.397207538094	0.37426262775238	1.18352234677726	0.264643642028404	6.7061241055504	0.000458221818600693	0.0014490246203627	0.000324011755220182	817.602228829793	0.346402830248973	0.638703908988045	0.178401574912055	817.397207538094	0.37426262775238	1.18352234677726	0.264643642028404	10
[11266] 2-hydroxybutyric acid [7.852]	48	816.702288739977	0.895374346939092	2.83142229481334	0.633125272421108	6.70526859274783	0.00110047925986105	0.00348002097893724	0.000778156347202904	817.334008493955	0.619045293743957	1.20616277629726	0.348937926206677	816.702288739977	0.895374346939092	2.83142229481334	0.633125272421108	10
[11266] 2-hydroxybutyric acid [7.852]	49	816.707821203997	0.884303129914665	2.79641203254612	0.625296739787148	6.70527551499257	0.001086921071797	0.00343714622370994	0.000768569260482211	817.303322722729	0.59127592435099	1.16255816237045	0.335394824959037	816.707821203997	0.884303129914665	2.79641203254612	0.625296739787148	10
[11266] 2-hydroxybutyric acid [7.852]	50	816.606803674546	0.902745829217759	2.8547329685455	0.638337697527751	6.70515157113009	0.00110941107194732	0.00350826584876247	0.000784472092097387	817.219087944381	0.677103507382601	1.29225566337352	0.364861657636703	816.606803674546	0.902745829217759	2.8547329685455	0.638337697527751	10
[11266] 2-hydroxybutyric acid [7.852]	51	817.213262581124	0.277628814246373	0.877939397110341	0.19631321720639	6.70589951518699	0.00033966076726548	0.00107410165635928	0.000240176431836447					817.213262581124	0.277628814246373	0.877939397110341	0.19631321720639	10
[11266] 2-hydroxybutyric acid [7.852]	52	817.17641298537	0.376989252770031	1.19214469215824	0.266571657068138	6.70585393482685	0.000461447568157959	0.00145922533612494	0.000326292704606534	817.24964037379	0.412492323059445	0.725931727997422	0.18499325461728	817.17641298537	0.376989252770031	1.19214469215824	0.266571657068138	10
[11266] 2-hydroxybutyric acid [7.852]	53	816.899559094924	0.757739900360928	2.39618395912958	0.535803021920831	6.70551183327818	0.000929733053514254	0.00294007406504826	0.000657420546833204	817.2955636505	0.635724901457376	1.19173235339894	0.327024056164691	816.899559094924	0.757739900360928	2.39618395912958	0.535803021920831	10
[11266] 2-hydroxybutyric acid [7.852]	54	816.995887652704	0.30949303056198	0.97870289652396	0.218844620640352	6.70563334340843	0.000378996290555032	0.00119849150290886	0.00026799084709601	817.112696447007	0.301690844108304	0.551230963833348	0.14892373369956	816.995887652704	0.30949303056198	0.97870289652396	0.218844620640352	10
[11266] 2-hydroxybutyric acid [7.852]	55	817.561989226361	0.129871348620186	0.410689264437554	0.0918329112911758	6.70632660152507	0.000158853516166912	0.000502338925413821	0.00011232639849695					817.561989226361	0.129871348620186	0.410689264437554	0.0918329112911758	10
[11266] 2-hydroxybutyric acid [7.852]	56	817.617158619161	0.242656079176889	0.767345898285126	0.171583759082118	6.70639376530157	0.000296830960884268	0.000938661916450635	0.000209891185307385	817.664822406842	0.252525009277425	0.451784517971831	0.117733064393299	817.617158619161	0.242656079176889	0.767345898285126	0.171583759082118	10
[11266] 2-hydroxybutyric acid [7.852]	57	816.55762481197	0.843451945111926	2.66722924345301	0.596410589993626	6.70509213176808	0.00103566022590986	0.0032750451959197	0.000732322368746056	817.071938521505	0.721003065228886	1.3395785049954	0.37022146418204	816.55762481197	0.843451945111926	2.66722924345301	0.596410589993626	10
[11266] 2-hydroxybutyric acid [7.852]	58	817.605263615442	0.200481328847577	0.633977627495562	0.141761707129412	6.7063793565329	0.00024529904965675	0.000775703704790075	0.000173452621430904	817.689192644709	0.202348524328986	0.361733563673476	0.0945069039180815	817.605263615442	0.200481328847577	0.633977627495562	0.141761707129412	10
[11266] 2-hydroxybutyric acid [7.852]	59	817.374829491377	0.334135601238795	1.05662954726437	0.236269549471796	6.70609694137542	0.000408919541708001	0.0012931171315495	0.000289149780901423	817.4433831512	0.347097219349719	0.62064004273182	0.160848222914525	817.374829491377	0.334135601238795	1.05662954726437	0.236269549471796	10
[11266] 2-hydroxybutyric acid [7.852]	60	817.927457144371	1.01718303329856	3.21661518250235	0.719257020553315	6.70676595528926	0.00123894705535396	0.00391789459527722	0.00087606786437189	817.371045455614	0.731432961165943	1.42437188819768	0.405666984595992	817.927457144371	1.01718303329856	3.21661518250235	0.719257020553315	10
[11266] 2-hydroxybutyric acid [7.852]	61	817.960197265485	0.174960089675124	0.553272383000701	0.123715465846287	6.70681344805911	0.000213896824885557	0.000676401150916545	0.000151247895350849	817.968078827416	0.172145270664597	0.31391161037973	0.0835083157406267	817.960197265485	0.174960089675124	0.553272383000701	0.123715465846287	10
[11266] 2-hydroxybutyric acid [7.852]	62	817.199879218762	0.244756786783359	0.77398891901961	0.173069183675943	6.70588326630428	0.000299666509864962	0.000947628709646597	0.00021189622122002	817.270667443122	0.207486619940123	0.391927915835771	0.108357475981419	817.199879218762	0.244756786783359	0.77398891901961	0.173069183675943	10
[11266] 2-hydroxybutyric acid [7.852]	63	816.381399222537	0.885905899121199	2.80148043380235	0.626430068761765	6.70487573343913	0.0010886793067603	0.0034427062508557	0.000769812520347678	816.885039199677	0.667130821876131	1.28182540938949	0.359984567869741	816.381399222537	0.885905899121199	2.80148043380235	0.626430068761765	10
[11266] 2-hydroxybutyric acid [7.852]	64	815.595177243341	0.972537813951669	3.07543460272836	0.687688083205566	6.70391099124711	0.00119555582106811	0.00378067946444794	0.000845385628364309	816.262118590926	0.85211916210159	1.58292329874977	0.452834510643906	815.595177243341	0.972537813951669	3.07543460272836	0.687688083205566	10
[11266] 2-hydroxybutyric acid [7.852]	65	817.596124794775	0.30607139678557	0.967882740471539	0.216425160194315	6.70636777845283	0.000374573154382256	0.00118450431820181	0.000264863217514129	817.669944936902	0.267951478739443	0.502306571012318	0.137607616758282	817.596124794775	0.30607139678557	0.967882740471539	0.216425160194315	10
[11266] 2-hydroxybutyric acid [7.852]	66	818.116442862861	1.2276080299895	3.88203744867911	0.868049962644634	6.7069934227269	0.00150018761718758	0.00474400978789352	0.00106079283716543	818.077929318296	0.902841083292827	1.78313302111735	0.531383037259601	818.116442862861	1.2276080299895	3.88203744867911	0.868049962644634	10
[11266] 2-hydroxybutyric acid [7.852]	67	816.572696682591	0.893834264424755	2.82655212628344	0.632036269631634	6.70510992428991	0.00109841722625347	0.00347350025612546	0.000776698269255945	817.121450063406	0.627747131840484	1.2279624166278	0.355685978729883	816.572696682591	0.893834264424755	2.82655212628344	0.632036269631634	10
[11266] 2-hydroxybutyric acid [7.852]	68	816.155526269837	1.02080568549887	3.22807101462593	0.72181862249003	6.70459706130459	0.0012566870285489	0.00397399331620358	0.000888611919716101	816.911228138799	0.636386725679832	1.26764387162536	0.374405893516025	816.155526269837	1.02080568549887	3.22807101462593	0.72181862249003	10
