Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1174] uracil [10.777]	1	1023.36159576647	0.258461476974725	0.817326954651298	0.182759863044319	6.93084785049678	0.000252627702298819	0.000798878939319224	0.000178634761411071	1023.47066640968	0.277495018576496	0.489380841732584	0.128606413064316	1023.36159576647	0.258461476974725	0.817326954651298	0.182759863044319	10
[1174] uracil [10.777]	2	1024.07273003386	0.221231217906097	0.699594538116294	0.15643409439156	6.9315425952715	0.000215949531805942	0.000682892380153752	0.000152699378334042	1023.99985088754	0.194462264871414	0.363046044154237	0.0988438599502664	1024.07273003386	0.221231217906097	0.699594538116294	0.15643409439156	10
[1174] uracil [10.777]	3	1023.7661236943	0.280135493341687	0.885866212414664	0.198085706992946	6.9312430104434	0.000273559423664591	0.000865070854183074	0.000193435723530716	1023.70915112775	0.248053257345657	0.464074811490759	0.127224164230271	1023.7661236943	0.280135493341687	0.885866212414664	0.198085706992946	10
[1174] uracil [10.777]	4	1024.19588047107	0.385679965966284	1.21962714034968	0.272716919302556	6.93166236868121	0.00037622116051486	0.00118971577117877	0.00026602853382593					1024.19588047107	0.385679965966284	1.21962714034968	0.272716919302556	10
[1174] uracil [10.777]	5	1023.49248835302	0.306228198226612	0.96837859016563	0.216536035556576	6.93097561819974	0.000299248062314861	0.000946305462306961	0.000211600334119773	1023.56090798726	0.332209200561572	0.587476670723056	0.151482046873224	1023.49248835302	0.306228198226612	0.96837859016563	0.216536035556576	10
[1174] uracil [10.777]	6	1023.4315892459	0.221485496276704	0.700398636927129	0.156613896351725	6.93091632866772	0.000216421251399083	0.000684384088485006	0.00015303293445717	1023.43465294777	0.229763653199285	0.412642587614957	0.107483293368953	1023.4315892459	0.221485496276704	0.700398636927129	0.156613896351725	10
[1174] uracil [10.777]	7	1023.67131433369	0.200457610012661	0.633902621953784	0.141744935380401	6.93115058015298	0.000195893436637662	0.000619469438452889	0.000138517577436428	1023.74684187233	0.183826883845354	0.338184579869961	0.0903015297151171	1023.67131433369	0.200457610012661	0.633902621953784	0.141744935380401	10
[1174] uracil [10.777]	8	1023.44173345929	0.348712460535373	1.10272562377336	0.246576945528809	6.93092589417837	0.000340777223592192	0.00107763220125979	0.000240965885675963					1023.44173345929	0.348712460535373	1.10272562377336	0.246576945528809	10
[1174] uracil [10.777]	9	1023.70990761537	0.223991981534068	0.708324839262032	0.158386249074152	6.93118823266	0.000218861509755686	0.00069210086297113	0.000154758457688971	1023.76187530539	0.227102039989344	0.407274404920291	0.1051559657869	1023.70990761537	0.223991981534068	0.708324839262032	0.158386249074152	10
[1174] uracil [10.777]	10	1023.26335088899	0.310326277524089	0.981337854777638	0.219433815217662	6.93075170248161	0.00030350490133622	0.000959766769247138	0.000214610373858196	1023.46211355874	0.258807914125466	0.485676870164114	0.136963106246643	1023.26335088899	0.310326277524089	0.981337854777638	0.219433815217662	10
[1174] uracil [10.777]	11	1023.26294361856	0.381702617627693	1.20704966055185	0.269904509321198	6.93075106842067	0.000373286713900914	0.00118043623620653	0.000263953566726179	1023.49311595069	0.350790979297924	0.645977278348608	0.180667755171831	1023.26294361856	0.381702617627693	1.20704966055185	0.269904509321198	10
[1174] uracil [10.777]	12	1024.0199952	0.119568410685493	0.378108513972572	0.0845476340114099	6.93149126381126	0.000116752432483965	0.00036920360901436	8.25564367294363e-05	1023.98876016826	0.112423573827675	0.207025679372691	0.0562694742776345	1024.0199952	0.119568410685493	0.378108513972572	0.0845476340114099	10
[1174] uracil [10.777]	13	1023.46180162276	0.227054264920567	0.718008629604262	0.16055161042266	6.9309458368941	0.000221916344753522	0.000701761099440288	0.000156918552231347	1023.56504394177	0.225157405547163	0.407004513701504	0.109527011032365	1023.46180162276	0.227054264920567	0.718008629604262	0.16055161042266	10
[1174] uracil [10.777]	14	1023.98656312855	0.453601469029027	1.43441379213005	0.320744674706605	6.93145770324771	0.000442699162292487	0.00139993767109279	0.000313035579682622	1023.88438096222	0.405725861966686	0.756451231814132	0.205821256376669	1023.98656312855	0.453601469029027	1.43441379213005	0.320744674706605	10
[1174] uracil [10.777]	15	1023.08797908249	0.477952380259993	1.51141813472048	0.337963369166093	6.93057967169367	0.000467293512499463	0.00147771183531867	0.000330426411492851	1023.20319497112	0.535310233684578	0.933939472215166	0.236775509623424	1023.08797908249	0.477952380259993	1.51141813472048	0.337963369166093	10
[1174] uracil [10.777]	16	1023.73325826873	0.229601301267511	0.726063065743839	0.162352637095512	6.931211030095	0.000224341995500278	0.000709431680608125	0.000158633746323169	1023.78814680661	0.215245028175877	0.395704292291993	0.1056960452585	1023.73325826873	0.229601301267511	0.726063065743839	0.162352637095512	10
[1174] uracil [10.777]	17	1023.85311434142	0.229742576471954	0.726509817166785	0.162452533750588	6.93132810039333	0.00022448141634074	0.000709872568017278	0.000158732331744898	1023.92817294942	0.199052342032671	0.373678341933908	0.102547888773852	1023.85311434142	0.229742576471954	0.726509817166785	0.162452533750588	10
[1174] uracil [10.777]	18	1024.17011143372	0.44651655397986	1.41200932354588	0.315734883231208	6.93163696671725	0.000435684443722099	0.00137775518326528	0.000308075424613385	1023.99428550847	0.408273337594421	0.755971991880266	0.206629441483	1024.17011143372	0.44651655397986	1.41200932354588	0.315734883231208	10
[1174] uracil [10.777]	19	1024.01544536211	0.478833550819781	1.51420464069649	0.3385864508443	6.93148579573502	0.000467554497754645	0.00147853714316076	0.00033061095593658					1024.01544536211	0.478833550819781	1.51420464069649	0.3385864508443	10
[1174] uracil [10.777]	20	1023.6520766947	0.317398251450366	1.003701399938	0.224434455937307	6.93113149760145	0.000310408209911317	0.000981596947735414	0.000219491750164269					1023.6520766947	0.317398251450366	1.003701399938	0.224434455937307	10
[1174] uracil [10.777]	21	1024.1674792	0.12516728241931	0.395813700978571	0.0885066341813861	6.93163527144249	0.000122224492738777	0.000386507782913248	8.64257676426754e-05	1024.19382392192	0.126523937806819	0.227653152520717	0.0595083740844813	1024.1674792	0.12516728241931	0.395813700978571	0.0885066341813861	10
[1174] uracil [10.777]	22	1023.82888535136	0.370642524780675	1.17207457602233	0.262083842668518	6.93130403142963	0.000362338879100988	0.00114581614279151	0.000256212278499841	1024.01606263996	0.311738026728732	0.584056793204403	0.159775159549967	1023.82888535136	0.370642524780675	1.17207457602233	0.262083842668518	10
[1174] uracil [10.777]	23	1023.56583692204	0.305199128352478	0.965124385491903	0.215808373270261	6.93104728370254	0.000298209677936749	0.00094302180258539	0.000210866085484532	1023.62154478505	0.323020060587883	0.575745072673196	0.149542440549172	1023.56583692204	0.305199128352478	0.965124385491903	0.215808373270261	10
[1174] uracil [10.777]	24	1023.71378105858	0.206555804668238	0.653186806680473	0.146057010174355	6.93119205218707	0.000201844831707503	0.000638289402129081	0.000142725849247832					1023.71378105858	0.206555804668238	0.653186806680473	0.146057010174355	10
[1174] uracil [10.777]	25	1023.8172394	0.0878126429751681	0.277687959160716	0.0620929153216546	6.93129327573923	8.57707449210198e-05	0.000271230910559741	6.06490753610747e-05					1023.8172394	0.0878126429751681	0.277687959160716	0.0620929153216546	10
[1174] uracil [10.777]	26	1023.75715400259	0.212465424394011	0.671874665119376	0.150235742356683	6.93123440768436	0.000207637164591599	0.000656606367008718	0.000146821647109067	1023.87435893713	0.179377786469762	0.336997669982837	0.0938955626846078	1023.75715400259	0.212465424394011	0.671874665119376	0.150235742356683	10
[1174] uracil [10.777]	27	1023.10720081453	0.362795444236425	1.14725992851971	0.256535118803162	6.93059892208138	0.000354727940634192	0.00112174824210504	0.000250830532298776	1023.21112533046	0.388222669371174	0.685124670128879	0.175195562609114	1023.10720081453	0.362795444236425	1.14725992851971	0.256535118803162	10
[1174] uracil [10.777]	28	1023.49684780097	0.316206682481006	0.999933328005641	0.223591889438821	6.93097984796899	0.000308977487130157	0.000977072605046658	0.000218480076383713	1023.5478388386	0.337911536586239	0.60083512358211	0.155579995298626	1023.49684780097	0.316206682481006	0.999933328005641	0.223591889438821	10
[1174] uracil [10.777]	29	1023.88004186343	0.205298461765681	0.649210739308544	0.14516793448168	6.93135445095311	0.00020061840815761	0.000634411110335353	0.000141858636839097	1024.00024663636	0.168901221404126	0.317325114994488	0.0876487277563421	1023.88004186343	0.205298461765681	0.649210739308544	0.14516793448168	10
[1174] uracil [10.777]	30	1023.93226714389	0.283875820636386	0.897694165860411	0.200730517786885	6.93140527376585	0.000277222590448094	0.000876654804668017	0.000196025973603949	1023.9131857034	0.259120721465148	0.4822115268284	0.131539801065485	1023.93226714389	0.283875820636386	0.897694165860411	0.200730517786885	10
[1174] uracil [10.777]	31	1023.50979933952	0.300827010248929	0.951298534085432	0.212716818911093	6.93099254727454	0.00029401260670789	0.000929749498000232	0.000207898307957482	1023.64358969003	0.320009498670381	0.565956907104381	0.149825908016549	1023.50979933952	0.300827010248929	0.951298534085432	0.212716818911093	10
[1174] uracil [10.777]	32	1023.70317536042	0.2851972856974	0.901873005301548	0.201664934692629	6.93118150754964	0.000278672120211316	0.000881238620256	0.000197050945929054	1023.79462747968	0.29410540469269	0.527337107440942	0.138423758540678	1023.70317536042	0.2851972856974	0.901873005301548	0.201664934692629	10
[1174] uracil [10.777]	33	1023.82901768315	0.489671833766976	1.54847830073499	0.34625027421268	6.9313036737164	0.000478051701094959	0.00151173221477808	0.00033803359960201					1023.82901768315	0.489671833766976	1.54847830073499	0.34625027421268	10
[1174] uracil [10.777]	34	1023.57761804588	0.260642822372624	0.824224974472185	0.184302307167283	6.93105891352242	0.000254874930069234	0.000805985297494917	0.000180223791406403					1023.57761804588	0.260642822372624	0.824224974472185	0.184302307167283	10
[1174] uracil [10.777]	35	1023.27367770106	0.383714165080423	1.21341073212398	0.271326888165702	6.93076155107533	0.000375249528020165	0.0011866431994469	0.00026534148590011	1023.50218978497	0.352670456340088	0.649825585232374	0.181578403784898	1023.27367770106	0.383714165080423	1.21341073212398	0.271326888165702	10
[1174] uracil [10.777]	36	1023.78982008571	0.342148971796132	1.08197004996049	0.24193585813305	6.931265971767	0.000334422605845414	0.00105753713552025	0.000236472492375368	1023.96370741626	0.3146117242547	0.577484247591774	0.156522311511799	1023.78982008571	0.342148971796132	1.08197004996049	0.24193585813305	10
[1174] uracil [10.777]	37	1022.82495061963	0.341546226587549	1.08006400225261	0.241509652908733	6.93032307988269	0.000333985481149662	0.00105615482586016	0.000236163398538778	1022.86556711111	0.377778724139464	0.661338545574169	0.166101749263547	1022.82495061963	0.341546226587549	1.08006400225261	0.241509652908733	10
[1174] uracil [10.777]	38	1023.65015359234	0.277674610825758	0.878084218610243	0.196345600278229	6.93112973234725	0.000271307476119928	0.000857949570770714	0.000191843356151008					1023.65015359234	0.277674610825758	0.878084218610243	0.196345600278229	10
