Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1175] uric acid 1 [19.331]	1	1802.120742	0.00517985430944687	0.00897177083976659	0.00366271010776825	7.49671944035071	2.87430529586976e-06	4.97844280891071e-06	2.03244076590991e-06					1802.120742	0.00517985430944687	0.00897177083976659	0.00366271010776825	3
[1175] uric acid 1 [19.331]	2	1802.12962333333	0.00628011836995481	0.0108774840943084	0.00444071428604926	7.49672436860038	3.4848384214505e-06	6.0359172021204e-06	2.46415287914708e-06					1802.12962333333	0.00628011836995481	0.0108774840943084	0.00444071428604926	3
[1175] uric acid 1 [19.331]	3	1802.127086	0.0057677043575035	0.00998995699023246	0.00407838286306992	7.4967229606384	3.20049252715473e-06	5.5434156662765e-06	2.26308996908798e-06	1802.12585273688	0.00640549735637132	0.00610550259165591	0.00265576659900882	1802.127086	0.0057677043575035	0.00998995699023246	0.00407838286306992	3
[1175] uric acid 1 [19.331]	4	1802.12327933333	0.0064901998314029	0.0112413558592648	0.00458926431204078	7.49672084831342	3.6014105690438e-06	6.2378260844994e-06	2.54658183520777e-06					1802.12327933333	0.0064901998314029	0.0112413558592648	0.00458926431204078	3
[1175] uric acid 1 [19.331]	5	1802.13089233333	0.00525669370807452	0.00910486058221272	0.00371704376760015	7.49672507277246	2.916936780062e-06	5.05228270553375e-06	2.06258577747429e-06					1802.13089233333	0.00525669370807452	0.00910486058221272	0.00371704376760015	3
[1175] uric acid 1 [19.331]	6	1802.12645166667	0.00315069735961326	0.00545716790612328	0.00222787946844909	7.49672260865767	1.74832156316581e-06	3.02818177537142e-06	1.23625003300921e-06	1802.12585145322	0.0035426869954004	0.00343900384884954	0.0012173184186817	1802.12645166667	0.00315069735961326	0.00545716790612328	0.00222787946844909	3
[1175] uric acid 1 [19.331]	7	1802.12137633333	0.00569778530724299	0.0098688536427643	0.00402894262849659	7.49671979234073	3.16170395092824e-06	5.47623188149898e-06	2.23566230380566e-06					1802.12137633333	0.00569778530724299	0.0098688536427643	0.00402894262849659	3
[1175] uric acid 1 [19.331]	8	1802.13469866667	0.00404564084559401	0.00700725549374475	0.00286070007616481	7.49672718490467	2.24491649317283e-06	3.8883094249247e-06	1.58739567552004e-06	1802.13487997999	0.0046120671405286	0.00448710329758826	0.00182827948676355	1802.13469866667	0.00404564084559401	0.00700725549374475	0.00286070007616481	3
[1175] uric acid 1 [19.331]	9	1802.12264533333	0.00525686802263293	0.00910516250388438	0.00371716702660646	7.49672049651282	2.91703778434561e-06	5.05245765008474e-06	2.06265719828816e-06					1802.12264533333	0.00525686802263293	0.00910516250388438	0.00371716702660646	3
[1175] uric acid 1 [19.331]	10	1802.12581733333	0.00545701290555939	0.00945182360998792	0.00385869083054355	7.49672225665686	3.02809217905529e-06	5.24480950412571e-06	2.14118451386794e-06	1802.12442965469	0.0060435806259537	0.00578447982744059	0.00251577318555942	1802.12581733333	0.00545701290555939	0.00945182360998792	0.00385869083054355	3
[1175] uric acid 1 [19.331]	11	1802.12137633333	0.00730685605490239	0.0126558459306832	0.00516672746557546	7.49671979233107	4.05457658480394e-06	7.02273264805953e-06	2.86701859795506e-06	1802.1196560572	0.00813547667388004	0.00779611026532634	0.00355546006202465	1802.12137633333	0.00730685605490239	0.0126558459306832	0.00516672746557546	3
[1175] uric acid 1 [19.331]	12	1802.127086	0.00569751314168576	0.0098683822381911	0.00402875017838547	7.49672296063878	3.16154290961293e-06	5.47595294975874e-06	2.23554843039955e-06					1802.127086	0.00569751314168576	0.0098683822381911	0.00402875017838547	3
[1175] uric acid 1 [19.331]	13	1802.13025766667	0.00661303326492856	0.0114541096069994	0.0046761206658432	7.49672472058929	3.6695712626127e-06	6.35588386883988e-06	2.59477872384072e-06	1802.13155011118	0.00735194626343786	0.00702366497202131	0.00311461606118469	1802.13025766667	0.00661303326492856	0.0114541096069994	0.0046761206658432	3
