Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1176] urea [9.599]	1	930.38437081796	5.3159799504448	16.8106046391946	3.75896547161124	6.83543460378452	0.00571274224698175	0.0180652771859305	0.00403951878201167					930.38437081796	5.3159799504448	16.8106046391946	3.75896547161124	10
[1176] urea [9.599]	2	932.368196389201	5.25876988000987	16.6296905115216	3.71851184285455	6.83756850263859	0.00564638009732363	0.0178554216425859	0.0039925936559743					932.368196389201	5.25876988000987	16.6296905115216	3.71851184285455	10
[1176] urea [9.599]	3	934.479009946601	5.1853500775474	16.3975167103805	3.66659620265996	6.83983446055613	0.00556917783352908	0.0176112866484739	0.00393800341172222					934.479009946601	5.1853500775474	16.3975167103805	3.66659620265996	10
[1176] urea [9.599]	4	939.098548393617	4.39026478664325	13.8832362570258	3.10438600183995	6.84481018260677	0.0047058612960501	0.0148812400483502	0.00332754643376034	941.403468429566	4.57430181758598	8.10675296238831	2.1722165922524	939.098548393617	4.39026478664325	13.8832362570258	3.10438600183995	10
[1176] urea [9.599]	5	931.638759184574	4.88891960275626	15.4601212421554	3.4569882037848	6.83680735519075	0.00525040104650389	0.0166032259362839	0.00371259418393185					931.638759184574	4.88891960275626	15.4601212421554	3.4569882037848	10
[1176] urea [9.599]	6	932.421118491859	4.91777329431877	15.5513646263969	3.47739084475091	6.83764483833835	0.00529211319466578	0.0167351313305739	0.00374208912675497					932.421118491859	4.91777329431877	15.5513646263969	3.47739084475091	10
[1176] urea [9.599]	7	934.088047060881	4.93275997262195	15.5987566643952	3.48798802660655	6.83943060250548	0.00529963775071249	0.0167589260660631	0.00374740979136102					934.088047060881	4.93275997262195	15.5987566643952	3.48798802660655	10
[1176] urea [9.599]	8	935.931879644009	4.86354069744728	15.3798660968573	3.43904260774172	6.8414069493485	0.00521748147714507	0.0164991251175182	0.00368931653320448					935.931879644009	4.86354069744728	15.3798660968573	3.43904260774172	10
[1176] urea [9.599]	9	942.644973910134	3.43672911138506	10.8678916929833	2.43013445976159	6.84862254284707	0.00367551441664481	0.0116229971293827	0.00259898116835846	945.051424108571	2.97762223403664	5.55447337674698	1.60290431716914	942.644973910134	3.43672911138506	10.8678916929833	2.43013445976159	10
[1176] urea [9.599]	10	938.691575958794	5.27301511675069	16.6747379054309	3.72858474635358	6.84432759327567	0.00565989142641649	0.0178981482167354	0.0040021476083987					938.691575958794	5.27301511675069	16.6747379054309	3.72858474635358	10
[1176] urea [9.599]	11	935.011974547316	4.58687755002755	14.50498040638	3.24341222009682	6.8404380963856	0.0049334817314312	0.0156010390661537	0.00348849838715495					935.011974547316	4.58687755002755	14.50498040638	3.24341222009682	10
[1176] urea [9.599]	12	936.553908571128	4.91793444698083	15.55187423586	3.47750479689106	6.84206843770117	0.00527321762596611	0.0166753782957988	0.00372872794199306					936.553908571128	4.91793444698083	15.55187423586	3.47750479689106	10
[1176] urea [9.599]	13	927.795578134586	4.08625915490549	12.9218860392161	2.88942155811928	6.83271506179779	0.00438303315366275	0.0138603678256051	0.00309927246512039	926.287489484867	4.20606482576557	7.53305020321297	1.98359655129609	927.795578134586	4.08625915490549	12.9218860392161	2.88942155811928	10
[1176] urea [9.599]	14	929.473543228891	5.32398935389741	16.8359325968041	3.76462897510584	6.83445489554119	0.00571218242548705	0.0180635068749241	0.00403912292843651					929.473543228891	5.32398935389741	16.8359325968041	3.76462897510584	10
[1176] urea [9.599]	15	931.971332439929	4.9236094532334	15.5698201813538	3.48151763229553	6.83716207040404	0.00529527592462248	0.0167451327608611	0.00374432551455442					931.971332439929	4.9236094532334	15.5698201813538	3.48151763229553	10
[1176] urea [9.599]	16	945.961923394605	1.36756539649079	4.32462150214213	0.967014765574705	6.85219182425217	0.00145023404352062	0.0045860427178409	0.00102547032648101	946.532271703295	1.21053535891632	2.24162579131955	0.600819244374472	945.961923394605	1.36756539649079	4.32462150214213	0.967014765574705	10
