Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[1198] isocitric acid [16.847]	1	1519.28021378536	0.740267601998058	1.28218109785781	0.523448241265531	7.32599160188431	0.000487371364642609	0.000844151965715177	0.00034462359689493	1519.44043852342	0.818289934040319	0.782879725257016	0.370263643443125	1519.28021378536	0.740267601998058	1.28218109785781	0.523448241265531	3
[1198] isocitric acid [16.847]	2	1519.0867738756	0.856008253938208	1.4826497875193	0.605289241111363	7.3258641504385	0.000563397908324564	0.000975833802096178	0.000398382481482616	1518.9699071307	0.950092316120877	0.912320107990877	0.425727291199738	1519.0867738756	0.856008253938208	1.4826497875193	0.605289241111363	3
[1198] isocitric acid [16.847]	3	1519.27810544847	0.840457348483266	1.45571482916764	0.594293090410582	7.32599011136405	0.000553193034196248	0.000958158441621089	0.000391166545785329	1519.27533057728	0.935416414920608	0.900279205365036	0.416519248239201	1519.27810544847	0.840457348483266	1.45571482916764	0.594293090410582	3
[1198] isocitric acid [16.847]	4	1523.43732705049	1.0113709317687	1.75174583912167	0.715147244148607	7.32872379876632	0.000664055382212275	0.00115017766103123	0.000469558063845724	1523.61031202651	1.12079072623497	1.07478062193566	0.504047192120391	1523.43732705049	1.0113709317687	1.75174583912167	0.715147244148607	3
[1198] isocitric acid [16.847]	5	1520.0807997155	1.04687049463832	1.81323288565832	0.740249225782868	7.3265180583165	0.000688962169890512	0.00119331748274327	0.000487169822310579	1520.32999119195	1.15559816425606	1.1041035622104	0.524692304925775	1520.0807997155	1.04687049463832	1.81323288565832	0.740249225782868	3
[1198] isocitric acid [16.847]	6	1521.06281262683	0.48374808685714	0.837876264500808	0.342061552602702	7.32716443657732	0.000318094908513279	0.000550956543173973	0.000224927066870654	1521.18821020435	0.533211142469494	0.508702116944353	0.243012381013928	1521.06281262683	0.48374808685714	0.837876264500808	0.342061552602702	3
[1198] isocitric acid [16.847]	7	1519.87476478866	0.486118551647458	0.841982029955193	0.343737724330501	7.32638306545198	0.000319778621185188	0.000553872819067066	0.00022611763151853	1519.74876101901	0.535824628096299	0.511196113246004	0.244202732573356	1519.87476478866	0.486118551647458	0.841982029955193	0.343737724330501	3
[1198] isocitric acid [16.847]	8	1520.85724977994	0.321918891536975	0.557579876058295	0.227631031197851	7.32702936778741	0.00021164195061054	0.000366574611470437	0.000149653458460261	1520.77378767418	0.354834663319773	0.338523738011527	0.161716238006464	1520.85724977994	0.321918891536975	0.557579876058295	0.227631031197851	3
[1198] isocitric acid [16.847]	9	1521.25941504193	0.327726315929576	0.567638630167395	0.231737500367088	7.32729376367149	0.000215459351754213	0.000373186544204151	0.000152352768695461	1521.34438926527	0.361235332474605	0.344629674622208	0.164634075606135	1521.25941504193	0.327726315929576	0.567638630167395	0.231737500367088	3
[1198] isocitric acid [16.847]	10	1520.86462895906	0.165905149193538	0.287356147640503	0.117312656028517	7.32703426910535	0.000109093361384488	0.000188955244686406	7.71406556174062e-05	1520.90764962346	0.182870518525613	0.174464525348233	0.0833397235933648	1520.86462895906	0.165905149193538	0.287356147640503	0.117312656028517	3
