Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[128869] galactonic acid [18.773]	1	1710.1870374215	0.439866485874293	0.761871102081053	0.311032574978409	7.44435792287908	0.000257232202969708	0.000445539244886403	0.000181890635059435	1710.26607933388	0.487241889814659	0.467056738728874	0.219352593298873	1710.1870374215	0.439866485874293	0.761871102081053	0.311032574978409	3
[128869] galactonic acid [18.773]	2	1710.674782	0.776309098075971	1.34460680024555	0.548933427546332	7.44464287214837	0.000453760675883426	0.000785936545106888	0.000320857250952962	1710.6087110898	0.863087416762814	0.829942274240273	0.385248607322738	1710.674782	0.776309098075971	1.34460680024555	0.548933427546332	3
[128869] galactonic acid [18.773]	3	1710.02696333333	0.35927156249288	0.622276599952325	0.254043358126202	7.44426435118108	0.000210124054910392	0.000363945538997191	0.000148580144117553	1710.12011054471	0.396006257414124	0.377802704753731	0.180481129065173	1710.02696333333	0.35927156249288	0.622276599952325	0.254043358126202	3
[128869] galactonic acid [18.773]	4	1709.81566766667	0.00217212120250358	0.00376222428293381	0.00153592163184936	7.44414084699764	1.27038409214533e-06	2.20036979272297e-06	8.98297206267478e-07	1709.81603600828	0.00260525526382695	0.00258237887753207	0.000701672608486471	1709.81566766667	0.00217212120250358	0.00376222428293381	0.00153592163184936	3
[128869] galactonic acid [18.773]	5	1710.62761838514	0.433224396474846	0.750366665772796	0.306335908522813	7.44461551425575	0.000253237032178896	0.000438619406091802	0.000179065622701253	1710.57817222916	0.481239180973146	0.46243017059611	0.215225728099084	1710.62761838514	0.433224396474846	0.750366665772796	0.306335908522813	3
[128869] galactonic acid [18.773]	6	1710.462906	0.00250804665025515	0.00434406422599485	0.00177345679392762	7.44451931812258	1.46629630223847e-06	2.5396996944274e-06	1.03682805854158e-06					1710.462906	0.00250804665025515	0.00434406422599485	0.00177345679392762	3
[128869] galactonic acid [18.773]	7	1709.80812133333	0.308677234258364	0.534644652875327	0.218267765541998	7.44413638456558	0.000180533729646553	0.000312693592227733	0.000127656624465976	1709.8099171777	0.34355153490737	0.330645448548189	0.152972500920071	1709.80812133333	0.308677234258364	0.534644652875327	0.218267765541998	3
[128869] galactonic acid [18.773]	8	1710.02464133333	0.358338677862244	0.620660796374464	0.253383709077815	7.44426299365015	0.000209578651102299	0.000363000871890933	0.000148194485386365	1710.11751138147	0.394979151439323	0.376825260353373	0.180008415609006	1710.02464133333	0.358338677862244	0.620660796374464	0.253383709077815	3
[128869] galactonic acid [18.773]	9	1709.58986	0.356667894057725	0.617766913936573	0.252202286519742	7.44400870749817	0.000208601122323215	0.000361307742379699	0.00014750326815787	1709.49739570025	0.393137014915999	0.375065975987085	0.179172694345339	1709.58986	0.356667894057725	0.617766913936573	0.252202286519742	3
[128869] galactonic acid [18.773]	10	1710.63052071847	0.431382663934171	0.747176691438395	0.30503360695417	7.44461721171919	0.000252159753187249	0.000436753504144343	0.00017830387142103	1710.58026385797	0.479154656622994	0.46039603490605	0.21433314367957	1710.63052071847	0.431382663934171	0.747176691438395	0.30503360695417	3
