Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[159664] 2-ketocaproic acid [9.707]	1	931.214414124339	0.330386283367554	0.572245828916452	0.233618381380218	6.83648936718268	0.000354713780750001	0.000614382290403849	0.000250820519748644	931.128763268653	0.364168314238611	0.347428886514671	0.165969681536142	931.214414124339	0.330386283367554	0.572245828916452	0.233618381380218	3
[159664] 2-ketocaproic acid [9.707]	2	931.356011114358	0.444017488140178	0.769060848907899	0.313967776829337	6.83664125985967	0.000476604011962067	0.000825502363809465	0.000337009928799092	931.240866766369	0.489414752891273	0.466915197244623	0.223055936650763	931.356011114358	0.444017488140178	0.769060848907899	0.313967776829337	3
[159664] 2-ketocaproic acid [9.707]	3	931.41243392632	0.247348197318134	0.428419644915579	0.17490158763792	6.83670207436797	0.000265605688962269	0.000460042548061986	0.000187811583786945	931.47656526327	0.272640018147894	0.260107565687943	0.12425473644429	931.41243392632	0.247348197318134	0.428419644915579	0.17490158763792	3
[159664] 2-ketocaproic acid [9.707]	4	931.955449582959	0.198659132147456	0.344087710266933	0.140473219486101	6.83728494452011	0.000213135957853614	0.000369162307922319	0.000150709881112981	931.903941576345	0.218973257773936	0.208907892562078	0.0997945047495307	931.955449582959	0.198659132147456	0.344087710266933	0.140473219486101	3
[159664] 2-ketocaproic acid [9.707]	5	931.251934806826	0.490149193117616	0.848963305768601	0.346587818246581	6.83652943195728	0.000526180302658931	0.000911371018147238	0.00037206566013692	931.137449685958	0.54121712592439	0.517254735827666	0.245555002641255	931.251934806826	0.490149193117616	0.848963305768601	0.346587818246581	3
[159664] 2-ketocaproic acid [9.707]	6	932.201946864265	0.197334175666462	0.341792818324034	0.139536333773613	6.83754940517033	0.000211713531084741	0.000366698592488584	0.000149704073498969	932.253111578192	0.217512822401322	0.207514568993129	0.0991288695999994	932.201946864265	0.197334175666462	0.341792818324034	0.139536333773613	3
[159664] 2-ketocaproic acid [9.707]	7	932.443889	0.00278084603792904	0.00481656662571971	0.00196635509085537	6.83780897704003	2.98231935033938e-06	5.16552863918361e-06	2.10881823628883e-06	932.443645757409	0.00311885701444746	0.00300878867065168	0.000944726261104473	932.443889	0.00278084603792904	0.00481656662571971	0.00196635509085537	3
[159664] 2-ketocaproic acid [9.707]	8	932.064330330366	0.172927064823438	0.299518462277952	0.122277900187339	6.83740178463253	0.000185525501151237	0.00032133959409362	0.000131186339947072	932.052352057482	0.19233004572853	0.185000050594359	0.0857728860108006	932.064330330366	0.172927064823438	0.299518462277952	0.122277900187339	3
[159664] 2-ketocaproic acid [9.707]	9	931.513053744399	0.297434653224847	0.515171931317065	0.210318060255158	6.83681005066423	0.000319348860598667	0.000553128451896123	0.000225813744893515	931.569319018146	0.329302963048367	0.315517477457505	0.148426629492002	931.513053744399	0.297434653224847	0.515171931317065	0.210318060255158	3
[159664] 2-ketocaproic acid [9.707]	10	932.162055609415	0.114311832651622	0.197993902058921	0.080830672037824	6.83750665642433	0.000122621653510795	0.000212386933988803	8.67066027177903e-05	932.132420601581	0.126004255668966	0.120213445658425	0.0574187317539426	932.162055609415	0.114311832651622	0.197993902058921	0.080830672037824	3
[159664] 2-ketocaproic acid [9.707]	11	932.062739405155	0.172405116403603	0.298614421095867	0.121908826920244	6.83740007805867	0.000184965724361112	0.000320370032252226	0.000130790517982824	932.050514259767	0.191742969193331	0.184430214495629	0.0855176628563733	932.062739405155	0.172405116403603	0.298614421095867	0.121908826920244	3
[159664] 2-ketocaproic acid [9.707]	12	931.011027932061	0.296945947356437	0.514325467923022	0.2099724930216	6.83627096989749	0.000318903600866445	0.000552357239417349	0.000225498898717472	930.954298812757	0.328728542207633	0.314937760899378	0.148204622267938	931.011027932061	0.296945947356437	0.514325467923022	0.2099724930216	3
[159664] 2-ketocaproic acid [9.707]	13	931.654893742539	0.479991523765281	0.83136970636387	0.339405261366494	6.83696206214357	0.000515333135825739	0.000892583174073973	0.000364395554912508	931.753335883497	0.530941546397876	0.508292522309792	0.239838854865532	931.654893742539	0.479991523765281	0.83136970636387	0.339405261366494	3
[159664] 2-ketocaproic acid [9.707]	14	931.9575771472	0.198760862129858	0.344263911765107	0.140545153446507	6.83728722735138	0.000213244609885767	0.000369350498762352	0.000150786709701705					931.9575771472	0.198760862129858	0.344263911765107	0.140545153446507	3
[159664] 2-ketocaproic acid [9.707]	15	931.898202820575	0.445662519718234	0.771910127181148	0.315130989813447	6.83722324108741	0.000478371107250719	0.000828563062631227	0.000338259453860701	932.01376264156	0.491228855179781	0.468646739089776	0.223881706753508	931.898202820575	0.445662519718234	0.771910127181148	0.315130989813447	3
[159664] 2-ketocaproic acid [9.707]	16	932.062496397032	0.171567913072465	0.29716434239007	0.121316834767564	6.83739981783489	0.000184067955429118	0.000318815050848556	0.000130155699483072	932.051072022128	0.190828797939943	0.183564124902822	0.0850928673594696	932.062496397032	0.171567913072465	0.29716434239007	0.121316834767564	3
[159664] 2-ketocaproic acid [9.707]	17	931.614746840538	0.328633684582545	0.569210238775533	0.232379106894639	6.83691918075887	0.000352833311440906	0.000611125222018422	0.000249490827148369	931.699943045467	0.362236546522223	0.345585934748053	0.165089209256795	931.614746840538	0.328633684582545	0.569210238775533	0.232379106894639	3
[159664] 2-ketocaproic acid [9.707]	18	931.954401649626	0.197803512272752	0.34260573317198	0.139868204870579	6.83728382065928	0.000212218344473355	0.000367572954926005	0.000150061030469292	931.903115436009	0.218030170896643	0.208008223305492	0.0993647098138253	931.954401649626	0.197803512272752	0.34260573317198	0.139868204870579	3
[159664] 2-ketocaproic acid [9.707]	19	932.297240282935	0.249198221610244	0.431623980984751	0.176209752360232	6.8376515839956	0.000267324558044996	0.000463019716644829	0.000189027007771314	932.34050976103	0.276124825103696	0.264759724602392	0.124214879483595	932.297240282935	0.249198221610244	0.431623980984751	0.176209752360232	3
[159664] 2-ketocaproic acid [9.707]	20	932.302323674223	0.114092637720317	0.197614245301139	0.0806756778154966	6.8376571212434	0.000122386468338655	0.000211979581321471	8.65403016877358e-05	932.33190211088	0.125762637863536	0.11998291708899	0.0573086191215943	932.302323674223	0.114092637720317	0.197614245301139	0.0806756778154966	3
[159664] 2-ketocaproic acid [9.707]	21	932.205300034348	0.105138812300966	0.182105764752721	0.0743443671439129	6.83755305035482	0.00011278072434554	0.000195341944680895	7.9748014971862e-05	932.190454576924	0.116676874536326	0.112021727019874	0.0522961874359316	932.205300034348	0.105138812300966	0.182105764752721	0.0743443671439129	3
[159664] 2-ketocaproic acid [9.707]	22	932.163921173656	0.114190844032669	0.197784343623756	0.0807451201649158	6.83750865780051	0.000122491633512398	0.00021216173274558	8.66146646952341e-05	932.134314837467	0.125870689347122	0.120085811272718	0.0573580994716555	932.163921173656	0.114190844032669	0.197784343623756	0.0807451201649158	3
[159664] 2-ketocaproic acid [9.707]	23	931.955168591081	0.199413122736918	0.34539366027631	0.14100637134486	6.83728464249396	0.000213944849266281	0.000370563348946864	0.000151281853716121	931.903455990991	0.219802653872122	0.209699159352118	0.100173154495713	931.955168591081	0.199413122736918	0.34539366027631	0.14100637134486	3
[159664] 2-ketocaproic acid [9.707]	24	932.447032866667	0.00113191794100787	0.00196053938382439	0.000800386851833381	6.83781234868714	1.2139224592552e-06	2.10257537587897e-06	8.58372802774003e-07					932.447032866667	0.00113191794100787	0.00196053938382439	0.000800386851833381	3
[159664] 2-ketocaproic acid [9.707]	25	932.307039440889	0.116016026678348	0.200945652699165	0.0820357191905791	6.83766217866162	0.000124449204909576	0.000215552345864935	8.7998876704835e-05	932.337121178193	0.127882240878917	0.122004704070361	0.0582752279990532	932.307039440889	0.116016026678348	0.200945652699165	0.0820357191905791	3
[159664] 2-ketocaproic acid [9.707]	26	931.65520004581	0.386734093012818	0.669843098117269	0.273462299685393	6.83696253071724	0.000415125489714813	0.000719018439702968	0.000293538048820731	931.674731041696	0.430266533535493	0.413978612557526	0.191749208550953	931.65520004581	0.386734093012818	0.669843098117269	0.273462299685393	3
