Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[2723970] glycine-d5 deuterated [10.446]	1	994.75350298	0.159053189258344	0.502970347170196	0.112467588693923	6.9024948429836	0.000159852269086113	0.000505497259458241	0.000113032623458847	994.678440250562	0.141901682335705	0.265555458712742	0.0750113866604597	994.75350298	0.159053189258344	0.502970347170196	0.112467588693923	10
[2723970] glycine-d5 deuterated [10.446]	2	994.48642821	0.0767383368793922	0.242667928392177	0.054262198384396	6.90222642158197	7.71638457587924e-05	0.000244013505615708	5.45630785984749e-05					994.48642821	0.0767383368793922	0.242667928392177	0.054262198384396	10
[2723970] glycine-d5 deuterated [10.446]	3	994.54677377	0.139222512261817	0.440260240318063	0.0984451825141583	6.9022870316707	0.000139970414832753	0.000442625315910116	9.89740294937338e-05	994.521506192504	0.125090010430227	0.233407699492553	0.0638868329812476	994.54677377	0.139222512261817	0.440260240318063	0.0984451825141583	10
[2723970] glycine-d5 deuterated [10.446]	4	994.54629797	0.169292306154256	0.535349277789989	0.119707737684383	6.90228650640299	0.000170175871691333	0.000538143357349184	0.000120332512867274	994.495774619523	0.150096571310989	0.280169139386296	0.0764314763466156	994.54629797	0.169292306154256	0.535349277789989	0.119707737684383	10
[2723970] glycine-d5 deuterated [10.446]	5	994.39864561	0.0826016117260116	0.261209231455069	0.058408159788401	6.90213814366993	8.30809842290757e-05	0.000262725140412408	5.87471273360321e-05	994.428553585383	0.0740318534157506	0.136844901779361	0.0364977394532455	994.39864561	0.0826016117260116	0.261209231455069	0.058408159788401	10
[2723970] glycine-d5 deuterated [10.446]	6	994.69609141	0.144893013847122	0.458191940803223	0.102454832637857	6.90243714868559	0.000145621126617974	0.000460494435552572	0.000102969686115595	994.629016844829	0.134733064719797	0.24551316201414	0.0649256593278992	994.69609141	0.144893013847122	0.458191940803223	0.102454832637857	10
[2723970] glycine-d5 deuterated [10.446]	7	994.60585059	0.121405705512093	0.383918550357872	0.0858467976423378	6.90234645414429	0.000122034020601362	0.000385905457128216	8.62910835026821e-05	994.540296797105	0.11556015105671	0.209058431767923	0.055991605015792	994.60585059	0.121405705512093	0.383918550357872	0.0858467976423378	10
[2723970] glycine-d5 deuterated [10.446]	8	994.69648791	0.161867273195306	0.511869261937888	0.114457446528576	6.90243752100395	0.000162674222106065	0.000514421058451279	0.000115028045575445	994.589875404655	0.143457254278147	0.266095308308127	0.0754580756067417	994.69648791	0.161867273195306	0.511869261937888	0.114457446528576	10
[2723970] glycine-d5 deuterated [10.446]	9	994.69498125	0.109366850805152	0.345848349064099	0.0773340418413402	6.90243607822476	0.000109929143376511	0.000347626474300989	7.77316427315595e-05	994.653956452433	0.101608009970765	0.186697238809108	0.0499944004884767	994.69498125	0.109366850805152	0.345848349064099	0.0773340418413402	10
[2723970] glycine-d5 deuterated [10.446]	10	994.5459808	0.133019945046488	0.420646000577333	0.0940593051754333	6.90228624288672	0.000133734812278685	0.000422906609255696	9.45647926429679e-05	994.52917207236	0.110167598515293	0.210149293774719	0.0591266399215016	994.5459808	0.133019945046488	0.420646000577333	0.0940593051754333	10
