Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[439194] glyceric acid [10.735]	1	1017.58018762161	0.0790665948847038	0.250030526669482	0.0559085254083037	6.92518269249927	7.76980172887763e-05	0.000245702704311674	5.49407949096433e-05					1017.58018762161	0.0790665948847038	0.250030526669482	0.0559085254083037	10
[439194] glyceric acid [10.735]	2	1017.41598768806	0.0970338025771149	0.306847826170799	0.0686132598065946	6.92502130104413	9.53746052180765e-05	0.000301600983428502	6.74400301026918e-05	1017.43183143091	0.0950382614943673	0.173385322174045	0.0466277029635573	1017.41598768806	0.0970338025771149	0.306847826170799	0.0686132598065946	10
[439194] glyceric acid [10.735]	3	1017.48026134159	0.124627142274419	0.39410562786502	0.0881246974221421	6.92508444294546	0.0001224812539572	0.000387319733178263	8.66073252413677e-05					1017.48026134159	0.124627142274419	0.39410562786502	0.0881246974221421	10
[439194] glyceric acid [10.735]	4	1017.26969134207	0.222022980711384	0.702098311947605	0.15699395524027	6.92487730577307	0.000218373545860376	0.000690557785646022	0.000154413415109623	1017.3755534524	0.180778961041881	0.342015957453837	0.0942913184690567	1017.26969134207	0.222022980711384	0.702098311947605	0.15699395524027	10
[439194] glyceric acid [10.735]	5	1015.69375299384	1.68908541734731	5.34135708139358	1.19436375260959	6.92331320060525	0.00167471971790931	0.00529592875098811	0.0011842056691205	1017.06873106695	0.863978083604437	1.7969922329458	0.564978687093668	1015.69375299384	1.68908541734731	5.34135708139358	1.19436375260959	10
[439194] glyceric acid [10.735]	6	1017.59307120573	0.125948002245633	0.398282553844201	0.0890586864647855	6.92519530701923	0.000123759752678274	0.00039136270112247	8.75113603567775e-05	1017.56481375337	0.129299203131399	0.232662760592183	0.0611920979361062	1017.59307120573	0.125948002245633	0.398282553844201	0.0890586864647855	10
[439194] glyceric acid [10.735]	7	1017.47933484264	0.0784976052686903	0.248231223517895	0.0555061889923957	6.92508357761423	7.71479269325054e-05	0.000243963165866964	5.45518222884589e-05					1017.47933484264	0.0784976052686903	0.248231223517895	0.0555061889923957	10
[439194] glyceric acid [10.735]	8	1017.2102596507	0.209616188883727	0.662864591316645	0.148221028606163	6.92481890717881	0.000206188561222944	0.000652025480937575	0.000145797329843841	1017.32410109283	0.162493995403857	0.310160364850728	0.086511862421753	1017.2102596507	0.209616188883727	0.662864591316645	0.148221028606163	10
[439194] glyceric acid [10.735]	9	1017.41085332951	0.0557527722762853	0.176305746261752	0.0394231633465107	6.92501628502641	5.48047121828432e-05	0.000173307717007763	3.87527836254654e-05					1017.41085332951	0.0557527722762853	0.176305746261752	0.0394231633465107	10
[439194] glyceric acid [10.735]	10	1017.6128654814	0.199634171560315	0.631298680931405	0.141162676466857	6.92521464318009	0.000196072047402827	0.000620034255285436	0.000138643874319669	1017.50319784986	0.15639670922183	0.298313934190478	0.083343406648318	1017.6128654814	0.199634171560315	0.631298680931405	0.141162676466857	10
