Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[439766] citramalic acid [12.753]	1	1163.66559486637	0.136110498062742	0.235750298088174	0.0962446561708432	7.05933027686213	0.000116958688096771	0.000202578390170208	8.27022814719088e-05	1163.63048969656	0.150045195254025	0.143163155747328	0.0683602083200469	1163.66559486637	0.136110498062742	0.235750298088174	0.0962446561708432	3
[439766] citramalic acid [12.753]	2	1163.49617939941	0.00567889701652261	0.00983613816356848	0.00401558659004319	7.05918469898778	4.88087629665873e-06	8.45392573127154e-06	3.45130072750007e-06					1163.49617939941	0.00567889701652261	0.00983613816356848	0.00401558659004319	3
[439766] citramalic acid [12.753]	3	1163.50395864475	0.00466801125650498	0.00808523266657006	0.00330078241412981	7.05919138507146	4.0120340071312e-06	6.94904674204539e-06	2.83693645279351e-06					1163.50395864475	0.00466801125650498	0.00808523266657006	0.00330078241412981	3
[439766] citramalic acid [12.753]	4	1163.50439107904	0.00494026928221326	0.00855679739986519	0.00349329791034059	7.059191756734	4.24603007619583e-06	7.35433982243673e-06	3.00239666000011e-06					1163.50439107904	0.00494026928221326	0.00855679739986519	0.00349329791034059	3
[439766] citramalic acid [12.753]	5	1163.51260241438	0.00323426314464015	0.00560190809156422	0.00228696940171677	7.05919881414126	2.7797365527735e-06	4.81464494106006e-06	1.96557056637826e-06					1163.51260241438	0.00323426314464015	0.00560190809156422	0.00228696940171677	3
[439766] citramalic acid [12.753]	6	1163.5087127457	0.00661114366026676	0.0114508367157189	0.00467478451357308	7.05919547105926	5.6820880563985e-06	9.8416652067625e-06	4.01784299597847e-06	1163.5097832102	0.00738692249210717	0.00710003705246153	0.0031560729069558	1163.5087127457	0.00661114366026676	0.0114508367157189	0.00467478451357308	3
[439766] citramalic acid [12.753]	7	1163.33540784656	0.136796828187946	0.236939056735793	0.0967299648565076	7.0590464890328	0.000117598624896394	0.000203686793220789	8.31547851224534e-05	1163.37073869945	0.150797970295266	0.143877568320265	0.0687077381822659	1163.33540784656	0.136796828187946	0.236939056735793	0.0967299648565076	3
[439766] citramalic acid [12.753]	8	1163.33411142323	0.136209864789089	0.235922406306789	0.0963149190568675	7.05904537480774	0.000117094162814664	0.00020281303926474	8.27980765636103e-05	1163.36943186931	0.150139858091418	0.143238738166334	0.0684209457559407	1163.33411142323	0.136209864789089	0.235922406306789	0.0963149190568675	3
[439766] citramalic acid [12.753]	9	1163.81945165844	0.130569509746433	0.226153024800182	0.092326585757906	7.05946248711967	0.000112198227074235	0.000194333029811726	7.93361272012999e-05	1163.85329522253	0.143924122521705	0.137309906077054	0.0655863876965747	1163.81945165844	0.130569509746433	0.226153024800182	0.092326585757906	3
[439766] citramalic acid [12.753]	10	1163.49531514711	0.000705750253364499	0.00122239529628192	0.000499040789978161	7.05918395621638	6.06577424305159e-07	1.0506229176208e-06	4.28915010040848e-07					1163.49531514711	0.000705750253364499	0.00122239529628192	0.000499040789978161	3
[439766] citramalic acid [12.753]	11	1163.66300171293	0.132340895115768	0.229221154259654	0.0935791443646572	7.05932804954513	0.000113719941878535	0.000196968717167402	8.04121420584522e-05	1163.62871591122	0.145877908324119	0.139175184494678	0.0664753647062811	1163.66300171293	0.132340895115768	0.229221154259654	0.0935791443646572	3
[439766] citramalic acid [12.753]	12	1163.66689162504	0.133944448784612	0.231998590686756	0.0947130280378935	7.05933139188343	0.000115097395073031	0.000199354536085318	8.13861485530476e-05	1163.63222817654	0.147648343607184	0.14086714625029	0.0672787729986864	1163.66689162504	0.133944448784612	0.231998590686756	0.0947130280378935	3
[439766] citramalic acid [12.753]	13	1163.6634340177	0.138530838482484	0.23994245066678	0.0979560952944229	7.05932841919143	0.000119038509095304	0.000206180745810317	8.41729370036263e-05	1163.62757880984	0.152703325959753	0.145689515825873	0.0695831309678233	1163.6634340177	0.138530838482484	0.23994245066678	0.0979560952944229	3
[439766] citramalic acid [12.753]	14	1163.49445073274	0.00427834281557996	0.00741030712878177	0.00302524521713734	7.05918321325022	3.67714178293699e-06	6.36899639468128e-06	2.60013189009914e-06	1163.49344480438	0.00480157667913712	0.00462972155125269	0.00192286189464486	1163.49445073274	0.00427834281557996	0.00741030712878177	0.00302524521713734	3
[439766] citramalic acid [12.753]	15	1163.49272205511	0.00196472554907431	0.00340300447392537	0.00138927075892091	7.05918172750159	1.68864602620772e-06	2.92482071339106e-06	1.1940530561552e-06					1163.49272205511	0.00196472554907431	0.00340300447392537	0.00138927075892091	3
[439766] citramalic acid [12.753]	16	1163.49185755074	0.230131131149347	0.398598811553966	0.162727283397834	7.05918092579668	0.000197794343223896	0.000342589851913504	0.000139861721373956	1163.49386518058	0.256131968587137	0.246509825559169	0.114048602788449	1163.49185755074	0.230131131149347	0.398598811553966	0.162727283397834	3
[439766] citramalic acid [12.753]	17	1163.82636655949	0.131269546772876	0.227365524497161	0.0928215866863856	7.05946842845747	0.000112799142448779	0.000195373845771485	7.9761038537559e-05	1163.86040575087	0.144694599114753	0.138043861716506	0.065938897259366	1163.82636655949	0.131269546772876	0.227365524497161	0.0928215866863856	3
[439766] citramalic acid [12.753]	18	1163.66559486426	0.131339246115149	0.227486247299231	0.0928708715639506	7.05933027827367	0.000112859067778083	0.000195477639486499	7.98034121442745e-05	1163.63170887022	0.144784890296737	0.138143254958637	0.0659641427466079	1163.66559486426	0.131339246115149	0.227486247299231	0.0928708715639506	3
[439766] citramalic acid [12.753]	19	1163.50698408104	0.00275582732294161	0.00477323294022139	0.00194866418783118	7.059193985364	2.36855311064379e-06	4.10245432806035e-06	1.67481996613671e-06	1163.5073982328	0.00308713529793864	0.00298289252434129	0.000930553555618904	1163.50698408104	0.00275582732294161	0.00477323294022139	0.00194866418783118	3
[439766] citramalic acid [12.753]	20	1163.832417	0.263247867582823	0.455958681637613	0.186144352300712	7.05947356954792	0.000226159216963717	0.00039171925438115	0.000159918715942884	1163.76415789157	0.29016471436621	0.276826169767194	0.132242497212743	1163.832417	0.263247867582823	0.455958681637613	0.186144352300712	3
