Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[444212] trans-aconitic acid [15.970]	1	1434.39152715272	0.0264187537881104	0.0457586238336599	0.0186808799540706	7.26849601487166	1.84182980756898e-05	3.19014280560428e-05	1.30237034672354e-05	1434.3983302646	0.0291429967249004	0.0278081166077108	0.013236910597294	1434.39152715272	0.0264187537881104	0.0457586238336599	0.0186808799540706	3
[444212] trans-aconitic acid [15.970]	2	1434.41701854663	0.28363045121509	0.491262352078221	0.20055701540519	7.26851372814878	0.000197731953420718	0.000342481789604527	0.000139817605121053	1434.41620237761	0.31567802213307	0.303820913834185	0.140561173399895	1434.41701854663	0.28363045121509	0.491262352078221	0.20055701540519	3
[444212] trans-aconitic acid [15.970]	3	1434.18273512555	0.14742374332537	0.255345413681534	0.104244328613274	7.26835042754287	0.000102798366874579	0.000178051994361876	7.26894223119173e-05	1434.21503513965	0.162936283029007	0.155863122768279	0.0737488399822358	1434.18273512555	0.14742374332537	0.255345413681534	0.104244328613274	3
[444212] trans-aconitic acid [15.970]	4	1434.82603566667	0.159666285016502	0.276550117904354	0.112901112862032	7.26879887276798	0.000111286778533155	0.00019275435463009	7.86916357571994e-05	1434.867435093	0.175994184765172	0.167904610179107	0.0802051801469592	1434.82603566667	0.159666285016502	0.276550117904354	0.112901112862032	3
[444212] trans-aconitic acid [15.970]	5	1434.38841729093	0.297156012346946	0.514689311159476	0.210121031400879	7.26849378292969	0.000207169665209889	0.000358828385930563	0.00014649107512606	1434.39985303108	0.330658711581141	0.318182684964252	0.147304611440801	1434.38841729093	0.297156012346946	0.514689311159476	0.210121031400879	3
[444212] trans-aconitic acid [15.970]	6	1433.62779515628	0.156580938442302	0.271206140878882	0.110719443377105	7.26796341249994	0.000109227383401654	0.00018918737762947	7.72354234945722e-05	1433.66839434052	0.172593469685667	0.164660264125281	0.0786551150076193	1433.62779515628	0.156580938442302	0.271206140878882	0.110719443377105	3
[444212] trans-aconitic acid [15.970]	7	1435.37074607664	0.155445661311151	0.269239783207058	0.109916681219143	7.26917843686637	0.000108302661058419	0.000187585711548092	7.65815460549561e-05	1435.40494392104	0.171791959419229	0.164325645138983	0.077768544033267	1435.37074607664	0.155445661311151	0.269239783207058	0.109916681219143	3
[444212] trans-aconitic acid [15.970]	8	1434.18233982932	0.332430267049713	0.575786112503792	0.235063696102507	7.26835008719324	0.000231758611037285	0.000401417689408171	0.00016387808546284	1434.09805300242	0.366569321226687	0.349864430619755	0.166889821832764	1434.18233982932	0.332430267049713	0.575786112503792	0.235063696102507	3
[444212] trans-aconitic acid [15.970]	9	1434.41912685521	0.282522039902611	0.489342527369324	0.199773250249793	7.26851519840669	0.000196959861555759	0.000341144487266307	0.000139271653727641	1434.42108486152	0.314440966206108	0.302628100138659	0.140010683436438	1434.41912685521	0.282522039902611	0.489342527369324	0.199773250249793	3
[444212] trans-aconitic acid [15.970]	10	1433.9930227814	0.177771456360428	0.307909194551774	0.125703402293867	7.26821813253337	0.000123960714397363	0.000214706255478768	8.76534617511045e-05	1433.94990980163	0.196176186988247	0.187380154213226	0.0891342859108365	1433.9930227814	0.177771456360428	0.307909194551774	0.125703402293867	3
