Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[444972] fumaric acid [10.94]	1	1025.5900603814	0.29775013484749	0.515718361516338	0.210541139449869	6.9330232681945	0.000290286185960619	0.000502790422819179	0.000205263330577533	1025.53894092427	0.329952628653869	0.316399011810091	0.148394897650939	1025.5900603814	0.29775013484749	0.515718361516338	0.210541139449869	3
[444972] fumaric acid [10.94]	2	1026.03524810226	0.147631943994589	0.255706027818791	0.104391548718326	6.93345734896454	0.000143874882027941	0.000249198605605372	0.000101734904724372	1026.00236499514	0.16313057477808	0.15601420098146	0.0738789896688721	1026.03524810226	0.147631943994589	0.255706027818791	0.104391548718326	3
[444972] fumaric acid [10.94]	3	1025.59229829022	0.645929259576856	1.11878229568246	0.4567409596136	6.93302498150347	0.000629949526000907	0.0010911045852375	0.000445441581640493	1025.68592996476	0.716674149032203	0.687976346076655	0.321394572704261	1025.59229829022	0.645929259576856	1.11878229568246	0.4567409596136	3
[444972] fumaric acid [10.94]	4	1025.4520671596	0.75498630455825	1.30767463851356	0.533855935656111	6.93288802205049	0.000736473522448909	0.00127560955931073	0.000520765421887966	1025.58327719651	0.836553093467584	0.802113760577415	0.37634137582468	1025.4520671596	0.75498630455825	1.30767463851356	0.533855935656111	3
[444972] fumaric acid [10.94]	5	1025.62723421638	0.292769245862128	0.50709120872683	0.207019119071982	6.93305951802247	0.000285433997824786	0.000494386186440033	0.000201832315443092	1025.59760799859	0.325352269499404	0.312743697697008	0.145368904033089	1025.62723421638	0.292769245862128	0.50709120872683	0.207019119071982	3
[444972] fumaric acid [10.94]	6	1026.28783316226	0.517262935000586	0.895925684293212	0.36576012899537	6.93370314460813	0.000503893376310203	0.000872768929366696	0.000356306423383929	1026.18515710368	0.572387125626357	0.548163276368204	0.258321300583025	1026.28783316226	0.517262935000586	0.895925684293212	0.36576012899537	3
[444972] fumaric acid [10.94]	7	1025.87152688377	0.0305340807762744	0.0528865792669195	0.0215908555742015	6.93329779909927	2.97645407310816e-05	5.15536968101866e-05	2.1046708589851e-05	1025.87881901272	0.0337155435716581	0.0322206538379599	0.015277140805399	1025.87152688377	0.0305340807762744	0.0528865792669195	0.0215908555742015	3
[444972] fumaric acid [10.94]	8	1025.83338862783	0.231588409799661	0.401122892217096	0.16375773501355	6.93326054683738	0.000225770179858605	0.000391045422349067	0.000159643625167726	1025.85940746176	0.257272469984934	0.247230063305927	0.115041927596007	1025.83338862783	0.231588409799661	0.401122892217096	0.16375773501355	3
[444972] fumaric acid [10.94]	9	1025.91234048373	0.0549918974251195	0.0952487603449231	0.038885143579617	6.93333757964571	5.36032069153141e-05	9.28434778259514e-05	3.79031911031642e-05	1025.91459763496	0.0611910114944946	0.0588803745390038	0.0272385411160087	1025.91234048373	0.0549918974251195	0.0952487603449231	0.038885143579617	3
[444972] fumaric acid [10.94]	10	1025.96945173753	0.272322679661817	0.47167671722757	0.192561213459762	6.9333931454789	0.000265418831042509	0.000459718900651165	0.000187679455284765	1025.95215813555	0.302908805277282	0.291389761422605	0.135056244422534	1025.96945173753	0.272322679661817	0.47167671722757	0.192561213459762	3
[444972] fumaric acid [10.94]	11	1025.74816793111	0.143583509100675	0.248693932891397	0.101528872951648	6.93317751585062	0.000139984208107804	0.000242459760700012	9.89837828120573e-05	1025.76306767524	0.159553311874937	0.153361166303885	0.0712970777089073	1025.74816793111	0.143583509100675	0.248693932891397	0.101528872951648	3
[444972] fumaric acid [10.94]	12	1026.05728061667	0.211682361497081	0.366644605179106	0.149682033272168	6.93347878940055	0.000206280522595217	0.000357288345746775	0.000145862356353782	1026.00238773357	0.233327191157896	0.222601289863136	0.106337536193645	1026.05728061667	0.211682361497081	0.366644605179106	0.149682033272168	3
[444972] fumaric acid [10.94]	13	1025.63573966667	0.261312701679332	0.452606875971691	0.184775983367633	6.93306783577819	0.000254741482810669	0.000441225191023512	0.00018012942994494	1025.56799696877	0.288032860132462	0.274793456591333	0.131269483628258	1025.63573966667	0.261312701679332	0.452606875971691	0.184775983367633	3
[444972] fumaric acid [10.94]	14	1026.4201673575	0.271436059726137	0.47014104645197	0.191934278490909	6.93383235685434	0.000264425651866932	0.000457998663858047	0.000186977171554781	1026.38199209241	0.301219904527165	0.289203822037911	0.135022750099111	1026.4201673575	0.271436059726137	0.47014104645197	0.191934278490909	3
[444972] fumaric acid [10.94]	15	1026.05728061667	0.211682361497081	0.366644605179106	0.149682033272168	6.93347878940055	0.000206280522595217	0.000357288345746775	0.000145862356353782	1026.00238773357	0.233327191157896	0.222601289863136	0.106337536193645	1026.05728061667	0.211682361497081	0.366644605179106	0.149682033272168	3
