Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[445639] oleic acid [20.504]	1	1894.75206733333	0.19346714863506	0.335094931031404	0.136801932736677	7.54684325813654	0.000102113225980429	0.000176865295522866	7.22049545395958e-05	1894.80222592073	0.213250163564676	0.203447993858795	0.0971851879937496	1894.75206733333	0.19346714863506	0.335094931031404	0.136801932736677	3
[445639] oleic acid [20.504]	2	1895.08835671354	0.0385586695259046	0.0667855746911244	0.0272650966952982	7.54702074204263	2.03468461821422e-05	3.52417713612591e-05	1.43873929111524e-05	1895.09665201138	0.042630135933633	0.0407899672759696	0.0192526321800323	1895.08835671354	0.0385586695259046	0.0667855746911244	0.0272650966952982	3
[445639] oleic acid [20.504]	3	1894.85770658549	0.175284554198267	0.303601753653459	0.123944896910855	7.54689901298744	9.25097893766251e-05	0.00016023165539781	6.54142993943508e-05	1894.89554481996	0.193767795455147	0.185390133109073	0.0876636421024552	1894.85770658549	0.175284554198267	0.303601753653459	0.123944896910855	3
[445639] oleic acid [20.504]	4	1894.38156803221	0.0476773708385905	0.0825796286637415	0.0337129922291131	7.54664771397948	2.51681615099849e-05	4.35925344683933e-05	1.77965776737086e-05	1894.3938444473	0.0525698341626571	0.0501620503878174	0.0239298655036795	1894.38156803221	0.0476773708385905	0.0825796286637415	0.0337129922291131	3
[445639] oleic acid [20.504]	5	1892.601862598	1.65729913335849	2.87052630231678	1.17188745565238	7.54570665722987	0.000876122404738633	0.00151748851865674	0.000619512093540152	1893.0119043643	1.82826773678124	1.74570443734281	0.83146894371119	1892.601862598	1.65729913335849	2.87052630231678	1.17188745565238	3
[445639] oleic acid [20.504]	6	1894.79995258651	0.217581450010329	0.376862126202397	0.153853318762705	7.54686852624584	0.000114837917639264	0.000198905107986616	8.12026703000661e-05	1894.84916723586	0.240366624719352	0.229831702093572	0.108921564824304	1894.79995258651	0.217581450010329	0.376862126202397	0.153853318762705	3
[445639] oleic acid [20.504]	7	1894.97283233333	0.0023737252641556	0.00411141276072736	0.00167847723095826	7.54695978091185	1.25264261892338e-06	2.16964065970143e-06	8.85752090243999e-07					1894.97283233333	0.0023737252641556	0.00411141276072736	0.00167847723095826	3
[445639] oleic acid [20.504]	8	1894.55146824231	0.231780428724909	0.40145547875164	0.163893512897709	7.54673737483151	0.000122331400931956	0.000211884201775226	8.65013631510362e-05	1894.49160179275	0.255498336651166	0.243771829138425	0.116420601800071	1894.55146824231	0.231780428724909	0.40145547875164	0.163893512897709	3
[445639] oleic acid [20.504]	9	1894.98425133333	0.0067733261537859	0.0117317450345923	0.0047894648545302	7.54696580682079	3.574346943773e-06	6.19095051049337e-06	2.5274449622553e-06	1894.98480890891	0.00758511547158501	0.00731558960250491	0.00323529424255555	1894.98425133333	0.0067733261537859	0.0117317450345923	0.0047894648545302	3
[445639] oleic acid [20.504]	10	1894.79760890898	0.212621887443107	0.368271911852653	0.150346378439704	7.54686729023678	0.000112220538287763	0.000194371673967134	7.93519036116818e-05	1894.84763386749	0.234750414359983	0.224332273884524	0.106534475313862	1894.79760890898	0.212621887443107	0.368271911852653	0.150346378439704	3
[445639] oleic acid [20.504]	11	1894.8017501379	0.216280627710749	0.374609035887907	0.152933498493554	7.54686947515741	0.000114150855971591	0.000197715082270272	8.07168443357606e-05	1894.84815389861	0.239104880779732	0.228783433199867	0.108155460587113	1894.8017501379	0.216280627710749	0.374609035887907	0.152933498493554	3
