Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[464] hippuric acid 2 [16.87]	1	1526.80539533333	1.29431519662735	2.24181968156707	0.915219052528	7.3309317773984	0.000847288516787445	0.00146754675974553	0.000599123455841894	1526.46974435819	1.42664510409993	1.36105804443433	0.650214857843724	1526.80539533333	1.29431519662735	2.24181968156707	0.915219052528	3
[464] hippuric acid 2 [16.87]	2	1528.78354233333	1.48152289671319	2.56607292968386	1.04759488674903	7.33222621814972	0.000969570198953215	0.00167934484609163	0.000685589662516208	1529.10348309334	1.63771264366891	1.56688943626221	0.74098345918375	1528.78354233333	1.48152289671319	2.56607292968386	1.04759488674903	3
[464] hippuric acid 2 [16.87]	3	1529.97369866667	0.278434599448151	0.482262872829286	0.196882993386747	7.33300577414642	0.000181985737722341	0.000315208543987998	0.000128683349222703	1529.97092572627	0.309889424341961	0.298245740598824	0.137986307264601	1529.97369866667	0.278434599448151	0.482262872829286	0.196882993386747	3
[464] hippuric acid 2 [16.87]	4	1528.98436133333	0.857150081423907	1.48462749073801	0.606096635069446	7.33235850631233	0.00056070666229453	0.00097117242723649	0.000396479483164938	1529.10395394844	0.951243927585667	0.913331046909834	0.426363735764515	1528.98436133333	0.857150081423907	1.48462749073801	0.606096635069446	3
[464] hippuric acid 2 [16.87]	5	1530.57615566667	0.840452775275884	1.4557069081401	0.594289856664631	7.33339906355283	0.000549107479661949	0.00095108205359059	0.000388277622469219	1530.57436022619	0.935412236176168	0.900275877364532	0.416516524784727	1530.57615566667	0.840452775275884	1.4557069081401	0.594289856664631	3
[464] hippuric acid 2 [16.87]	6	1527.99397033333	1.323342691127	2.29209677685689	0.935744590729555	7.33170989913688	0.000865696392945145	0.0014994301365101	0.000612139789900246	1527.72006646003	1.46364740035551	1.40106477159117	0.661348540865257	1527.99397033333	1.323342691127	2.29209677685689	0.935744590729555	3
[464] hippuric acid 2 [16.87]	7	1527.60287366667	1.56003680915304	2.70206301513071	1.10311260665274	7.33145347273679	0.00102094066339165	0.00176832110050741	0.000721914066273327	1527.42098409236	1.73278842346132	1.66494436198753	0.775114868685311	1527.60287366667	1.56003680915304	2.70206301513071	1.10311260665274	3
[464] hippuric acid 2 [16.87]	8	1529.381783	0.973052163442553	1.68537578549732	0.68805178321847	7.33261826181632	0.000636487156144892	0.00110242809280798	0.000450064384248194	1529.6341154599	1.0725372628359	1.02323028178854	0.488824083449031	1529.381783	0.973052163442553	1.68537578549732	0.68805178321847	3
[464] hippuric acid 2 [16.87]	9	1529.186762	1.12905602433388	1.95558239873801	0.798363171146011	7.33249052676327	0.000738671995527826	0.00127941742638249	0.000522319977110325	1529.47955671951	1.24448995811258	1.18727708376976	0.567194595106362	1529.186762	1.12905602433388	1.95558239873801	0.798363171146011	3
[464] hippuric acid 2 [16.87]	10	1529.576804	0.57944102136864	1.00362128900009	0.409726675507425	7.33274616212192	0.000378889577022149	0.000656255997860643	0.000267915389233264	1529.68678280431	0.641502721894087	0.614626606434842	0.289174266919788	1529.576804	0.57944102136864	1.00362128900009	0.409726675507425	3
