Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[5280450] linoleic acid [20.399]	1	1890.94049932762	0.584365449944329	1.01215064949142	0.413208772346763	7.54482945968497	0.000309092802845714	0.000535364438782647	0.000218561616908161	1891.09200830374	0.644113870712222	0.614504819966269	0.293560109046997	1890.94049932762	0.584365449944329	1.01215064949142	0.413208772346763	3
[5280450] linoleic acid [20.399]	2	1890.49089959504	0.39776992569969	0.68895772103476	0.28126581181432	7.5445917431466	0.000210432747142123	0.000364480209626451	0.000148798422487909	1890.59403002987	0.438440628155239	0.418286226973479	0.199821531154689	1890.49089959504	0.39776992569969	0.68895772103476	0.28126581181432	3
[5280450] linoleic acid [20.399]	3	1889.34087795666	0.486601817881873	0.842819071626782	0.344079445161974	7.54398320589975	0.000257567871660019	0.000446120640112532	0.000182127988666586	1889.39180626108	0.540698199143486	0.519697957785588	0.24164837133058	1889.34087795666	0.486601817881873	0.842819071626782	0.344079445161974	3
[5280450] linoleic acid [20.399]	4	1893.35815170617	2.32972166457824	4.03519629054346	1.64736198730049	7.54610506196911	0.00122973922012406	0.00212997080931501	0.000869556941640783	1892.88429798752	2.57726749147709	2.46755184597166	1.16394113666591	1893.35815170617	2.32972166457824	4.03519629054346	1.64736198730049	3
[5280450] linoleic acid [20.399]	5	1893.61664592946	1.60222783376154	2.77514001337601	1.13294616625862	7.54624277564751	0.000845682994126289	0.00146476591292371	0.000597988179880842	1893.20115635258	1.76603924320697	1.68485010581953	0.804898088975751	1893.61664592946	1.60222783376154	2.77514001337601	1.13294616625862	3
[5280450] linoleic acid [20.399]	6	1891.95009617378	2.5953888760406	4.49534539870141	1.83521707406444	7.54536055317585	0.00137074157835213	0.00237419405775304	0.000969260665307141	1891.32834370764	2.86466028781239	2.73675120328329	1.30103699451537	1891.95009617378	2.5953888760406	4.49534539870141	1.83521707406444	3
[5280450] linoleic acid [20.399]	7	1895.43157015625	2.31219273113366	4.00483528721494	1.63496715959485	7.5471995989137	0.00122070938294828	0.00211433067254247	0.000863171882540773	1895.97518750084	2.55283906954907	2.43956615931484	1.15855182073701	1895.43157015625	2.31219273113366	4.00483528721494	1.63496715959485	3
[5280450] linoleic acid [20.399]	8	1889.15914299891	0.842764871935613	1.45971157702676	0.595924755891484	7.54388681266562	0.000446096701992201	0.000772662152939405	0.00031543800304364	1889.1429507093	0.937934333440729	0.902663871536422	0.417690637438312	1889.15914299891	0.842764871935613	1.45971157702676	0.595924755891484	3
[5280450] linoleic acid [20.399]	9	1889.63225534146	1.0089731207432	1.74759270859855	0.713451735712472	7.54413708752549	0.000533994767247053	0.000924906067847813	0.000377591321038523	1889.69431040386	1.12233806424317	1.07968986603203	0.500384816716439	1889.63225534146	1.0089731207432	1.74759270859855	0.713451735712472	3
[5280450] linoleic acid [20.399]	10	1890.94643479494	0.339753450836377	0.58847023889546	0.240241969017932	7.54483269344149	0.000179676409032779	0.000311208669366301	0.000127050407246326	1890.9579205441	0.378077501562696	0.363826898300859	0.168410839877784	1890.94643479494	0.339753450836377	0.58847023889546	0.240241969017932	3
[5280450] linoleic acid [20.399]	11	1888.63720151119	0.6985386694325	1.20990446650865	0.493941430076749	7.54361058540678	0.000369809214350206	0.000640528348361686	0.0002614946032123	1888.52058410148	0.774269673137364	0.742616693789847	0.348041423817482	1888.63720151119	0.6985386694325	1.20990446650865	0.493941430076749	3
[5280450] linoleic acid [20.399]	12	1892.71802839806	2.06813218826794	3.58211002684867	1.46239029471443	7.54576739525528	0.00109224476388396	0.00189182342534809	0.000772333679257847	1892.40364467453	2.2939363998501	2.2014956928625	1.02946463862372	1892.71802839806	2.06813218826794	3.58211002684867	1.46239029471443	3
[5280450] linoleic acid [20.399]	13	1889.05442732368	1.06981955644066	1.85298182668602	0.756476663005173	7.54383119897063	0.000566148534189354	0.000980598025846607	0.000400327467684116	1888.805399337	1.18134459595137	1.12909626519667	0.535920352728543	1889.05442732368	1.06981955644066	1.85298182668602	0.756476663005173	3
[5280450] linoleic acid [20.399]	14	1896.2767190761	1.89712662866969	3.28591970924776	1.34147110390191	7.54764611850907	0.00100104340306363	0.00173385803468785	0.000707844578568348	1896.75246809942	2.09234954966267	1.99739137543244	0.952136280065925	1896.2767190761	1.89712662866969	3.28591970924776	1.34147110390191	3
[5280450] linoleic acid [20.399]	15	1893.47016138271	2.27704701457366	3.94396112046461	1.61011538508562	7.54616432125205	0.00120184104481714	0.00208164975224496	0.000849829952698529	1892.98037972939	2.51723609781666	2.40849783058891	1.13877622508017	1893.47016138271	2.27704701457366	3.94396112046461	1.61011538508562	3
[5280450] linoleic acid [20.399]	16	1888.91438372049	0.612891246290023	1.06155877808853	0.43337955638155	7.54375738491656	0.000324528446740212	0.000562099758255458	0.000229476265377942	1889.06418648839	0.676257355775219	0.6458512009156	0.307389436024157	1888.91438372049	0.612891246290023	1.06155877808853	0.43337955638155	3
[5280450] linoleic acid [20.399]	17	1889.76253476525	0.210715223908129	0.364969473737131	0.148998163724679	7.54420643853073	0.000111495938245627	0.000193116629878988	7.88395340082393e-05	1889.70791891616	0.232261808599882	0.221586556762502	0.105848280838424	1889.76253476525	0.210715223908129	0.364969473737131	0.148998163724679	3
