Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[5281] stearic acid [20.675]	1	1919.52333763376	0.693227906448722	1.20070595519379	0.490186153557645	7.5598319768691	0.000361204177411022	0.000625623987182013	0.000255409923240243	1919.65283133423	0.767601865908778	0.73555146426792	0.345881761067159	1919.52333763376	0.693227906448722	1.20070595519379	0.490186153557645	3
[5281] stearic acid [20.675]	2	1918.08551914775	0.534074051619848	0.925043392409739	0.377647383556169	7.55908272579695	0.000278488698184617	0.000482356574589471	0.000196921246970156	1918.22395548211	0.588683235353674	0.561624903772771	0.268293712488507	1918.08551914775	0.534074051619848	0.925043392409739	0.377647383556169	3
[5281] stearic acid [20.675]	3	1915.91093347563	3.91859487397895	6.7872054160105	2.77086500811336	7.55794218677637	0.00204778099144411	0.00354686071995498	0.00144799982543504	1916.8919367953	4.32196722811318	4.12594468666915	1.96658953591112	1915.91093347563	3.91859487397895	6.7872054160105	2.77086500811336	3
[5281] stearic acid [20.675]	4	1919.52209113176	0.386306034077545	0.669101678292742	0.273159616309513	7.55983146240649	0.000201275930393538	0.000348620137782304	0.000142323575270902	1919.62211153137	0.425815507848723	0.406252152806562	0.194054576804856	1919.52209113176	0.386306034077545	0.669101678292742	0.273159616309513	3
[5281] stearic acid [20.675]	5	1917.896035077	0.339866681458647	0.588666360086204	0.240322035158778	7.5589840020162	0.000177188871322889	0.000306900127667028	0.000125291452463205	1917.80794402274	0.374619416763732	0.357400976358129	0.17073136660683	1917.896035077	0.339866681458647	0.588666360086204	0.240322035158778	3
[5281] stearic acid [20.675]	6	1917.9887851062	0.0451268369814624	0.0781619744367711	0.031909492443092	7.55903240741457	2.35285368262597e-05	4.07526212108371e-05	1.66371879412456e-05	1918.00015022234	0.049778227029002	0.0475187245787909	0.0226339231133366	1917.9887851062	0.0451268369814624	0.0781619744367711	0.031909492443092	3
[5281] stearic acid [20.675]	7	1917.25241118742	0.767662434947926	1.32963034039185	0.542819313413855	7.55864816376648	0.000400433293482024	0.000693570809353004	0.000283149097234002	1917.32385681503	0.853294202791617	0.820383165390708	0.381059744268964	1917.25241118742	0.767662434947926	1.32963034039185	0.542819313413855	3
[5281] stearic acid [20.675]	8	1917.10079295416	0.707478380549634	1.22538850036852	0.500262760429523	7.55856911580602	0.000369117827151996	0.000639330830606684	0.00026100571863602	1917.28144911645	0.780031328448003	0.744387249949026	0.35525011482181	1917.10079295416	0.707478380549634	1.22538850036852	0.500262760429523	3
[5281] stearic acid [20.675]	9	1917.43618889657	1.08765590985604	1.88387529702321	0.769088869456827	7.55874377190581	0.000567113457029021	0.000982269321230293	0.000401009771167366	1917.25030389837	1.20533742613085	1.15586270488013	0.542061219477088	1917.43618889657	1.08765590985604	1.88387529702321	0.769088869456827	3
[5281] stearic acid [20.675]	10	1918.03020303394	0.300170301894873	0.519910213805209	0.212252455980678	7.5590539657342	0.000156490605926512	0.000271049680371959	0.000110655568642629	1917.98603509908	0.333014925701486	0.31965468659359	0.14937072317945	1918.03020303394	0.300170301894873	0.519910213805209	0.212252455980678	3
[5281] stearic acid [20.675]	11	1918.64234403189	0.559592615422107	0.96924284145144	0.395691733066887	7.5593729748473	0.000291609680228079	0.000505082782133947	0.000206199182348916	1918.50019002796	0.617037465795954	0.588897649076078	0.280949586709693	1918.64234403189	0.559592615422107	0.96924284145144	0.395691733066887	3
[5281] stearic acid [20.675]	12	1918.91532090092	0.446847994987168	0.773963430578058	0.315969247415039	7.55951528702674	0.000232839514160319	0.000403289868535325	0.000164642399390943	1918.8276784453	0.49453460945234	0.47366418675051	0.223113190677728	1918.91532090092	0.446847994987168	0.773963430578058	0.315969247415039	3
[5281] stearic acid [20.675]	13	1918.46928556664	0.172720151863098	0.299160078517897	0.122131590629967	7.55928288779175	9.00342517433871e-05	0.000155943898440993	6.36638299468058e-05	1918.50562017697	0.190996769513804	0.18279659133623	0.0863389863431765	1918.46928556664	0.172720151863098	0.299160078517897	0.122131590629967	3
[5281] stearic acid [20.675]	14	1917.47608090105	0.32677092317338	0.56598384137248	0.231061935670485	7.55876501549395	0.000170417962930638	0.000295172570318255	0.000120503697224252	1917.47954175901	0.363686671055567	0.350021671394524	0.161944248760481	1917.47608090105	0.32677092317338	0.56598384137248	0.231061935670485	3
[5281] stearic acid [20.675]	15	1917.86513011271	0.15427028298754	0.267203968232448	0.109085563236057	7.55896792528392	8.04425080276482e-05	0.000139330510992154	5.68814429220033e-05	1917.90512076405	0.170047360020143	0.162231943714092	0.0774937222626895	1917.86513011271	0.15427028298754	0.267203968232448	0.109085563236057	3
