Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[6251] D-mannitol [18.130]	1	1643.71701374157	0.994021455921062	3.14337184378722	0.702879312126708	7.40471360239899	0.000604017549461289	0.00191007120301108	0.000427104905179758	1643.15924795308	0.869003897794114	1.62558004225327	0.459338973425822	1643.71701374157	0.994021455921062	3.14337184378722	0.702879312126708	10
[6251] D-mannitol [18.130]	2	1643.11312197051	0.796162016568603	2.5176853588695	0.562971560838815	7.40434679526373	0.000483724131572601	0.00152967001495639	0.00034204461365856	1642.60374915372	0.512989854885535	1.02221981214319	0.299925059550333	1643.11312197051	0.796162016568603	2.5176853588695	0.562971560838815	10
[6251] D-mannitol [18.130]	3	1643.72116147752	0.846582387373213	2.67712857108232	0.598624146944696	7.40471662713711	0.000514444517348943	0.00162681640460867	0.000363767206761678	1643.23848034666	0.723310052982822	1.35589673972009	0.380494918684426	1643.72116147752	0.846582387373213	2.67712857108232	0.598624146944696	10
[6251] D-mannitol [18.130]	4	1643.71529851785	0.928272940038731	2.9354567808233	0.656388090693361	7.4047127924921	0.00056404556564922	0.00178366869156956	0.000398840444368765	1643.23108144231	0.795621882264355	1.49210865495425	0.415773615686524	1643.71529851785	0.928272940038731	2.9354567808233	0.656388090693361	10
[6251] D-mannitol [18.130]	5	1643.67018753192	0.973803418237298	3.07943679488741	0.688583000578233	7.40468518796858	0.000591606031299877	0.00187082253640048	0.000418328636523004	1643.14794983518	0.793351361123534	1.5039717076952	0.422784900080797	1643.67018753192	0.973803418237298	3.07943679488741	0.688583000578233	10
[6251] D-mannitol [18.130]	6	1643.40153094683	0.853833675732498	2.70005915826833	0.603751582115885	7.40452213031021	0.000518710804438122	0.00164030758896264	0.000366783927292925	1642.92878364216	0.555149144435539	1.11218098631009	0.331953350650793	1643.40153094683	0.853833675732498	2.70005915826833	0.603751582115885	10
[6251] D-mannitol [18.130]	7	1643.35432076574	0.768307668015078	2.42960217470014	0.543275562091084	7.40449365904444	0.000466755794912861	0.00147601142300707	0.000330046187741001	1642.86029684161	0.477867751676848	0.961548093860452	0.287112711401052	1643.35432076574	0.768307668015078	2.42960217470014	0.543275562091084	10
[6251] D-mannitol [18.130]	8	1644.04201394197	1.19668065362367	3.78423649730983	0.846181005092048	7.40491048591729	0.000727102801119702	0.00229930094462669	0.000514139321291475	1643.45340002124	1.14141426165533	2.08944435961147	0.57456246919921	1644.04201394197	1.19668065362367	3.78423649730983	0.846181005092048	10
[6251] D-mannitol [18.130]	9	1642.94450013543	0.950125411763712	3.00456036397867	0.671840121635782	7.40424366887054	0.000577480537776841	0.00182615380379373	0.000408340404265258	1642.54919966693	0.691467458598332	1.35496881621645	0.393277412014364	1642.94450013543	0.950125411763712	3.00456036397867	0.671840121635782	10
[6251] D-mannitol [18.130]	10	1642.56737836691	0.995830090610855	3.14909124886216	0.70415820998055	7.40401393739555	0.000605318272801884	0.00191418445137311	0.000428024655474341	1642.10485934744	0.778669329755156	1.48940899318721	0.415286758322419	1642.56737836691	0.995830090610855	3.14909124886216	0.70415820998055	10
[6251] D-mannitol [18.130]	11	1642.58483674162	0.286362518681072	0.905557795534703	0.202488878837045	7.40402624801275	0.000174362575075306	0.000551382875930071	0.000123292959220897					1642.58483674162	0.286362518681072	0.905557795534703	0.202488878837045	10
[6251] D-mannitol [18.130]	12	1642.76363956608	0.886190720313445	2.80238111749573	0.626631467758228	7.40413379645119	0.000538656026321388	0.0017033799185512	0.000380887328938853	1642.32430904954	0.690295153713896	1.31907547076305	0.366578936608561	1642.76363956608	0.886190720313445	2.80238111749573	0.626631467758228	10
[6251] D-mannitol [18.130]	13	1644.20206796954	1.14794245350089	3.63011277586475	0.811717893282404	7.4050080480043	0.000697144488131024	0.00220456444072626	0.000492955595024272	1643.3974801631	0.986747088403802	1.84868796351674	0.539344474853706	1644.20206796954	1.14794245350089	3.63011277586475	0.811717893282404	10
[6251] D-mannitol [18.130]	14	1642.50718306517	0.215817643649959	0.682475313184444	0.152606119324588	7.40397903724256	0.00013143443594796	0.000415632180575064	9.29381809402312e-05					1642.50718306517	0.215817643649959	0.682475313184444	0.152606119324588	10
[6251] D-mannitol [18.130]	15	1643.94267698941	1.16109607289255	3.67170817261734	0.821018906751391	7.40485021716511	0.000705357464431077	0.00223053615220341	0.000498763046259764	1643.2365409462	1.03335664694267	1.92636340112339	0.549761021680796	1643.94267698941	1.16109607289255	3.67170817261734	0.821018906751391	10
[6251] D-mannitol [18.130]	16	1642.58086895296	0.614245569006759	1.94241504072749	0.434337207158469	7.40402328536268	0.000373898972017145	0.00118237236636974	0.000264386498592003	1642.59537864611	0.538995060210975	1.01796321260105	0.286166266850165	1642.58086895296	0.614245569006759	1.94241504072749	0.434337207158469	10
[6251] D-mannitol [18.130]	17	1642.0231978499	0.403609995484677	1.27632687214186	0.285395364761887	7.40368411563163	0.000245796217881535	0.000777275888760656	0.000173804172454039	1642.04288538539	0.449110818308326	0.786636656653312	0.198535410446732	1642.0231978499	0.403609995484677	1.27632687214186	0.285395364761887	10
[6251] D-mannitol [18.130]	18	1642.52352705907	0.278667658941014	0.881224512480591	0.197047791334571	7.40398893023289	0.000169690208523709	0.000536607555563839	0.000119989097148074	1642.58947046563	0.259194694534081	0.478604429851813	0.129140338633572	1642.52352705907	0.278667658941014	0.881224512480591	0.197047791334571	10
