Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[64956] DL-3-aminoisobutyric acid 2 [12.567]	1	1148.11419786158	0.131024938881663	0.226941851201647	0.0926486227877769	7.04587602788745	0.000114113914347574	0.000197651097500561	8.06907226629105e-05	1148.08030222855	0.144431276708009	0.137798833054508	0.0658113853258364	1148.11419786158	0.131024938881663	0.226941851201647	0.0926486227877769	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	2	1148.095806	0.132160435996886	0.228908589897062	0.0934515404979689	7.04586000822665	0.000115104616967189	0.000199367044772926	8.13912552033794e-05	1148.06155748039	0.145678255134458	0.138983973375916	0.0663852448425002	1148.095806	0.132160435996886	0.228908589897062	0.0934515404979689	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	3	1148.422968	0.00247001880333914	0.00427819806303387	0.00174656704549939	7.04614494803997	2.15079070727501e-06	3.72527878144733e-06	1.52083869402717e-06					1148.422968	0.00247001880333914	0.00427819806303387	0.00174656704549939	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	4	1148.420807	0.00366705576724651	0.00635152690305943	0.00259300000000925	7.04614306631896	3.19312898649694e-06	5.53066163973362e-06	2.25788315955532e-06					1148.420807	0.00366705576724651	0.00635152690305943	0.00259300000000925	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	5	1147.94305575871	0.00732260890034888	0.0126831306593603	0.00517786640941366	7.04572697259057	6.37888257829609e-06	1.10485487211248e-05	4.51055112750589e-06	1147.94211284901	0.00817595641186993	0.00786769217944694	0.00351444000923524	1147.94305575871	0.00732260890034888	0.0126831306593603	0.00517786640941366	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	6	1148.42253566667	0.232255382887182	0.402278123491962	0.164229356206604	7.04614451023782	0.000202238742975756	0.000350287778092873	0.0001430043865768	1148.42280335254	0.258498931053583	0.248789992874216	0.115099580980547	1148.42253566667	0.232255382887182	0.402278123491962	0.164229356206604	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	7	1148.42210333333	0.00266410832834937	0.0046143709815685	0.0018838090647914	7.046144195122	2.31979579532368e-06	4.01800418068527e-06	1.64034333784142e-06					1148.42210333333	0.00266410832834937	0.0046143709815685	0.0018838090647914	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	8	1148.25701	0.133741088040377	0.231646359545475	0.0945692302766175	7.04600040777865	0.000116481439063655	0.000201751770596989	8.23648154442783e-05	1148.2916867404	0.147419021756462	0.140643277283607	0.0671804214949989	1148.25701	0.133741088040377	0.231646359545475	0.0945692302766175	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	9	1148.425129	0.00196470472761942	0.00340296841010761	0.00138925603592896	7.04614682975164	1.7107801295958e-06	2.96315810503919e-06	1.20970423075639e-06	1148.42479164772	0.00239028574615035	0.00238589440587529	0.000543379054066992	1148.425129	0.00196470472761942	0.00340296841010761	0.00138925603592896	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	10	1148.41778166667	0.00231395785673181	0.00400789257443267	0.00163621529187495	7.04614043198255	2.01490717148058e-06	3.48992159353926e-06	1.42475452441533e-06					1148.41778166667	0.00231395785673181	0.00400789257443267	0.00163621529187495	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	11	1148.1051493225	0.12675435402806	0.219544981257173	0.0896288632781618	7.04586814788996	0.000110395628632258	0.000191210837724576	7.80614976192212e-05	1148.0722929987	0.139718861548822	0.133297841579976	0.0636697411652037	1148.1051493225	0.12675435402806	0.219544981257173	0.0896288632781618	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	12	1148.26046733333	0.130918217329541	0.22675700405111	0.0925731592545729	7.04600341956463	0.000114022352353655	0.000197492507475052	8.06259785561116e-05	1148.29441189673	0.144307638094203	0.137674966812164	0.065762185574817	1148.26046733333	0.130918217329541	0.22675700405111	0.0925731592545729	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	13	1148.26078046722	0.131725378435819	0.228155048097077	0.0931439083463321	7.04600369202622	0.00011472535974473	0.00019871015199449	8.11230798495649e-05	1148.29492392179	0.145198119730549	0.138525312976834	0.0661671126371762	1148.26078046722	0.131725378435819	0.228155048097077	0.0931439083463321	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	14	1148.10585087546	0.259807452349911	0.449999707655076	0.183711611359423	7.04586870039781	0.000226323622289008	0.00039200401275759	0.000160034968063261	1148.17322431418	0.286372097038492	0.273207433370238	0.130514544786018	1148.10585087546	0.259807452349911	0.449999707655076	0.183711611359423	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	15	1148.31198276412	0.146298784744112	0.253396928262384	0.103448862771912	7.04604827759901	0.000127411740362985	0.000220683607789465	9.00937056134467e-05	1148.34378109932	0.161711602509401	0.154706945082684	0.0731752902040327	1148.31198276412	0.146298784744112	0.253396928262384	0.103448862771912	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	16	1148.27021552824	0.126742815773644	0.219524996414294	0.0896207045002213	7.04601191028582	0.000110384587884595	0.000191191714588671	7.80536906316797e-05	1148.30287716439	0.139721208826642	0.133314901940366	0.0636530201842288	1148.27021552824	0.126742815773644	0.219524996414294	0.0896207045002213	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	17	1148.42210366667	0.000611175976339798	0.00105858784338604	0.00043216667736818	7.0461441954199	5.3218757682371e-07	9.21775922215631e-07	3.76313444435282e-07					1148.42210366667	0.000611175976339798	0.00105858784338604	0.00043216667736818	3
[64956] DL-3-aminoisobutyric acid 2 [12.567]	18	1148.26219633333	0.133252736862708	0.230800510493817	0.0942239138472877	7.04600492461778	0.000116055533628232	0.000201014080743616	8.2063654822746e-05	1148.29664558924	0.146888680436976	0.14014511851963	0.066929286696987	1148.26219633333	0.133252736862708	0.230800510493817	0.0942239138472877	3
