Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[65098] norvaline 2 [9.468]	1	933.942226052667	0.188032298406823	0.594610336642012	0.132958913285557	6.83941437711781	0.000201369566151438	0.000636786480478492	0.000142389785750275	933.994203471874	0.190996981066783	0.344988140317126	0.0911550822703942	933.942226052667	0.188032298406823	0.594610336642012	0.132958913285557	10
[65098] norvaline 2 [9.468]	2	931.096260164087	2.95228159862177	9.33593414584783	2.08757833835772	6.83631148516977	0.00321382056296326	0.0101629929700485	0.00227251431358809	933.499936966696	1.51216682531748	3.1438902797159	0.98788568467905	931.096260164087	2.95228159862177	9.33593414584783	2.08757833835772	10
[65098] norvaline 2 [9.468]	3	932.251017533308	1.98125093192485	6.26526556121375	1.40095596919623	6.83757925360091	0.00214452897709926	0.00678159607586475	0.00151641098215794	933.872215333304	1.00296300296787	2.09080100118868	0.660324939505926	932.251017533308	1.98125093192485	6.26526556121375	1.40095596919623	10
[65098] norvaline 2 [9.468]	4	933.948459441606	0.225736326368683	0.713840941964166	0.159619687135436	6.83942096191539	0.000241752645351459	0.000764488989681528	0.000170944934897803					933.948459441606	0.225736326368683	0.713840941964166	0.159619687135436	10
[65098] norvaline 2 [9.468]	5	930.791062639915	2.92167985303694	9.23916292942274	2.06593963653853	6.83598468214854	0.00318102540457156	0.0100592855733047	0.00224932463469923	933.162623025981	1.50432376590213	3.12415300039057	0.979452299013975	930.791062639915	2.92167985303694	9.23916292942274	2.06593963653853	10
[65098] norvaline 2 [9.468]	6	931.499214838366	2.42979543575312	7.68368782526118	1.71812482951715	6.83676082445327	0.00263728025686026	0.00833981243987232	0.00186483875351529	933.456774825424	1.27002588554997	2.62882225226433	0.818977556844335	931.499214838366	2.42979543575312	7.68368782526118	1.71812482951715	10
[65098] norvaline 2 [9.468]	7	931.675512417067	1.93198272907829	6.10946582399541	1.36611808886655	6.83696284232607	0.00209162356188923	0.00661429446324412	0.00147900120430143	933.210198758097	1.03174082159572	2.12629557517124	0.656786338019562	931.675512417067	1.93198272907829	6.10946582399541	1.36611808886655	10
[65098] norvaline 2 [9.468]	8	933.280460854624	1.00511291621253	3.17844612088557	0.710722158912064	6.83869992227704	0.00108187060354743	0.00342117524079093	0.000764998040134773	934.098716921948	0.513824048210109	1.06887112247682	0.33613621551866	933.280460854624	1.00511291621253	3.17844612088557	0.710722158912064	10
[65098] norvaline 2 [9.468]	9	933.813670259656	0.201999216004287	0.638777608141883	0.142835015430997	6.83927668784803	0.000216319730475673	0.000684063051136867	0.000152961148323795					933.813670259656	0.201999216004287	0.638777608141883	0.142835015430997	10
[65098] norvaline 2 [9.468]	10	934.227575671352	0.0482043345916428	0.152435490402434	0.0340856118723359	6.83972005227065	5.16054685510532e-05	0.000163190820341517	3.64905767587588e-05					934.227575671352	0.0482043345916428	0.152435490402434	0.0340856118723359	10
[65098] norvaline 2 [9.468]	11	933.997418289353	0.187884460376176	0.594142831740372	0.132854376011569	6.83947347167205	0.000201220381921757	0.000636314718521722	0.000142284296569822	934.086282273656	0.185817298143009	0.336006858629431	0.0904172676953468	933.997418289353	0.187884460376176	0.594142831740372	0.132854376011569	10
[65098] norvaline 2 [9.468]	12	934.012403699232	0.160599572996346	0.507860441918926	0.11356104712138	6.83948957044631	0.000171997632183993	0.000543904269857298	0.000121620692065331	934.099764615615	0.150392180450285	0.275641482110021	0.0760275854617807	934.012403699232	0.160599572996346	0.507860441918926	0.11356104712138	10
[65098] norvaline 2 [9.468]	13	933.154165700275	0.994626879413055	3.14528636097089	0.703307411183386	6.83856470949746	0.00107062725532173	0.0033856206518713	0.000757047792361138	933.952952195817	0.522204494195391	1.07996779610448	0.335840981527503	933.154165700275	0.994626879413055	3.14528636097089	0.703307411183386	10
[65098] norvaline 2 [9.468]	14	933.830672341132	0.1778655019622	0.562460103369701	0.125769902576621	6.83929494735826	0.000190505517741062	0.000602431342891371	0.000134707743448159	933.896864532464	0.192358094985435	0.338803598846627	0.087766120790929	933.830672341132	0.1778655019622	0.562460103369701	0.125769902576621	10
[65098] norvaline 2 [9.468]	15	934.228757193745	0.12469534596852	0.394321306883218	0.0881729247167431	6.83972124119569	0.000133493140630381	0.000422142376401171	9.43939049816322e-05					934.228757193745	0.12469534596852	0.394321306883218	0.0881729247167431	10
[65098] norvaline 2 [9.468]	16	932.014844631389	1.96151381202143	6.2028513078671	1.38699971787143	6.83732633232611	0.00212333325368801	0.00671456931323022	0.00150142334240169	933.601869827486	1.01885983212661	2.11160551981897	0.659661636484752	932.014844631389	1.96151381202143	6.2028513078671	1.38699971787143	10
[65098] norvaline 2 [9.468]	17	934.010317933555	0.184868454305675	0.584605383120695	0.130721737667018	6.83948728924035	0.000197993859661849	0.00062611155925918	0.000140002800800191	934.108719819514	0.175451848180505	0.321077877017313	0.0884260083888742	934.010317933555	0.184868454305675	0.584605383120695	0.130721737667018	10
[65098] norvaline 2 [9.468]	18	934.318659302883	0.0669386756592348	0.211678678638455	0.0473327914822918	6.83981753135752	7.16504874714406e-05	0.000226578735871111	5.06645455663774e-05	934.33303140914	0.0606774007325929	0.113165263351777	0.0309733214173183	934.318659302883	0.0669386756592348	0.211678678638455	0.0473327914822918	10
[65098] norvaline 2 [9.468]	19	931.067444926093	2.95027652555913	9.32959354809483	2.08616053759835	6.83628060517935	0.0032116525619755	0.0101561371489577	0.00227098130538802	933.465385309199	1.51631670918319	3.15014539007923	0.98839407161095	931.067444926093	2.95027652555913	9.32959354809483	2.08616053759835	10
[65098] norvaline 2 [9.468]	20	934.09704506975	0.16249852111516	0.513865443132871	0.114903806213315	6.83958018411866	0.000173998529025215	0.000550231661238596	0.000123035539790214	934.133951812385	0.152254783313619	0.280077509469915	0.0749331895069535	934.09704506975	0.16249852111516	0.513865443132871	0.114903806213315	10
[65098] norvaline 2 [9.468]	21	931.49683538055	2.43070695995452	7.68657031787997	1.71876937446118	6.83675824460236	0.00263823785174418	0.00834284062078123	0.00186551587535134	933.451711116472	1.27624675721402	2.63889966435462	0.820608483480303	931.49683538055	2.43070695995452	7.68657031787997	1.71876937446118	10
[65098] norvaline 2 [9.468]	22	931.205397009555	2.39795666681451	7.58300479751935	1.69561142009603	6.83644623344	0.00260320597602651	0.00823206010280547	0.00184074459847369	933.139502881605	1.24962165407109	2.5884177801138	0.807377066900598	931.205397009555	2.39795666681451	7.58300479751935	1.69561142009603	10
