Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[68374] 7-methylxanthine [19.176]	1	1744.91171057843	0.303506844815963	0.52568927566617	0.2146117481059	7.46445919231759	0.000173938538132617	0.00030127038543995	0.000122993119823249	1744.91297298763	0.337798827635749	0.32511001024079	0.15041099981232	1744.91171057843	0.303506844815963	0.52568927566617	0.2146117481059	3
[68374] 7-methylxanthine [19.176]	2	1743.28614807601	0.516968407671308	0.895415547994685	0.365551866723593	7.46352707001144	0.000296529112139968	0.000513603488149714	0.000209677746013398	1743.23951719071	0.574681108962693	0.552551630891907	0.256591636215539	1743.28614807601	0.516968407671308	0.895415547994685	0.365551866723593	3
[68374] 7-methylxanthine [19.176]	3	1744.1750972549	0.889601124315758	1.54083434578529	0.629042987554849	7.46403660909731	0.00050996373422646	0.00088328309769778	0.000360598814630744	1744.06480633714	0.987852813376304	0.948966595759435	0.442154947099387	1744.1750972549	0.889601124315758	1.54083434578529	0.629042987554849	3
[68374] 7-methylxanthine [19.176]	4	1744.75585202178	0.419425613948664	0.726466473354856	0.296578695826431	7.46436982527618	0.000240407840943744	0.000416398595052502	0.000169994014581738	1744.80302218726	0.465937243389394	0.44774728643108	0.208355295490722	1744.75585202178	0.419425613948664	0.726466473354856	0.296578695826431	3
[68374] 7-methylxanthine [19.176]	5	1743.00695444501	0.359587718232737	0.622824197756862	0.254266913993766	7.46336697160097	0.000206298096768013	0.00035731878510696	0.000145874783170541	1742.98947305288	0.400075813189499	0.384939519273642	0.178283101929154	1743.00695444501	0.359587718232737	0.622824197756862	0.254266913993766	3
[68374] 7-methylxanthine [19.176]	6	1743.66412812806	1.04167201903412	1.80422886178996	0.736573348431312	7.46374346375917	0.000597188531640861	0.00103436087849943	0.00042227606037009	1743.39758130627	1.14846576634517	1.09592413098526	0.523094937496771	1743.66412812806	1.04167201903412	1.80422886178996	0.736573348431312	3
[68374] 7-methylxanthine [19.176]	7	1743.95164816223	0.213478518448394	0.369755640277149	0.150952108032517	7.463908856932	0.000122404093916731	0.000212010109718211	8.65527648535157e-05	1743.91165539084	0.236376927834737	0.226502364017689	0.106515075547574	1743.95164816223	0.213478518448394	0.369755640277149	0.150952108032517	3
[68374] 7-methylxanthine [19.176]	8	1743.30152118389	0.331233729649924	0.573713648934201	0.234217616393173	7.46353596617781	0.000190023641936724	0.000329130602473683	0.000134367005799222	1743.37859950725	0.365766883861669	0.349591881277216	0.165926422819738	1743.30152118389	0.331233729649924	0.573713648934201	0.234217616393173	3
[68374] 7-methylxanthine [19.176]	9	1744.32895116009	0.800627677752776	1.38672781581369	0.566129260144626	7.46412488954586	0.000458896295903613	0.00079483169991022	0.000324488682694833	1744.18149228897	0.886648168066011	0.84973667952494	0.399391084698131	1744.32895116009	0.800627677752776	1.38672781581369	0.566129260144626	3
[68374] 7-methylxanthine [19.176]	10	1744.6058152549	0.728259704046949	1.26138280851439	0.514957375196506	7.46428365392564	0.000417408988047588	0.000722973574834333	0.000295152725976664	1744.5604772459	0.810073570343106	0.779282585845029	0.361175005380697	1744.6058152549	0.728259704046949	1.26138280851439	0.514957375196506	3
[68374] 7-methylxanthine [19.176]	11	1744.47084585459	0.776080153756329	1.34421025705183	0.548771539465399	7.46420625161256	0.000444837405169262	0.000770480986860264	0.000314547545720613	1744.40147082158	0.862736949161779	0.829529680255821	0.385189333794676	1744.47084585459	0.776080153756329	1.34421025705183	0.548771539465399	3
[68374] 7-methylxanthine [19.176]	12	1743.88227971887	0.76967423193983	1.33311487499634	0.544241868709202	7.46386880985029	0.000441340344586804	0.0007644239002543	0.000312074750468537	1743.85525024461	0.856479098379533	0.824186387385273	0.381526496034078	1743.88227971887	0.76967423193983	1.33311487499634	0.544241868709202	3
[68374] 7-methylxanthine [19.176]	13	1743.72901401654	0.478793558842337	0.829294770251646	0.338558172245857	7.46378109745852	0.000274534118885783	0.00047550704232133	0.000194124937131211	1743.6048550283	0.527746575456789	0.503484968080771	0.240526070728782	1743.72901401654	0.478793558842337	0.829294770251646	0.338558172245857	3
[68374] 7-methylxanthine [19.176]	14	1743.23025954898	0.298474099352368	0.516972304821662	0.211053059660606	7.46349509812118	0.000171236935293906	0.000296591072061429	0.000121082798135923	1743.30766021427	0.328991670072374	0.313867546024662	0.149939502629709	1743.23025954898	0.298474099352368	0.516972304821662	0.211053059660606	3
[68374] 7-methylxanthine [19.176]	15	1744.53773090906	0.892963359296034	1.54665790759811	0.631420446709345	7.46424449580021	0.000511943227505216	0.000886711680629826	0.000361998527751465	1744.65178663014	0.991448372819449	0.952308728980281	0.443906799560258	1744.53773090906	0.892963359296034	1.54665790759811	0.631420446709345	3
