Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[6912] xylitol [15.701]	1	1413.85071919947	3.56189590622265	6.16938468084922	2.51864074917064	7.25406276671025	0.00251542441133271	0.00435684288302729	0.00177867365881554	1412.92703051883	3.92605877137646	3.74556217552663	1.78935667487786	1413.85071919947	3.56189590622265	6.16938468084922	2.51864074917064	3
[6912] xylitol [15.701]	2	1423.30987889564	0.151709572648646	0.262768687822016	0.107274867590771	7.2607403218506	0.000106582799635879	0.000184606824182276	7.53654203803773e-05	1423.27335596193	0.167434983868404	0.159948074563509	0.0760497452129439	1423.30987889564	0.151709572648646	0.262768687822016	0.107274867590771	3
[6912] xylitol [15.701]	3	1422.95082831286	0.163544532046352	0.283267438804358	0.115643447635956	7.26048802273115	0.000114941457093996	0.0001990844435828	8.12758837506274e-05	1422.99322104154	0.180269805937699	0.171984565039309	0.0821527989154643	1422.95082831286	0.163544532046352	0.283267438804358	0.115643447635956	3
[6912] xylitol [15.701]	4	1421.63648809184	0.666467936744236	1.15435632805662	0.471263997515256	7.25956361382403	0.000468740433830661	0.000811882246956582	0.000331449539377984	1421.55708837289	0.740204790476791	0.711171115470052	0.331176532434641	1421.63648809184	0.666467936744236	1.15435632805662	0.471263997515256	3
[6912] xylitol [15.701]	5	1423.15316766277	0.00489199240736201	0.00847317939979219	0.00345916100475878	7.26063022942849	3.43743127543608e-06	5.95380561658158e-06	2.43063096472358e-06	1423.15274150349	0.00549005428354915	0.00530847853563263	0.00222380841173819	1423.15316766277	0.00489199240736201	0.00847317939979219	0.00345916100475878	3
[6912] xylitol [15.701]	6	1419.89114377568	2.66348006216608	4.61328279261836	1.8833648135128	7.25833020241565	0.00187791153336369	0.00325263818790548	0.00132788397970989	1420.55247160816	2.93806741373077	2.80521235415164	1.3363943858486	1419.89114377568	2.66348006216608	4.61328279261836	1.8833648135128	3
[6912] xylitol [15.701]	7	1418.95346735732	3.86851717408444	6.70046829546702	2.73545472693173	7.25766371041665	0.00273079534318883	0.00472987627947554	0.00193096390520147	1419.93253178216	4.26591609061611	4.07164423336378	1.9420373075823	1418.95346735732	3.86851717408444	6.70046829546702	2.73545472693173	3
[6912] xylitol [15.701]	8	1418.40860777234	3.64828881232768	6.31902158363665	2.57972975892392	7.25728087897736	0.002576153040642	0.00446202795446499	0.0018216152844123	1419.34882508311	4.02174888757826	3.83731187707439	1.8324277830506	1418.40860777234	3.64828881232768	6.31902158363665	2.57972975892392	3
[6912] xylitol [15.701]	9	1422.7100539178	0.567524188488652	0.982980728986641	0.401300202167718	7.26031858167654	0.000398974334989687	0.000691043819118143	0.000282117457790601	1422.81538951574	0.62845230743491	0.602247114633753	0.283136783976758	1422.7100539178	0.567524188488652	0.982980728986641	0.401300202167718	3
[6912] xylitol [15.701]	10	1423.1021533049	0.265317504829986	0.459543398502937	0.187607806832778	7.26059433066029	0.000186433950443547	0.000322913074424001	0.000131828710602029	1423.09558719844	0.295269344767933	0.284158339042783	0.131500039520862	1423.1021533049	0.265317504829986	0.459543398502937	0.187607806832778	3
[6912] xylitol [15.701]	11	1422.70901849171	0.561233210167469	0.972084434905038	0.396851808736512	7.26031785915594	0.000394551035132563	0.000683382439028492	0.000278989712466407	1422.8128776088	0.62150425802799	0.595604667854751	0.279986669081656	1422.70901849171	0.561233210167469	0.972084434905038	0.396851808736512	3
[6912] xylitol [15.701]	12	1413.44644576548	3.72744523500334	6.45612452945629	2.63570180217234	7.25377587875052	0.00263301210944462	0.00456051075050219	0.00186182071753459	1412.50630908223	4.11059944104943	3.92364205754332	1.87103682250426	1413.44644576548	3.72744523500334	6.45612452945629	2.63570180217234	3
[6912] xylitol [15.701]	13	1418.21253244147	3.56327302528778	6.1717699210381	2.51961451940009	7.25714308907657	0.00251639942157506	0.00435853165030495	0.00177936309516963	1419.13655611643	3.92757736226179	3.74701077458237	1.79004482438013	1418.21253244147	3.56327302528778	6.1717699210381	2.51961451940009	3
[6912] xylitol [15.701]	14	1418.56844847239	3.71487175784595	6.4343466281919	2.62681101121126	7.25739319880555	0.00262287700608739	0.0045429562365475	0.00185465411722266	1419.50848948962	4.09649782043987	3.90995172024044	1.86489786866989	1418.56844847239	3.71487175784595	6.4343466281919	2.62681101121126	3
[6912] xylitol [15.701]	15	1418.4243828532	3.64155719833961	6.30736208619237	2.57496978902462	7.25729203750144	0.00257136606368679	0.0044537366671639	0.00181823038054589	1419.36349417075	4.01427886358768	3.83013598217627	1.82908242655795	1418.4243828532	3.64155719833961	6.30736208619237	2.57496978902462	3
[6912] xylitol [15.701]	16	1418.18314523121	3.58899458416428	6.21632096786206	2.53780240810435	7.25712223154161	0.00253424913653166	0.00438944826351039	0.00179198474965769	1419.01545778786	3.96335871822449	3.78827798451333	1.79773591350398	1418.18314523121	3.58899458416428	6.21632096786206	2.53780240810435	3
[6912] xylitol [15.701]	17	1422.33761017336	0.416632306539252	0.721628323000596	0.294603529215298	7.2600568727113	0.000292952210256796	0.000507408112354371	0.000207148494436168	1422.40099772877	0.462119730496321	0.443495577385365	0.207389080866897	1422.33761017336	0.416632306539252	0.721628323000596	0.294603529215298	3
[6912] xylitol [15.701]	18	1423.27187305391	0.162202935896778	0.280943726110058	0.114694795900979	7.26071361661791	0.000113956880928569	0.000197379107640358	8.05796832674591e-05	1423.22982829302	0.17879107727309	0.17057383012328	0.0814787896582111	1423.27187305391	0.162202935896778	0.280943726110058	0.114694795900979	3
[6912] xylitol [15.701]	19	1422.63355775897	0.066097978105378	0.11448505635609	0.0467383285410328	7.26026504781672	4.64603831178886e-05	8.04717440992984e-05	3.2852451959184e-05	1422.61643385758	0.072861322164916	0.0695177369475062	0.0331898634218983	1422.63355775897	0.066097978105378	0.11448505635609	0.0467383285410328	3
[6912] xylitol [15.701]	20	1422.357331478	0.426829536171843	0.73929044282069	0.301814059437819	7.2600707316579	0.00030011857678804	0.000519820623292146	0.000212215880806878	1422.42152064787	0.473467047689768	0.454416163246159	0.212442938748296	1422.357331478	0.426829536171843	0.73929044282069	0.301814059437819	3
[6912] xylitol [15.701]	21	1422.90087838859	0.143147695102505	0.247939080903917	0.101220705918205	7.26045292369163	0.000100608916042516	0.00017425975428007	7.11412467814913e-05	1422.93799337991	0.157787183792134	0.150534800621979	0.0719062613434249	1422.90087838859	0.143147695102505	0.247939080903917	0.101220705918205	3
[6912] xylitol [15.701]	22	1421.63892858704	0.753790053998884	1.30560267176615	0.533010058773584	7.25956523821627	0.000530398435854949	0.000918677039155834	0.000375048330723772	1421.83435532284	0.83086137928987	0.792668152189516	0.378671583123524	1421.63892858704	0.753790053998884	1.30560267176615	0.533010058773584	3
[6912] xylitol [15.701]	23	1414.75060794498	3.44386615393951	5.96495115309004	2.43518111094946	7.25469967315792	0.00243100405516939	0.00421062253695937	0.00171897945250227	1413.94861537863	3.80285143926719	3.63463623862912	1.72520588905114	1414.75060794498	3.44386615393951	5.96495115309004	2.43518111094946	3
[6912] xylitol [15.701]	24	1420.4516223807	2.6360528623895	4.56577748909598	1.86397085456182	7.25872497018526	0.00185790361443901	0.00321798345577422	0.00131373624456082	1421.13522067002	2.90556065458602	2.77198346104678	1.32425383276532	1420.4516223807	2.6360528623895	4.56577748909598	1.86397085456182	3
[6912] xylitol [15.701]	25	1422.5263869554	0.0194471430298061	0.0336834397896832	0.0137512067110806	7.26018971525313	1.3670932037658e-05	2.36787488760447e-05	9.66680874896838e-06	1422.53000121766	0.0215598073769796	0.0206696848691585	0.00966445414778873	1422.5263869554	0.0194471430298061	0.0336834397896832	0.0137512067110806	3
[6912] xylitol [15.701]	26	1422.56131307222	0.481577906760527	0.834117402311901	0.340527003539992	7.26021409545695	0.000338598986694843	0.000586470648346806	0.000239425639594817	1422.68619231653	0.53081573826678	0.506413166551268	0.241924738450718	1422.56131307222	0.481577906760527	0.834117402311901	0.340527003539992	3
[6912] xylitol [15.701]	27	1421.9688704058	0.488461967405749	0.846040945111811	0.345394769504328	7.25979754175699	0.00034343881488764	0.000594853476676635	0.000242847914929721	1421.84220168172	0.538403273935006	0.513651535014178	0.24538329941405	1421.9688704058	0.488461967405749	0.846040945111811	0.345394769504328	3
[6912] xylitol [15.701]	28	1418.4898208031	3.43662858990293	5.95241532445567	2.43006338033993	7.25733925618876	0.00242635054363329	0.00420256241854523	0.00171568892293877	1419.38026877451	3.78803776452509	3.61393661941758	1.72637170476554	1418.4898208031	3.43662858990293	5.95241532445567	2.43006338033993	3
[6912] xylitol [15.701]	29	1422.92170996292	0.30741699776489	0.532461859239077	0.217376643771563	7.2604675089795	0.000216019100476817	0.000374156057431174	0.000152748570812976	1422.84594022344	0.33915410579236	0.323859629604056	0.154213521074703	1422.92170996292	0.30741699776489	0.532461859239077	0.217376643771563	3
[6912] xylitol [15.701]	30	1423.10221237789	0.264907045362614	0.458832461851002	0.187317568159997	7.26059437233122	0.000186146285351829	0.000322414823869582	0.000131625300664965					1423.10221237789	0.264907045362614	0.458832461851002	0.187317568159997	3
[6912] xylitol [15.701]	31	1422.9199897834	0.151369150505	0.2621790593732	0.107034152784533	7.26046635309812	0.000106386001251361	0.000184265959381443	7.52262629081577e-05	1422.95821613862	0.166925840675431	0.159331276126497	0.0759762202346799	1422.9199897834	0.151369150505	0.2621790593732	0.107034152784533	3
