Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[8897] iminodiacetic acid 2 [13.285]	1	1216.5813577	0.0781756132161436	0.247212995243375	0.0552785062285518	7.10380001784304	6.4264128739418e-05	0.000203221018662846	4.54416012186877e-05	1216.62558850346	0.0822796234794156	0.145097014501637	0.0391813726499257	1216.5813577	0.0781756132161436	0.247212995243375	0.0552785062285518	10
[8897] iminodiacetic acid 2 [13.285]	2	1216.688942	0.05207562288921	0.164677578901902	0.0368230260794738	7.10388845707211	4.28088053267982e-05	0.000135373328743431	3.02703965410738e-05					1216.688942	0.05207562288921	0.164677578901902	0.0368230260794738	10
[8897] iminodiacetic acid 2 [13.285]	3	1216.7436702	0.00207509392944355	0.00656202317583035	0.00146731298910857	7.10393344646646	1.7054463398523e-06	5.39309486113085e-06	1.20593267185934e-06					1216.7436702	0.00207509392944355	0.00656202317583035	0.00146731298910857	10
[8897] iminodiacetic acid 2 [13.285]	4	1216.5817898	0.0772609324596496	0.244320520720928	0.054631729263014	7.10380037349897	6.35121261875796e-05	0.000200842977792778	4.49098551148133e-05	1216.62550842569	0.0813278301321503	0.143412348926982	0.0387264944470398	1216.5817898	0.0772609324596496	0.244320520720928	0.054631729263014	10
[8897] iminodiacetic acid 2 [13.285]	5	1216.5858224	0.0775122605307193	0.245115289865445	0.05480944504637	7.10380368805917	6.37185274798951e-05	0.000201495675988497	4.50558028682552e-05	1216.62961067902	0.0816059432791378	0.14390328426976	0.0388512436040177	1216.5858224	0.0775122605307193	0.245115289865445	0.05480944504637	10
[8897] iminodiacetic acid 2 [13.285]	6	1216.6882219	0.0510828671764758	0.161538209689518	0.0361210417829378	7.10388786556578	4.19925931562329e-05	0.000132792239230495	2.96932473803801e-05					1216.6882219	0.0510828671764758	0.161538209689518	0.0361210417829378	10
[8897] iminodiacetic acid 2 [13.285]	7	1216.6337818	0.0680012032559368	0.215038685920818	0.0480841119511177	7.10384311326277	5.5900318812358e-05	0.00017677232937661	3.95274945027083e-05					1216.6337818	0.0680012032559368	0.215038685920818	0.0480841119511177	10
[8897] iminodiacetic acid 2 [13.285]	8	1216.58251	0.0785155678738906	0.248288026263038	0.0555188904723407	7.10380096482496	6.45435489021031e-05	0.000204104622801106	4.56391811105226e-05	1216.62691509669	0.0826426871314274	0.145736361955207	0.0393519612969161	1216.58251	0.0785155678738906	0.248288026263038	0.0555188904723407	10
[8897] iminodiacetic acid 2 [13.285]	9	1216.6906702	0.0506084076854341	0.160037837040342	0.0357855482594239	7.10388987799253	4.16023980785231e-05	0.000131558334053146	2.94173377949459e-05					1216.6906702	0.0506084076854341	0.160037837040342	0.0357855482594239	10
[8897] iminodiacetic acid 2 [13.285]	10	1216.6906703	0.05057930932447	0.159945819943518	0.0357649726110647	7.10388987808467	4.15784893509507e-05	0.00013148272801806	2.94004317715499e-05					1216.6906703	0.05057930932447	0.159945819943518	0.0357649726110647	10
[8897] iminodiacetic acid 2 [13.285]	11	1216.6903822	0.0505788106380068	0.159944242958456	0.0357646199864849	7.10388964129496	4.1578073048251e-05	0.000131481411553333	2.94001374010879e-05					1216.6903822	0.0505788106380068	0.159944242958456	0.0357646199864849	10
[8897] iminodiacetic acid 2 [13.285]	12	1216.6911023	0.0504882233898157	0.159657780927205	0.0357005651289999	7.1038902331772	4.1503576706393e-05	0.000131245833435711	2.93474605325865e-05					1216.6911023	0.0504882233898157	0.159657780927205	0.0357005651289999	10
