Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[94154] arabitol [15.601]	1	1420.92557054884	1.41835203483532	4.48522295401411	1.0029263419418	7.25905873927091	0.00100229256543719	0.00316952738863489	0.0007087278697535	1422.05650372318	0.772858620642603	1.58375413161155	0.486558888638523	1420.92557054884	1.41835203483532	4.48522295401411	1.0029263419418	10
[94154] arabitol [15.601]	2	1421.10583335304	1.42903099640699	4.51899279562597	1.01047750808515	7.25918551895982	0.00100982792848852	0.00319335629887337	0.0007140561760658	1422.26190593553	0.73984749746649	1.53477777741797	0.480096030272852	1421.10583335304	1.42903099640699	4.51899279562597	1.01047750808515	10
[94154] arabitol [15.601]	3	1421.27612848708	1.33276469578273	4.21457202373484	0.942406954113997	7.25930600974823	0.000941348712236746	0.00297680600313453	0.000665634057883827	1422.32708478451	0.719672237623522	1.4798431231006	0.455304325960175	1421.27612848708	1.33276469578273	4.21457202373484	0.942406954113997	10
[94154] arabitol [15.601]	4	1421.1067618886	1.37333486567857	4.34286616566568	0.971094396361232	7.25918656248182	0.000970233994965174	0.00306814928741429	0.000686059037177589	1422.18789846187	0.740316003473605	1.52333577689225	0.469109140416225	1421.1067618886	1.37333486567857	4.34286616566568	0.971094396361232	10
[94154] arabitol [15.601]	5	1419.4864844709	1.85154035243811	5.85508469341532	1.30923673884952	7.25804191342427	0.0013082993188635	0.00413720570885554	0.00092510732019012	1420.91485897322	1.55389350430201	2.91779833752937	0.866197339728946	1419.4864844709	1.85154035243811	5.85508469341532	1.30923673884952	10
[94154] arabitol [15.601]	6	1414.99946816681	2.35266711300738	7.43978665327607	1.66358686948209	7.25487061129973	0.00166272277308663	0.00525799108038507	0.00117572254808286					1414.99946816681	2.35266711300738	7.43978665327607	1.66358686948209	10
[94154] arabitol [15.601]	7	1420.86674794958	1.4152934615047	4.47555089589869	1.00076360399895	7.25901736249832	0.00100012768970932	0.0031626814504836	0.000707197071445897	1421.97999474565	0.78466676828292	1.6024473100102	0.48873708410825	1420.86674794958	1.4152934615047	4.47555089589869	1.00076360399895	10
[94154] arabitol [15.601]	8	1421.34437368979	1.4037128611839	4.4389298222129	0.99257488298191	7.25935354169396	0.000991592504708619	0.00313569082563048	0.000701161784253218	1422.44367390139	0.768608844761537	1.57546175023665	0.482051210928845	1421.34437368979	1.4037128611839	4.4389298222129	0.99257488298191	10
[94154] arabitol [15.601]	9	1418.11091113913	2.19001282906948	6.92542864484857	1.54857292232056	7.25706896179275	0.00154764261912305	0.00489407568037731	0.00109434859083522	1419.33912198254	2.29938661237234	4.05878056369729	1.09516901912114	1418.11091113913	2.19001282906948	6.92542864484857	1.54857292232056	10
[94154] arabitol [15.601]	10	1421.1020325683	1.30841108236827	4.1375591360899	0.925186348922232	7.25918366858514	0.00092425592899276	0.00292275387653198	0.000653547634942653	1422.15771651341	0.680985565857174	1.41103307735754	0.440427422469884	1421.1020325683	1.30841108236827	4.1375591360899	0.925186348922232	10
[94154] arabitol [15.601]	11	1419.72989064308	1.9279615143789	6.09674962658481	1.36327466068401	7.25821265502006	0.00136229421128769	0.00430795255093177	0.000963287474772707	1421.24537161141	1.60216793302079	3.01500694288986	0.901297886027319	1419.72989064308	1.9279615143789	6.09674962658481	1.36327466068401	10
[94154] arabitol [15.601]	12	1418.16769254763	2.16258933380988	6.83870793842541	1.52918158285867	7.25710929955298	0.00152821850335623	0.00483265123301935	0.00108061366685794	1419.39731678413	2.26487622462572	3.99906429767526	1.08092493855508	1418.16769254763	2.16258933380988	6.83870793842541	1.52918158285867	10
[94154] arabitol [15.601]	13	1419.6713833827	1.87598279019943	5.932378468308	1.32652015233928	7.25817193713624	0.00132547730349898	0.00419152726591504	0.000937253989612986	1421.12970197635	1.56532708959566	2.94378853947939	0.877138410114676	1419.6713833827	1.87598279019943	5.932378468308	1.32652015233928	10
[94154] arabitol [15.601]	14	1420.74919539914	1.53848461530581	4.86511552949431	1.08787290423392	7.25893371700491	0.00108755107478164	0.00343913846807408	0.000769014739864813	1421.92947403234	0.889895881431905	1.80067320223968	0.541016507860767	1420.74919539914	1.53848461530581	4.86511552949431	1.08787290423392	10
[94154] arabitol [15.601]	15	1420.92993257914	1.54121676020973	4.87375533028831	1.08980482242266	7.25906090065325	0.00108953560742943	0.00344541411133206	0.000770418016357552	1422.15288976791	0.821353592103062	1.69398235261936	0.52388121491027	1420.92993257914	1.54121676020973	4.87375533028831	1.08980482242266	10
[94154] arabitol [15.601]	16	1419.37422074517	1.9669073398495	6.21990714042728	1.39081351797317	7.25796172035271	0.00139028716396382	0.00439647403982164	0.000983081481435431	1420.92610831015	1.62912629471415	3.06756273885195	0.918188970183587	1419.37422074517	1.9669073398495	6.21990714042728	1.39081351797317	10
[94154] arabitol [15.601]	17	1420.98486174557	1.3244925758364	4.18841328362633	0.936557682005158	7.25910110987776	0.000935459158530432	0.0029581815990207	0.00066146951451993	1421.97107120238	0.804243299788398	1.61031190410421	0.476348514706517	1420.98486174557	1.3244925758364	4.18841328362633	0.936557682005158	10
[94154] arabitol [15.601]	18	1419.31404314848	1.92063669256179	6.07358650618783	1.35809522950614	7.25791977112469	0.00135749031660006	0.00429276130207928	0.000959890608262977	1420.79798221911	1.60615572394519	3.01772393578931	0.896030392921164	1419.31404314848	1.92063669256179	6.07358650618783	1.35809522950614	10
[94154] arabitol [15.601]	19	1419.54537198273	1.81284902972528	5.73273198795817	1.2818778421862	7.25808375178697	0.00128088009538544	0.00405049851099172	0.000905719001333917	1420.96210090265	1.51304804978544	2.84307987204341	0.846655864880672	1419.54537198273	1.81284902972528	5.73273198795817	1.2818778421862	10
[94154] arabitol [15.601]	20	1419.48836266971	1.84901544581822	5.84710023761724	1.30745136025673	7.25804325971601	0.0013065321465435	0.00413161741930636	0.000923857740659128	1420.92591588788	1.54807731983834	2.9075725744687	0.864679166049945	1419.48836266971	1.84901544581822	5.84710023761724	1.30745136025673	10
[94154] arabitol [15.601]	21	1419.49430329988	1.89059449337683	5.9785847308429	1.3368521867407	7.2580470562691	0.0013360378331239	0.00422492259282747	0.000944721411723689	1420.98381316168	1.5690683291039	2.95354701419306	0.883752650207344	1419.49430329988	1.89059449337683	5.9785847308429	1.3368521867407	10
