Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[985] palmitic acid [18.846]	1	1722.35719390213	0.721605522812602	2.28191702424442	0.510252158522455	7.45144821589224	0.000418823313121298	0.00132443560664119	0.000296152804827087	1722.15881817461	0.661308035502877	1.23232772449269	0.342087106259454	1722.35719390213	0.721605522812602	2.28191702424442	0.510252158522455	10
[985] palmitic acid [18.846]	2	1720.51611334158	0.665493888903761	2.10447645785894	0.470575241682056	7.45037884221162	0.000386959559321776	0.00122367356983185	0.000273621728441386	1720.7789649933	0.707002576367221	1.25245300336274	0.328089768619454	1720.51611334158	0.665493888903761	2.10447645785894	0.470575241682056	10
[985] palmitic acid [18.846]	3	1722.57093897576	0.788394360242933	2.49312187279897	0.557478998377007	7.45157213938873	0.000457358642241206	0.00144629501704431	0.000323401397363029	1722.16917971653	0.702460243385419	1.31483992816175	0.374620150772742	1722.57093897576	0.788394360242933	2.49312187279897	0.557478998377007	10
[985] palmitic acid [18.846]	4	1722.06772105946	0.468797903990061	1.48246913892153	0.331490176917412	7.45128064111583	0.000271972618638099	0.000860052936096755	0.000192313682936063	1721.74926658421	0.312913147395887	0.616279174916585	0.179480012277719	1722.06772105946	0.468797903990061	1.48246913892153	0.331490176917412	10
[985] palmitic acid [18.846]	5	1722.36789614816	0.921916723397752	2.91535665893634	0.651893566803833	7.45145387669311	0.000534599499158389	0.00169055205332578	0.000378018931073829	1721.99885023451	0.648321459327735	1.28359156488655	0.379746622234881	1722.36789614816	0.921916723397752	2.91535665893634	0.651893566803833	10
[985] palmitic acid [18.846]	6	1723.53054477771	0.733211044599046	2.31861690652428	0.518458501676858	7.45212920414388	0.00042516767902037	0.00134449825319176	0.000300638948976649	1723.16603151836	0.749130764429062	1.33865219105997	0.359804707147574	1723.53054477771	0.733211044599046	2.31861690652428	0.518458501676858	10
[985] palmitic acid [18.846]	7	1722.88914812523	0.986802267526693	3.12054276560316	0.697774575058386	7.45175625983629	0.000572184428851379	0.00180940603685292	0.000404595489730161	1722.4110760032	0.850068694997289	1.6018251781369	0.455120243677228	1722.88914812523	0.986802267526693	3.12054276560316	0.697774575058386	10
[985] palmitic acid [18.846]	8	1722.49453309656	0.821211622990733	2.59689916965421	0.580684307405957	7.45152769303098	0.000476614348649621	0.0015071869072504	0.000337017237940957	1722.2948001326	0.743634368992412	1.39194448395271	0.389186943828424	1722.49453309656	0.821211622990733	2.59689916965421	0.580684307405957	10
[985] palmitic acid [18.846]	9	1721.61224164337	0.742250087611458	2.34720087031174	0.524850070286371	7.45101555106664	0.000431172074946907	0.00136348582029305	0.000304884698053232	1721.73048160994	0.665716888586613	1.25106586863232	0.351703803078846	1721.61224164337	0.742250087611458	2.34720087031174	0.524850070286371	10
[985] palmitic acid [18.846]	10	1722.28725107392	0.580907256226865	1.83699003899592	0.410763460118488	7.45140791456868	0.000337359835822562	0.00106682547225976	0.000238549427610114					1722.28725107392	0.580907256226865	1.83699003899592	0.410763460118488	10
[985] palmitic acid [18.846]	11	1723.62568935022	0.830039466076195	2.62481526063084	0.586926535114939	7.45218415118	0.000481377503680672	0.00152224932599701	0.000340385297163255	1723.3626717661	0.913633433929634	1.60247108019677	0.411507268974214	1723.62568935022	0.830039466076195	2.62481526063084	0.586926535114939	10
[985] palmitic acid [18.846]	12	1723.8417312971	1.14680692875541	3.62652193132953	0.810914956034665	7.45230843150789	0.000665136145837598	0.00210334517495273	0.00047032227913405	1723.68045676284	1.2290056651771	2.17660507911429	0.55833080486597	1723.8417312971	1.14680692875541	3.62652193132953	0.810914956034665	10
[985] palmitic acid [18.846]	13	1722.17619921104	0.273060175876284	0.86349209405522	0.193082702034111	7.45134387652942	0.00015850512299882	0.000501237209481409	0.000112080047325273	1722.06773323965	0.225990528441484	0.428316455897251	0.119374654359762	1722.17619921104	0.273060175876284	0.86349209405522	0.193082702034111	10
[985] palmitic acid [18.846]	14	1722.73234139201	0.793799117481484	2.51021321587307	0.561300738871054	7.45166582091263	0.000459945833686856	0.00145447643475547	0.000325230817978476	1722.13239864235	0.464196331443496	0.937553755447879	0.28022623901138	1722.73234139201	0.793799117481484	2.51021321587307	0.561300738871054	10
[985] palmitic acid [18.846]	15	1721.80969727916	0.216074008856361	0.683286011149495	0.152787396900495	7.45113108752032	0.000125498322072647	0.000396860540278948	8.87407145651021e-05	1721.84158117605	0.239942429301343	0.421265447096464	0.106965391537724	1721.80969727916	0.216074008856361	0.683286011149495	0.152787396900495	10
[985] palmitic acid [18.846]	16	1722.15698850191	0.610761629684827	1.93139785724036	0.431873690038688	7.451332218374	0.000354630392976801	0.00112143976932727	0.000250761555688746	1722.07728692545	0.558091889291837	1.04261367041406	0.289301362109695	1722.15698850191	0.610761629684827	1.93139785724036	0.431873690038688	10
[985] palmitic acid [18.846]	17	1722.90855852462	0.745456848641903	2.35734153907981	0.527117592756643	7.45176822919063	0.00043226244746417	0.00136693388094565	0.000305655707854208	1722.36061483087	0.637968418742819	1.19376300804508	0.349833487887294	1722.90855852462	0.745456848641903	2.35734153907981	0.527117592756643	10
[985] palmitic acid [18.846]	18	1722.15247826395	0.304477562428676	0.962842593690726	0.215298149112467	7.45133007211347	0.000176676285022661	0.000558699469208703	0.000124928999214371					1722.15247826395	0.304477562428676	0.962842593690726	0.215298149112467	10
[985] palmitic acid [18.846]	19	1722.15068608875	0.758040185644879	2.39713354457469	0.536015355681403	7.45132821933306	0.000440005374492828	0.00139141916611269	0.000311130784062405	1721.99602045096	0.650796895318719	1.23192826002293	0.345428774006182	1722.15068608875	0.758040185644879	2.39713354457469	0.536015355681403	10
[985] palmitic acid [18.846]	20	1722.36094472898	0.862321214304391	2.72689911188404	0.609753178195653	7.4514500178669	0.000500572273787547	0.00158294851869805	0.000353958049269144	1722.20326427563	0.773348111036705	1.45231450730781	0.407237650653864	1722.36094472898	0.862321214304391	2.72689911188404	0.609753178195653	10
[985] palmitic acid [18.846]	21	1722.93499471452	0.656151954775466	2.07493466826227	0.463969496710541	7.45178378344985	0.000380529832096421	0.00120334098706614	0.000269075224719157	1722.5049748097	0.567572899066934	1.06218325191921	0.305951961806725	1722.93499471452	0.656151954775466	2.07493466826227	0.463969496710541	10
[985] palmitic acid [18.846]	22	1721.45619661472	0.551801589786357	1.74494984022679	0.390182646007451	7.45092532343625	0.000320723130493398	0.00101421559065854	0.00022678550045526	1721.6247432654	0.437753510982133	0.841715345065473	0.238862577005681	1721.45619661472	0.551801589786357	1.74494984022679	0.390182646007451	10
[985] palmitic acid [18.846]	23	1723.12488763249	0.941335105871637	2.97676297603012	0.665624436730792	7.45189322691866	0.000545596365507197	0.00172532719811247	0.000385794889840873	1722.46184771427	0.800968443012576	1.49755414965049	0.431552592900855	1723.12488763249	0.941335105871637	2.97676297603012	0.665624436730792	10
[985] palmitic acid [18.846]	24	1722.25536804619	0.695449598308934	2.19920472850542	0.491757126937708	7.45138915683144	0.00040351858745323	0.00127603781456605	0.000285330729522996	1721.98258887069	0.604024389515748	1.13364893355969	0.314139928396714	1722.25536804619	0.695449598308934	2.19920472850542	0.491757126937708	10
[985] palmitic acid [18.846]	25	1722.12013177961	0.457511019534784	1.44677687635571	0.323509144380617	7.45131109304087	0.000265416647039617	0.000839321133570176	0.000187677910961509					1722.12013177961	0.457511019534784	1.44677687635571	0.323509144380617	10
[985] palmitic acid [18.846]	26	1722.63343146299	0.405694951323235	1.28292008141256	0.286869651173805	7.45160918658556	0.000235393808903237	0.00074438058323665	0.000166448558524809	1722.40045078947	0.364871002265251	0.674611151760777	0.186776761065259	1722.63343146299	0.405694951323235	1.28292008141256	0.286869651173805	10
[985] palmitic acid [18.846]	27	1721.5797579036	0.849917883047877	2.6876763345399	0.600982698554869	7.45099639396627	0.000493558990133695	0.00156077056847505	0.00034899890883912	1721.58945241471	0.72555589696744	1.38145631846813	0.394052954499777	1721.5797579036	0.849917883047877	2.6876763345399	0.600982698554869	10
[985] palmitic acid [18.846]	28	1721.81976887626	0.156431221855173	0.494678958225458	0.11061357776309	7.45113697440548	9.08505487566931e-05	0.000287294660747329	6.42410391003767e-05	1721.80024765145	0.153485425179093	0.280268089499056	0.0749523202593477	1721.81976887626	0.156431221855173	0.494678958225458	0.11061357776309	10
[985] palmitic acid [18.846]	29	1722.82200119635	0.660700803795755	2.08931939189861	0.467186018699381	7.45171818923061	0.000383152405987509	0.00121163429389406	0.000270929664501708	1722.3244758463	0.554803366182955	1.04031556869112	0.305544238240309	1722.82200119635	0.660700803795755	2.08931939189861	0.467186018699381	10
[985] palmitic acid [18.846]	30	1722.63123356039	0.458695967032327	1.45052400935566	0.324347028791479	7.45160783362833	0.000266099072939093	0.00084147915374681	0.000188160458942686	1722.32826244598	0.386061006874297	0.722372386870969	0.204312205306292	1722.63123356039	0.458695967032327	1.45052400935566	0.324347028791479	10
[985] palmitic acid [18.846]	31	1722.13068110296	0.613231828319402	1.93920931119865	0.433620384244074	7.45131693742361	0.000356017456031301	0.00112582604783776	0.000251742357380516	1722.00894416593	0.520298539318415	0.990878676271626	0.28296556706927	1722.13068110296	0.613231828319402	1.93920931119865	0.433620384244074	10
[985] palmitic acid [18.846]	32	1722.4382985874	0.812897583140877	2.57060786717126	0.574805393449069	7.45149506826607	0.000471776451084732	0.00149188813185877	0.000333596327766138	1722.2013246238	0.712579221293996	1.34646998225199	0.384262578355538	1722.4382985874	0.812897583140877	2.57060786717126	0.574805393449069	10
[985] palmitic acid [18.846]	33	1722.23340080919	0.691379251410463	2.18633316143924	0.488878957044017	7.45137641043449	0.000401489801046986	0.00126962222863633	0.000283896160897562	1722.22532250047	0.64737918600075	1.19987934083576	0.327102286774791	1722.23340080919	0.691379251410463	2.18633316143924	0.488878957044017	10
[985] palmitic acid [18.846]	34	1722.44356244789	0.830065734178874	2.62489832766512	0.586945109468472	7.45149807674453	0.000481757790281402	0.00152345189781896	0.000340654200397426	1722.23970431843	0.759382885346613	1.41710451953906	0.394088623158433	1722.44356244789	0.830065734178874	2.62489832766512	0.586945109468472	10
