Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0022] galactitol [18.196]	1	1651.0046294816	0.945825346649064	2.99096236412935	0.66879951643367	7.40913760396303	0.000573677362052112	0.00181412710616172	0.000405651152920258	1651.40561292802	0.765790145425299	1.45459811941922	0.40229320727792	1651.0046294816	0.945825346649064	2.99096236412935	0.66879951643367	10
[PNNLMET0022] galactitol [18.196]	2	1651.21351303916	1.00428490128072	3.17582770776442	0.710136663938859	7.40926390625653	0.00060899155771217	0.00192580039818434	0.000430622060143634	1651.61500535534	0.859221048508183	1.6085171480517	0.437734506688365	1651.21351303916	1.00428490128072	3.17582770776442	0.710136663938859	10
[PNNLMET0022] galactitol [18.196]	3	1652.54052844538	1.1310064368412	3.57655638872956	0.799742321056046	7.41006676263291	0.000682711515576378	0.00215892337404688	0.000482749942258202	1651.71381200003	0.74874087070849	1.46847430161145	0.426008191507756	1652.54052844538	1.1310064368412	3.57655638872956	0.799742321056046	10
[PNNLMET0022] galactitol [18.196]	4	1651.03810970476	1.91216366457001	6.04679243905544	1.35210389395597	7.40915284140145	0.00115536176649667	0.00365357470360508	0.000816964139813461	1650.38791194502	1.51355865778163	2.91121105441989	0.825770183138543	1651.03810970476	1.91216366457001	6.04679243905544	1.35210389395597	10
[PNNLMET0022] galactitol [18.196]	5	1650.14393681923	1.7150437516134	5.42344454193843	1.21271906679745	7.40861239893509	0.00103897825537891	0.00328553772638545	0.000734668569883796	1650.15388560675	1.73877881467735	3.14342925153695	0.827813088439156	1650.14393681923	1.7150437516134	5.42344454193843	1.21271906679745	10
[PNNLMET0022] galactitol [18.196]	6	1652.48102477185	1.30026189266018	4.11178913552753	0.919424001618465	7.41002999159999	0.000787164466153776	0.00248923260619646	0.000556609331926424	1652.59475365779	1.03550480085654	1.99905696671459	0.573681595870268	1652.48102477185	1.30026189266018	4.11178913552753	0.919424001618465	10
[PNNLMET0022] galactitol [18.196]	7	1650.36132203564	1.42719995800219	4.51320254378357	1.0091827684125	7.40874578727912	0.00086468910123761	0.00273438702783477	0.000611427527103215	1650.44799118089	1.30705734949365	2.44085677655124	0.675003524500374	1650.36132203564	1.42719995800219	4.51320254378357	1.0091827684125	10
[PNNLMET0022] galactitol [18.196]	8	1648.9339878212	1.41943942827683	4.488661594002	1.0036952452181	7.40788057986779	0.000861723262905988	0.00272500822353501	0.000609330362707022	1649.60352706324	1.50213527626245	2.65676421037909	0.704773515438584	1648.9339878212	1.41943942827683	4.488661594002	1.0036952452181	10
[PNNLMET0022] galactitol [18.196]	9	1650.57915781824	0.880643926126631	2.78484061415322	0.622709291974886	7.4088800840927	0.000534280615458821	0.00168954365452644	0.000377793446247455	1650.98103109678	0.695554819582925	1.32757050599149	0.368799117306045	1650.57915781824	0.880643926126631	2.78484061415322	0.622709291974886	10
[PNNLMET0022] galactitol [18.196]	10	1652.38351489022	1.47296317672765	4.65791854801651	1.0415422507022	7.40997010836919	0.000890999921373911	0.0028175891465725	0.000630032086440173	1652.03328314483	1.37237265662688	2.54530070317586	0.703043342130396	1652.38351489022	1.47296317672765	4.65791854801651	1.0415422507022	10
[PNNLMET0022] galactitol [18.196]	11	1650.96058203097	1.2866933160473	4.06888152882435	0.909829569084451	7.40910953513641	0.000778644890702376	0.00246229134307237	0.000550585082351908	1650.6855007774	0.948674310572594	1.86870133356258	0.55388528560934	1650.96058203097	1.2866933160473	4.06888152882435	0.909829569084451	10
[PNNLMET0022] galactitol [18.196]	12	1649.35246387932	0.998151348762661	3.1564317116591	0.705799587360576	7.40813620930203	0.000605978413041229	0.00191627199810456	0.000428491445114115	1650.07788066174	0.86277099229751	1.60976452974894	0.46869052601629	1649.35246387932	0.998151348762661	3.1564317116591	0.705799587360576	10
[PNNLMET0022] galactitol [18.196]	13	1650.46947729267	1.61677747546666	5.11269929213166	1.14323431657214	7.4088102682103	0.000978356288574238	0.00309383423504356	0.000691802366067346	1650.225913325	1.33065988031263	2.55058466760968	0.728574806735947	1650.46947729267	1.61677747546666	5.11269929213166	1.14323431657214	10
[PNNLMET0022] galactitol [18.196]	14	1649.84370682751	1.11946353233467	3.5400545196751	0.791580255004888	7.40843353369351	0.000679319473654562	0.00214819679565516	0.000480351406413217	1650.45928945234	1.01305582819979	1.88458975037706	0.53222842363667	1649.84370682751	1.11946353233467	3.5400545196751	0.791580255004888	10
[PNNLMET0022] galactitol [18.196]	15	1650.93433727526	0.852585094611935	2.69611079808386	0.602868701938673	7.40909533581982	0.000517106765559992	0.00163523517265229	0.000365649700524913	1651.32722468118	0.697095257544032	1.31643692623153	0.360323528135837	1650.93433727526	0.852585094611935	2.69611079808386	0.602868701938673	10
[PNNLMET0022] galactitol [18.196]	16	1652.09761825604	1.08809259211196	3.44085089623036	0.769397650441216	7.40979888165106	0.00065696865888505	0.00207751731342297	0.00046454699372465	1651.2745006521	0.67066645683667	1.33792974800125	0.39716094287374	1652.09761825604	1.08809259211196	3.44085089623036	0.769397650441216	10
[PNNLMET0022] galactitol [18.196]	17	1650.52872767291	0.867705609618057	2.74392606489797	0.613560520634535	7.40884957220667	0.000526426198772755	0.00166470580810644	0.000372239534946472	1650.90536047443	0.639823115622374	1.2477719274867	0.358925859351792	1650.52872767291	0.867705609618057	2.74392606489797	0.613560520634535	10
[PNNLMET0022] galactitol [18.196]	18	1649.4152848826	0.974095666591029	3.08036096532764	0.688789651370947	7.40817438472486	0.000591255970648117	0.00186971554742171	0.000418081106262318	1650.04130690754	0.843186094542461	1.58246718803732	0.459552942721971	1649.4152848826	0.974095666591029	3.08036096532764	0.688789651370947	10
