Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0025] D-gluconic acid 3 [18.800]	1	1719.02554446036	1.71050358370785	2.96267911351065	1.20950868328371	7.4495113810342	0.000994612186439365	0.00172271884074015	0.000703297021682053	1718.71357296708	1.89446044050068	1.81574733290926	0.853167221905823	1719.02554446036	1.71050358370785	2.96267911351065	1.20950868328371	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	2	1715.85498755491	0.471469229347484	0.816608659435185	0.333379089192401	7.44766665712465	0.000274801121309767	0.000475969504085414	0.000194313736355803	1715.93021361428	0.522766942731462	0.501550913423044	0.234792760068847	1715.85498755491	0.471469229347484	0.816608659435185	0.333379089192401	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	3	1716.05283388077	0	0	0	7.44778206854875	0	0	0					1716.05283388077	0	0	0	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	4	1717.97989711189	1.03848957248418	1.79871670267308	0.734323018895081	7.44890385331449	0.000604259535491614	0.00104660821642944	0.000427276015142754	1717.71059581969	1.14466511025007	1.09204235824663	0.521697622411627	1717.97989711189	1.03848957248418	1.79871670267308	0.734323018895081	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	5	1716.07279918861	0.0163016055912222	0.0282352091289457	0.0115269758577817	7.44779370278228	9.4993119011747e-06	1.64532908497783e-05	6.7170278619267e-06	1716.06859258302	0.0180018597762521	0.0171848716495697	0.00814084987790376	1716.07279918861	0.0163016055912222	0.0282352091289457	0.0115269758577817	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	6	1717.54718576472	1.21514372004978	2.10469066162447	0.859236364563446	7.44865174686002	0.000707181845483939	0.00122487488656851	0.00050005307847371	1717.23207438424	1.33937988058712	1.27780532433089	0.610441551555489	1717.54718576472	1.21514372004978	2.10469066162447	0.859236364563446	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	7	1716.06814011624	0.310213962402351	0.537306344098133	0.219354396433451	7.44779093893392	0.000180773705780039	0.000313109243083535	0.000127826313217288	1716.08189542724	0.34516366949053	0.332120938403606	0.153791702203983	1716.06814011624	0.310213962402351	0.537306344098133	0.219354396433451	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	8	1717.75331837988	1.38131319926729	2.39250464229646	0.976735930144388	7.44877153640208	0.000803744254729516	0.0013921258854831	0.000568333012858968	1717.39512156376	1.52253867358769	1.45254405920121	0.693918226757727	1717.75331837988	1.38131319926729	2.39250464229646	0.976735930144388	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	9	1716.79981932623	0.678194191428905	1.17466679695296	0.479555711720706	7.44821703257171	0.00039501915631671	0.000684193248703533	0.000279320724130134	1716.77309402747	0.754645853847913	0.726164876942704	0.336199694571637	1716.79981932623	0.678194191428905	1.17466679695296	0.479555711720706	3
[PNNLMET0025] D-gluconic acid 3 [18.800]	10	1718.61323020692	1.82825508838757	3.16663070228361	1.29277157073766	7.44927128702354	0.00106312794098998	0.00184139160874074	0.000751744976342908	1718.15523514148	2.01642781828567	1.92495122055818	0.917544369267746	1718.61323020692	1.82825508838757	3.16663070228361	1.29277157073766	3
