Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0027] D-threitol [13.128]	1	1193.51984947997	0.134441214461691	0.232859014078912	0.0950642944168166	7.08466205792592	0.000112650401161876	0.000195116218305385	7.96558625649474e-05	1193.5547079233	0.148190696922185	0.141379459600879	0.0675321767989419	1193.51984947997	0.134441214461691	0.232859014078912	0.0950642944168166	3
[PNNLMET0027] D-threitol [13.128]	2	1193.85231011681	0.537183615351128	0.930429314781691	0.379846177157089	7.08494028935026	0.000449834354631114	0.000779135957211046	0.000318080922570335	1193.71302584093	0.592107438263508	0.564888460223738	0.269858228151739	1193.85231011681	0.537183615351128	0.930429314781691	0.379846177157089	3
[PNNLMET0027] D-threitol [13.128]	3	1193.03015569457	0.267659088167863	0.463599139814296	0.189263556289704	7.08425162348711	0.000224321519541382	0.000388536269076728	0.000158619267633782	1192.9607494955	0.295026633887652	0.281464306007659	0.134458726583072	1193.03015569457	0.267659088167863	0.463599139814296	0.189263556289704	3
[PNNLMET0027] D-threitol [13.128]	4	1196.63542222397	1.89721931254	3.28608024242017	1.34153664129511	7.08726531525498	0.00158455427187868	0.00274452850624417	0.00112044907080352	1196.34826303547	2.10442398497156	2.01967076212136	0.944351235504775	1196.63542222397	1.89721931254	3.28608024242017	1.34153664129511	3
[PNNLMET0027] D-threitol [13.128]	5	1193.184041919	0.224954200544715	0.389632104719485	0.159066640661567	7.08438062504674	0.000188531784422032	0.000326546629460582	0.000133312103234019	1193.18163823203	0.250368684058666	0.240961932397209	0.111483498865743	1193.184041919	0.224954200544715	0.389632104719485	0.159066640661567	3
[PNNLMET0027] D-threitol [13.128]	6	1198.60489129685	2.0145705832823	3.48933860567861	1.42451652061785	7.08890932556956	0.0016824999287477	0.00291417536032203	0.00118970710896338	1199.1273244459	2.22053850401817	2.1184537277787	1.01204442476561	1198.60489129685	2.0145705832823	3.48933860567861	1.42451652061785	3
[PNNLMET0027] D-threitol [13.128]	7	1198.28562397227	2.27643439466556	3.94290003165805	1.60968219739431	7.0886417456228	0.00190196310157561	0.00329429672605024	0.00134489100669071	1198.87596548034	2.5091749025387	2.39382074837906	1.14359501087806	1198.28562397227	2.27643439466556	3.94290003165805	1.60968219739431	3
[PNNLMET0027] D-threitol [13.128]	8	1198.77937658637	2.08641571760874	3.61377802860862	1.47531870229534	7.08905458178082	0.0017422826965679	0.00301772215160371	0.00123197990948714	1199.31111748292	2.30045893617294	2.19541563945414	1.0476088924536	1198.77937658637	2.08641571760874	3.61377802860862	1.47531870229534	3
[PNNLMET0027] D-threitol [13.128]	9	1193.51682418415	0.132710431008813	0.229861209201629	0.0938404457005214	7.08465952364166	0.000111200316407265	0.000192604597835118	7.86304978016668e-05	1193.55115106818	0.146289503593638	0.139572072400474	0.066657859166595	1193.51682418415	0.132710431008813	0.229861209201629	0.0938404457005214	3
[PNNLMET0027] D-threitol [13.128]	10	1195.98029597424	2.08516479214218	3.61161136214405	1.47443416441517	7.08671690623709	0.00174164946525834	0.00301662536280261	0.0012315321473341	1195.44732389084	2.29895899710119	2.19386639383987	1.04706765913278	1195.98029597424	2.08516479214218	3.61161136214405	1.47443416441517	3
