Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0028] D-saccharic acid [19.929]	1	1731.13891024297	0.00251618666427704	0.00435816314385508	0.00177921265304145	7.45653480050499	1.45348558695039e-06	2.51751088466715e-06	1.02776951488953e-06					1731.13891024297	0.00251618666427704	0.00435816314385508	0.00177921265304145	3
[PNNLMET0028] D-saccharic acid [19.929]	2	1731.13949262702	0.00411807709119391	0.00713271875143331	0.00291192023663219	7.45653513691631	2.3788245307182e-06	4.12024494949511e-06	1.68208295692374e-06					1731.13949262702	0.00411807709119391	0.00713271875143331	0.00291192023663219	3
[PNNLMET0028] D-saccharic acid [19.929]	3	1730.92051622522	0.175227607897982	0.303503119768061	0.12390462979576	7.45640862091188	0.000101240046278328	0.000175352903914688	7.15875232510455e-05	1730.96595440592	0.193145933391534	0.184267505623958	0.0880232223596806	1730.92051622522	0.175227607897982	0.303503119768061	0.12390462979576	3
[PNNLMET0028] D-saccharic acid [19.929]	4	1731.1429869313	0.00164723083698134	0.00285308750144588	0.00116476809500909	7.45653715542096	9.5152789200055e-07	1.64809465376386e-06	6.7283182492173e-07					1731.1429869313	0.00164723083698134	0.00285308750144588	0.00116476809500909	3
[PNNLMET0028] D-saccharic acid [19.929]	5	1731.13599832273	0.30474104371743	0.527826970870158	0.215484458518461	7.45653307194067	0.00017603504208842	0.00030490163680967	0.000124475571987181	1731.13491606555	0.339173210701419	0.32643320478097	0.151023254679366	1731.13599832273	0.30474104371743	0.527826970870158	0.215484458518461	3
[PNNLMET0028] D-saccharic acid [19.929]	6	1731.14182216321	0.00380411666859451	0.00658892334792534	0.00268991669278795	7.45653648258302	2.19746397388362e-06	3.80611925056863e-06	1.55384167734624e-06					1731.14182216321	0.00380411666859451	0.00658892334792534	0.00268991669278795	3
[PNNLMET0028] D-saccharic acid [19.929]	7	1731.34740373192	0.178319870837494	0.30885907628966	0.126091189889502	7.45665521452584	0.000102988358962523	0.000178381070311232	7.28237670056747e-05	1731.30116706452	0.196554560448405	0.187519691324417	0.0895765431225822	1731.34740373192	0.178319870837494	0.30885907628966	0.126091189889502	3
[PNNLMET0028] D-saccharic acid [19.929]	8	1730.92226337736	0.179586567271098	0.311053058870428	0.126986879527408	7.45640962951445	0.00010375852131936	0.000179715030643351	7.33683540308086e-05	1730.96863704358	0.197965808713024	0.188880866686595	0.0902019754345853	1730.92226337736	0.179586567271098	0.311053058870428	0.126986879527408	3
[PNNLMET0028] D-saccharic acid [19.929]	9	1731.35555710858	0.175006809984731	0.303120686564107	0.123748502094029	7.45665992436729	0.00010107455334705	0.000175066261749421	7.14705020771002e-05	1731.31021793095	0.192905835173327	0.184041658865264	0.0879098701033514	1731.35555710858	0.175006809984731	0.303120686564107	0.123748502094029	3
[PNNLMET0028] D-saccharic acid [19.929]	10	1731.13774547488	0.003774279998468	0.00653724471933756	0.00266881898101347	7.45653412766739	2.18022932471615e-06	3.77626796255996e-06	1.54165494004856e-06	1731.13726977052	0.00431068149266171	0.00419016760076732	0.00167859516754033	1731.13774547488	0.003774279998468	0.00653724471933756	0.00266881898101347	3
[PNNLMET0028] D-saccharic acid [19.929]	11	1731.13658070678	0.00414544003099512	0.00718011275341345	0.00293126875691882	7.45653345483183	2.39463606305863e-06	4.14763132685425e-06	1.69326339866261e-06	1731.13690321494	0.00471044071812901	0.0045724491231825	0.001870306713239	1731.13658070678	0.00414544003099512	0.00718011275341345	0.00293126875691882	3
[PNNLMET0028] D-saccharic acid [19.929]	12	1731.13599832273	0.00576530792819822	0.00998580625291897	0.00407668833165753	7.45653311840658	3.33035489203906e-06	5.76834388024722e-06	2.35491652791861e-06	1731.13469549601	0.00645467306374786	0.00620021974768841	0.0027522062322323	1731.13599832273	0.00576530792819822	0.00998580625291897	0.00407668833165753	3
[PNNLMET0028] D-saccharic acid [19.929]	13	1730.9251752976	0.180695541707866	0.312973858939205	0.127771042871809	7.45641131160708	0.000104399137858168	0.000180824611036734	7.38213383295397e-05	1730.97203271714	0.199172714080196	0.1900170964659	0.0907703133217866	1730.9251752976	0.180695541707866	0.312973858939205	0.127771042871809	3
