Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	1	1648.8946162	0.203531602291519	0.643623439064746	0.143918576166097	7.40786033663	0.000123440727202135	0.000390353853986252	8.72857752792286e-05	1648.91015246251	0.218766339163438	0.387894474588365	0.0992526564889156	1648.8946162	0.203531602291519	0.643623439064746	0.143918576166097	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	2	1648.7629628	0.166153131819887	0.52542233692104	0.117488006225224	7.40778051541857	0.000100779272738957	0.000318692042790419	7.1261707156765e-05	1648.78928439121	0.168301600114515	0.302932489348029	0.0791582480961246	1648.7629628	0.166153131819887	0.52542233692104	0.117488006225224	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	3	1649.73310686656	0.898001762723826	2.83973091305338	0.634983135939491	7.4083673230703	0.000543185459610857	0.00171770324425571	0.000384090121932769	1649.06714213018	0.533725724194281	1.07521081459202	0.320141315711439	1649.73310686656	0.898001762723826	2.83973091305338	0.634983135939491	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	4	1650.51314599769	1.02200453716257	3.2318621164599	0.722666338631069	7.40883960280945	0.000618293293616487	0.00195521506983535	0.000437199380678383	1649.76776860376	0.851676828844733	1.60218440388319	0.469045776190256	1650.51314599769	1.02200453716257	3.2318621164599	0.722666338631069	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	5	1648.7013157	0.191332832263202	0.605047541122668	0.135292743156939	7.40774310824437	0.000116058877894633	0.000367010396830407	8.20660195761962e-05	1648.74729854785	0.198327180170089	0.355094470473725	0.0929668859842785	1648.7013157	0.191332832263202	0.605047541122668	0.135292743156939	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	6	1648.98310417188	0.410381151486825	1.29773914750096	0.290183295087478	7.40791376702862	0.000248684439347853	0.000786409246981214	0.000175846453438442	1648.76364771255	0.302055594221623	0.584775153639821	0.165073843903997	1648.98310417188	0.410381151486825	1.29773914750096	0.290183295087478	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	7	1648.8965319	0.155673028488789	0.492281340280854	0.110077454092269	7.40786153006027	9.4405370200506e-05	0.000298535993184986	6.67546774492042e-05	1648.87371178162	0.167126947038936	0.29669245840338	0.0761390103035687	1648.8965319	0.155673028488789	0.492281340280854	0.110077454092269	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	8	1648.8940938	0.156051210295269	0.493477256158967	0.110344869012153	7.40786005121707	9.4634805446137e-05	0.0002992615311367	6.69169126672331e-05	1648.8710179849	0.167489620224846	0.297358411870706	0.0763189943857229	1648.8940938	0.156051210295269	0.493477256158967	0.110344869012153	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	9	1649.60621663113	0.644011774954565	2.03654404882421	0.455385093234357	7.40829112118814	0.000389850886610927	0.00123281674952657	0.000275666205574175	1649.16864199544	0.406286171987239	0.811089988932338	0.238640169192449	1649.60621663113	0.644011774954565	2.03654404882421	0.455385093234357	10
[PNNLMET0029] D-galacturonic acid 1(M) [18.207]	10	1649.18511207188	0.379811576024401	1.20106966193531	0.268567340980004	7.40803630850303	0.000230126015264156	0.000727722357093409	0.000162723665920724	1648.93532237488	0.270086830827743	0.523447943049785	0.148738605234693	1649.18511207188	0.379811576024401	1.20106966193531	0.268567340980004	10
