Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0037] IS benzoic acid d5 [9.687]	1	952.183213778033	0.101558877536302	0.321157369624824	0.0718129709956133	6.85875741085727	0.000106637208838114	0.000337216463251479	7.54038934962367e-05	952.146634941799	0.0892499534961495	0.166352482282487	0.045094366342287	952.183213778033	0.101558877536302	0.321157369624824	0.0718129709956133	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	2	951.988922951246	0.134064290994797	0.423948512439161	0.0947977692773878	6.85855330003908	0.000140793639414035	0.000445228580612806	9.95561371775978e-05	951.940646434629	0.127679129398703	0.232956648871492	0.0618102108725065	951.988922951246	0.134064290994797	0.423948512439161	0.0947977692773878	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	3	952.096114466647	0.113835151172479	0.359978355494621	0.0804936073314556	6.85866591881357	0.000119537163814508	0.000378009702690508	8.45255391370461e-05	952.059614633317	0.101651168148612	0.188750638740274	0.0508602502241209	952.096114466647	0.113835151172479	0.359978355494621	0.0804936073314556	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	4	951.854795291133	0.102276969729448	0.32342817652515	0.0723207388549038	6.85841243947239	0.000107454797891407	0.000339801906849904	7.59820162600437e-05					951.854795291133	0.102276969729448	0.32342817652515	0.0723207388549038	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	5	951.911797374046	0.0628533690804529	0.198759804909434	0.0444440434972091	6.85847235888287	6.60290204732146e-05	0.000208802096365247	4.66895681317154e-05					951.911797374046	0.0628533690804529	0.198759804909434	0.0444440434972091	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	6	951.989624234656	0.0895244431406331	0.283101146582639	0.0633033408266912	6.85855409159396	9.40518783782821e-05	0.000297418153892515	6.65047209846157e-05					951.989624234656	0.0895244431406331	0.283101146582639	0.0633033408266912	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	7	952.005144269982	0.076126573777094	0.240733363600464	0.0538296165462811	6.85857040644463	7.99747814753346e-05	0.000252902464836299	5.65507103051214e-05	952.040201331261	0.0746327914899056	0.134833186726214	0.0360312218120927	952.005144269982	0.076126573777094	0.240733363600464	0.0538296165462811	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	8	951.742247486264	0.0914210116232165	0.289098622726091	0.0646444172617106	6.85829420356866	9.60419457333195e-05	0.00030371129943158	6.79119111063806e-05	951.702435487423	0.0902090773126017	0.162720499138674	0.0431430237311199	951.742247486264	0.0914210116232165	0.289098622726091	0.0646444172617106	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	9	951.879314336466	0.0852931267478354	0.26972054928059	0.0603113483119981	6.85843821595866	8.95989452879179e-05	0.000283336743058632	6.33560218002492e-05	951.857404336494	0.0867365740951584	0.156337927687802	0.0412976584095474	951.879314336466	0.0852931267478354	0.26972054928059	0.0603113483119981	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	10	952.002192231942	0.080381530333309	0.25418871766317	0.056838325180835	6.85856730190398	8.44407892111108e-05	0.000267025221329283	5.97086546599203e-05	952.021270211235	0.0814215271909221	0.146563622864897	0.0383203897487974	952.002192231942	0.080381530333309	0.25418871766317	0.056838325180835	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	11	951.583054268353	0.152757957367035	0.483063075994727	0.108016187534436	6.85812684172602	0.000160599291721087	0.000507859552448458	0.000113560848229737	951.658836643773	0.120861405307223	0.230072926634812	0.0637619675550161	951.583054268353	0.152757957367035	0.483063075994727	0.108016187534436	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	12	952.138083142172	0.138167995979002	0.436925567034633	0.0976995268997081	6.85870996435179	0.000145061127503814	0.000458723562864148	0.000102573706944513					952.138083142172	0.138167995979002	0.436925567034633	0.0976995268997081	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	13	952.037153903301	0.0547265215187281	0.173060456417398	0.0386974944766442	6.85860404471641	5.74860667983902e-05	0.000181786904807496	4.06487876568845e-05					952.037153903301	0.0547265215187281	0.173060456417398	0.0386974944766442	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	14	951.99728287325	0.0940670744400034	0.297466208059019	0.0665154662229062	6.8585621318516	9.88005855744079e-05	0.000312434884573504	6.98625640448656e-05					951.99728287325	0.0940670744400034	0.297466208059019	0.0665154662229062	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	15	951.744835573862	0.132191104756371	0.418024977444049	0.093473226585771	6.8582968725203	0.000138924026331517	0.000439316344928801	9.82341210887544e-05	951.784138360583	0.115342423459758	0.216283152511087	0.0593471659365692	951.744835573862	0.132191104756371	0.418024977444049	0.093473226585771	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	16	951.950622419312	0.0806206044380802	0.254944736363813	0.0570073761015248	6.8585131303774	8.46904494489794e-05	0.000267814716322127	5.98851911071098e-05	951.957238492936	0.0863298972309154	0.153428972912921	0.0395246129576496	951.950622419312	0.0806206044380802	0.254944736363813	0.0570073761015248	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	17	951.856262794376	0.135836262326453	0.429551977795715	0.0960507422220699	6.85841393705487	0.000142760827692063	0.000451449376157757	0.000100947149348862	951.938124100141	0.111402819145292	0.209653644289296	0.0584599654189386	951.856262794376	0.135836262326453	0.429551977795715	0.0960507422220699	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	18	952.077192384575	0.0805207077743779	0.254628835375862	0.056936738493203	6.8586460801699	8.45884584331163e-05	0.000267492192411125	5.98130725681729e-05	952.120893938707	0.0719908560441866	0.133361669725053	0.0367983593769354	952.077192384575	0.0805207077743779	0.254628835375862	0.056936738493203	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	19	951.754921582154	0.17137905886502	0.541948169269535	0.121183294676824	6.85830740410813	0.000180156937493211	0.000569706258759131	0.00012739019217925	951.842622096407	0.133794881425072	0.255301673672113	0.0708124927897531	951.754921582154	0.17137905886502	0.541948169269535	0.121183294676824	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	20	951.98442045011	0.129190830964919	0.408537278658952	0.091351712642419	6.85854857753052	0.000135675645813761	0.000429044063785774	9.59371691967747e-05	951.944143104941	0.118694002399646	0.218690759951309	0.0583579558357827	951.98442045011	0.129190830964919	0.408537278658952	0.091351712642419	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	21	952.078951176933	0.155869071831114	0.492901283762711	0.110216077669034	6.8586478292991	0.000163668684429585	0.000517565824440826	0.000115731236628041	952.029512883454	0.144184571591587	0.265087646505416	0.0705426606477003	952.078951176933	0.155869071831114	0.492901283762711	0.110216077669034	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	22	952.018756968443	0.0700785239198519	0.221607750649323	0.049552999479271	6.85858471020345	7.36089695020456e-05	0.000232771999844334	5.20494014910502e-05					952.018756968443	0.0700785239198519	0.221607750649323	0.049552999479271	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	23	951.97180981754	0.0951360305050777	0.300846543943305	0.0672713323053107	6.85853537288029	9.99367627408527e-05	0.000316027792244946	7.06659626238881e-05	951.971791782109	0.103766452578154	0.183222220607441	0.0466500302854024	951.97180981754	0.0951360305050777	0.300846543943305	0.0672713323053107	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	24	951.988677694486	0.0820279254206831	0.259395076067784	0.0580025023116294	6.858553104418	8.61695278323561e-05	0.000272491972851517	6.09310574619019e-05					951.988677694486	0.0820279254206831	0.259395076067784	0.0580025023116294	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	25	951.783121486214	0.0671401614667981	0.212315832706553	0.0474752634631327	6.85833717039217	7.05422252992889e-05	0.000223074103162506	4.98808858691164e-05	951.786555730651	0.0713080193344043	0.127231474192043	0.0328893418833954	951.783121486214	0.0671401614667981	0.212315832706553	0.0474752634631327	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	26	952.034609102045	0.0649712738927163	0.205457207983618	0.0459416283518682	6.85860136493623	6.8258864037897e-05	0.000215853480855512	4.82663056372875e-05					952.034609102045	0.0649712738927163	0.205457207983618	0.0459416283518682	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	27	952.046639481311	0.139867022909783	0.442298361941867	0.0989009203638819	6.85861391674407	0.000146895073938782	0.000464523010705393	0.000103870502905012	952.027886550694	0.13934093434091	0.252736222577771	0.0665397627176655	952.046639481311	0.139867022909783	0.442298361941867	0.0989009203638819	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	28	951.976186954535	0.0506915508242857	0.160300758730929	0.035844339336715	6.85854000659781	5.32497197538159e-05	0.000168390399187719	3.76532379342065e-05					951.976186954535	0.0506915508242857	0.160300758730929	0.035844339336715	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	29	952.065703564096	0.149860723752574	0.473901218859429	0.105967533998969	6.85863392493353	0.000157350716845008	0.000497586656690449	0.000111263758905669	951.996212813429	0.129341680482211	0.241195355489436	0.0656437731812196	952.065703564096	0.149860723752574	0.473901218859429	0.105967533998969	10
[PNNLMET0037] IS benzoic acid d5 [9.687]	30	952.004496452681	0.0663468950809745	0.209807304136101	0.0469143394224295	6.85856973366011	6.96916956681413e-05	0.000220384492310617	4.92794705993318e-05					952.004496452681	0.0663468950809745	0.209807304136101	0.0469143394224295	10
