Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0038] IS citric acid d4 [17.807]	1	1517.52951973823	0.189741971140491	0.600016796533889	0.134167834469144	7.32483889746081	0.000125023961960738	0.000395360481894183	8.84052913132469e-05					1517.52951973823	0.189741971140491	0.600016796533889	0.134167834469144	10
[PNNLMET0038] IS citric acid d4 [17.807]	2	1517.51838635207	0.206681677389124	0.653584851173756	0.14614601562886	7.32483154633123	0.000136189378296238	0.000430668628538414	9.63004329188499e-05	1517.48069556039	0.225591146493882	0.398148691834041	0.102121298919486	1517.51838635207	0.206681677389124	0.653584851173756	0.14614601562886	10
[PNNLMET0038] IS citric acid d4 [17.807]	3	1517.66334891238	0.171464831371127	0.542219405749453	0.121243944997532	7.32492709675051	0.000112983506383344	0.000357285218203539	7.98914035258959e-05	1517.67034204392	0.181849105705994	0.323938784000085	0.0833945431096387	1517.66334891238	0.171464831371127	0.542219405749453	0.121243944997532	10
[PNNLMET0038] IS citric acid d4 [17.807]	4	1517.37705362856	0.19814371213213	0.626585434378269	0.140108762498104	7.32473841537341	0.000130574669073315	0.000412913358994422	9.23302339529302e-05	1517.34398067422	0.216498109054469	0.381860351685129	0.0974654819367255	1517.37705362856	0.19814371213213	0.626585434378269	0.140108762498104	10
[PNNLMET0038] IS citric acid d4 [17.807]	5	1517.65912423201	0.173743511009821	0.549425223465577	0.122855214822204	7.32492431136381	0.000114486035122556	0.000362036631269313	8.09538517863209e-05	1517.67239559854	0.186814097542585	0.331208007832444	0.084736100432082	1517.65912423201	0.173743511009821	0.549425223465577	0.122855214822204	10
[PNNLMET0038] IS citric acid d4 [17.807]	6	1517.66524938216	0.189765374568628	0.600090804671858	0.134184383191882	7.32492833462467	0.000125051929613779	0.000395448923378602	8.84250674303659e-05					1517.66524938216	0.189765374568628	0.600090804671858	0.134184383191882	10
[PNNLMET0038] IS citric acid d4 [17.807]	7	1517.22600772027	0.141937279754357	0.448845088912273	0.100364813017478	7.3246389078291	9.35500793918743e-05	0.000295831326167902	6.61498955185342e-05					1517.22600772027	0.141937279754357	0.448845088912273	0.100364813017478	10
[PNNLMET0038] IS citric acid d4 [17.807]	8	1517.59311864552	0.175614531422931	0.555341909519672	0.124178226044052	7.32488081728149	0.000115729534947004	0.000365968922984586	8.1833138944592e-05	1517.63897745252	0.175512563604584	0.318984138890722	0.0853732563398268	1517.59311864552	0.175614531422931	0.555341909519672	0.124178226044052	10
[PNNLMET0038] IS citric acid d4 [17.807]	9	1517.2180639717	0.109097059800714	0.344995194997852	0.0771432707925992	7.32463369001502	7.19075236165392e-05	0.000227391555530612	5.08462975675867e-05	1517.22810216284	0.105366945281355	0.194411589581889	0.0529041984614272	1517.2180639717	0.109097059800714	0.344995194997852	0.0771432707925992	10
[PNNLMET0038] IS citric acid d4 [17.807]	10	1517.49512970515	0.149479709471121	0.472696345908985	0.105698116216825	7.32481626499506	9.85012220835354e-05	0.000311488214094048	6.965088209043e-05					1517.49512970515	0.149479709471121	0.472696345908985	0.105698116216825	10
