Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	1	1580.2381365	0.263939380077062	0.834649605256384	0.186633325474664	7.36533069445558	0.000167047833315571	0.00052825163147336	0.00011812065571996	1580.29786834915	0.289915837134917	0.508269711777506	0.128378002917831	1580.2381365	0.263939380077062	0.834649605256384	0.186633325474664	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	2	1580.6465741	0.265142552476613	0.838454370456816	0.187484096837323	7.36558912572139	0.000167756927590723	0.000530493984458629	0.000118622061090421	1580.69422791935	0.297736239135984	0.519438883213233	0.13086814928825	1580.6465741	0.265142552476613	0.838454370456816	0.187484096837323	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	3	1580.7069782	0.238150948526596	0.753099424273564	0.168398150649165	7.36562736698039	0.000150686833359682	0.000476513606814836	0.000106551681704158	1580.80072968471	0.244587267973142	0.437929602361785	0.116270399622657	1580.7069782	0.238150948526596	0.753099424273564	0.168398150649165	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	4	1580.1799466	0.279063755762273	0.88247708060972	0.19732787408289	7.36529385384472	0.000176604398695302	0.000558472144681624	0.000124878167904821	1580.1713608888	0.300558629884731	0.532291860227184	0.13607544835338	1580.1799466	0.279063755762273	0.88247708060972	0.19732787408289	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	5	1580.2354484	0.28875077245218	0.913110117081892	0.20417762927379	7.36532896592858	0.00018274310120207	0.000577884426481195	0.000129218886075043	1580.2859119321	0.312831167903983	0.552668928246713	0.141375949929622	1580.2354484	0.28875077245218	0.913110117081892	0.20417762927379	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	6	1580.5298776	0.273391160114819	0.864538758118608	0.193316743233646	7.36551528574817	0.00017299113476294	0.000547046000868023	0.000122323204476031	1580.59032044632	0.304867070996844	0.5328900581628	0.135080942995235	1580.5298776	0.273391160114819	0.864538758118608	0.193316743233646	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	7	1580.0624596	0.278883375004836	0.881906666570153	0.19720032562611	7.36521950087789	0.000176493256212375	0.000558120681290767	0.000124799578301465	1580.03362957939	0.296853744461842	0.528176171528559	0.136085013582625	1580.0624596	0.278883375004836	0.881906666570153	0.19720032562611	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	8	1580.2944293	0.320353552733696	1.01304688316534	0.226524169515199	7.36536625083116	0.000202728968613869	0.000641085288516614	0.000143351028449821					1580.2944293	0.320353552733696	1.01304688316534	0.226524169515199	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	9	1579.885043	0.269762244147961	0.853063118225985	0.190750712145124	7.36510722000509	0.000170747663310196	0.000539951521211786	0.000120736830598397					1579.885043	0.269762244147961	0.853063118225985	0.190750712145124	10
[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]	10	1580.4133394	0.250278669881045	0.791450646581486	0.176973744659236	7.36544157361862	0.00015837275285188	0.000500818618322867	0.000111986447496745	1580.4526167107	0.276927949189344	0.485725974806494	0.123051860013674	1580.4133394	0.250278669881045	0.791450646581486	0.176973744659236	10
