Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	1	1590.86733766667	0.329619900469967	0.57091841479978	0.233076466836349	7.37203457748977	0.000207168823585133	0.000358826928193724	0.000146490480007487	1590.78189265	0.363324147199803	0.346624090928933	0.165584283089284	1590.86733766667	0.329619900469967	0.57091841479978	0.233076466836349	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	2	1590.66189833333	0.156693100879342	0.271400411918535	0.11079875419693	7.37190548229572	9.85021737790482e-05	0.00017061076964129	6.96515550407808e-05	1590.62128324819	0.172718137085947	0.164780222668926	0.0787107111988962	1590.66189833333	0.156693100879342	0.271400411918535	0.11079875419693	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	3	1591.070792	0.49574639739552	0.858657947958272	0.350545639347173	7.37216237704741	0.00031152096870556	0.000539570145421103	0.000220278589453503	1590.94228198198	0.546436046564237	0.521318951094598	0.249039975040842	1591.070792	0.49574639739552	0.858657947958272	0.350545639347173	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	4	1591.271553	0.32788178782842	0.567907915395342	0.231847435601045	7.37228863078172	0.000206076190502656	0.000356934432180842	0.000145717871745519	1591.3565784591	0.361405791952988	0.344791404063123	0.164712723506128	1591.271553	0.32788178782842	0.567907915395342	0.231847435601045	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	5	1590.65661166667	0.162092424561019	0.28075231486171	0.114616652586065	7.37190215770578	0.0001018964853747	0.00017648988978168	7.20516957875264e-05	1590.61460531713	0.17867004185438	0.170459120481449	0.0814227188486667	1590.65661166667	0.162092424561019	0.28075231486171	0.114616652586065	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	6	1591.47342766667	0.433929483662027	0.75158791260476	0.306834480454197	7.37241543864714	0.000272683266622499	0.000472301272164018	0.000192816186944868	1591.53234031005	0.481638261738803	0.462502348313006	0.21580065939474	1591.47342766667	0.433929483662027	0.75158791260476	0.306834480454197	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	7	1590.66136966667	0.159495663246043	0.276254592329043	0.112780465051123	7.37190514941397	0.000100263876034679	0.000173662127455851	7.08972666521685e-05	1590.6200199107	0.175806550372452	0.167726023716339	0.0801191513187147	1590.66136966667	0.159495663246043	0.276254592329043	0.112780465051123	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	8	1590.45942466667	0.00561150883519286	0.00971941840967568	0.0039679359500531	7.37177819978989	3.52822374724373e-06	6.1110627906972e-06	2.49483093721946e-06	1590.45788003362	0.00620919579576776	0.00596653699741588	0.00263048249350349	1590.45942466667	0.00561150883519286	0.00971941840967568	0.0039679359500531	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	9	1591.261694	0.330555231899296	0.572538456357294	0.233737846032684	7.37228243404462	0.00020775781100729	0.000359847084333919	0.000146906957007728	1591.34686374014	0.364395872422664	0.347686618615204	0.166024751163963	1591.261694	0.330555231899296	0.572538456357294	0.233737846032684	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	10	1591.07139866667	0.282465429221706	0.489244474793745	0.199733220453437	7.37216285665234	0.000177531170450149	0.000307493007146829	0.000125533494497285	1591.06982479764	0.314379834774477	0.302570433556752	0.139983717974224	1591.07139866667	0.282465429221706	0.489244474793745	0.199733220453437	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	11	1590.66295566667	0.165325818824059	0.286352718006197	0.116903007595711	7.3719061453605	0.000103928555253968	0.000180009538057102	7.34885861790014e-05	1590.62010089944	0.182233167066857	0.173857646449147	0.0830477066939077	1590.66295566667	0.165325818824059	0.286352718006197	0.116903007595711	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	12	1591.06762	0.497023314032185	0.860869632450006	0.351448555759969	7.37216038266806	0.000312323817209844	0.000540960719821305	0.000220846289075148	1590.93873525054	0.54784026337792	0.522654996142274	0.249684021881237	1591.06762	0.497023314032185	0.860869632450006	0.351448555759969	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	13	1590.65396833333	0.159923811898262	0.276996167547879	0.113083211866463	7.37190049633076	0.00010053347340431	0.000174129083797639	7.10879007804249e-05	1590.61249891444	0.176277782112705	0.168174919207848	0.0803347427179508	1590.65396833333	0.159923811898262	0.276996167547879	0.113083211866463	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	14	1591.077136	0.493136173996576	0.854136908412195	0.348699932681368	7.37216636582137	0.000309879790039667	0.00053672754058748	0.000219118100889712	1590.9492537369	0.543555247564769	0.518566539133743	0.24773153654973	1591.077136	0.493136173996576	0.854136908412195	0.348699932681368	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	15	1590.670357	0.16295567651833	0.282247511111506	0.115227063898953	7.37191079879758	0.000102438233987996	0.000177428225904838	7.24347699056863e-05	1590.62812663432	0.179621522919111	0.171366842529597	0.081856418152192	1590.670357	0.16295567651833	0.282247511111506	0.115227063898953	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	16	1590.864167	0.433935504167232	0.751598340425663	0.306838737594253	7.372032537213	0.000272790882089221	0.000472487667620062	0.000192892282571148	1590.9215820472	0.4817105469247	0.462625372695247	0.215764948463429	1590.864167	0.433935504167232	0.751598340425663	0.306838737594253	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	17	1591.068746	0.285882246430609	0.495162575799741	0.202149275071927	7.37216118828005	0.000179678110592465	0.000311211616554129	0.000127051610430719	1591.06406725072	0.318171699016712	0.306211324680612	0.141683759325168	1591.068746	0.285882246430609	0.495162575799741	0.202149275071927	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	18	1590.46788333333	0.00228410105504931	0.00395617907696708	0.00161510334494071	7.37178351817074	1.43611826088033e-06	2.48742979352218e-06	1.01548896085431e-06	1590.4676264154	0.00272557662376523	0.0027007175422893	0.000793837894684676	1590.46788333333	0.00228410105504931	0.00395617907696708	0.00161510334494071	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	19	1590.657669	0.162945385476893	0.282229686504875	0.115219787033767	7.37190282225625	0.000102432578524579	0.00017741843035486	7.24307708891535e-05	1590.61541594525	0.179608213337866	0.171352218959064	0.0818527610219	1590.657669	0.162945385476893	0.282229686504875	0.115219787033767	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	20	1591.27946066667	0.330482765185606	0.572412940327324	0.233686604328023	7.37229359915651	0.000207710085759746	0.000359764421780369	0.000146873210161556	1591.36511116384	0.364276686373966	0.347534284478285	0.166016753536587	1591.27946066667	0.330482765185606	0.572412940327324	0.233686604328023	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	21	1590.45836733333	0.281483364794537	0.487543489309582	0.199038796037423	7.37177748802676	0.000176982330750252	0.000306542388901396	0.000125145406223704	1590.45754873007	0.313288351581718	0.301521005983637	0.139497090443921	1590.45836733333	0.281483364794537	0.487543489309582	0.199038796037423	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	22	1591.069741	0.493587155852855	0.854918031900563	0.349018825010135	7.37216171775087	0.000310164583410771	0.00053722081717589	0.000219319480213657	1590.94177583283	0.544054861591537	0.519046066362802	0.247956111433374	1591.069741	0.493587155852855	0.854918031900563	0.349018825010135	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	23	1591.273666	0.326801336252194	0.566036518370201	0.231083440964752	7.37228995906903	0.000205396760691317	0.000355757625227427	0.000145237442318581	1591.35841284334	0.360214736388764	0.343654977340132	0.164169999421899	1591.273666	0.326801336252194	0.566036518370201	0.231083440964752	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	24	1591.27207366667	0.330688680445419	0.572769596019374	0.233832208404587	7.37228895688803	0.000207840497322467	0.000359990301232895	0.000146965425061901	1591.3578162492	0.364500552599374	0.347744781939016	0.166122307273671	1591.27207366667	0.330688680445419	0.572769596019374	0.233832208404587	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	25	1590.458896	0.00454776262451683	0.00787695592642593	0.00321575379102258	7.37177786739753	2.85939794744834e-06	4.95262252403868e-06	2.02189967875161e-06	1590.45763139691	0.0050224783169117	0.00483503506581122	0.00202048824043184	1590.458896	0.00454776262451683	0.00787695592642593	0.00321575379102258	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	26	1590.66295566667	0.156256100186226	0.270643504515116	0.110489748043445	7.37190614708939	9.8227410913831e-05	0.000170134866398701	6.94572683555674e-05	1590.62244076182	0.172235430353602	0.164318689978739	0.0784919159044114	1590.66295566667	0.156256100186226	0.270643504515116	0.110489748043445	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	27	1590.46153933333	0.00497808283787046	0.00862229239947829	0.00352003613196657	7.37177952938784	3.12995749885259e-06	5.4212454135439e-06	2.21321417226435e-06	1590.46083604174	0.0055942527766055	0.00538750226545573	0.00228914172041138	1590.46153933333	0.00497808283787046	0.00862229239947829	0.00352003613196657	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	28	1590.868398	0.327883017400367	0.567910045076425	0.231848305039706	7.37203524467904	0.000206077169505602	0.000356936127863687	0.000145718564005141	1590.78337223391	0.361407148269394	0.344792699007016	0.164713340681072	1590.868398	0.327883017400367	0.567910045076425	0.231848305039706	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	29	1590.46153933333	0.00188153845641199	0.00325892020290028	0.00133044860159218	7.37177952940043	1.18301440835381e-06	2.04904106135484e-06	8.36517510388372e-07	1590.46197860032	0.00215965282640799	0.00211534305497773	0.00026558998280074	1590.46153933333	0.00188153845641199	0.00325892020290028	0.00133044860159218	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	30	1591.470845	0.169047548201364	0.292798942379712	0.119534667676145	7.37241391043282	0.000106227857666666	0.00018399204665786	7.51144385070189e-05	1591.51464521963	0.186336896156394	0.17777423628945	0.084916362027171	1591.470845	0.169047548201364	0.292798942379712	0.119534667676145	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	31	1591.059765	0.287372778193887	0.497744252544034	0.203203240189315	7.37215554312372	0.000180616024565428	0.000312836131208429	0.00012771481576117	1591.05541139887	0.319832315134482	0.307810873725367	0.142421357378359	1591.059765	0.287372778193887	0.497744252544034	0.203203240189315	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	32	1590.84956933333	0.426625580018142	0.738937180399963	0.301669840658472	7.37202336496224	0.000268198347248601	0.000464533163940578	0.00018964487004251	1590.90785749437	0.473515038447789	0.454688522143341	0.21217789560309	1590.84956933333	0.426625580018142	0.738937180399963	0.301669840658472	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	33	1591.07026966667	0.493374308830387	0.854549370043409	0.348868319437193	7.37216205014655	0.000310030758321324	0.000536989025321641	0.000219224851585416	1590.94236702752	0.543820831339703	0.51882336401998	0.247848764404306	1591.07026966667	0.493374308830387	0.854549370043409	0.348868319437193	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	34	1591.264866	0.327967076766328	0.568055640169123	0.2319077439874	7.37228442843956	0.000206130507677359	0.000357028512287152	0.000145756279788086	1591.34936022093	0.361543457366891	0.344965676781757	0.164724295521891	1591.264866	0.327967076766328	0.568055640169123	0.2319077439874	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	35	1591.68524633333	0.0028218942547919	0.00488766422288628	0.00199538056335471	7.37254863726288	1.77289538645497e-06	3.07074488584447e-06	1.25362635009666e-06					1591.68524633333	0.0028218942547919	0.00488766422288628	0.00199538056335471	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	36	1591.27221466667	0.434651291735867	0.752838120861965	0.307344875837924	7.37228899838699	0.000273122233811961	0.000473061585639023	0.000193126583621255	1591.21204205269	0.482387445336971	0.463179164689742	0.216190402441099	1591.27221466667	0.434651291735867	0.752838120861965	0.307344875837924	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	37	1591.246058	0.161009454857631	0.278876556312385	0.11385087736498	7.37227265721464	0.00010117824570687	0.000175245862184986	7.15438236478865e-05	1591.20432308268	0.177475626944903	0.169318888690499	0.0808791754116917	1591.246058	0.161009454857631	0.278876556312385	0.11385087736498	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	38	1591.47191033333	0.164939093421626	0.285682889960606	0.116629551441193	7.37241458064709	0.000103645914732934	0.000179519990314393	7.32887291499404e-05	1591.51467211735	0.181806333370714	0.173449869536179	0.0828538348077189	1591.47191033333	0.164939093421626	0.285682889960606	0.116629551441193	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	39	1590.664013	0.164260764851379	0.284507990412713	0.116149900709299	7.37190681028074	0.000103259010479758	0.000178849852490229	7.301514652885e-05	1590.62146905389	0.181061988887411	0.172743023477228	0.0825106876847881	1590.664013	0.164260764851379	0.284507990412713	0.116149900709299	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	40	1590.86628166667	0.329427442141793	0.570585067197042	0.232940378247401	7.37203391377576	0.000207048030665903	0.000358617708720423	0.00014640506651518	1590.78094129521	0.363116361293137	0.346430154005001	0.165484539298308	1590.86628166667	0.329427442141793	0.570585067197042	0.232940378247401	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	41	1591.06339066667	0.498747682831769	0.863856326821871	0.352667868631421	7.37215772347349	0.000313408013786911	0.000542838603378177	0.000221612931826932	1590.93405321631	0.549740475919944	0.52446740521654	0.250550575609564	1591.06339066667	0.498747682831769	0.863856326821871	0.352667868631421	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	42	1590.27386833333	0.160790595069311	0.27849748003928	0.11369612012453	7.37166150928101	0.000101115005473018	0.000175136326886873	7.14991060496861e-05	1590.31555399566	0.177233840978611	0.16908768270413	0.0807697210030829	1590.27386833333	0.160790595069311	0.27849748003928	0.11369612012453	3
[PNNLMET0039] IS D-fructose 13C6 2 [17.571]	43	1590.86732966667	0.332842458758683	0.576500049486188	0.235355159655069	7.37203457119611	0.000209193963780933	0.0003623345739053	0.000147922470372791	1590.78102852442	0.366874526822919	0.350009622741216	0.167204316964139	1590.86732966667	0.332842458758683	0.576500049486188	0.235355159655069	3
