Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0041] IS L-alanine d7 [7.729]	1	760.1953260226	0.331038006743543	0.573374646916145	0.234079219398837	6.63357512380623	0.000435388462839907	0.000754114938668032	0.000307866134524485	760.139911414706	0.366917995082305	0.351911261425544	0.164937798934211	760.1953260226	0.331038006743543	0.573374646916145	0.234079219398837	3
[PNNLMET0041] IS L-alanine d7 [7.729]	2	757.405108369789	1.25969181138722	2.18185021920113	0.890736622037066	6.62989411490851	0.0016619523706623	0.00287858594574664	0.00117517779130437	757.172227363297	1.39498072099849	1.33686139501398	0.628424465949716	757.405108369789	1.25969181138722	2.18185021920113	0.890736622037066	3
[PNNLMET0041] IS L-alanine d7 [7.729]	3	759.555875774537	0.443601473982918	0.768340291250857	0.313673610397669	6.63273337661803	0.000584229767867468	0.00101191564124062	0.000413112830630129	759.666950547745	0.489262971161729	0.467070954781072	0.222623788790355	759.555875774537	0.443601473982918	0.768340291250857	0.313673610397669	3
[PNNLMET0041] IS L-alanine d7 [7.729]	4	760.170775621983	1.09881643353022	1.90320589106597	0.776980551428434	6.63353997573988	0.00144649528975417	0.00250540333476329	0.00102282662833958	760.392175449905	1.215706145716	1.16407158550441	0.548886228114621	760.170775621983	1.09881643353022	1.90320589106597	0.776980551428434	3
[PNNLMET0041] IS L-alanine d7 [7.729]	5	759.925250747985	0.129431770365486	0.224182402386609	0.0915220825264151	6.63322003064616	0.000170333221477858	0.000295025793816533	0.000120443775968344	759.946653105324	0.14347854254611	0.137623687212427	0.0644761656028797	759.925250747985	0.129431770365486	0.224182402386609	0.0915220825264151	3
[PNNLMET0041] IS L-alanine d7 [7.729]	6	759.748475098867	0.25623201008908	0.443806859999788	0.181183391891048	6.63298725411723	0.000337189485013805	0.000584029319821895	0.000238428971398061	759.682110996307	0.282437572377442	0.269460145722426	0.128713586340282	759.748475098867	0.25623201008908	0.443806859999788	0.181183391891048	3
[PNNLMET0041] IS L-alanine d7 [7.729]	7	760.419827673518	0.277079559381772	0.479915874588026	0.195924835367031	6.6338704864915	0.000364304464020696	0.000630993841107993	0.000257602156925565	760.355926736105	0.306008822352263	0.292515368138796	0.138769636775631	760.419827673518	0.277079559381772	0.479915874588026	0.195924835367031	3
[PNNLMET0041] IS L-alanine d7 [7.729]	8	759.291926031756	0.566753277212222	0.981645471487736	0.400755085576461	6.63238548724652	0.000746261210452601	0.00129256233222176	0.000527686362447516	759.223130218295	0.629407775155075	0.60467946481529	0.281655961155232	759.291926031756	0.566753277212222	0.981645471487736	0.400755085576461	3
[PNNLMET0041] IS L-alanine d7 [7.729]	9	758.877849545609	0.939803041448766	1.62778661689702	0.664541103588165	6.63183852593003	0.00123921042353945	0.00214637541483928	0.000876254093801799	759.08287610758	1.03874090678347	0.993692874551017	0.470136126746658	758.877849545609	0.939803041448766	1.62778661689702	0.664541103588165	3
[PNNLMET0041] IS L-alanine d7 [7.729]	10	759.322018252688	0.731638840384974	1.26723564433755	0.517346785415677	6.63242456025992	0.000964067367292074	0.00166981366206904	0.000681698572932888	759.496103634189	0.807640710959981	0.771666610787158	0.366709897540235	759.322018252688	0.731638840384974	1.26723564433755	0.517346785415677	3
