Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0043] IS octanoic acid d15 [9.751]	1	955.357635628471	0.0835445062938316	0.26419092588278	0.0590748869312505	6.86208571970931	8.74508251951896e-05	0.000276543790878038	6.1837071515878e-05	955.361905313943	0.0824203767903391	0.150431479306486	0.0400736975214398	955.357635628471	0.0835445062938316	0.26419092588278	0.0590748869312505	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	2	955.260748327808	0.0931499743689818	0.294566082992288	0.0658669785436601	6.86198429056819	9.75125826532424e-05	0.000308361861709671	6.89518084451214e-05					955.260748327808	0.0931499743689818	0.294566082992288	0.0658669785436601	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	3	955.165149869008	0.0587555287668486	0.185801296030786	0.0415464328232399	6.86188423840772	6.15195679793549e-05	0.000194541955484324	4.35009036938686e-05	955.18429080765	0.0553808396543396	0.1013997430716	0.0269323854938256	955.165149869008	0.0587555287668486	0.185801296030786	0.0415464328232399	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	4	955.294979968277	0.0441429885467046	0.139592386534313	0.031213806543215	6.86202016165838	4.621062449258e-05	0.000146130825495316	3.26758459415685e-05	955.309315490207	0.04226861399677	0.0776385431682718	0.0212265824361523	955.294979968277	0.0441429885467046	0.139592386534313	0.031213806543215	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	5	955.292174077296	0.0927846975860021	0.293410976381694	0.0656086888534052	6.86201718797115	9.71161181141719e-05	0.000307108130754719	6.86714656810447e-05					955.292174077296	0.0927846975860021	0.293410976381694	0.0656086888534052	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	6	955.170846717371	0.0507066429486277	0.16034848421858	0.0358550110801797	6.86189020747608	5.30860921279997e-05	0.000167872963202014	3.75375357304024e-05	955.164362379368	0.0519559416265821	0.0936029150656733	0.0246488022572675	955.170846717371	0.0507066429486277	0.16034848421858	0.0358550110801797	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	7	955.215314692157	0.070213518608912	0.222034641338779	0.0496484551393296	6.86193674846081	7.3511425999152e-05	0.000232463540204239	5.19804278186935e-05					955.215314692157	0.070213518608912	0.222034641338779	0.0496484551393296	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	8	955.315455694923	0.0616793365654262	0.195047188114854	0.0436138771445002	6.86204158519353	6.45646829815138e-05	0.000204171454628295	4.56541251613881e-05	955.318937849145	0.0685407851046074	0.120225428001407	0.0303733723648832	955.315455694923	0.0616793365654262	0.195047188114854	0.0436138771445002	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	9	955.324488498095	0.0793383175399098	0.250889789151802	0.0561006623404018	6.8620510268238	8.30341195138432e-05	0.000262576941170378	5.87139889780927e-05	955.293931741403	0.06954296766272	0.129423390295588	0.0348981171910263	955.324488498095	0.0793383175399098	0.250889789151802	0.0561006623404018	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	10	955.4655331684	0.0407819871402383	0.12896396687085	0.0288372196571251	6.86219868188328	4.26830373566634e-05	0.000134975615501109	3.01814651565354e-05	955.465197414197	0.0414082556654894	0.074870945331739	0.019675252664387	955.4655331684	0.0407819871402383	0.12896396687085	0.0288372196571251	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	11	955.200457491231	0.0729015048975256	0.230534800330101	0.0515491484717447	6.86192119246096	7.63229321378734e-05	0.000241354303258144	5.3968462874731e-05					955.200457491231	0.0729015048975256	0.230534800330101	0.0515491484717447	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	12	955.298457758566	0.055695510841891	0.176124669706978	0.03938267339795	6.86202379587511	5.82985032916393e-05	0.000184356054580404	4.12232670105444e-05	955.284347520835	0.0564067142520934	0.101731440155886	0.0267147786338561	955.298457758566	0.055695510841891	0.176124669706978	0.03938267339795	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	13	955.303530475152	0.0438328019085446	0.138611490257976	0.0309944714679385	6.86202911241337	4.58865811721382e-05	0.000145106110542156	3.24467127122859e-05	955.324264876563	0.0432530251265376	0.0783243486427106	0.0212131889923513	955.303530475152	0.0438328019085446	0.138611490257976	0.0309944714679385	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	14	955.360024673217	0.0725972717291221	0.229572730578176	0.0513340231353047	6.86208822975309	7.5988862759458e-05	0.000240297883125835	5.37322401518666e-05	955.361849150288	0.0795297647629441	0.140138529242767	0.0356073829739515	955.360024673217	0.0725972717291221	0.229572730578176	0.0513340231353047	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	15	955.227916734102	0.0824403800202532	0.260699372033838	0.058294151755917	6.86194993102726	8.6310350096003e-05	0.000272937291949902	6.10306338394687e-05					955.227916734102	0.0824403800202532	0.260699372033838	0.058294151755917	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	16	955.426623524893	0.0676359624941045	0.213883693219093	0.0478258477316603	6.86215794187951	7.07823839417328e-05	0.000223833551472403	5.00507036737491e-05	955.404054077433	0.0612922021259137	0.113313743426569	0.0303722368902105	955.426623524893	0.0676359624941045	0.213883693219093	0.0478258477316603	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	17	955.25652195555	0.0397129005851817	0.125583218341008	0.0280812613043692	6.86197990514798	4.15718196536751e-05	0.000131461636583365	2.93957155833778e-05					955.25652195555	0.0397129005851817	0.125583218341008	0.0280812613043692	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	18	955.17103650011	0.0940448323918666	0.297395872527079	0.0664997387198411	6.86189037178387	9.8462045820446e-05	0.000311364327872472	6.96231802891379e-05					955.17103650011	0.0940448323918666	0.297395872527079	0.0664997387198411	10
[PNNLMET0043] IS octanoic acid d15 [9.751]	19	955.343336309951	0.0453334783416093	0.143357045817398	0.0320556099501254	6.86207077907297	4.74521711465357e-05	0.000150056940743177	3.35537519997401e-05	955.344962754271	0.0466010694587573	0.0839284433959581	0.02199491416832	955.343336309951	0.0453334783416093	0.143357045817398	0.0320556099501254	10
