Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	1	1902.05492018204	0.187392902272238	0.592588388529613	0.132506791942927	7.55069006912245	9.85183415122078e-05	0.000311542350480894	6.96629873545343e-05					1902.05492018204	0.187392902272238	0.592588388529613	0.132506791942927	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	2	1902.55534969649	0.148268987627787	0.468867707271133	0.104842006591273	7.55095315207791	7.79447853587988e-05	0.000246483053466749	5.51152862853366e-05	1902.64829696905	0.137594350848942	0.249917747809315	0.0686604268927873	1902.55534969649	0.148268987627787	0.468867707271133	0.104842006591273	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	3	1902.55402220541	0.179252867632673	0.566847338835921	0.126750918250197	7.55095244032311	9.42213601305363e-05	0.000297954102251475	6.6624562680922e-05	1902.58262200344	0.180445231620425	0.325385516584272	0.0852095799306277	1902.55402220541	0.179252867632673	0.566847338835921	0.126750918250197	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	4	1902.27168806433	0.167559072510092	0.529868311757197	0.118482156421214	7.55080403746472	8.80878399603828e-05	0.000278558208439206	6.2287508976062e-05	1902.2944706343	0.180410799625314	0.319987033026292	0.0820055509829276	1902.27168806433	0.167559072510092	0.529868311757197	0.118482156421214	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	5	1902.12761641698	0.175079475348361	0.553649913648123	0.123799884265409	7.55072829440206	9.20438865528787e-05	0.000291068326201241	6.50848563483058e-05					1902.12761641698	0.175079475348361	0.553649913648123	0.123799884265409	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	6	1902.34457871207	0.203316094195157	0.642941942626033	0.143766188929758	7.55084233610154	0.000106872919162645	0.000337961844745013	7.55705658651079e-05	1902.32923995532	0.210783284787847	0.378051829125322	0.0982157146474579	1902.34457871207	0.203316094195157	0.642941942626033	0.143766188929758	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	7	1902.34343746495	0.174984430716712	0.553349356132738	0.123732677561854	7.55084175098598	9.19914047533034e-05	0.000290902364178879	6.50477461119372e-05	1902.393915301	0.189107695192937	0.333567153533875	0.0853701139477588	1902.34343746495	0.174984430716712	0.553349356132738	0.123732677561854	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	8	1902.20184187224	0.121253302406793	0.383436609422644	0.0857390323731067	7.55076733801716	6.37428459564217e-05	0.000201572577763547	4.50729986279153e-05					1902.20184187224	0.121253302406793	0.383436609422644	0.0857390323731067	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	9	1901.83939062764	0.147540664954217	0.466564548751108	0.104327004689899	7.55057676708964	7.75714886406979e-05	0.000245302585594484	5.48513256445727e-05	1901.80374339663	0.157425601677444	0.27771434605859	0.0703780983697844	1901.83939062764	0.147540664954217	0.466564548751108	0.104327004689899	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	10	1902.19784724348	0.236022893513915	0.746369923447355	0.16689338851896	7.55076518135719	0.000124070668650417	0.000392345903755365	8.77312111490587e-05					1902.19784724348	0.236022893513915	0.746369923447355	0.16689338851896	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	11	1902.34124616195	0.203134092152621	0.642366401632817	0.143637494051291	7.55084058439037	0.000106776883045973	0.000337658151878692	7.55026580757703e-05	1902.32302719738	0.210846543828457	0.377923967741546	0.0981039721445069	1902.34124616195	0.203134092152621	0.642366401632817	0.143637494051291	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	12	1902.1995619936	0.155436319870091	0.491532801903976	0.109910075822823	7.55076612639842	8.17156185728738e-05	0.000258407475099839	5.77816680217325e-05	1902.20501494395	0.16052409608184	0.289575499821197	0.0761120154641013	1902.1995619936	0.155436319870091	0.491532801903976	0.109910075822823	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	13	1902.55487993279	0.110887287072781	0.350656390706932	0.0784091526365426	7.5509529185538	5.82855429531376e-05	0.000184315070391491	4.12141026673034e-05					1902.55487993279	0.110887287072781	0.350656390706932	0.0784091526365426	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	14	1902.485322	0.151376171403503	0.478693485111118	0.107039117309474	7.55091634293413	7.95774835169073e-05	0.000251646098377933	5.62697782245659e-05	1902.55072164505	0.155741408935501	0.276280901067388	0.0716332872508798	1902.485322	0.151376171403503	0.478693485111118	0.107039117309474	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	15	1902.19746193859	0.159584476974032	0.504650426444638	0.112843265840447	7.55076502057793	8.38964624410711e-05	0.000265303908944555	5.93237575096438e-05	1902.20268858268	0.164853754348428	0.297359592440358	0.078150195274761	1902.19746193859	0.159584476974032	0.504650426444638	0.112843265840447	10
[PNNLMET0047] IS L-tryptophan d5 1 [20.486]	16	1902.49245665892	0.181946109954643	0.575364118864107	0.128655328159441	7.55092007903484	9.5635322375959e-05	0.000302425443472496	6.76243849730022e-05					1902.49245665892	0.181946109954643	0.575364118864107	0.128655328159441	10
