Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0059] N-formylglycine 2[M] [11.531]	1	1061.38812659282	0.118370043567126	0.205022929552404	0.0837002604956621	6.96733286512092	0.000111528905133835	0.000193173730204331	7.88628451184458e-05	1061.40837379116	0.13118040941098	0.125796767128374	0.0589872305048948	1061.38812659282	0.118370043567126	0.205022929552404	0.0837002604956621	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	2	1061.60494229287	0.00399615611342762	0.00692154542343362	0.00282570908648475	6.96753713849916	3.76425799423504e-06	6.5198860988124e-06	2.66173235385927e-06	1061.60465282819	0.00451832466494459	0.00438326506704069	0.00175214562587358	1061.60494229287	0.00399615611342762	0.00692154542343362	0.00282570908648475	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	3	1060.8969854964	0.548354086559649	0.949777138459333	0.387744893097683	6.96686964117713	0.00051695645594361	0.000895394846995074	0.000365543415575891	1060.963832618	0.60896325318775	0.585029017920357	0.272518759345001	1060.8969854964	0.548354086559649	0.949777138459333	0.387744893097683	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	4	1061.7634604736	0.741910690377353	1.28502701041208	0.52461008020062	6.96768571472857	0.000698488606306165	0.00120981775463025	0.00049390603010063	1061.59378227999	0.819469925073318	0.783429084655045	0.371508567429241	1061.7634604736	0.741910690377353	1.28502701041208	0.52461008020062	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	5	1061.66649855866	0.220519077960947	0.381950247066602	0.15593053540719	6.96759505626831	0.00020773674011567	0.000359810588479072	0.000146892057637378	1061.72367528392	0.243067886259891	0.231894759070916	0.110776488498517	1061.66649855866	0.220519077960947	0.381950247066602	0.15593053540719	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	6	1060.89173967713	0.224391787480516	0.388657976717452	0.158668954570044	6.96686503019369	0.000211485046885757	0.000366302846247218	0.000149542510772474	1060.83355231864	0.247336023812979	0.23596619329328	0.112722457309209	1060.89173967713	0.224391787480516	0.388657976717452	0.158668954570044	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	7	1061.39034296792	0.223039325777959	0.386315444333333	0.157712619728871	6.96733490573537	0.000210111848664209	0.000363924397158633	0.000148571512998104	1061.33260437593	0.245851130888992	0.234556689623314	0.112034935102624	1061.39034296792	0.223039325777959	0.386315444333333	0.157712619728871	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	8	1061.22700263378	0.0944586246438449	0.163607137096217	0.0667923340272175	6.96718105543357	8.90040460189114e-05	0.000154159529783953	6.29353644930118e-05	1061.20260992764	0.104129613692282	0.0993519814807711	0.0474384577774824	1061.22700263378	0.0944586246438449	0.163607137096217	0.0667923340272175	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	9	1061.82805907353	0.0875431724881641	0.151629222605266	0.0619023709129645	6.96774727555361	8.24498764119689e-05	0.000142807375023305	5.8300866718896e-05	1061.85075224523	0.0965001927051848	0.0920661624750351	0.0439691035017344	1061.82805907353	0.0875431724881641	0.151629222605266	0.0619023709129645	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	10	1061.39204911331	0.117815761752701	0.204062885288108	0.0833083240659937	6.96733656094022	0.000111004893331192	0.000192266115138388	7.8492312819375e-05	1061.40681630867	0.130825276933462	0.125671716280026	0.0585553538295349	1061.39204911331	0.117815761752701	0.204062885288108	0.0833083240659937	3
[PNNLMET0059] N-formylglycine 2[M] [11.531]	11	1060.46838865183	0.739135447911942	1.28022014945866	0.52264768743389	6.9664652365309	0.000697256127234715	0.00120768303825924	0.000493034535791538	1060.63886406184	0.816302648325656	0.780306414767414	0.370189356059351	1060.46838865183	0.739135447911942	1.28022014945866	0.52264768743389	3
