Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	1	1839.7012057	0.109268119684027	0.345536133845402	0.0772642283960785	7.51735843157069	5.93967683936575e-05	0.000187829073777458	4.1999857711722e-05					1839.7012057	0.109268119684027	0.345536133845402	0.0772642283960785	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	2	1839.5580889	0.11030418290586	0.348812453426328	0.0779968357259748	7.51728063470526	5.99600123797601e-05	0.000189610207651935	4.23981313537577e-05					1839.5580889	0.11030418290586	0.348812453426328	0.0779968357259748	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	3	1839.4895756	0.104324877277974	0.329904228815946	0.0737688281697101	7.51724339147332	5.67096042783702e-05	0.000179331514726479	4.00997457436412e-05	1839.43053778178	0.109818431221787	0.193649577590255	0.0522952175255928	1839.4895756	0.104324877277974	0.329904228815946	0.0737688281697101	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	4	1839.7695287	0.102883423934575	0.32534595310994	0.0727495667358284	7.51739557097861	5.59262203335081e-05	0.000176854237178307	3.95458096439565e-05	1839.82772926063	0.108288300228457	0.190960341082686	0.0515671510063449	1839.7695287	0.102883423934575	0.32534595310994	0.0727495667358284	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	5	1839.8412774	0.0887847492835536	0.280762029223032	0.0627802982843482	7.51743457295428	4.8262254656995e-05	0.000152618649731173	3.41265675433132e-05					1839.8412774	0.0887847492835536	0.280762029223032	0.0627802982843482	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	6	1839.7657224	0.103926175935152	0.328643424466459	0.073486903746532	7.51739350175735	5.64932077482987e-05	0.000178647208813696	3.99467302898024e-05	1839.82451577014	0.109395245813732	0.192907174149298	0.0520929682727767	1839.7657224	0.103926175935152	0.328643424466459	0.073486903746532	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	7	1839.4876724	0.103947504859545	0.328710872447582	0.0735019855736056	7.51724235695403	5.65045450109726e-05	0.000178683060386177	3.99547469451192e-05	1839.42888681599	0.109415114973197	0.192945665922676	0.0521014865756508	1839.4876724	0.103947504859545	0.328710872447582	0.0735019855736056	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	8	1839.6239378	0.112699112964991	0.356385887249983	0.0796903070112537	7.51731642931864	6.12620353719566e-05	0.000193727565873184	4.33188006408007e-05					1839.6239378	0.112699112964991	0.356385887249983	0.0796903070112537	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	9	1839.6960671	0.110284604055182	0.348750539664216	0.0779829913878923	7.51735563806599	5.9949505999029e-05	0.00018957698355886	4.2390702220697e-05					1839.6960671	0.110284604055182	0.348750539664216	0.0779829913878923	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	10	1839.4861499	0.103094030649456	0.32601195001949	0.0728984881720844	7.51724152953862	5.6040690988491e-05	0.000177216225173305	3.96267526203419e-05	1839.42788660068	0.108514835220422	0.191363243065187	0.0516703012099324	1839.4861499	0.103094030649456	0.32601195001949	0.0728984881720844	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	11	1839.5510471	0.110770881225925	0.350288283097909	0.0783268412728615	7.51727680656078	6.02139158922564e-05	0.00019041312105734	4.25776682492109e-05					1839.5510471	0.110770881225925	0.350288283097909	0.0783268412728615	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	12	1839.553331	0.109441941240741	0.346085805871055	0.0773871387975475	7.51727804854536	5.94914746631759e-05	0.000188128561297834	4.20668251571194e-05					1839.553331	0.109441941240741	0.346085805871055	0.0773871387975475	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	13	1839.69778	0.108251127482167	0.342320122124896	0.0765451063137298	7.51735656979986	5.88440364940696e-05	0.000186081182039329	4.16090172373453e-05					1839.69778	0.108251127482167	0.342320122124896	0.0765451063137298	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	14	1839.5546632	0.111071085266398	0.351237611628586	0.078539117585619	7.5172787722119	6.03769819325141e-05	0.000190928781153579	4.26929733520584e-05					1839.5546632	0.111071085266398	0.351237611628586	0.078539117585619	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	15	1839.5518086	0.110578321571114	0.34967935600325	0.0781906810351615	7.51727722058338	6.01092244658838e-05	0.000190082057698511	4.25036402316908e-05					1839.5518086	0.110578321571114	0.34967935600325	0.0781906810351615	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	16	1839.6993026	0.109388407071886	0.34591651596483	0.0773492844237251	7.51735739706979	5.94622248546194e-05	0.000188036065281672	4.20461424191407e-05					1839.6993026	0.109388407071886	0.34591651596483	0.0773492844237251	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	17	1839.4144013	0.0895404112691074	0.283151642238587	0.0633146319986182	7.51720252793819	4.86731452512045e-05	0.000153917999878015	3.44171110688045e-05					1839.4144013	0.0895404112691074	0.283151642238587	0.0633146319986182	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	18	1839.4840563	0.104030008601278	0.328971772186945	0.0735603245288583	7.51724039110758	5.65495007151002e-05	0.000178825222805037	3.99865354283609e-05	1839.42520745046	0.109507905724647	0.193104374660267	0.0521456778916007	1839.4840563	0.104030008601278	0.328971772186945	0.0735603245288583	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	19	1839.4871014	0.104062736386482	0.329075266530962	0.0735834665677092	7.51724204650604	5.65671980026206e-05	0.000178881186542009	3.99990493003752e-05	1839.42826274685	0.109545216226698	0.193171760835699	0.0521610474781854	1839.4871014	0.104062736386482	0.329075266530962	0.0735834665677092	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	20	1839.556376	0.10989853794705	0.347529691435124	0.0777100014248463	7.51727970368921	5.97395740537579e-05	0.000188913120458173	4.22422579186081e-05					1839.556376	0.10989853794705	0.347529691435124	0.0777100014248463	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	21	1839.4183979	0.0911505599905473	0.288243379569945	0.0644531790782672	7.51720470026275	4.9548199195068e-05	0.000156685163416136	3.50358676464144e-05	1839.34511471523	0.0750151448119634	0.141388978570935	0.0425632612897857	1839.4183979	0.0911505599905473	0.288243379569945	0.0644531790782672	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	22	1839.5516182	0.109395348387469	0.34593846633203	0.0773541926750441	7.51727711746436	5.94662108389357e-05	0.000188048670070829	4.20489609356804e-05					1839.5516182	0.109395348387469	0.34593846633203	0.0773541926750441	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	23	1839.5529505	0.111007041878185	0.351035088652761	0.0784938320715238	7.51727784119188	6.03422311481393e-05	0.000190818889524477	4.26684008367754e-05					1839.5529505	0.111007041878185	0.351035088652761	0.0784938320715238	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	24	1839.622796	0.113526338189955	0.359001803098814	0.0802752435773943	7.5173158083716	6.17117486815531e-05	0.000195149684225601	4.36367959716062e-05					1839.622796	0.113526338189955	0.359001803098814	0.0802752435773943	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	25	1839.6981607	0.108478018205085	0.34303761358928	0.0767055422824936	7.51735677666336	5.8967361690069e-05	0.000186471170551574	4.16962213197277e-05					1839.6981607	0.108478018205085	0.34303761358928	0.0767055422824936	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	26	1839.6973993	0.110386827729766	0.349073799306695	0.078055274441389	7.51735636217378	6.00050331959218e-05	0.000189752575973126	4.24299658781602e-05					1839.6973993	0.110386827729766	0.349073799306695	0.078055274441389	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	27	1839.5584696	0.109471505933121	0.346179297637298	0.0774080441920131	7.51728084192749	5.95073827987548e-05	0.000188178867239591	4.20780739076633e-05					1839.5584696	0.109471505933121	0.346179297637298	0.0774080441920131	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	28	1839.6998735	0.109909897903434	0.347565614771416	0.077718034127039	7.51735770722325	5.97456843755283e-05	0.000188932442992204	4.22465785685672e-05					1839.6998735	0.109909897903434	0.347565614771416	0.077718034127039	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	29	1839.6245088	0.113129091958947	0.357745600216912	0.0799943480736479	7.51731673956466	6.14957519014412e-05	0.000194466642433185	4.34840631836746e-05					1839.6245088	0.113129091958947	0.357745600216912	0.0799943480736479	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	30	1839.8439418	0.0907187847973988	0.286877986522437	0.0641478679112438	7.51743602060875	4.93136308133283e-05	0.000155943393062779	3.48700027530343e-05					1839.8439418	0.0907187847973988	0.286877986522437	0.0641478679112438	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	31	1839.7034895	0.110470484025124	0.349338343740637	0.0781144283751251	7.51735967257685	6.00503102275205e-05	0.000189895754518669	4.24619815742356e-05					1839.7034895	0.110470484025124	0.349338343740637	0.0781144283751251	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	32	1839.5571373	0.1106822167747	0.350007901484548	0.0782641460381499	7.51728011728353	6.01655289321062e-05	0.000190260108054214	4.25434535015677e-05					1839.5571373	0.1106822167747	0.350007901484548	0.0782641460381499	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	33	1839.4834856	0.102322592344731	0.32357244790226	0.0723529989155462	7.51724008137803	5.56214633188219e-05	0.000175890510878985	3.93303138922578e-05	1839.42568140435	0.10772428526103	0.189960477103059	0.0512885348942777	1839.4834856	0.102322592344731	0.32357244790226	0.0723529989155462	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	34	1839.5558051	0.109560611347176	0.346461073697564	0.0774710512345318	7.51727939345216	5.95559003739431e-05	0.000188332293283734	4.21123810140856e-05					1839.5558051	0.109560611347176	0.346461073697564	0.0774710512345318	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	35	1839.6317409	0.111413039193224	0.352318964892195	0.0787809155261311	7.51732067141777	6.05626845358802e-05	0.000191516024347639	4.28242849221825e-05					1839.6317409	0.111413039193224	0.352318964892195	0.0787809155261311	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	36	1839.6231766	0.112578217950117	0.356003583645223	0.0796048213264252	7.51731601557855	6.11963508113394e-05	0.000193519853054526	4.3272354642569e-05					1839.6231766	0.112578217950117	0.356003583645223	0.0796048213264252	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	37	1839.6991121	0.111684518809229	0.35317745881708	0.0789728806035624	7.51735729277029	6.07104133714735e-05	0.000191983183944198	4.29287449836073e-05					1839.6991121	0.111684518809229	0.35317745881708	0.0789728806035624	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	38	1839.69778	0.109250936177135	0.345481794825437	0.0772520778218311	7.51735656947857	5.93875394600615e-05	0.000187799889326921	4.19933318701932e-05					1839.69778	0.109250936177135	0.345481794825437	0.0772520778218311	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	39	1839.4884338	0.103133092495852	0.326135474423713	0.0729261090685566	7.51724277112273	5.60618513263758e-05	0.000177283140037079	3.96417152387524e-05	1839.43010480317	0.108555516183482	0.191430719372119	0.0516930017069123	1839.4884338	0.103133092495852	0.326135474423713	0.0729261090685566	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	40	1839.7708609	0.102384111945411	0.323766989961153	0.072396499842363	7.51739629524224	5.56547381944073e-05	0.000175995735274694	3.93538427824273e-05	1839.82874627101	0.107759276028192	0.190032615668225	0.0513133482933628	1839.7708609	0.102384111945411	0.323766989961153	0.072396499842363	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	41	1839.6246991	0.112323556757028	0.355198274243405	0.0794247486698865	7.51731684327801	6.10578635045503e-05	0.00019308191773805	4.31744293288302e-05					1839.6246991	0.112323556757028	0.355198274243405	0.0794247486698865	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	42	1839.6296472	0.11425892960087	0.361318460551584	0.0807932639318918	7.51731953236	6.2109750241014e-05	0.000196408275665796	4.39182255732238e-05					1839.6296472	0.11425892960087	0.361318460551584	0.0807932639318918	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	43	1839.6317408	0.11240821526479	0.355465987951242	0.0794846112748099	7.51732067103433	6.1103650726261e-05	0.000193226709646387	4.32068057837935e-05					1839.6317408	0.11240821526479	0.355465987951242	0.0794846112748099	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	44	1839.5542826	0.109342843563457	0.345772431500006	0.0773170661579404	7.51727856587676	5.94375796877634e-05	0.000187958130421092	4.20287156545333e-05					1839.5542826	0.109342843563457	0.345772431500006	0.0773170661579404	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	45	1839.5571373	0.111152144652911	0.351493943915704	0.0785964352275013	7.51728011712951	6.04209670110306e-05	0.000191067874184753	4.27240754993484e-05					1839.5571373	0.111152144652911	0.351493943915704	0.0785964352275013	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	46	1839.7706706	0.102842953620181	0.325217974738832	0.0727209499020837	7.51739619166631	5.59041892083414e-05	0.000176784568643364	3.9530231285954e-05	1839.82891574016	0.108236722271719	0.190866964785917	0.0515489786576358	1839.7706706	0.102842953620181	0.325217974738832	0.0727209499020837	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	47	1839.6991122	0.111916807570605	0.353912020377888	0.0791371335619248	7.51735729274791	6.08366866008051e-05	0.000192382494956391	4.301803364035e-05					1839.6991122	0.111916807570605	0.353912020377888	0.0791371335619248	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	48	1839.5565663	0.111565974579261	0.352802589046909	0.0788890571746811	7.51727980659248	6.06459277429403e-05	0.000191779262481686	4.28831467583825e-05					1839.5565663	0.111565974579261	0.352802589046909	0.0788890571746811	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	49	1839.5540922	0.110477137363148	0.349359383442835	0.0781191329955595	7.51727846200504	6.00541520479168e-05	0.000189907903421482	4.24646981514899e-05					1839.5540922	0.110477137363148	0.349359383442835	0.0781191329955595	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	50	1839.6266023	0.111600202971592	0.352910828727323	0.078913260303008	7.51731787807566	6.06645969971434e-05	0.000191838299847184	4.28963479146291e-05					1839.6266023	0.111600202971592	0.352910828727323	0.078913260303008	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	51	1839.5565664	0.110810261162327	0.350412813391052	0.078354687092934	7.51727980689513	6.02351458774184e-05	0.000190480256165144	4.25926801156835e-05					1839.5565664	0.110810261162327	0.350412813391052	0.078354687092934	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	52	1839.5512375	0.110103347114994	0.348177354891509	0.0778548233763483	7.51727691028213	5.98510630930881e-05	0.000189265679756601	4.23210925743465e-05					1839.5512375	0.110103347114994	0.348177354891509	0.0778548233763483	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	53	1839.5512375	0.110613005698717	0.34978903684513	0.0782152064169889	7.51727691011593	6.01280995995401e-05	0.000190141746112005	4.25169869666949e-05					1839.5512375	0.110613005698717	0.34978903684513	0.0782152064169889	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	54	1839.7000638	0.108592497372405	0.343399628502651	0.0767864912780101	7.51735781108932	5.90295296711355e-05	0.000186667762969278	4.17401807207124e-05					1839.7000638	0.108592497372405	0.343399628502651	0.0767864912780101	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	55	1839.4098336	0.0890511150979144	0.281604351887218	0.062968647357959	7.51720004482818	4.84073267409244e-05	0.000153077407941297	3.42291489976206e-05					1839.4098336	0.0890511150979144	0.281604351887218	0.062968647357959	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	56	1839.6258409	0.113183998372073	0.357919229540541	0.0800331727707001	7.51731746366123	6.15255589690071e-05	0.000194560900657064	4.35051399632778e-05					1839.6258409	0.113183998372073	0.357919229540541	0.0800331727707001	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	57	1839.6296474	0.112567214722068	0.355968788382973	0.0795970408692566	7.51731953303565	6.11901548051992e-05	0.000193500259562726	4.3267973404611e-05					1839.6296474	0.112567214722068	0.355968788382973	0.0795970408692566	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	58	1839.34113	0.0677254270007944	0.214166604829976	0.0478891086910162	7.51716269817746	3.68147796175461e-05	0.000116418555148588	2.60319803154551e-05					1839.34113	0.0677254270007944	0.214166604829976	0.0478891086910162	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	59	1839.6269829	0.112581402680416	0.356013654646701	0.0796070732708158	7.51731808464047	6.11979521921382e-05	0.000193524917065251	4.3273486989791e-05					1839.6269829	0.112581402680416	0.356013654646701	0.0796070732708158	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	60	1839.5519988	0.109052624358856	0.344854677792743	0.077111850190336	7.5172773244732	5.92799037352027e-05	0.000187459515278763	4.19172219192475e-05					1839.5519988	0.109052624358856	0.344854677792743	0.077111850190336	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	61	1839.700825	0.110162594322852	0.348364711013347	0.0778967174787912	7.5173582243449	5.98830273616918e-05	0.00018936675964913	4.23436947254318e-05					1839.700825	0.110162594322852	0.348364711013347	0.0778967174787912	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	62	1839.7670546	0.104592578535214	0.330750774521313	0.073958121544036	7.51739422566575	5.68554435163067e-05	0.000179792698890582	4.02028696577492e-05	1839.82622163149	0.110102670920961	0.194151883570421	0.0524286212986627	1839.7670546	0.104592578535214	0.330750774521313	0.073958121544036	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	63	1839.6264119	0.111309685752625	0.351992132615888	0.0787078336074245	7.51731777467207	6.05066784113357e-05	0.000191338917431159	4.27846826117291e-05					1839.6264119	0.111309685752625	0.351992132615888	0.0787078336074245	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	64	1839.69778	0.110228271716841	0.348572401169135	0.0779431584094514	7.51735656916166	5.99188265477042e-05	0.000189479966615309	4.23690085726222e-05					1839.69778	0.110228271716841	0.348572401169135	0.0779431584094514	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	65	1839.5504762	0.109437568287739	0.346071977379469	0.0773840466528263	7.51727649664704	5.94891940504657e-05	0.000188121349367209	4.20652125204067e-05					1839.5504762	0.109437568287739	0.346071977379469	0.0773840466528263	10
[PNNLMET0061] 6-hydroxy-alpha-methylnaphthaleneacetic acid [20.102]	66	1839.6960672	0.109042077634619	0.344821326122302	0.0771043925301092	7.51735563852298	5.92740550507523e-05	0.000187441020114585	4.19130862748117e-05					1839.6960672	0.109042077634619	0.344821326122302	0.0771043925301092	10
