Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0075] D-ribose [15.360]	1	1378.04504008443	0.322964936900312	0.559391679774617	0.228370696967696	7.22842105374563	0.000234398210957125	0.000405989610580988	0.000165744564465778	1378.12874897332	0.355989623221711	0.339627554544495	0.162240422597655	1378.04504008443	0.322964936900312	0.559391679774617	0.228370696967696	3
[PNNLMET0075] D-ribose [15.360]	2	1378.41300422424	0.0208815156946714	0.0361678461222177	0.0147654613491555	7.22868811911418	1.51490867999728e-05	2.6238988025824e-05	1.07120220050444e-05	1378.41808007005	0.0230656364460221	0.0220383670346231	0.0104335909384075	1378.41300422424	0.0208815156946714	0.0361678461222177	0.0147654613491555	3
[PNNLMET0075] D-ribose [15.360]	3	1378.18664239111	0.627755259807109	1.08730400470451	0.44389000113513	7.22852357553818	0.00045555697905316	0.000789047833462664	0.000322127429105347	1378.26604250756	0.69702341110941	0.669533326991605	0.312047892580463	1378.18664239111	0.627755259807109	1.08730400470451	0.44389000113513	3
[PNNLMET0075] D-ribose [15.360]	4	1378.65183826011	0.51055503244974	0.884307256262927	0.361016925614129	7.22886116616966	0.000370279301321472	0.000641342562879896	0.00026182700489743	1378.57434824978	0.566305646404525	0.543490047809694	0.254136617775149	1378.65183826011	0.51055503244974	0.884307256262927	0.361016925614129	3
[PNNLMET0075] D-ribose [15.360]	5	1378.29911134865	0.640540476101674	1.10944864891246	0.452930514275954	7.22860516609429	0.000464621588007934	0.000804748196723075	0.000328537075566072	1378.16062415258	0.708053971958207	0.677419886382943	0.320363634928768	1378.29911134865	0.640540476101674	1.10944864891246	0.452930514275954	3
[PNNLMET0075] D-ribose [15.360]	6	1378.69844469577	0.863366671565073	1.49539494071234	0.610492428114122	7.22889458873945	0.000626312899106386	0.00108480576268802	0.000442870098102732	1378.7840707564	0.959506601885197	0.92236633347258	0.428661938829897	1378.69844469577	0.863366671565073	1.49539494071234	0.610492428114122	3
[PNNLMET0075] D-ribose [15.360]	7	1379.26594072947	0.472748471445448	0.81882437174404	0.334283649954651	7.22930653343373	0.000342704666604485	0.000593581894549922	0.000242328793700306	1379.18347175296	0.523806341625546	0.502227178843303	0.235662568996171	1379.26594072947	0.472748471445448	0.81882437174404	0.334283649954651	3
[PNNLMET0075] D-ribose [15.360]	8	1378.86952286121	0.485179328899535	0.840355248436166	0.3430735935564	7.22901907037065	0.000351889617827736	0.000609490696733634	0.000248823534995135	1378.90531573547	0.539559620294146	0.518952755229487	0.240691059499882	1378.86952286121	0.485179328899535	0.840355248436166	0.3430735935564	3
[PNNLMET0075] D-ribose [15.360]	9	1378.5042723842	0.39189011713536	0.678773593862563	0.277108159306404	7.22875420853578	0.000284276715883185	0.000492381715318498	0.000201013993534441	1378.48464179122	0.436005601382213	0.419502495691679	0.194304204607229	1378.5042723842	0.39189011713536	0.678773593862563	0.277108159306404	3
[PNNLMET0075] D-ribose [15.360]	10	1378.29862526805	1.29749392063708	2.24732539305517	0.917466749830803	7.22860380886262	0.000940921833230161	0.00162972442110549	0.000665332208843524	1378.01996243745	1.43438642825191	1.37245039397654	0.648872328640621	1378.29862526805	1.29749392063708	2.24732539305517	0.917466749830803	3
