Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0076] D-xylose 2[M] [15.125]	1	1357.72710678833	0.175394114341498	0.30379151738802	0.124022367631082	7.21356731059898	0.000129192357375606	0.000223767726924145	9.13527919777666e-05	1357.77249212076	0.193337019142174	0.184457248712235	0.0881013786153996	1357.72710678833	0.175394114341498	0.30379151738802	0.124022367631082	3
[PNNLMET0076] D-xylose 2[M] [15.125]	2	1358.48313143307	0.2522183872324	0.436855061289598	0.178345331951965	7.21412396003057	0.000185661735060218	0.000321575558145689	0.00013128267186794	1358.48298300608	0.280717125342546	0.27017346218564	0.124992862266322	1358.48313143307	0.2522183872324	0.436855061289598	0.178345331951965	3
[PNNLMET0076] D-xylose 2[M] [15.125]	3	1359.09524323823	1.58288922166602	2.74164455467869	1.11927170250714	7.21457246227063	0.0011638420914835	0.00201583363443666	0.00082296063511832	1358.68808798029	1.74498105084024	1.66502086091399	0.794993116139785	1359.09524323823	1.58288922166602	2.74164455467869	1.11927170250714	3
[PNNLMET0076] D-xylose 2[M] [15.125]	4	1358.31699497967	0.14874915685497	0.257641097255841	0.105181537507931	7.21400169070845	0.000109517243200539	0.000189689429528211	7.74403853239574e-05	1358.35555888924	0.1639614873718	0.156425501249882	0.0747202174023009	1358.31699497967	0.14874915685497	0.257641097255841	0.105181537507931	3
[PNNLMET0076] D-xylose 2[M] [15.125]	5	1358.09578583928	0.163978913241117	0.284019809103544	0.115950601524394	7.2138388182567	0.000120733517320417	0.000209116586175459	8.53714888137704e-05	1358.05652103027	0.180992002727445	0.172913229356426	0.082190620375892	1358.09578583928	0.163978913241117	0.284019809103544	0.115950601524394	3
[PNNLMET0076] D-xylose 2[M] [15.125]	6	1358.53049101719	0.281910859011351	0.488283931013047	0.199341080097051	7.21415880864625	0.00020750522201118	0.000359409587359224	0.000146728349615726	1358.51313884388	0.313586793866322	0.30167121025996	0.139807409149102	1358.53049101719	0.281910859011351	0.488283931013047	0.199341080097051	3
[PNNLMET0076] D-xylose 2[M] [15.125]	7	1358.26620969916	0.415422282334937	0.719532499600335	0.293747912895027	7.21396417927778	0.000305882849231307	0.000529804636032555	0.00021629183694012	1358.33160280876	0.460667749001777	0.442010423244218	0.206853135417915	1358.26620969916	0.415422282334937	0.719532499600335	0.293747912895027	3
[PNNLMET0076] D-xylose 2[M] [15.125]	8	1358.12739851538	0.152106284514102	0.263455812928952	0.107555385241012	7.2138620982449	0.000111989404491697	0.000193971338489001	7.91884673371218e-05	1358.08804808984	0.167668379199496	0.159968460716918	0.0764020073218699	1358.12739851538	0.152106284514102	0.263455812928952	0.107555385241012	3
[PNNLMET0076] D-xylose 2[M] [15.125]	9	1358.48744055487	0.254262221298278	0.44039508573394	0.179790540879567	7.21412713119451	0.00018716504483353	0.00032417936705258	0.000132345672402873	1358.4855130068	0.282989775519766	0.272359048401255	0.126007583958763	1358.48744055487	0.254262221298278	0.44039508573394	0.179790540879567	3
[PNNLMET0076] D-xylose 2[M] [15.125]	10	1359.67826422966	0.918738480891932	1.59130172777348	0.649646209975713	7.21500269583717	0.000675425196102193	0.00116987075636117	0.000477597736348114	1359.44133393671	1.01277365482865	0.96631594434246	0.461462978204387	1359.67826422966	0.918738480891932	1.59130172777348	0.649646209975713	3
[PNNLMET0076] D-xylose 2[M] [15.125]	11	1358.48504652538	0.44118432614001	0.764153668377535	0.311964428766818	7.21412526329979	0.000324697506745144	0.000562392578773528	0.000229595808853856	1358.37070851448	0.486297618886056	0.463946896131018	0.221628573080667	1358.48504652538	0.44118432614001	0.764153668377535	0.311964428766818	3
[PNNLMET0076] D-xylose 2[M] [15.125]	12	1358.70337595397	0.615913275173345	1.06679308565638	0.435516453497888	7.21428581580091	0.000453183917774344	0.000784937570758281	0.000320449421382926	1358.54368100037	0.678886692238531	0.647678647814402	0.30940889517772	1358.70337595397	0.615913275173345	1.06679308565638	0.435516453497888	3
[PNNLMET0076] D-xylose 2[M] [15.125]	13	1357.95072897509	0.00103431457768773	0.00179148539956429	0.000731370851763091	7.21373202540882	7.61673318676574e-07	1.31925688671743e-06	5.38584368685068e-07					1357.95072897509	0.00103431457768773	0.00179148539956429	0.000731370851763091	3
[PNNLMET0076] D-xylose 2[M] [15.125]	14	1357.06583974702	0.36649707681442	0.634791557868049	0.259152568300524	7.21308006788077	0.000270026604831591	0.000467699798963639	0.000190937643377198	1356.98286771444	0.404871576909745	0.387120823981804	0.183479140584013	1357.06583974702	0.36649707681442	0.634791557868049	0.259152568300524	3
[PNNLMET0076] D-xylose 2[M] [15.125]	15	1358.18008618951	0.259360748051978	0.449225993115096	0.183395743721169	7.21390085595078	0.000190984312312085	0.000330794532373133	0.000135046302336125	1358.24733933244	0.285880070294659	0.272738368314968	0.13028986690269	1358.18008618951	0.259360748051978	0.449225993115096	0.183395743721169	3
[PNNLMET0076] D-xylose 2[M] [15.125]	16	1360.06671920503	1.15612373451403	2.00246504801457	0.817502932565585	7.21528795177296	0.000850118185360899	0.00147244788948333	0.000601124333678694	1360.11158411506	1.28645982097802	1.23791433473292	0.573118744786983	1360.06671920503	1.15612373451403	2.00246504801457	0.817502932565585	3
[PNNLMET0076] D-xylose 2[M] [15.125]	17	1358.31508008773	0.149140161395848	0.258318336986631	0.10545801947026	7.21400028085935	0.000109805296249997	0.000190188352045147	7.76440695885706e-05	1358.35374542381	0.164392456405902	0.156836652567603	0.0749166586501951	1358.31508008773	0.149140161395848	0.258318336986631	0.10545801947026	3
[PNNLMET0076] D-xylose 2[M] [15.125]	18	1358.17808695406	0.182901757429305	0.316795136661195	0.129331072969199	7.21389941146228	0.000134655890747808	0.000233230844313647	9.52160934744898e-05	1358.13066035435	0.201604704821954	0.192337560591926	0.0918785712462639	1358.17808695406	0.182901757429305	0.316795136661195	0.129331072969199	3
