Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0077] D-arabinose [15.198]	1	1364.24923043082	0.37495673102552	1.18571729405177	0.265134447159686	7.21835916475355	0.000274581423198637	0.000868302700478288	0.000194158386331609					1364.24923043082	0.37495673102552	1.18571729405177	0.265134447159686	10
[PNNLMET0077] D-arabinose [15.198]	2	1364.04330248219	0.472684343839441	1.49475914083481	0.334238304889582	7.21820798464631	0.000346323864185115	0.00109517221889578	0.000244887952852024	1363.86966275721	0.439013676323186	0.80573112530202	0.215012734456057	1364.04330248219	0.472684343839441	1.49475914083481	0.334238304889582	10
[PNNLMET0077] D-arabinose [15.198]	3	1363.87639952659	0.113606560230968	0.359255487466963	0.0803319691265953	7.21808618342219	8.3298025542523e-05	0.000263411485309255	5.89005987205682e-05	1363.88145144452	0.108458912729712	0.200911682161936	0.0549769677158859	1363.87639952659	0.113606560230968	0.359255487466963	0.0803319691265953	10
[PNNLMET0077] D-arabinose [15.198]	4	1364.2202156963	0.173183982074982	0.547655837614718	0.122459568118109	7.21833819324762	0.000126952066231634	0.000401457682956511	8.97686669180318e-05	1364.23995583262	0.183621044107011	0.327464470556907	0.0847342407761108	1364.2202156963	0.173183982074982	0.547655837614718	0.122459568118109	10
[PNNLMET0077] D-arabinose [15.198]	5	1363.98971592063	0.127296083833098	0.402545562132328	0.090011924096875	7.21816925518769	9.33113127008255e-05	0.000295076279594807	6.59810619721722e-05					1363.98971592063	0.127296083833098	0.402545562132328	0.090011924096875	10
[PNNLMET0077] D-arabinose [15.198]	6	1363.6175783051	0.11395810998168	0.360367185390079	0.0805805523392485	7.21789639636762	8.35592829535064e-05	0.000264237653783562	5.90853356075099e-05	1363.56810241845	0.116443928865885	0.206964369625233	0.0537408552873486	1363.6175783051	0.11395810998168	0.360367185390079	0.0805805523392485	10
[PNNLMET0077] D-arabinose [15.198]	7	1363.83851831909	0.204878251442889	0.647881917592208	0.144870800912909	7.2180583302093	0.000150245374816917	0.000475117592327162	0.000106239523374957					1363.83851831909	0.204878251442889	0.647881917592208	0.144870800912909	10
[PNNLMET0077] D-arabinose [15.198]	8	1364.03448448628	0.232774684380757	0.736098184270013	0.164596557814192	7.21820197439102	0.000170620300469067	0.000539548764544548	0.000120646771469764	1363.96072450532	0.244326309856614	0.434492910459305	0.112478035842854	1364.03448448628	0.232774684380757	0.736098184270013	0.164596557814192	10
[PNNLMET0077] D-arabinose [15.198]	9	1363.9893528476	0.148109826947163	0.468364397006418	0.104729462994705	7.21816897359734	0.000108573402420474	0.000343339244962735	7.67729891080129e-05	1363.94824727817	0.145416318602261	0.26461736768904	0.0705251109416429	1363.9893528476	0.148109826947163	0.468364397006418	0.104729462994705	10
[PNNLMET0077] D-arabinose [15.198]	10	1364.21993540923	0.253258629298583	0.800874105675775	0.179080894171038	7.21833789604557	0.000185652112421196	0.000587083527672616	0.000131275867634635	1364.24534911089	0.271718339385107	0.482323473199525	0.123913691539398	1364.21993540923	0.253258629298583	0.800874105675775	0.179080894171038	10
[PNNLMET0077] D-arabinose [15.198]	11	1363.93535643116	0.199759237556569	0.631694174337408	0.141251111480905	7.21812933742971	0.000146412035608041	0.000462995509383086	0.000103528943225772	1363.84787410469	0.171968816239248	0.322279949574027	0.0884095828709041	1363.93535643116	0.199759237556569	0.631694174337408	0.141251111480905	10
[PNNLMET0077] D-arabinose [15.198]	12	1363.80775649268	0.102919078091718	0.325458701454565	0.0727747780321218	7.21803585900665	7.54673264132357e-05	0.000238648640389211	5.33634582648177e-05					1363.80775649268	0.102919078091718	0.325458701454565	0.0727747780321218	10
