Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0078] D-lyxose 2[M] [15.117]	1	1364.2767896508	0.160022710635461	0.277167465185511	0.113153143834187	7.21837972214187	0.000117302747058248	0.000203174317772287	8.29455678966978e-05	1364.31529219891	0.176612552797447	0.168716453206256	0.0802179594492352	1364.2767896508	0.160022710635461	0.277167465185511	0.113153143834187	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	2	1363.77175575368	0.363135769752992	0.628969603257816	0.256775765283737	7.21800938354258	0.000266301944177599	0.000461248497469973	0.000188303910571142	1363.83328919298	0.402456039340232	0.385962082810449	0.180958398400116	1363.77175575368	0.363135769752992	0.628969603257816	0.256775765283737	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	3	1364.30806976885	0.172847366407808	0.299380420572797	0.122221544897197	7.21840264642431	0.000126702153041663	0.000219454566496527	8.95919516066954e-05	1364.35285406022	0.190525242700167	0.181770118184752	0.0868252767670415	1364.30806976885	0.172847366407808	0.299380420572797	0.122221544897197	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	4	1364.07009353799	0.146586505013396	0.253895274387153	0.103652311725408	7.21822820798662	0.000107455531283349	0.000186118439737067	7.59825348464593e-05	1364.03214633671	0.161582160323161	0.154159880025172	0.0736304730414057	1364.07009353799	0.146586505013396	0.253895274387153	0.103652311725408	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	5	1363.91914235745	0.0253525191467423	0.0439118512620204	0.0179269382088232	7.21811755633144	1.8587802214578e-05	3.21950178366903e-05	1.31435609932824e-05	1363.91325351915	0.0280137773674017	0.026783817437445	0.0126679605029199	1363.91914235745	0.0253525191467423	0.0439118512620204	0.0179269382088232	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	6	1364.27143063628	0.158490871610911	0.274514242165973	0.112069970072241	7.21837579442823	0.00011617966231944	0.000201229077943465	8.21514270620391e-05	1364.30661709581	0.175137051613365	0.167504133110853	0.0793084675990707	1364.27143063628	0.158490871610911	0.274514242165973	0.112069970072241	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	7	1364.27468664443	0.163945760493304	0.28396238685992	0.115927158991601	7.21837817963561	0.000120178343676554	0.000208154997217266	8.49789217654589e-05	1364.31147820984	0.181137110425127	0.173217322670398	0.0820568240557343	1364.27468664443	0.163945760493304	0.28396238685992	0.115927158991601	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	8	1364.30369146695	0.169301931916747	0.293239547899372	0.119714544126315	7.2183994382228	0.000124103446437488	0.000214953474624133	8.77543885445695e-05	1364.34755346897	0.186617615470917	0.178042376644779	0.0850439273055931	1364.30369146695	0.169301931916747	0.293239547899372	0.119714544126315	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	9	1363.59095736384	0.27654324943881	0.478986958518212	0.195545606969545	7.21787684709362	0.000202829539697126	0.000351311068031231	0.000143422142944784	1363.66029061056	0.30500415318642	0.291164142074409	0.138789381207685	1363.59095736384	0.27654324943881	0.478986958518212	0.195545606969545	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	10	1363.79845009277	0.384411757248791	0.665820694581739	0.271820160318457	7.21802894443345	0.000281895871229743	0.000488257971413809	0.000199330482135041	1363.85357712572	0.426542854245121	0.409486271985916	0.191253566235165	1363.79845009277	0.384411757248791	0.665820694581739	0.271820160318457	3
[PNNLMET0078] D-lyxose 2[M] [15.117]	11	1364.52249813182	0.254252814475041	0.440378792638155	0.179783889251067	7.21855977612133	0.000186330355390857	0.00032273364252933	0.000131755457837774	1364.52057581337	0.282979319215127	0.272348995062831	0.126002914993779	1364.52249813182	0.254252814475041	0.440378792638155	0.179783889251067	3
