Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
[PNNLMET0084] lactose 2 [25.003]	1	2447.74931011514	0.141522530668325	0.447533537142939	0.100071541126254	7.80292421567538	5.781741308338e-05	0.0001828347137623	4.08830848619218e-05					2447.74931011514	0.141522530668325	0.447533537142939	0.100071541126254	10
[PNNLMET0084] lactose 2 [25.003]	2	2447.57707679132	0.128494905615548	0.406336569473492	0.0908596191086793	7.80285385217907	5.24950221976451e-05	0.000166003835965656	3.71195861744932e-05	2447.5043870833	0.135256980681151	0.238511324112198	0.0644090147845538	2447.57707679132	0.128494905615548	0.406336569473492	0.0908596191086793	10
[PNNLMET0084] lactose 2 [25.003]	3	2447.93320011419	0.128324590751781	0.405797986584607	0.0907391883135728	7.8029993419834	5.24253978348813e-05	0.000165783664398685	3.70703543154471e-05	2448.00589022214	0.135067817834243	0.238172693738221	0.0643275079735411	2447.93320011419	0.128324590751781	0.405797986584607	0.0907391883135728	10
[PNNLMET0084] lactose 2 [25.003]	4	2447.6629555619	0.136633813367314	0.432074055635071	0.0966146959714046	7.80288893702191	5.58201469021891e-05	0.00017651880353611	3.94708044013672e-05					2447.6629555619	0.136633813367314	0.432074055635071	0.0966146959714046	10
[PNNLMET0084] lactose 2 [25.003]	5	2447.93201065753	0.128280592572519	0.405658852125238	0.0907080769026566	7.80299885609028	5.24074476656425e-05	0.000165726900979505	3.70576616290549e-05	2448.00461259506	0.134997264550943	0.238067494881795	0.0642936265889123	2447.93201065753	0.128280592572519	0.405658852125238	0.0907080769026566	10
[PNNLMET0084] lactose 2 [25.003]	6	2447.57422209535	0.128792639878253	0.40727808788111	0.0910701490248296	7.80285268577896	5.26167103701371e-05	0.000166388647755035	3.72056327064525e-05	2447.50142833369	0.135551160354879	0.239046638366556	0.0645476918410367	2447.57422209535	0.128792639878253	0.40727808788111	0.0910701490248296	10
[PNNLMET0084] lactose 2 [25.003]	7	2447.66319345323	0.135966935526937	0.429965202738388	0.0961431421282513	7.80288903436483	5.55477073194927e-05	0.000175657273930003	3.92781605249789e-05					2447.66319345323	0.135966935526937	0.429965202738388	0.0961431421282513	10
[PNNLMET0084] lactose 2 [25.003]	8	2447.57731468265	0.127459680014504	0.403062898682077	0.0901276040661235	7.80285394959481	5.20721205057547e-05	0.000164666503392944	3.68205495203822e-05	2447.50523285664	0.134176587529875	0.236603755319173	0.0638915023467252	2447.57731468265	0.127459680014504	0.403062898682077	0.0901276040661235	10
[PNNLMET0084] lactose 2 [25.003]	9	2447.66914073651	0.137956790895513	0.4362576779174	0.0975501823529516	7.80289146368718	5.63604651923357e-05	0.000178227439994421	3.98528671283289e-05					2447.66914073651	0.137956790895513	0.4362576779174	0.0975501823529516	10
[PNNLMET0084] lactose 2 [25.003]	10	2447.66176610524	0.136934701352285	0.43302554698816	0.0968274559059554	7.80288845099702	5.59430925336712e-05	0.000176907591759961	3.95577400911054e-05					2447.66176610524	0.136934701352285	0.43302554698816	0.0968274559059554	10
[PNNLMET0084] lactose 2 [25.003]	11	2447.84184984299	0.137037300843991	0.433349995068726	0.0969000047022869	7.80296202205181	5.59849251695434e-05	0.000177039878169846	3.95873202316056e-05					2447.84184984299	0.137037300843991	0.433349995068726	0.0969000047022869	10
[PNNLMET0084] lactose 2 [25.003]	12	2447.75882576839	0.140955160723027	0.445739355839873	0.0996703499904924	7.80292810331306	5.75853988147964e-05	0.000182101020223917	4.07190259992743e-05					2447.75882576839	0.140955160723027	0.445739355839873	0.0996703499904924	10
[PNNLMET0084] lactose 2 [25.003]	13	2447.84446664764	0.138638794063714	0.438414361300368	0.0980324314179776	7.80296309070805	5.66391623742348e-05	0.000179108757866692	4.00499357955474e-05					2447.84446664764	0.138638794063714	0.438414361300368	0.0980324314179776	10
[PNNLMET0084] lactose 2 [25.003]	14	2447.66462080122	0.138200757125241	0.437029166875505	0.0977226925283728	7.80288961700081	5.64602377862516e-05	0.000178542948639258	3.99234170060634e-05					2447.66462080122	0.138200757125241	0.437029166875505	0.0977226925283728	10
[PNNLMET0084] lactose 2 [25.003]	15	2447.84589399562	0.13793892476847	0.43620118026298	0.0975375490933663	7.80296367397347	5.63532003800113e-05	0.000178204466640702	3.98477301302703e-05					2447.84589399562	0.13793892476847	0.43620118026298	0.0975375490933663	10
[PNNLMET0084] lactose 2 [25.003]	16	2447.7543058331	0.138752043577795	0.438772487708771	0.0981125109173503	7.80292625726483	5.66854501357561e-05	0.00017925513262089	4.0082666185605e-05					2447.7543058331	0.138752043577795	0.438772487708771	0.0981125109173503	10
[PNNLMET0084] lactose 2 [25.003]	17	2447.75478161576	0.141008689437832	0.445908628498878	0.0997082005077192	7.80292645111314	5.76073618100921e-05	0.000182170473313291	4.07345561821831e-05					2447.75478161576	0.141008689437832	0.445908628498878	0.0997082005077192	10
[PNNLMET0084] lactose 2 [25.003]	18	2447.57636311733	0.128158664135924	0.405273280554056	0.0906218604783214	7.80285356066717	5.23576791552285e-05	0.000165569519130843	3.70224699778516e-05	2447.50386823783	0.134894132162436	0.237876539642575	0.0642372906632251	2447.57636311733	0.128158664135924	0.405273280554056	0.0906218604783214	10
[PNNLMET0084] lactose 2 [25.003]	19	2447.7573984204	0.140627805998202	0.444704169306606	0.0994388752447147	7.80292752026536	5.74516932181315e-05	0.000181678206002544	4.062448186519e-05					2447.7573984204	0.140627805998202	0.444704169306606	0.0994388752447147	10
