Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
citric acid	1	1519.05235398533	0.199486654384	0.345521020825021	0.141058366071144	7.32584194222147	0.000131316209454931	0.000227446346633297	9.28545821852947e-05	1519.01911531925	0.221119234993867	0.212083560494754	0.0993870661261962	1519.05235398533	0.199486654384	0.345521020825021	0.141058366071144	3
citric acid	2	1519.37004147147	0.456863520942067	0.791310830396468	0.323051293734898	7.32605094594053	0.000300640560218662	0.000520724725114694	0.000212584978830339	1519.25865914644	0.504119935939305	0.481473887867085	0.229119447076762	1519.37004147147	0.456863520942067	0.791310830396468	0.323051293734898	3
citric acid	3	1521.5452368713	1.4000226955511	2.42491044044404	0.989965541839253	7.32748043089797	0.000920018735703883	0.00159351919415441	0.00065055148683489	1521.46681112731	1.55747442302202	1.49840775818336	0.694236764052154	1521.5452368713	1.4000226955511	2.42491044044404	0.989965541839253	3
citric acid	4	1518.39645383936	1.07207384254029	1.85688636474538	0.758070683992958	7.32540934420007	0.000706354094489881	0.00122344117979078	0.000499467770132678	1518.66650515319	1.18230303245694	1.12855607962014	0.538121616352016	1518.39645383936	1.07207384254029	1.85688636474538	0.758070683992958	3
citric acid	5	1520.55854074458	0.419055441870165	0.725825316507352	0.296316944639519	7.32683289340624	0.000275639639333041	0.000477421859904788	0.000194906658136208	1520.66720570776	0.461901142469622	0.440667005873765	0.210515500340931	1520.55854074458	0.419055441870165	0.725825316507352	0.296316944639519	3
citric acid	6	1518.59235583224	0.201357842383355	0.348762013510416	0.142381495794362	7.32553907669833	0.000132602309808729	0.000229673937789708	9.3763992466752e-05	1518.62700872751	0.223133170522638	0.21396413096406	0.100356457171368	1518.59235583224	0.201357842383355	0.348762013510416	0.142381495794362	3
citric acid	7	1518.4969666303	0.163114187510988	0.282522060204348	0.115339148096754	7.325476269565	0.000107425249787857	0.000186065990648347	7.59611225956527e-05	1518.53924770953	0.179795475780756	0.171532047606109	0.0819365948629836	1518.4969666303	0.163114187510988	0.282522060204348	0.115339148096754	3
citric acid	8	1518.69304196117	0.00620677574865362	0.0107504509478544	0.00438885322117718	7.3256054031251	4.08691156019732e-06	7.07873846830234e-06	2.88988287832522e-06	1518.69192910186	0.00692613059063733	0.00664095290204555	0.0029281780023608	1518.69304196117	0.00620677574865362	0.0107504509478544	0.00438885322117718	3
citric acid	9	1519.77059725546	0.776991486239951	1.34578873121605	0.549415948844484	7.32631428767725	0.000511100373840699	0.000885251815259538	0.000361402540209738	1519.57501446955	0.856891667082912	0.817948164766542	0.389998516979519	1519.77059725546	0.776991486239951	1.34578873121605	0.549415948844484	3
citric acid	10	1518.45834100199	0.639745917191923	1.10807243251116	0.452368676282817	7.32545058347059	0.000421399801338706	0.000729885866218069	0.000297974657117263	1518.58971026283	0.707642324570262	0.67744545111489	0.319671309285082	1518.45834100199	0.639745917191923	1.10807243251116	0.452368676282817	3
