Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
ethanolamine	1	964.975412808381	1.86623213053417	5.90154417507663	1.31962539476893	6.87208377047967	0.00194562453012645	0.00615260498669446	0.0013757642988953	966.26250672334	1.4519492042737	2.74322357339299	0.77201512627151	964.975412808381	1.86623213053417	5.90154417507663	1.31962539476893	10
ethanolamine	2	961.381172846894	2.95312678291679	9.33860685326267	2.08817597390407	6.8683235406858	0.00308409987727849	0.0097527801436458	0.00218078793708022					961.381172846894	2.95312678291679	9.33860685326267	2.08817597390407	10
ethanolamine	3	958.286246044355	3.13419950908014	9.91120909007482	2.21621372646211	6.86509302009438	0.00327170004996305	0.0103460239787699	0.00231344129133724					958.286246044355	3.13419950908014	9.91120909007482	2.21621372646211	10
ethanolamine	4	961.891444569483	3.05262188690484	9.65323799790022	2.15852963662889	6.86885092884285	0.003188403795775	0.0100826180949753	0.00225454194515343	963.641685304438	3.17676079955512	5.61779544784922	1.5203918978936	961.891444569483	3.05262188690484	9.65323799790022	2.15852963662889	10
ethanolamine	5	961.969233462941	2.75778726320191	8.72088905392029	1.95005007487996	6.86894117120773	0.00287747185359136	0.00909936496037526	0.00203467986034788					961.969233462941	2.75778726320191	8.72088905392029	1.95005007487996	10
ethanolamine	6	960.80619764241	3.19026919990404	10.0885170207798	2.25586098506273	6.86771728535443	0.00333440538379359	0.0105443156551156	0.00235778065810538					960.80619764241	3.19026919990404	10.0885170207798	2.25586098506273	10
ethanolamine	7	963.471668886696	2.5506639678867	8.06590768424456	1.80359178822087	6.87050776508808	0.00266294007729582	0.00842095591679963	0.0018829829865493	965.294879705693	2.24490669489916	4.15745478353129	1.19509849885925	963.471668886696	2.5506639678867	8.06590768424456	1.80359178822087	10
ethanolamine	8	958.337795734638	3.44100809636202	10.8814230315841	2.4331601590554	6.86513569000834	0.003597637838288	0.0113767297653946	0.00254391411170675					958.337795734638	3.44100809636202	10.8814230315841	2.4331601590554	10
ethanolamine	9	956.951940201403	3.57928806150733	11.318702676212	2.53093886011188	6.86368320009019	0.00374114779642788	0.011830548100032	0.00264539097627526					956.951940201403	3.57928806150733	11.318702676212	2.53093886011188	10
ethanolamine	10	963.774309772877	2.63958893070074	8.34711310758268	1.86647123244344	6.87081933523646	0.00275566204150087	0.00871416851281219	0.00194854731620363	965.731295378881	2.27245160307066	4.23893857113769	1.23834025072685	963.774309772877	2.63958893070074	8.34711310758268	1.86647123244344	10
