Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
lactic acid	1	736.195064673643	5.38840611233378	9.3329931583768	3.81017850181826	6.60141427135567	0.00735254976870882	0.0127349897645825	0.00519903780046559	737.587219754384	5.93970726497911	5.66702412657604	2.70660752233392	736.195064673643	5.38840611233378	9.3329931583768	3.81017850181826	3
lactic acid	2	737.418848444808	5.88682255777982	10.1962757652172	4.16261215024805	6.60305981736493	0.00802275439633528	0.0138958182310993	0.00567294403744286	738.943192782808	6.48885717817742	6.19070973141582	2.95717421720072	737.418848444808	5.88682255777982	10.1962757652172	4.16261215024805	3
lactic acid	3	745.026603541992	0.872095707856929	1.51051407507095	0.616664788869317	6.61341787326931	0.00116996743452137	0.00202644303979202	0.000827291906717486	744.869231348091	0.965983811918801	0.925932478251865	0.434922706977934	745.026603541992	0.872095707856929	1.51051407507095	0.616664788869317	3
lactic acid	4	738.902950627411	2.23087889094587	3.86399558465115	1.57746959179375	6.6051528817775	0.00302449406626369	0.0052385773899593	0.00213864026391353	739.448079568764	2.46153229891108	2.35086227404047	1.11886692998485	738.902950627411	2.23087889094587	3.86399558465115	1.57746959179375	3
lactic acid	5	742.125239522597	0.627942244205207	1.08762787118224	0.444022219071001	6.60951694159532	0.000846032463160583	0.00146537121104677	0.000598235291804806	742.085677180648	0.698477043129447	0.671920466386463	0.311428932344584	742.125239522597	0.627942244205207	1.08762787118224	0.444022219071001	3
lactic acid	6	743.471879416111	0.673337299624092	1.16625441358016	0.476121370590034	6.61132971277082	0.000905757631994746	0.00156881823795817	0.000640467363694954	743.502495488841	0.749183760681863	0.720864360880091	0.333823939381514	743.471879416111	0.673337299624092	1.16625441358016	0.476121370590034	3
lactic acid	7	744.570301209805	1.03303260895692	1.78926496458881	0.730464362980268	6.61280439080236	0.00138629327768499	0.00240113039114159	0.00098025737736438	744.313589674679	1.13951626155212	1.08797401779694	0.518333712785108	744.570301209805	1.03303260895692	1.78926496458881	0.730464362980268	3
lactic acid	8	728.261824959746	5.72204344235764	9.91086996527974	4.0460957203351	6.59056856215876	0.00782328743800148	0.0135503313248339	0.00553189959858238	726.910773642782	6.31715590818431	6.0364600468956	2.8673864801696	728.261824959746	5.72204344235764	9.91086996527974	4.0460957203351	3
lactic acid	9	739.074684901983	3.44766224722363	5.97152617952842	2.43786535425268	6.60536622685812	0.00467661750828047	0.00810013913190795	0.00330686795312086	739.849626397583	3.80903333621958	3.64239250833302	1.72575318771585	739.074684901983	3.44766224722363	5.97152617952842	2.43786535425268	3
lactic acid	10	729.14994061404	2.89742570650874	5.01848853482929	2.04878936505655	6.59185570425044	0.00397382733973837	0.00688287085293313	0.0028099202591935	729.151293869886	3.22479717365603	3.10366794875324	1.43592804520464	729.14994061404	2.89742570650874	5.01848853482929	2.04878936505655	3
