Compound	Iteration	Normal.Mean.Est	Normal.Mean.SE	Normal.SD.Est	Normal.SD.SE	LogNormal.LogMean.Est	LogNormal.LogMean.SE	LogNormal.LogSD.Est	LogNormal.LogSD.SE	Logistic.Location.Est	Logistic.Location.SE	Logistic.Scale.Est	Logistic.Scale.SE	Gamma.Shape.Est	Gamma.Shape.SE	Gamma.Rate.Est	Gamma.Rate.SE	N
oxalic acid	1	823.212017398058	0.624676488708863	1.08197141673748	0.441712981213839	6.7132129195764	0.000758499117603838	0.00131375900918601	0.000536339869581687	823.061043868274	0.689397716900128	0.65852651395482	0.313222766130745	823.212017398058	0.624676488708863	1.08197141673748	0.441712981213839	3
oxalic acid	2	823.888061787392	0.526885841914567	0.912593047984734	0.372564551728974	6.71403405960655	0.00063972025092239	0.00110802797722829	0.000452350527489582	824.000838511337	0.582501682375351	0.557373186856637	0.263475573667893	823.888061787392	0.526885841914567	0.912593047984734	0.372564551728974	3
oxalic acid	3	817.791636708801	5.59716944064932	9.6945818497765	3.95779646693325	6.70653692011027	0.00687308796721497	0.0119045375641066	0.00486000710930937	819.225339027583	6.17081448063572	5.88849394399314	2.81079712492711	817.791636708801	5.59716944064932	9.6945818497765	3.95779646693325	3
oxalic acid	4	825.324244466667	0.932810140684705	1.61567455748138	0.659596376037733	6.71577441829498	0.00112947192310804	0.00195630275654566	0.000798657255989509	825.087958083566	1.02861905856212	0.981759902554332	0.468291472409661	825.324244466667	0.932810140684705	1.61567455748138	0.659596376037733	3
oxalic acid	5	816.726042029593	2.82749526435708	4.89736545602685	1.99934107519974	6.70528572197586	0.00346440467754808	0.00600052491949255	0.00244970404026864	816.955317756978	3.14387247680806	3.02338336688715	1.40298981294536	816.726042029593	2.82749526435708	4.89736545602685	1.99934107519974	3
oxalic acid	6	819.311075312081	4.55720747242245	7.89331488286822	3.22243230702392	6.70841721986135	0.00558085504003746	0.00966632447902172	0.00394626044362961	820.453776900377	5.02617444424238	4.79807661698826	2.28718029774408	819.311075312081	4.55720747242245	7.89331488286822	3.22243230702392	3
oxalic acid	7	824.445441584784	0.525028296952043	0.909375685732299	0.371251069089614	6.71471036023248	0.000636622125447602	0.00110266186649773	0.000450159821957392	824.334398219456	0.580537424577666	0.555574404654626	0.262487512453919	824.445441584784	0.525028296952043	0.909375685732299	0.371251069089614	3
oxalic acid	8	821.150109552419	1.51327339040945	2.62106639793117	1.07004587614768	6.7107008286995	0.00184483372611586	0.00319534574514927	0.00130449443789817	821.517599612905	1.66991889106121	1.59502154444958	0.758868686561268	821.150109552419	1.51327339040945	2.62106639793117	1.07004587614768	3
oxalic acid	9	824.5958202	0.225751026007098	0.391012246905097	0.15963008134944	6.71489323893438	0.00027380322491313	0.00047424109682575	0.00019360811704682	824.635396367575	0.250123224754854	0.23981032863388	0.112539904093159	824.5958202	0.225751026007098	0.391012246905097	0.15963008134944	3
oxalic acid	10	817.798182111389	5.61487903025388	9.72525575875278	3.97031903783466	6.70654448530928	0.00689418511819722	0.0119410789015028	0.00487492504783263	819.199887715987	6.19316281943153	5.91256414489113	2.81766835782517	817.798182111389	5.61487903025388	9.72525575875278	3.97031903783466	3
